,First_Tee_Late_Scoring_Average_RANK THIS WEEK,First_Tee_Late_Scoring_Average_RANK LAST WEEK,First_Tee_Late_Scoring_Average_PLAYER NAME,First_Tee_Late_Scoring_Average_ROUNDS,First_Tee_Late_Scoring_Average_AVG,First_Tee_Late_Scoring_Average_TOTAL STROKES,First_Tee_Late_Scoring_Average_TOTAL 1ST TEE LATE ROUNDS
0,1,1,Tiger Woods,55,68.67,2472,36
1,2,2,Omar Uresti,61,69.73,767,11
2,3,3,Brett Quigley,109,69.74,2999,43
3,4,4,Trevor Immelman,86,69.85,2864,41
4,5,5,Jonathan Byrd,66,69.86,1537,22
5,6,6,Jim Furyk,89,69.87,3633,52
6,7,7,Frank Lickliter II,99,69.91,2447,35
7,8,8,Adam Scott,70,69.92,2727,39
8,9,9,Steve Stricker,64,69.93,2028,29
9,10,10,Woody Austin,107,70.03,2101,30
10,11,11,Luke Donald,66,70.09,2453,35
11,12,12,Bob May,65,70.18,1193,17
12,13,13,Heath Slocum,96,70.28,1757,25
13,T14,T14,Stewart Cink,93,70.29,2460,35
14,T14,T14,Vijay Singh,103,70.29,3866,55
15,T16,T16,Kenny Perry,73,70.35,1829,26
16,T16,T16,Nick Watney,97,70.35,2392,34
17,18,18,Richard Johnson,94,70.36,2533,36
18,19,19,Shane Bertsch,104,70.39,1971,28
19,20,20,Jeff Gove,91,70.41,1901,27
20,21,21,Jerry Kelly,100,70.42,2676,38
21,T22,T22,Ryan Moore,68,70.44,1761,25
22,T22,T22,David Toms,76,70.44,2536,36
23,T22,T22,Scott Verplank,88,70.44,2395,34
24,25,25,Ryuji Imada,105,70.45,2043,29
25,T26,T26,Bob Estes,85,70.48,1903,27
26,T26,T26,José María Olazábal,62,70.48,1480,21
27,28,28,Tjaart van der Walt,60,70.5,846,12
28,29,29,Craig Barlow,77,70.52,1622,23
29,30,30,Nathan Green,108,70.53,2398,34
30,T31,T31,Bill Haas,99,70.56,1764,25
31,T31,T31,Bubba Watson,83,70.56,1764,25
32,33,33,Jerry Smith,94,70.58,1694,24
33,T34,T34,Ben Crane,85,70.59,2047,29
34,T34,T34,Ernie Els,69,70.59,2612,37
35,36,36,Kevin Sutherland,100,70.62,1836,26
36,37,37,Robert Gamez,94,70.63,1695,24
37,38,38,Rory Sabbatini,84,70.64,1978,28
38,39,39,Brian Bateman,69,70.65,1413,20
39,40,40,Ryan Palmer,101,70.66,2049,29
40,41,41,Camilo Villegas,95,70.67,2544,36
41,42,42,Phil Mickelson,74,70.68,2403,34
42,43,43,John Senden,96,70.69,1838,26
43,44,44,Vaughn Taylor,88,70.7,1909,27
44,T45,T45,Chad Campbell,91,70.74,2476,35
45,T45,T45,Stephen Leaney,84,70.74,1910,27
46,T47,T47,Paul Goydos,72,70.76,1486,21
47,T47,T47,Charles Warren,93,70.76,1769,25
48,49,49,Zach Johnson,98,70.78,2548,36
49,50,50,Alex Cejka,93,70.81,1841,26
50,T51,T51,J.P. Hayes,55,70.83,1275,18
51,T51,T51,Ian Poulter,53,70.83,1700,24
