,Total_Birdies_RANK THIS WEEK,Total_Birdies_RANK LAST WEEK,Total_Birdies_PLAYER NAME,Total_Birdies_ROUNDS,Total_Birdies_TOTAL
0,1,1,Daniel Chopra,110,435
1,2,2,Lucas Glover,105,402
2,3,3,Steve Flesch,119,398
3,T4,T4,Vijay Singh,103,394
4,T4,T4,Dean Wilson,115,394
5,6,6,Bo Van Pelt,102,391
6,7,7,Brian Gay,107,389
7,8,8,Woody Austin,107,385
8,T9,T9,Charley Hoffman,100,384
9,T9,T9,Justin Rose,98,384
10,11,11,Tom Pernice Jr.,108,383
11,T12,T12,Nathan Green,108,380
12,T12,T12,Hunter Mahan,98,380
13,T12,T12,Brett Quigley,109,380
14,15,15,Ryan Palmer,101,373
15,16,16,Shane Bertsch,104,371
16,17,17,Olin Browne,108,367
17,18,18,Joe Durant,101,366
18,T19,T19,Frank Lickliter II,99,365
19,T19,T19,Nick Watney,97,365
20,21,21,Jason Bohn,104,363
21,22,22,Jeff Sluman,101,361
22,23,23,Tag Ridings,103,360
23,24,24,Ted Purdy,103,359
24,25,25,Jerry Kelly,100,358
25,T26,T26,Bubba Dickerson,98,356
26,T26,T26,Jim Furyk,89,356
27,28,28,Vaughn Taylor,88,355
28,29,29,Harrison Frazar,95,354
29,30,30,Kent Jones,103,352
30,31,31,Fred Funk,106,349
31,32,32,Ryuji Imada,105,347
32,T33,T33,Jeff Brehaut,100,346
33,T33,T33,Todd Fischer,101,346
34,T33,T33,Troy Matteson,101,346
35,36,36,Sean O'Hair,100,344
36,37,37,Camilo Villegas,95,340
37,38,38,Joe Ogilvie,95,339
38,T39,T39,Alex Cejka,93,338
39,T39,T39,"Wes Short, Jr.",96,338
40,41,41,John Rollins,93,336
41,T42,T42,Mark Calcavecchia,94,335
42,T42,T42,Bill Haas,99,335
43,T42,T42,Steve Lowery,99,335
44,T45,T45,David Branshaw,98,334
45,T45,T45,Shigeki Maruyama,94,334
46,T47,T47,Eric Axley,91,331
47,T47,T47,Brett Wetterich,82,331
48,49,49,Heath Slocum,96,330
49,T50,T50,Arjun Atwal,97,329
50,T50,T50,J.J. Henry,96,329
51,T50,T50,Trevor Immelman,86,329
52,T50,T50,John Senden,96,329
53,54,54,Brent Geiberger,99,328
54,55,55,Jerry Smith,94,326
55,T56,T56,Marco Dawson,87,325
56,T56,T56,Shaun Micheel,96,325
