,Birdie_or_Better_Percentage_-_125-150_ya_RANK THIS WEEK,Birdie_or_Better_Percentage_-_125-150_ya_RANK LAST WEEK,Birdie_or_Better_Percentage_-_125-150_ya_PLAYER NAME,Birdie_or_Better_Percentage_-_125-150_ya_ROUNDS,Birdie_or_Better_Percentage_-_125-150_ya_%,Birdie_or_Better_Percentage_-_125-150_ya_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_125-150_ya_TOTAL HOLES
0,1,1,Camilo Villegas,95,24.81,65,262
1,2,2,Kent Jones,103,24.28,59,243
2,3,3,Olin Browne,108,23.92,61,255
3,4,4,David Howell,52,23.81,20,84
4,5,5,Brett Wetterich,82,23.26,50,215
5,6,6,Todd Fischer,101,22.99,60,261
6,7,7,Mark Wilson,79,22.89,57,249
7,8,8,Retief Goosen,68,22.86,32,140
8,9,9,Phil Mickelson,74,22.83,29,127
9,10,10,Dean Wilson,115,22.68,66,291
10,11,11,Robert Allenby,79,22.62,50,221
11,12,12,Davis Love III,85,22.42,37,165
12,13,13,Jim Furyk,89,22.4,43,192
13,14,14,Luke Donald,66,22.03,26,118
14,15,15,David Branshaw,98,21.99,53,241
15,16,16,Jerry Kelly,100,21.91,55,251
16,17,17,Bob Estes,85,21.82,48,220
17,18,18,Daniel Chopra,110,21.75,62,285
18,19,19,Brian Gay,107,21.4,55,257
19,20,20,Craig Barlow,77,21.39,37,173
20,T21,T21,Greg Kraft,79,21.3,36,169
21,T21,T21,Carl Pettersson,95,21.3,46,216
22,23,23,Hunter Mahan,98,21.25,58,273
23,24,24,Rory Sabbatini,84,21.24,41,193
24,25,25,Bernhard Langer,77,21.2,39,184
25,26,26,Mark O'Meara,52,21.18,18,85
26,27,27,Steve Flesch,119,21.15,70,331
27,T28,T28,Brian Davis,92,21.03,49,233
28,T28,T28,Chris Riley,86,21.03,41,195
29,30,30,Tom Pernice Jr.,108,21.01,50,238
30,31,31,Bubba Dickerson,98,20.99,55,262
31,32,32,Ben Crane,85,20.96,35,167
32,33,33,David Toms,76,20.94,40,191
33,T34,T34,Stewart Cink,93,20.81,46,221
34,T34,T34,Steve Jones,83,20.81,46,221
35,T36,T36,Jeff Maggert,81,20.71,41,198
36,T36,T36,Brett Quigley,109,20.71,58,280
37,T38,T38,J.P. Hayes,55,20.63,33,160
38,T38,T38,Vijay Singh,103,20.63,46,223
39,40,40,Mark Calcavecchia,94,20.52,47,229
40,41,41,Arron Oberholser,82,20.4,41,201
41,T42,T42,Stuart Appleby,83,20.33,37,182
42,T42,T42,Fred Funk,106,20.33,50,246
43,44,44,Joe Durant,101,20.27,61,301
44,45,45,Marco Dawson,87,20.24,50,247
45,46,46,Harrison Frazar,95,20.16,49,243
46,47,47,Justin Rose,98,19.92,52,261
47,48,48,Ian Poulter,53,19.83,23,116
48,49,49,Paul Goydos,72,19.79,37,187
49,50,50,Charley Hoffman,100,19.65,56,285
50,51,51,Roger Tambellini,64,19.54,34,174
51,52,52,José María Olazábal,62,19.49,23,118
52,53,53,Dudley Hart,83,19.4,45,232
53,54,54,Tjaart van der Walt,60,19.39,32,165
54,55,55,Jason Gore,86,19.35,42,217
55,56,56,Nathan Green,108,19.33,52,269
56,57,57,Eric Axley,91,19.31,45,233
57,58,58,Jason Bohn,104,19.24,56,291
58,59,59,Stephen Leaney,84,19.09,42,220
59,60,60,Zach Johnson,98,19.03,47,247
60,61,61,Brandt Jobe,91,18.94,43,227
61,T62,T62,Jerry Smith,94,18.92,49,259
62,T62,T62,Tiger Woods,55,18.92,21,111
63,64,64,Richard Johnson,94,18.91,52,275
64,65,65,Ted Purdy,103,18.87,40,212
65,66,66,Brad Faxon,78,18.86,33,175
66,T67,T67,Kris Cox,83,18.78,43,229
67,T67,T67,Mike Weir,88,18.78,34,181
68,T69,T69,Tim Clark,80,18.75,27,144
69,T69,T69,Carlos Franco,86,18.75,48,256
70,T71,T71,Robert Garrigus,85,18.7,49,262
71,T71,T71,Heath Slocum,96,18.7,49,262
72,T73,T73,Stephen Ames,63,18.64,22,118
73,T73,T73,Shigeki Maruyama,94,18.64,44,236
74,75,75,Robert Damron,91,18.58,47,253
75,76,76,Tom Lehman,70,18.52,25,135
76,77,77,Kirk Triplett,58,18.42,28,152
77,78,78,Jeff Brehaut,100,18.4,46,250
78,79,79,Shane Bertsch,104,18.36,47,256
79,80,80,Nick Watney,97,18.34,53,289
80,81,81,Freddie Jacobson,56,18.23,35,192
81,82,82,Lee Janzen,79,18.22,39,214
82,83,83,Billy Mayfair,94,18.18,44,242
83,84,84,J.J. Henry,96,18.1,40,221
84,85,85,Steve Lowery,99,18.01,49,272
85,86,86,Mathias Grönberg,92,17.76,46,259
86,87,87,Ben Curtis,86,17.74,33,186
87,88,88,Vance Veazey,59,17.68,29,164
88,89,89,Lucas Glover,105,17.67,44,249
89,90,90,Steve Stricker,64,17.61,28,159
90,91,91,Jonathan Byrd,66,17.5,28,160
91,92,92,John Rollins,93,17.47,40,229
92,93,93,Hidemichi Tanaka,74,17.44,34,195
93,94,94,Tim Petrovic,95,17.43,38,218
94,95,95,Robert Gamez,94,17.36,42,242
95,96,96,Tag Ridings,103,17.31,49,283
96,97,97,Kenny Perry,73,17.26,34,197
97,98,98,Billy Andrade,78,17.24,25,145
98,T99,T99,Briny Baird,81,17.19,38,221
99,T99,T99,Bob Tway,81,17.19,33,192
100,101,101,Chad Campbell,91,17.17,40,233
101,102,102,D.J. Trahan,92,17.12,44,257
102,103,103,Shaun Micheel,96,17.06,36,211
103,104,104,Henrik Bjornstad,97,17.01,50,294
104,105,105,Bo Van Pelt,102,16.84,50,297
105,106,106,Bart Bryant,87,16.83,34,202
106,107,107,Patrick Sheehan,104,16.79,47,280
107,108,108,Mike Sposa,68,16.77,26,155
108,109,109,Bubba Watson,83,16.76,30,179
109,110,110,John Huston,74,16.75,32,191
110,T111,T111,Rod Pampling,89,16.67,31,186
111,T111,T111,Chris Smith,67,16.67,32,192
112,T111,T111,Ron Whittaker,81,16.67,38,228
113,114,114,Tommy Armour III,65,16.56,27,163
114,115,115,Kevin Sutherland,100,16.54,43,260
115,116,116,Bill Haas,99,16.49,46,279
116,117,117,Len Mattiace,59,16.45,25,152
117,118,118,David McKenzie,82,16.26,33,203
118,119,119,John Cook,67,16.25,26,160
119,T120,T120,Doug Barron,74,16.23,31,191
120,T120,T120,Duffy Waldorf,96,16.23,43,265
121,122,122,Corey Pavin,74,16.22,24,148
122,123,123,Alex Aragon,63,16.15,31,192
123,124,124,Jeff Sluman,101,16.13,40,248
124,125,125,Greg Chalmers,71,16.02,29,181
125,126,126,John Senden,96,15.98,39,244
126,127,127,Will MacKenzie,91,15.92,39,245
127,128,128,Vaughn Taylor,88,15.9,38,239
128,129,129,Michael Allen,84,15.88,37,233
129,T130,T130,Ryan Moore,68,15.85,26,164
130,T130,T130,Joey Sindelar,90,15.85,39,246
131,132,132,Justin Leonard,83,15.84,35,221
132,T133,T133,Paul Azinger,87,15.81,40,253
133,T133,T133,Paul Stankowski,70,15.81,34,215
134,135,135,Charles Warren,93,15.77,41,260
135,136,136,Brent Geiberger,99,15.67,42,268
136,137,137,Fred Couples,52,15.63,15,96
137,138,138,Daisuke Maruyama,83,15.6,34,218
138,139,139,Jon Mills,68,15.51,29,187
139,140,140,Scott Verplank,88,15.48,26,168
140,T141,T141,Arjun Atwal,97,15.38,40,260
141,T141,T141,"Wes Short, Jr.",96,15.38,40,260
142,143,143,Rich Beem,85,15.34,29,189
143,T144,T144,Ernie Els,69,15.33,21,137
144,T144,T144,J.L. Lewis,57,15.33,23,150
145,146,146,D.A. Points,82,15.32,34,222
146,147,147,Danny Ellis,68,15.31,32,209
147,148,148,Nicholas Thompson,96,15.22,35,230
148,T149,T149,Alex Cejka,93,15.2,38,250
149,T149,T149,Bob May,65,15.2,26,171
150,151,151,Aaron Baddeley,78,15.14,28,185
151,152,152,Sergio Garcia,59,15.09,16,106
152,153,153,Jesper Parnevik,84,15.07,33,219
153,154,154,Sean O'Hair,100,15.06,36,239
154,155,155,Tim Herron,82,14.94,26,174
155,156,156,Jeff Gove,91,14.92,37,248
156,157,157,Chris DiMarco,83,14.91,24,161
157,158,158,Ian Leggatt,80,14.89,35,235
158,159,159,Frank Lickliter II,99,14.84,38,256
159,T160,T160,K.J. Choi,93,14.75,32,217
160,T160,T160,Joe Ogilvie,95,14.75,32,217
161,T162,T162,Woody Austin,107,14.62,44,301
162,T162,T162,Michael Connell,51,14.62,19,130
163,T162,T162,David Duval,71,14.62,25,171
164,165,165,Greg Owen,79,14.46,24,166
165,166,166,Todd Hamilton,72,14.44,27,187
166,167,167,John Daly,51,14.4,18,125
167,168,168,Steve Elkington,52,14.38,21,146
168,T169,T169,James Driscoll,80,14.29,33,231
169,T169,T169,Omar Uresti,61,14.29,22,154
170,171,171,Ryuji Imada,105,14.23,36,253
171,172,172,Mark Brooks,90,14.22,31,218
172,173,173,Ryan Palmer,101,14.18,37,261
173,174,174,Jeff Overton,95,14.13,38,269
174,175,175,Chris Couch,75,14.12,24,170
175,176,176,Skip Kendall,72,14.11,23,163
176,177,177,Peter Lonard,77,14.07,28,199
177,178,178,Mathew Goggin,72,13.73,28,204
178,179,179,Jimmy Walker,60,13.46,21,156
179,180,180,Pat Perez,50,13.39,15,112
180,181,181,Scott Gutschewski,53,13.29,19,143
181,182,182,Jonathan Kaye,95,13.04,39,299
182,183,183,J.B. Holmes,81,12.92,23,178
183,184,184,Adam Scott,70,12.88,21,163
184,185,185,Thomas Levet,53,12.84,19,148
185,186,186,Geoff Ogilvy,76,12.82,20,156
186,187,187,Trevor Immelman,86,12.8,27,211
187,188,188,Charles Howell III,96,12.39,28,226
188,189,189,Padraig Harrington,54,12.3,15,122
189,190,190,Jason Schultz,77,12.24,24,196
190,191,191,Troy Matteson,101,12.09,33,273
191,192,192,Matt Hansen,68,11.52,22,191
192,193,193,Brian Bateman,69,11.41,21,184
193,194,194,Ryan Hietala,61,10.98,19,173
194,195,195,"John Engler, Jr.",69,10.65,23,216
195,196,196,Larry Mize,53,7.46,10,134
