,Top_10_Final_Round_Performance_RANK THIS WEEK,Top_10_Final_Round_Performance_RANK LAST WEEK,Top_10_Final_Round_Performance_PLAYER NAME,Top_10_Final_Round_Performance_EVENTS,Top_10_Final_Round_Performance_% TIMES IMPROVED,Top_10_Final_Round_Performance_# OF TIMES IMPROVED
0,T1,,Arjun Atwal,33,100.0,1.0
1,T1,,Craig Barlow,22,100.0,1.0
2,T1,,Brian Bateman,26,100.0,1.0
3,T1,,Jeff Brehaut,33,100.0,2.0
4,T1,,Fred Couples,17,100.0,2.0
5,T1,,Ben Crane,26,100.0,1.0
6,T1,,Marco Dawson,27,100.0,1.0
7,T1,,Joe Durant,28,100.0,7.0
8,T1,,Robert Garrigus,28,100.0,1.0
9,T1,,Dudley Hart,29,100.0,1.0
10,T1,,J.P. Hayes,19,100.0,2.0
11,T1,,John Huston,27,100.0,1.0
12,T1,,Lee Janzen,28,100.0,1.0
13,T1,,Tom Lehman,20,100.0,1.0
14,T1,,J.L. Lewis,17,100.0,1.0
15,T1,,Will MacKenzie,29,100.0,1.0
16,T1,,Bob May,21,100.0,1.0
17,T1,,Billy Mayfair,29,100.0,2.0
18,T1,,David McKenzie,28,100.0,1.0
19,T1,,José María Olazábal,18,100.0,1.0
20,T1,,Tag Ridings,33,100.0,1.0
21,T1,,Vaughn Taylor,26,100.0,4.0
22,T1,,D.J. Trahan,33,100.0,2.0
23,T1,,Kirk Triplett,18,100.0,1.0
24,T1,,Omar Uresti,22,100.0,1.0
25,T1,,Brett Wetterich,25,100.0,5.0
26,T1,,Tiger Woods,15,100.0,10.0
27,28,,Adam Scott,19,87.5,7.0
28,29,,Luke Donald,18,85.7,6.0
29,30,,Jim Furyk,24,84.6,11.0
30,T31,,Chad Campbell,25,80.0,4.0
31,T31,,Stewart Cink,26,80.0,4.0
32,T31,,J.J. Henry,28,80.0,4.0
33,T31,,David Toms,22,80.0,4.0
34,T35,,Stuart Appleby,23,75.0,3.0
35,T35,,Davis Love III,23,75.0,3.0
36,T35,,Steve Lowery,31,75.0,3.0
37,T35,,Ryan Moore,22,75.0,3.0
38,T35,,Scott Verplank,25,75.0,3.0
39,T40,,Eric Axley,29,66.7,2.0
40,T40,,John Cook,22,66.7,2.0
41,T40,,Ben Curtis,26,66.7,2.0
42,T40,,Bob Estes,25,66.7,2.0
43,T40,,Mathew Goggin,26,66.7,2.0
44,T40,,Retief Goosen,18,66.7,4.0
45,T40,,Jason Gore,29,66.7,2.0
46,T40,,Paul Goydos,24,66.7,2.0
47,T40,,Nathan Green,30,66.7,4.0
48,T40,,Padraig Harrington,15,66.7,2.0
49,T40,,Charles Howell III,30,66.7,2.0
50,T40,,Freddie Jacobson,18,66.7,2.0
51,T40,,Jerry Kelly,31,66.7,4.0
52,T40,,Sean O'Hair,30,66.7,2.0
53,T40,,Carl Pettersson,28,66.7,2.0
54,T40,,John Rollins,28,66.7,2.0
55,T40,,John Senden,28,66.7,2.0
56,T40,,Heath Slocum,30,66.7,2.0
57,T40,,Steve Stricker,17,66.7,2.0
58,T40,,Bubba Watson,27,66.7,2.0
59,T60,,Jonathan Byrd,20,60.0,3.0
60,T60,,Trevor Immelman,24,60.0,6.0
61,T60,,Frank Lickliter II,29,60.0,3.0
62,T60,,Tom Pernice Jr.,33,60.0,3.0
63,T60,,Justin Rose,28,60.0,3.0
64,T60,,Camilo Villegas,29,60.0,3.0
65,66,,Brett Quigley,33,57.1,4.0
66,67,,Phil Mickelson,19,55.6,5.0
67,68,,Lucas Glover,31,54.5,6.0
68,T69,,Briny Baird,25,50.0,2.0
69,T69,,Doug Barron,28,50.0,1.0
70,T69,,David Branshaw,29,50.0,1.0
71,T69,,Bart Bryant,26,50.0,1.0
72,T69,,K.J. Choi,26,50.0,2.0
73,T69,,Kris Cox,28,50.0,1.0
74,T69,,Chris DiMarco,26,50.0,1.0
75,T69,,Steve Flesch,33,50.0,2.0
76,T69,,Scott Gutschewski,19,50.0,1.0
77,T69,,Zach Johnson,27,50.0,2.0
78,T69,,Richard Johnson,29,50.0,2.0
79,T69,,Stephen Leaney,27,50.0,1.0
80,T69,,Jeff Maggert,26,50.0,1.0
81,T69,,Hunter Mahan,29,50.0,1.0
82,T69,,Arron Oberholser,23,50.0,1.0
83,T69,,Rod Pampling,24,50.0,2.0
84,T69,,Jesper Parnevik,24,50.0,1.0
85,T69,,Corey Pavin,23,50.0,1.0
86,T69,,Rory Sabbatini,24,50.0,3.0
87,T69,,Joey Sindelar,29,50.0,1.0
88,T69,,Jeff Sluman,29,50.0,1.0
