,First_Tee_Early_Scoring_Average_RANK THIS WEEK,First_Tee_Early_Scoring_Average_RANK LAST WEEK,First_Tee_Early_Scoring_Average_PLAYER NAME,First_Tee_Early_Scoring_Average_ROUNDS,First_Tee_Early_Scoring_Average_AVG,First_Tee_Early_Scoring_Average_TOTAL STROKES,First_Tee_Early_Scoring_Average_TOT. EARLY RDS.(1ST TEE)
0,1,1,Tiger Woods,55,68.25,273,4
1,2,2,Jim Furyk,89,69.0,1035,15
2,3,3,Jonathan Byrd,66,69.06,1243,18
3,4,4,Briny Baird,81,69.29,1178,17
4,5,5,Daniel Chopra,110,69.39,1596,23
5,6,6,Phil Mickelson,74,69.44,1250,18
6,7,7,Trevor Immelman,86,69.57,1461,21
7,8,8,Arron Oberholser,82,69.61,1601,23
8,9,9,Chris Smith,67,69.77,907,13
9,10,10,Joe Ogilvie,95,69.8,2443,35
10,11,11,Bo Van Pelt,102,69.9,2097,30
11,T12,T12,Charley Hoffman,100,69.92,1678,24
12,T12,T12,Justin Rose,98,69.92,1678,24
13,14,14,Jesper Parnevik,84,70.11,1963,28
14,15,15,Corey Pavin,74,70.17,1614,23
15,16,16,Steve Stricker,64,70.18,772,11
16,17,17,Richard Johnson,94,70.29,1687,24
17,T18,T18,Bubba Dickerson,98,70.34,2251,32
18,T18,T18,Brent Geiberger,99,70.34,2462,35
19,20,20,Hunter Mahan,98,70.35,2181,31
20,21,21,Adam Scott,70,70.38,1126,16
21,T22,T22,Stephen Ames,63,70.41,1549,22
22,T22,T22,Tom Pernice Jr.,108,70.41,1901,27
23,24,24,Marco Dawson,87,70.42,1831,26
24,25,25,Tim Clark,80,70.43,1620,23
25,26,26,Chris Couch,75,70.44,1268,18
26,27,27,Eric Axley,91,70.48,1762,25
27,T28,T28,Lucas Glover,105,70.56,2258,32
28,T28,T28,Daisuke Maruyama,83,70.56,1764,25
29,T30,T30,Jason Bohn,104,70.58,2823,40
30,T30,T30,John Cook,67,70.58,1694,24
31,T30,T30,Retief Goosen,68,70.58,847,12
32,33,33,Shigeki Maruyama,94,70.59,2259,32
33,34,34,Brett Wetterich,82,70.61,1624,23
34,35,35,Brett Quigley,109,70.62,1836,26
35,36,36,Bob Estes,85,70.64,1766,25
36,37,37,Davis Love III,85,70.67,1908,27
37,38,38,Ryuji Imada,105,70.69,2474,35
38,T39,T39,Rod Pampling,89,70.7,1909,27
39,T39,T39,Vijay Singh,103,70.7,1414,20
40,T41,T41,Stewart Cink,93,70.71,1980,28
41,T41,T41,David Toms,76,70.71,990,14
42,43,43,Pat Perez,50,70.72,1273,18
43,T44,T44,David Branshaw,98,70.74,2405,34
44,T44,T44,Kris Cox,83,70.74,1910,27
45,T44,T44,Omar Uresti,61,70.74,1627,23
46,T47,T47,Alex Cejka,93,70.75,1981,28
