,Birdie_to_Bogey_Ratio_RANK THIS WEEK,Birdie_to_Bogey_Ratio_RANK LAST WEEK,Birdie_to_Bogey_Ratio_PLAYER NAME,Birdie_to_Bogey_Ratio_ROUNDS,Birdie_to_Bogey_Ratio_BIRDIE TO BOGEY RATIO,Birdie_to_Bogey_Ratio_TOTAL BIRDIES AND BETTER,Birdie_to_Bogey_Ratio_TOTAL BOGEYS AND WORSE
0,1,1,Tiger Woods,55,2.23,254,114
1,2,2,Jim Furyk,89,1.95,360,185
2,3,3,Steve Stricker,64,1.81,248,137
3,4,4,Jonathan Byrd,66,1.68,286,170
4,5,5,Phil Mickelson,74,1.59,312,196
5,6,6,Luke Donald,66,1.56,241,154
6,7,7,Trevor Immelman,86,1.5,337,225
7,8,8,Vijay Singh,103,1.47,407,277
8,T9,T9,Brian Gay,107,1.45,395,273
9,T9,T9,Frank Lickliter II,99,1.45,372,256
10,T9,T9,Justin Rose,98,1.45,387,266
11,12,12,John Senden,96,1.43,341,239
12,13,13,Greg Owen,79,1.41,289,205
13,14,14,Scott Verplank,88,1.4,323,231
14,T15,T15,Daniel Chopra,110,1.38,448,325
15,T15,T15,Lucas Glover,105,1.38,414,301
16,T15,T15,Jesper Parnevik,84,1.38,314,227
17,T15,T15,Brett Quigley,109,1.38,387,280
18,T15,T15,Adam Scott,70,1.38,274,199
19,20,20,Ian Poulter,53,1.37,190,139
20,21,21,Briny Baird,81,1.36,297,219
21,T22,T22,Robert Allenby,79,1.35,302,223
22,T22,T22,Padraig Harrington,54,1.35,188,139
23,T22,T22,Arron Oberholser,82,1.35,298,221
24,T25,T25,Charley Hoffman,100,1.34,397,296
25,T25,T25,Mark Wilson,79,1.34,289,215
26,T27,T27,Stephen Ames,63,1.33,236,177
27,T27,T27,David Toms,76,1.33,272,205
28,T27,T27,Nick Watney,97,1.33,373,281
29,T27,T27,Brett Wetterich,82,1.33,340,256
30,T31,T31,Steve Elkington,52,1.32,169,128
31,T31,T31,Jeff Gove,91,1.32,304,230
32,T31,T31,Stephen Leaney,84,1.32,292,222
33,T31,T31,Bubba Watson,83,1.32,303,230
34,35,35,David Branshaw,98,1.31,346,264
35,T36,T36,Stewart Cink,93,1.3,329,254
36,T36,T36,Joe Durant,101,1.3,375,288
37,T36,T36,Jerry Kelly,100,1.3,368,282
38,T36,T36,Joe Ogilvie,95,1.3,346,266
39,T36,T36,Kevin Sutherland,100,1.3,336,259
40,T41,T41,Harrison Frazar,95,1.29,365,283
41,T41,T41,Davis Love III,85,1.29,303,235
42,T41,T41,Hunter Mahan,98,1.29,386,299
43,T41,T41,Mike Weir,88,1.29,325,251
44,T45,T45,Stuart Appleby,83,1.28,300,234
45,T45,T45,Eric Axley,91,1.28,341,267
46,T45,T45,K.J. Choi,93,1.28,325,254
47,T45,T45,Ernie Els,69,1.28,241,189
48,T45,T45,Steve Flesch,119,1.28,411,322
49,T45,T45,Bob May,65,1.28,230,179
50,T45,T45,Bo Van Pelt,102,1.28,401,313
51,T52,T52,Tim Clark,80,1.27,301,237
52,T52,T52,Bob Estes,85,1.27,302,237
53,T52,T52,Charles Warren,93,1.27,328,258
54,T55,T55,Jason Bohn,104,1.26,373,297
55,T55,T55,Richard Johnson,94,1.26,328,260
56,T55,T55,Shigeki Maruyama,94,1.26,339,269
57,T58,T58,Ryan Palmer,101,1.25,380,304
58,T58,T58,Dean Wilson,115,1.25,402,321
59,T60,T60,Michael Allen,84,1.24,320,258
60,T60,T60,Marco Dawson,87,1.24,330,266
61,T60,T60,Retief Goosen,68,1.24,224,180
62,T60,T60,Shaun Micheel,96,1.24,333,268
63,T60,T60,Vaughn Taylor,88,1.24,364,293
64,65,65,Heath Slocum,96,1.23,336,274
65,T66,T66,Chris DiMarco,83,1.22,281,231
66,T66,T66,Ryuji Imada,105,1.22,357,292
67,T66,T66,Skip Kendall,72,1.22,247,203
68,T66,T66,Rory Sabbatini,84,1.22,308,253
69,T70,T70,Alex Cejka,93,1.21,343,284
70,T70,T70,Nathan Green,108,1.21,386,319
71,T70,T70,Bill Haas,99,1.21,345,284
72,T70,T70,Ryan Moore,68,1.21,239,197
73,T70,T70,Tom Pernice Jr.,108,1.21,394,325
74,T70,T70,Jeff Sluman,101,1.21,364,302
75,T70,T70,Omar Uresti,61,1.21,198,163
76,T77,T77,Paul Azinger,87,1.2,294,244
77,T77,T77,Craig Barlow,77,1.2,284,236
78,T77,T77,Chad Campbell,91,1.2,312,259
79,T77,T77,J.P. Hayes,55,1.2,220,183
80,T77,T77,J.J. Henry,96,1.2,338,281
81,T77,T77,Daisuke Maruyama,83,1.2,290,241
82,T77,T77,Billy Mayfair,94,1.2,321,268
83,T77,T77,Jerry Smith,94,1.2,330,276
84,T77,T77,Duffy Waldorf,96,1.2,324,270
85,T86,T86,Brent Geiberger,99,1.19,333,279
86,T86,T86,Mathias Grönberg,92,1.19,331,277
87,T86,T86,Bernhard Langer,77,1.19,254,214
88,T86,T86,Steve Lowery,99,1.19,345,291
89,T86,T86,Geoff Ogilvy,76,1.19,260,219
90,T86,T86,Rod Pampling,89,1.19,312,263
91,T86,T86,John Rollins,93,1.19,352,296
92,T93,T93,Ben Crane,85,1.18,308,261
93,T93,T93,Brian Davis,92,1.18,324,274
94,T93,T93,José María Olazábal,62,1.18,206,174
95,T96,T96,Jeff Brehaut,100,1.17,352,302
96,T96,T96,Sergio Garcia,59,1.17,216,185
97,T96,T96,Freddie Jacobson,56,1.17,203,174
98,T96,T96,Zach Johnson,98,1.17,298,254
99,T96,T96,David McKenzie,82,1.17,284,243
100,T96,T96,Jeff Overton,95,1.17,330,282
101,T102,T102,Kris Cox,83,1.16,294,253
102,T102,T102,Fred Funk,106,1.16,355,305
103,T102,T102,Camilo Villegas,95,1.16,351,302
104,T105,T105,Billy Andrade,78,1.15,255,221
105,T105,T105,Shane Bertsch,104,1.15,378,328
106,T105,T105,Will MacKenzie,91,1.15,327,285
107,T105,T105,Troy Matteson,101,1.15,358,312
108,T105,T105,Chris Riley,86,1.15,295,256
109,T110,T110,Robert Garrigus,85,1.14,327,287
110,T110,T110,Paul Goydos,72,1.14,243,213
111,T110,T110,Brandt Jobe,91,1.14,310,273
112,T113,T113,Woody Austin,107,1.13,392,346
113,T113,T113,Bubba Dickerson,98,1.13,364,322
114,T113,T113,Dudley Hart,83,1.13,298,264
115,T113,T113,Kent Jones,103,1.13,364,322
116,T113,T113,Ted Purdy,103,1.13,373,329
117,T113,T113,Kirk Triplett,58,1.13,205,182
118,T119,T119,Arjun Atwal,97,1.12,342,305
119,T119,T119,John Cook,67,1.12,223,200
120,T119,T119,Scott Gutschewski,53,1.12,186,166
121,T119,T119,Jonathan Kaye,95,1.12,310,277
122,123,123,Rich Beem,85,1.11,304,273
123,T124,T124,Todd Fischer,101,1.1,350,318
124,T124,T124,Pat Perez,50,1.1,190,172
125,T126,T126,Bart Bryant,87,1.09,277,253
126,T126,T126,Danny Ellis,68,1.09,220,202
127,T126,T126,David Howell,52,1.09,173,158
128,T126,T126,John Huston,74,1.09,263,242
129,T126,T126,Sean O'Hair,100,1.09,355,327
130,T126,T126,Corey Pavin,74,1.09,206,189
131,T126,T126,Chris Smith,67,1.09,236,216
132,T126,T126,D.J. Trahan,92,1.09,323,296
133,T134,T134,Tommy Armour III,65,1.08,235,217
134,T134,T134,Aaron Baddeley,78,1.08,269,249
135,T134,T134,Kenny Perry,73,1.08,247,228
136,T134,T134,Carl Pettersson,95,1.08,332,306
137,T134,T134,Patrick Sheehan,104,1.08,332,307
138,T134,T134,Paul Stankowski,70,1.08,233,216
139,T134,T134,Tjaart van der Walt,60,1.08,175,162
140,T141,T141,Olin Browne,108,1.07,374,350
141,T141,T141,Mathew Goggin,72,1.07,243,227
142,T141,T141,D.A. Points,82,1.07,288,270
143,T141,T141,Joey Sindelar,90,1.07,309,288
144,T145,T145,Chris Couch,75,1.06,286,269
145,T145,T145,J.B. Holmes,81,1.06,300,283
146,147,147,Justin Leonard,83,1.05,255,244
147,T148,T148,Ben Curtis,86,1.03,276,268
148,T148,T148,Robert Damron,91,1.03,310,300
149,T148,T148,Robert Gamez,94,1.03,319,311
150,T148,T148,Charles Howell III,96,1.03,308,298
151,T152,T152,Henrik Bjornstad,97,1.02,312,306
152,T152,T152,Greg Kraft,79,1.02,245,240
