,Early_Round_2_Scoring_Average_RANK THIS WEEK,Early_Round_2_Scoring_Average_RANK LAST WEEK,Early_Round_2_Scoring_Average_PLAYER NAME,Early_Round_2_Scoring_Average_AVG,Early_Round_2_Scoring_Average_TOTAL STROKES,Early_Round_2_Scoring_Average_TOTAL ROUNDS
0,1,1,Luke Donald,67.83,407,6
1,2,2,Tiger Woods,68.0,544,8
2,3,3,Trevor Immelman,68.46,890,13
3,4,4,José María Olazábal,68.57,480,7
4,5,5,David Branshaw,68.79,963,14
5,6,6,Charley Hoffman,68.86,964,14
6,7,7,Briny Baird,69.0,828,12
7,T8,T8,Jim Furyk,69.1,691,10
8,T8,T8,Steve Stricker,69.1,691,10
9,10,10,Zach Johnson,69.2,692,10
10,11,11,Daniel Chopra,69.28,1247,18
11,12,12,Phil Mickelson,69.29,485,7
12,T13,T13,Jason Bohn,69.36,971,14
13,T13,T13,John Senden,69.36,763,11
14,15,15,Bo Van Pelt,69.41,1180,17
15,16,16,Rod Pampling,69.44,625,9
16,17,17,Justin Rose,69.47,1042,15
17,18,18,Michael Allen,69.5,834,12
18,19,19,Ryan Moore,69.56,626,9
19,20,20,Joe Durant,69.62,905,13
20,T21,T21,Robert Allenby,69.67,627,9
21,T21,T21,Woody Austin,69.67,1045,15
22,T21,T21,Brian Gay,69.67,1463,21
23,24,24,Kevin Sutherland,69.69,906,13
24,25,25,Tom Lehman,69.7,697,10
25,26,26,Adam Scott,69.71,488,7
26,27,27,J.J. Henry,69.77,907,13
27,28,28,Vijay Singh,69.78,628,9
28,29,29,Mathias Grönberg,69.79,977,14
29,30,30,Arron Oberholser,69.83,419,6
30,31,31,Brent Geiberger,69.85,908,13
31,32,32,Ernie Els,69.91,769,11
32,33,33,Marco Dawson,69.94,1119,16
33,T34,T34,Olin Browne,70.0,840,12
34,T34,T34,Jonathan Byrd,70.0,700,10
35,T34,T34,Jeff Sluman,70.0,910,13
36,T34,T34,Mike Weir,70.0,700,10
37,T34,T34,Mark Wilson,70.0,840,12
38,39,39,Brett Quigley,70.06,1261,18
39,40,40,Davis Love III,70.09,771,11
40,41,41,John Cook,70.11,631,9
41,42,42,Hunter Mahan,70.12,1192,17
42,T43,T43,Nathan Green,70.13,1122,16
43,T43,T43,Troy Matteson,70.13,1122,16
44,45,45,Bob Estes,70.17,842,12
45,46,46,Omar Uresti,70.18,772,11
46,47,47,Daisuke Maruyama,70.23,913,13
47,T48,T48,Stephen Ames,70.25,562,8
48,T48,T48,Ryuji Imada,70.25,1124,16
49,50,50,Greg Owen,70.27,773,11
50,51,51,Dudley Hart,70.29,984,14
51,52,52,J.B. Holmes,70.3,703,10
52,T53,T53,Brandt Jobe,70.31,914,13
53,T53,T53,Shaun Micheel,70.31,914,13
54,55,55,Ben Crane,70.33,844,12
55,56,56,Brett Wetterich,70.36,774,11
56,57,57,Harrison Frazar,70.42,845,12
57,58,58,Justin Leonard,70.45,775,11
58,59,59,Corey Pavin,70.46,916,13
59,T60,T60,Mathew Goggin,70.5,987,14
60,T60,T60,Retief Goosen,70.5,564,8
61,T60,T60,Shigeki Maruyama,70.5,846,12
62,T60,T60,Tom Pernice Jr.,70.5,1410,20
63,64,64,Rory Sabbatini,70.55,776,11
64,65,65,Robert Garrigus,70.56,1270,18
65,66,66,Paul Stankowski,70.6,706,10
66,67,67,John Rollins,70.64,777,11
67,68,68,Patrick Sheehan,70.65,1201,17
68,T69,T69,Mark Calcavecchia,70.67,848,12
69,T69,T69,Padraig Harrington,70.67,424,6
70,71,71,Ron Whittaker,70.69,919,13
71,72,72,Tim Clark,70.7,707,10
72,T73,T73,Jeff Maggert,70.73,1061,15
73,T73,T73,Jesper Parnevik,70.73,778,11
74,75,75,Jerry Smith,70.77,920,13
75,76,76,Frank Lickliter II,70.79,991,14
76,T77,T77,Craig Barlow,70.8,708,10
77,T77,T77,Bob May,70.8,708,10
78,79,79,Eric Axley,70.81,1133,16
79,T80,T80,Aaron Baddeley,70.82,779,11
80,T80,T80,Jimmy Walker,70.82,779,11
81,T80,T80,Nick Watney,70.82,779,11
82,83,83,Joe Ogilvie,70.83,850,12
83,T84,T84,Alex Cejka,70.85,921,13
84,T84,T84,Steve Lowery,70.85,921,13
85,86,86,Kent Jones,70.88,1205,17
86,T87,T87,Todd Fischer,70.9,1418,20
87,T87,T87,Lucas Glover,70.9,709,10
88,89,89,Tjaart van der Walt,70.91,780,11
89,T90,T90,Kris Cox,70.92,922,13
90,T90,T90,Vaughn Taylor,70.92,851,12
91,92,92,Chad Campbell,70.93,993,14
92,93,93,D.A. Points,70.94,1135,16
93,T94,T94,Robert Damron,71.0,994,14
94,T94,T94,Steve Flesch,71.0,1065,15
95,T94,T94,Charles Howell III,71.0,994,14
