,Early_Par_4_Scoring_Average_RANK THIS WEEK,Early_Par_4_Scoring_Average_RANK LAST WEEK,Early_Par_4_Scoring_Average_PLAYER NAME,Early_Par_4_Scoring_Average_ROUNDS,Early_Par_4_Scoring_Average_AVG,Early_Par_4_Scoring_Average_TOTAL STROKES,Early_Par_4_Scoring_Average_TOTAL HOLES
0,1,1,Tiger Woods,55,3.86,610,158
1,2,2,Jim Furyk,89,3.92,1156,295
2,T3,T3,Jonathan Byrd,66,3.94,1287,327
3,T3,T3,Daniel Chopra,110,3.94,1811,460
4,T5,T5,Briny Baird,81,3.95,1323,335
5,T5,T5,Steve Stricker,64,3.95,1114,282
6,T7,T7,Phil Mickelson,74,3.97,1243,313
7,T7,T7,Justin Rose,98,3.97,1769,446
8,T9,T9,Brian Gay,107,3.99,2223,557
9,T9,T9,Adam Scott,70,3.99,1157,290
10,T9,T9,John Senden,96,3.99,2068,518
11,T9,T9,Vijay Singh,103,3.99,1773,444
12,T9,T9,Brett Wetterich,82,3.99,1569,393
13,T14,T14,Robert Allenby,79,4.0,1533,383
14,T14,T14,David Branshaw,98,4.0,2162,541
15,T14,T14,Steve Flesch,119,4.0,2767,691
16,T14,T14,Ryuji Imada,105,4.0,2314,578
17,T14,T14,David McKenzie,82,4.0,1722,430
18,T14,T14,Jesper Parnevik,84,4.0,1826,457
19,T14,T14,Chris Riley,86,4.0,1642,411
20,T14,T14,Bob Tway,81,4.0,1731,433
21,T22,T22,Jason Bohn,104,4.01,2342,584
22,T22,T22,Freddie Jacobson,56,4.01,1114,278
23,T22,T22,Greg Kraft,79,4.01,1714,427
24,T22,T22,Joe Ogilvie,95,4.01,1940,484
25,T22,T22,Greg Owen,79,4.01,1534,383
26,T22,T22,Jeff Sluman,101,4.01,2174,542
27,T22,T22,Omar Uresti,61,4.01,1360,339
28,T29,T29,Arjun Atwal,97,4.02,1863,463
29,T29,T29,K.J. Choi,93,4.02,2175,541
30,T29,T29,Kris Cox,83,4.02,1789,445
31,T29,T29,Luke Donald,66,4.02,1142,284
32,T29,T29,Steve Elkington,52,4.02,1070,266
33,T29,T29,Harrison Frazar,95,4.02,1911,475
34,T29,T29,Lucas Glover,105,4.02,1901,473
35,T29,T29,Charley Hoffman,100,4.02,1773,441
36,T29,T29,Trevor Immelman,86,4.02,1527,380
37,T29,T29,Will MacKenzie,91,4.02,1769,440
38,T29,T29,Hunter Mahan,98,4.02,2135,531
39,T29,T29,Arron Oberholser,82,4.02,1599,398
40,T29,T29,Tjaart van der Walt,60,4.02,1376,342
41,T29,T29,Bo Van Pelt,102,4.02,2008,500
42,T29,T29,Charles Warren,93,4.02,1956,486
43,T29,T29,Mark Wilson,79,4.02,1819,453
44,T45,T45,Eric Axley,91,4.03,1993,495
45,T45,T45,Olin Browne,108,4.03,2581,641
46,T45,T45,Stewart Cink,93,4.03,1776,441
47,T45,T45,Chris DiMarco,83,4.03,1734,430
48,T45,T45,Bob Estes,85,4.03,1897,471
49,T45,T45,Brent Geiberger,99,4.03,2271,564
50,T45,T45,Retief Goosen,68,4.03,1007,250
51,T45,T45,Nathan Green,108,4.03,2246,557
52,T45,T45,Matt Hansen,68,4.03,1557,386
53,T45,T45,Shigeki Maruyama,94,4.03,2114,525
54,T45,T45,Shaun Micheel,96,4.03,1824,453
55,T45,T45,Jeff Overton,95,4.03,2469,612
56,T45,T45,Rod Pampling,89,4.03,1833,455
57,T45,T45,Carl Pettersson,95,4.03,2098,520
58,T45,T45,Brett Quigley,109,4.03,1865,463
59,T45,T45,Patrick Sheehan,104,4.03,2247,557
60,T45,T45,Kevin Sutherland,100,4.03,2073,514
61,T45,T45,David Toms,76,4.03,1173,291
62,T45,T45,Bubba Watson,83,4.03,1738,431
63,T45,T45,Mike Weir,88,4.03,1610,400
64,T65,T65,Paul Azinger,87,4.04,2011,498
65,T65,T65,John Cook,67,4.04,1574,390
66,T65,T65,Brian Davis,92,4.04,2251,557
67,T65,T65,Marco Dawson,87,4.04,2122,525
68,T65,T65,Bubba Dickerson,98,4.04,2313,573
69,T65,T65,Jeff Gove,91,4.04,1779,440
70,T65,T65,Brandt Jobe,91,4.04,2070,512
71,T65,T65,Zach Johnson,98,4.04,1766,437
72,T65,T65,Kent Jones,103,4.04,2389,592
73,T65,T65,Jonathan Kaye,95,4.04,2116,524
74,T65,T65,Skip Kendall,72,4.04,1566,388
75,T65,T65,Frank Lickliter II,99,4.04,1982,491
