,Birdie_or_Better_Percentage_RANK THIS WEEK,Birdie_or_Better_Percentage_RANK LAST WEEK,Birdie_or_Better_Percentage_PLAYER NAME,Birdie_or_Better_Percentage_ROUNDS,Birdie_or_Better_Percentage_%,Birdie_or_Better_Percentage_TOTAL BIRDIES,Birdie_or_Better_Percentage_TOTAL HOLES,Birdie_or_Better_Percentage_GIR RANK
0,1,1,Tiger Woods,55,27.14,254,936,1
1,2,2,Phil Mickelson,74,25.12,312,1242,21
2,3,3,Jonathan Byrd,66,24.07,286,1188,8
3,4,4,Daniel Chopra,110,23.26,448,1926,148
4,5,5,Brett Wetterich,82,23.04,340,1476,33
5,6,6,Vaughn Taylor,88,22.98,364,1584,134
6,7,7,Lucas Glover,105,22.77,414,1818,40
7,8,8,Jim Furyk,89,22.73,360,1584,4
8,9,9,Justin Rose,98,22.63,387,1710,29
9,10,10,Vijay Singh,103,22.61,407,1800,31
10,11,11,Charley Hoffman,100,22.51,397,1764,53
11,12,12,Adam Scott,70,22.39,274,1224,12
12,13,13,Harrison Frazar,95,22.28,365,1638,135
13,T14,T14,J.P. Hayes,55,22.22,220,990,127
14,T14,T14,Steve Stricker,64,22.22,248,1116,24
15,16,16,Davis Love III,85,22.15,303,1368,54
16,17,17,David Toms,76,21.9,272,1242,71
17,18,18,Robert Garrigus,85,21.89,327,1494,119
18,19,19,Hunter Mahan,98,21.88,386,1764,39
19,20,20,Bo Van Pelt,102,21.84,401,1836,60
20,21,21,Sergio Garcia,59,21.82,216,990,37
21,22,22,Nick Watney,97,21.81,373,1710,96
22,23,23,Robert Allenby,79,21.79,302,1386,29
23,24,24,Trevor Immelman,86,21.77,337,1548,14
24,25,25,J.B. Holmes,81,21.65,300,1386,101
25,26,26,Craig Barlow,77,21.61,284,1314,87
26,27,27,John Rollins,93,21.49,352,1638,73
27,28,28,Briny Baird,81,21.43,297,1386,5
28,29,29,Ben Crane,85,21.39,308,1440,178
29,30,30,Stuart Appleby,83,21.37,300,1404,147
30,31,31,David Howell,52,21.36,173,810,152
31,32,32,Ryan Palmer,101,21.32,380,1782,129
32,T33,T33,Frank Lickliter II,99,21.31,372,1746,26
33,T33,T33,Bubba Watson,83,21.31,303,1422,50
34,35,35,Eric Axley,91,21.29,341,1602,88
35,36,36,Luke Donald,66,21.25,241,1134,74
36,37,37,Mike Weir,88,21.24,325,1530,59
37,38,38,Chris Couch,75,21.19,286,1350,72
38,39,39,Tim Clark,80,21.17,301,1422,80
39,40,40,Michael Allen,84,21.16,320,1512,166
40,41,41,Stephen Ames,63,21.15,236,1116,58
41,42,42,Mark Wilson,79,21.13,289,1368,26
42,43,43,Joe Ogilvie,95,21.12,346,1638,111
43,44,44,Pat Perez,50,21.11,190,900,118
44,45,45,Marco Dawson,87,21.07,330,1566,113
45,46,46,Bubba Dickerson,98,21.06,364,1728,90
46,47,47,Tom Pernice Jr.,108,21.05,394,1872,120
47,48,48,Camilo Villegas,95,20.97,351,1674,102
48,49,49,Arron Oberholser,82,20.96,298,1422,11
49,50,50,Alex Cejka,93,20.94,343,1638,35
50,51,51,Ernie Els,69,20.92,241,1152,143
