,Total_Eagles_RANK THIS WEEK,Total_Eagles_RANK LAST WEEK,Total_Eagles_PLAYER NAME,Total_Eagles_ROUNDS,Total_Eagles_TOTAL
0,1,1,J.B. Holmes,81,19.0
1,T2,T2,John Rollins,93,16.0
2,T2,T2,Charles Warren,93,16.0
3,T4,T4,Robert Allenby,79,14.0
4,T4,T4,Ted Purdy,103,14.0
5,T6,T6,Arjun Atwal,97,13.0
6,T6,T6,Daniel Chopra,110,13.0
7,T6,T6,Kris Cox,83,13.0
8,T6,T6,Steve Flesch,119,13.0
9,T6,T6,Jason Gore,86,13.0
10,T6,T6,Charley Hoffman,100,13.0
11,T6,T6,Vijay Singh,103,13.0
12,T6,T6,Kevin Sutherland,100,13.0
13,T14,T14,Craig Barlow,77,12.0
14,T14,T14,David Branshaw,98,12.0
15,T14,T14,Lucas Glover,105,12.0
16,T14,T14,Kent Jones,103,12.0
17,T14,T14,Will MacKenzie,91,12.0
18,T14,T14,Troy Matteson,101,12.0
19,T14,T14,Adam Scott,70,12.0
20,T14,T14,John Senden,96,12.0
21,T14,T14,Tiger Woods,55,12.0
22,T23,T23,Harrison Frazar,95,11.0
23,T23,T23,Billy Mayfair,94,11.0
24,T23,T23,Sean O'Hair,100,11.0
25,T23,T23,Jesper Parnevik,84,11.0
26,T23,T23,Tom Pernice Jr.,108,11.0
27,T23,T23,D.J. Trahan,92,11.0
28,T23,T23,Camilo Villegas,95,11.0
29,T23,T23,Bubba Watson,83,11.0
30,T31,T31,Eric Axley,91,10.0
31,T31,T31,Jason Bohn,104,10.0
32,T31,T31,Bill Haas,99,10.0
33,T31,T31,Tim Herron,82,10.0
34,T31,T31,John Huston,74,10.0
35,T31,T31,Ryuji Imada,105,10.0
36,T31,T31,Brandt Jobe,91,10.0
37,T31,T31,Jerry Kelly,100,10.0
38,T31,T31,Steve Lowery,99,10.0
39,T31,T31,Daisuke Maruyama,83,10.0
40,T31,T31,Phil Mickelson,74,10.0
41,T31,T31,Carl Pettersson,95,10.0
42,T31,T31,Patrick Sheehan,104,10.0
43,T31,T31,Bo Van Pelt,102,10.0
44,T45,T45,Stephen Ames,63,9.0
45,T45,T45,Henrik Bjornstad,97,9.0
