,Birdie_Average_RANK THIS WEEK,Birdie_Average_RANK LAST WEEK,Birdie_Average_PLAYER NAME,Birdie_Average_ROUNDS,Birdie_Average_AVG,Birdie_Average_# OF BIRDIES,Birdie_Average_TOTAL ROUNDS
0,1,1,Tiger Woods,55,4.65,242,52
1,2,2,Phil Mickelson,74,4.38,302,69
2,3,3,Jonathan Byrd,66,4.24,280,66
3,4,4,Daniel Chopra,110,4.07,435,107
4,5,5,Jim Furyk,89,4.05,356,88
5,T6,T6,Justin Rose,98,4.04,384,95
6,T6,T6,Brett Wetterich,82,4.04,331,82
7,8,8,Vaughn Taylor,88,4.03,355,88
8,9,9,Lucas Glover,105,3.98,402,101
9,10,10,J.P. Hayes,55,3.96,218,55
10,11,11,Vijay Singh,103,3.94,394,100
11,T12,T12,Charley Hoffman,100,3.92,384,98
12,T12,T12,Steve Stricker,64,3.92,243,62
13,14,14,Harrison Frazar,95,3.89,354,91
14,15,15,Hunter Mahan,98,3.88,380,98
15,16,16,Davis Love III,85,3.87,294,76
16,17,17,David Toms,76,3.86,266,69
17,18,18,Adam Scott,70,3.85,262,68
18,19,19,Nick Watney,97,3.84,365,95
19,T20,T20,Robert Garrigus,85,3.83,318,83
20,T20,T20,Trevor Immelman,86,3.83,329,86
21,T20,T20,Bo Van Pelt,102,3.83,391,102
22,T23,T23,Sergio Garcia,59,3.82,210,55
23,T23,T23,David Howell,52,3.82,172,45
24,T25,T25,Briny Baird,81,3.77,290,77
25,T25,T25,Ryan Palmer,101,3.77,373,99
26,T27,T27,Tim Clark,80,3.76,297,79
27,T27,T27,Chris Couch,75,3.76,282,75
28,T27,T27,Ben Crane,85,3.76,301,80
29,T27,T27,Frank Lickliter II,99,3.76,365,97
30,T31,T31,Robert Allenby,79,3.74,288,77
31,T31,T31,Stuart Appleby,83,3.74,292,78
32,T31,T31,Marco Dawson,87,3.74,325,87
33,T31,T31,Mike Weir,88,3.74,318,85
34,T31,T31,Mark Wilson,79,3.74,284,76
35,T36,T36,Michael Allen,84,3.73,313,84
36,T36,T36,Craig Barlow,77,3.73,272,73
37,T36,T36,Luke Donald,66,3.73,235,63
38,T36,T36,Joe Ogilvie,95,3.73,339,91
39,T40,T40,Eric Axley,91,3.72,331,89
40,T40,T40,Padraig Harrington,54,3.72,186,50
41,T42,T42,Alex Cejka,93,3.71,338,91
42,T42,T42,Bubba Dickerson,98,3.71,356,96
43,T44,T44,Pat Perez,50,3.7,185,50
44,T44,T44,Scott Verplank,88,3.7,318,86
45,T44,T44,Bubba Watson,83,3.7,292,79
46,T47,T47,Greg Owen,79,3.69,284,77
47,T47,T47,John Rollins,93,3.69,336,91
48,49,49,Tom Pernice Jr.,108,3.68,383,104
49,50,50,Arron Oberholser,82,3.67,290,79
50,T51,T51,Stephen Ames,63,3.66,227,62
51,T51,T51,Stewart Cink,93,3.66,322,88
52,T51,T51,Ernie Els,69,3.66,234,64
53,T51,T51,Bob May,65,3.66,227,62
54,T51,T51,Camilo Villegas,95,3.66,340,93
55,T56,T56,Nathan Green,108,3.65,380,104
56,T56,T56,J.B. Holmes,81,3.65,281,77
57,T58,T58,Shane Bertsch,104,3.64,371,102
58,T58,T58,Brian Gay,107,3.64,389,107
59,T58,T58,Mathias Grönberg,92,3.64,324,89
60,T58,T58,Rod Pampling,89,3.64,306,84
61,T62,T62,Shigeki Maruyama,94,3.63,334,92
62,T62,T62,Ian Poulter,53,3.63,189,52
63,T64,T64,Joe Durant,101,3.62,366,101
64,T64,T64,Retief Goosen,68,3.62,217,60
65,T64,T64,Ryan Moore,68,3.62,235,65
66,T64,T64,Brett Quigley,109,3.62,380,105
67,T68,T68,Jesper Parnevik,84,3.61,303,84
68,T68,T68,Rory Sabbatini,84,3.61,300,83
69,T70,T70,Woody Austin,107,3.6,385,107
70,T70,T70,Jeff Brehaut,100,3.6,346,96
71,T70,T70,Mark Calcavecchia,94,3.6,335,93
72,T70,T70,Tag Ridings,103,3.6,360,100
73,T70,T70,"Wes Short, Jr.",96,3.6,338,94
74,T75,T75,Rich Beem,85,3.59,298,83
75,T75,T75,Geoff Ogilvy,76,3.59,251,70
76,T75,T75,Kirk Triplett,58,3.59,201,56
77,T78,T78,Jerry Kelly,100,3.58,358,100
78,T78,T78,Will MacKenzie,91,3.58,315,88
79,T80,T80,Tommy Armour III,65,3.57,232,65
80,T80,T80,Jeff Sluman,101,3.57,361,101
81,T82,T82,Chris DiMarco,83,3.55,277,78
82,T82,T82,Freddie Jacobson,56,3.55,199,56
83,T82,T82,Ted Purdy,103,3.55,359,101
84,T82,T82,Heath Slocum,96,3.55,330,93
85,T82,T82,Dean Wilson,115,3.55,394,111
86,T87,T87,J.J. Henry,96,3.54,329,93
87,T87,T87,Daisuke Maruyama,83,3.54,280,79
88,T87,T87,Chris Riley,86,3.54,290,82
89,T87,T87,John Senden,96,3.54,329,93
90,T87,T87,Jerry Smith,94,3.54,326,92
91,T92,T92,Olin Browne,108,3.53,367,104
92,T92,T92,Lee Janzen,79,3.53,279,79
93,T92,T92,D.A. Points,82,3.53,282,80
94,95,95,Brian Davis,92,3.52,317,90
95,T96,T96,Dudley Hart,83,3.51,291,83
96,T96,T96,John Huston,74,3.51,253,72
97,T96,T96,Sean O'Hair,100,3.51,344,98
98,T99,T99,Jason Bohn,104,3.49,363,104
99,T99,T99,John Daly,51,3.49,171,49
100,T99,T99,Todd Fischer,101,3.49,346,99
101,T99,T99,Scott Gutschewski,53,3.49,178,51
102,T99,T99,Bill Haas,99,3.49,335,96
103,T99,T99,Kent Jones,103,3.49,352,101
104,T99,T99,Shaun Micheel,96,3.49,325,93
105,T106,T106,Chad Campbell,91,3.48,303,87
106,T106,T106,Jeff Overton,95,3.48,324,93
107,T106,T106,Duffy Waldorf,96,3.48,320,92
108,T109,T109,K.J. Choi,93,3.47,319,92
109,T109,T109,Kris Cox,83,3.47,281,81
110,T109,T109,Bob Estes,85,3.47,295,85
111,T109,T109,Jeff Gove,91,3.47,302,87
112,T109,T109,D.J. Trahan,92,3.47,312,90
113,T109,T109,Charles Warren,93,3.47,312,90
114,T115,T115,Arjun Atwal,97,3.46,329,95
115,T115,T115,Steve Flesch,119,3.46,398,115
116,T115,T115,David McKenzie,82,3.46,277,80
117,T115,T115,Carl Pettersson,95,3.46,322,93
118,T119,T119,Richard Johnson,94,3.45,324,94
119,T119,T119,Stephen Leaney,84,3.45,290,84
120,T119,T119,Steve Lowery,99,3.45,335,97
121,T122,T122,Aaron Baddeley,78,3.43,261,76
122,T122,T122,Bernhard Langer,77,3.43,247,72
123,T122,T122,Troy Matteson,101,3.43,346,101
124,125,125,Chris Smith,67,3.42,229,67
125,T126,T126,David Branshaw,98,3.41,334,98
126,T126,T126,David Duval,71,3.41,235,69
127,T126,T126,Danny Ellis,68,3.41,218,64
128,T126,T126,Brandt Jobe,91,3.41,300,88
129,T126,T126,José María Olazábal,62,3.41,198,58
130,131,131,Ryuji Imada,105,3.4,347,102
131,T132,T132,Mathew Goggin,72,3.39,237,70
132,T132,T132,Skip Kendall,72,3.39,244,72
133,T132,T132,Vance Veazey,59,3.39,200,59
134,135,135,Brent Geiberger,99,3.38,328,97
135,T136,T136,Billy Andrade,78,3.36,249,74
136,T136,T136,Carlos Franco,86,3.36,289,86
137,T136,T136,Matt Hansen,68,3.36,222,66
138,T136,T136,Jeff Maggert,81,3.36,272,81
139,T136,T136,Kenny Perry,73,3.36,242,72
140,T136,T136,Joey Sindelar,90,3.36,302,90
141,T136,T136,Kevin Sutherland,100,3.36,323,96
142,T143,T143,Robert Gamez,94,3.35,315,94
143,T143,T143,Jason Gore,86,3.35,281,84
144,T143,T143,Paul Goydos,72,3.35,241,72
145,146,146,Robert Damron,91,3.34,304,91
146,T147,T147,Fred Funk,106,3.32,349,105
147,T147,T147,Jonathan Kaye,95,3.32,305,92
148,T149,T149,Omar Uresti,61,3.31,195,59
149,T149,T149,Jimmy Walker,60,3.31,192,58
150,T151,T151,Billy Mayfair,94,3.3,310,94
151,T151,T151,Nicholas Thompson,96,3.3,307,93
152,T153,T153,Paul Azinger,87,3.29,286,87
153,T153,T153,Ian Leggatt,80,3.29,250,76
154,155,155,Zach Johnson,98,3.28,289,88
155,T156,T156,Doug Barron,74,3.26,238,73
156,T156,T156,James Driscoll,80,3.26,261,80
157,T156,T156,Bob Tway,81,3.26,254,78
158,T159,T159,Greg Chalmers,71,3.25,218,67
159,T159,T159,John Cook,67,3.25,218,67
160,T159,T159,Jason Schultz,77,3.25,244,75
161,T162,T162,Charles Howell III,96,3.23,300,93
162,T162,T162,Greg Kraft,79,3.23,242,75
163,T162,T162,Paul Stankowski,70,3.23,226,70
164,T165,T165,Fred Couples,52,3.22,161,50
165,T165,T165,Steve Elkington,52,3.22,164,51
166,T165,T165,Patrick Sheehan,104,3.22,322,100
167,T168,T168,Henrik Bjornstad,97,3.19,303,95
168,T168,T168,Ben Curtis,86,3.19,274,86
169,T168,T168,Ron Whittaker,81,3.19,252,79
170,171,171,Mike Sposa,68,3.18,207,65
171,172,172,Len Mattiace,59,3.17,187,59
172,173,173,Alex Aragon,63,3.16,193,61
173,174,174,Steve Jones,83,3.15,258,82
174,T175,T175,Bart Bryant,87,3.14,270,86
175,T175,T175,Tim Petrovic,95,3.14,286,91
176,177,177,Roger Tambellini,64,3.13,191,61
177,T178,T178,Tim Herron,82,3.11,252,81
178,T178,T178,Justin Leonard,83,3.11,246,79
179,T180,T180,Brian Bateman,69,3.09,201,65
180,T180,T180,Brad Faxon,78,3.09,241,78
181,T182,T182,Michael Connell,51,3.08,148,48
182,T182,T182,Mark O'Meara,52,3.08,154,50
183,184,184,J.L. Lewis,57,3.07,175,57
184,185,185,Peter Lonard,77,3.04,231,76
185,T186,T186,Ryan Hietala,61,3.02,178,59
186,T186,T186,Tjaart van der Walt,60,3.02,172,57
187,188,188,Tom Lehman,70,2.95,177,60
188,189,189,Thomas Levet,53,2.9,148,51
189,T190,T190,Todd Hamilton,72,2.89,208,72
190,T190,T190,Corey Pavin,74,2.89,202,70
191,192,192,Mark Brooks,90,2.88,256,89
192,193,193,Jon Mills,68,2.83,187,66
193,194,194,"John Engler, Jr.",69,2.82,189,67
194,195,195,Larry Mize,53,2.75,140,51
195,196,196,Hidemichi Tanaka,74,2.64,193,73
