,Late_Scoring_Average_RANK THIS WEEK,Late_Scoring_Average_RANK LAST WEEK,Late_Scoring_Average_PLAYER NAME,Late_Scoring_Average_ROUNDS,Late_Scoring_Average_AVG,Late_Scoring_Average_TOTAL STROKES,Late_Scoring_Average_TOTAL LATE ROUNDS
0,1,1,Tiger Woods,55,68.81,2546,37
1,2,2,Steve Stricker,64,69.71,2440,35
2,3,3,Jim Furyk,89,69.93,4196,60
3,4,4,Trevor Immelman,86,70.02,3501,50
4,5,5,Luke Donald,66,70.08,2523,36
5,T6,T6,Frank Lickliter II,99,70.12,3506,50
6,T6,T6,Adam Scott,70,70.12,2875,41
7,8,8,Stewart Cink,93,70.19,3299,47
8,9,9,Jeff Gove,91,70.2,3159,45
9,10,10,Bob May,65,70.23,2177,31
10,T11,T11,Ian Poulter,53,70.34,2251,32
11,T11,T11,Vijay Singh,103,70.34,4080,58
12,13,13,Jerry Kelly,100,70.37,3800,54
13,14,14,Bubba Watson,83,70.38,2604,37
14,15,15,Brett Quigley,109,70.39,4294,61
15,16,16,K.J. Choi,93,70.4,2957,42
16,17,17,Kenny Perry,73,70.42,2324,33
17,18,18,Jonathan Byrd,66,70.47,2396,34
18,19,19,Heath Slocum,96,70.52,2962,42
19,20,20,Ernie Els,69,70.53,2821,40
20,T21,T21,Phil Mickelson,74,70.54,2751,39
21,T21,T21,Nick Watney,97,70.54,3245,46
22,23,23,Woody Austin,107,70.55,3739,53
23,24,24,Scott Verplank,88,70.57,3105,44
24,T25,T25,Bob Estes,85,70.58,2823,40
25,T25,T25,Rory Sabbatini,84,70.58,2682,38
26,T27,T27,Robert Allenby,79,70.61,2895,41
27,T27,T27,Chad Campbell,91,70.61,3248,46
28,T27,T27,Brian Gay,107,70.61,3813,54
29,T30,T30,Fred Funk,106,70.63,3602,51
30,T30,T30,Robert Gamez,94,70.63,2825,40
31,T30,T30,Dean Wilson,115,70.63,3814,54
32,T33,T33,John Senden,96,70.64,3108,44
33,T33,T33,David Toms,76,70.64,2967,42
34,35,35,Stephen Leaney,84,70.65,3038,43
35,T36,T36,Paul Goydos,72,70.66,2473,35
36,T36,T36,Charles Warren,93,70.66,3109,44
37,T38,T38,Stuart Appleby,83,70.68,3110,44
38,T38,T38,Zach Johnson,98,70.68,3322,47
39,40,40,José María Olazábal,62,70.7,1909,27
40,41,41,Joe Durant,101,70.71,3960,56
41,T42,T42,Charley Hoffman,100,70.73,3961,56
42,T42,T42,Camilo Villegas,95,70.73,3395,48
43,T44,T44,Ben Crane,85,70.74,2759,39
44,T44,T44,Jerry Smith,94,70.74,2688,38
45,T44,T44,Omar Uresti,61,70.74,1910,27
46,47,47,Nathan Green,108,70.76,3609,51
47,T48,T48,Alex Cejka,93,70.79,3044,43
48,T48,T48,J.J. Henry,96,70.79,3327,47
49,T48,T48,Steve Lowery,99,70.79,3327,47
50,T48,T48,Ryan Moore,68,70.79,2407,34
51,T52,T52,Will MacKenzie,91,70.8,3257,46
52,T52,T52,Billy Mayfair,94,70.8,3115,44
53,54,54,Stephen Ames,63,70.82,2408,34
54,55,55,Ryuji Imada,105,70.83,3329,47
55,56,56,Brian Bateman,69,70.87,2197,31
56,57,57,Ryan Palmer,101,70.88,3615,51
57,58,58,Billy Andrade,78,70.89,2552,36
58,T59,T59,Richard Johnson,94,70.9,3474,49
59,T59,T59,Jeff Sluman,101,70.9,3474,49
60,61,61,Brett Wetterich,82,70.91,3191,45
61,T62,T62,Bill Haas,99,70.92,3404,48
62,T62,T62,Bernhard Langer,77,70.92,2553,36
63,64,64,Vaughn Taylor,88,70.93,3121,44
64,T65,T65,Shane Bertsch,104,70.98,3478,49
65,T65,T65,Shaun Micheel,96,70.98,3549,50
66,T65,T65,Kevin Sutherland,100,70.98,3336,47
67,68,68,Shigeki Maruyama,94,71.0,3053,43
68,T69,T69,Briny Baird,81,71.02,3196,45
69,T69,T69,Arron Oberholser,82,71.02,2983,42
70,T69,T69,Tom Pernice Jr.,108,71.02,3835,54
71,72,72,Jeff Overton,95,71.03,2557,36
72,73,73,Michael Allen,84,71.05,2984,42
73,74,74,Justin Rose,98,71.06,3766,53
74,75,75,Harrison Frazar,95,71.07,3269,46
75,T76,T76,Chris DiMarco,83,71.08,2701,38
76,T76,T76,Retief Goosen,68,71.08,2559,36
77,78,78,Lucas Glover,105,71.09,3981,56
78,T79,T79,Tim Herron,82,71.1,2915,41
79,T79,T79,David Howell,52,71.1,1493,21
80,T79,T79,Jesper Parnevik,84,71.1,2844,40
81,T82,T82,Scott Gutschewski,53,71.11,1991,28
82,T82,T82,Padraig Harrington,54,71.11,1920,27
83,T82,T82,J.B. Holmes,81,71.11,2560,36
84,T82,T82,Mike Weir,88,71.11,3342,47
85,86,86,Corey Pavin,74,71.12,2347,33
86,T87,T87,Tim Clark,80,71.14,2988,42
87,T87,T87,Marco Dawson,87,71.14,2632,37
88,T87,T87,Steve Flesch,119,71.14,3557,50
89,90,90,Hunter Mahan,98,71.15,3415,48
90,T91,T91,Jason Bohn,104,71.16,3487,49
91,T91,T91,Tjaart van der Walt,60,71.16,1779,25
92,T93,T93,Eric Axley,91,71.19,2990,42
93,T93,T93,Bart Bryant,87,71.19,2990,42
94,T93,T93,Steve Elkington,52,71.19,1851,26
95,T96,T96,Paul Azinger,87,71.2,2848,40
96,T96,T96,David Branshaw,98,71.2,3275,46
97,T96,T96,Kent Jones,103,71.2,3204,45
98,T99,T99,Tommy Armour III,65,71.21,1994,28
99,T99,T99,Jeff Brehaut,100,71.21,3347,47
100,T99,T99,J.P. Hayes,55,71.21,1994,28
101,T99,T99,Joey Sindelar,90,71.21,3062,43
102,103,103,Daniel Chopra,110,71.22,4487,63
103,104,104,Lee Janzen,79,71.25,2565,36
104,105,105,Justin Leonard,83,71.26,3064,43
105,106,106,Brian Davis,92,71.27,2637,37
106,107,107,Dudley Hart,83,71.28,2851,40
107,108,108,Joe Ogilvie,95,71.29,3208,45
108,109,109,Greg Owen,79,71.3,2852,40
109,T110,T110,Kris Cox,83,71.33,2782,39
110,T110,T110,Sean O'Hair,100,71.33,3067,43
111,T110,T110,Bo Van Pelt,102,71.33,3923,55
112,T113,T113,Mathias Grönberg,92,71.35,3282,46
113,T113,T113,Chris Riley,86,71.35,3068,43
114,T113,T113,Kirk Triplett,58,71.35,1855,26
115,T116,T116,David McKenzie,82,71.36,2783,39
116,T116,T116,Mark Wilson,79,71.36,2355,33
117,T118,T118,Jonathan Kaye,95,71.37,3069,43
118,T118,T118,Duffy Waldorf,96,71.37,2926,41
119,T120,T120,Sergio Garcia,59,71.38,2070,29
120,T120,T120,Rod Pampling,89,71.38,2998,42
121,122,122,Charles Howell III,96,71.39,2713,38
122,123,123,Skip Kendall,72,71.4,2499,35
123,T124,T124,Craig Barlow,77,71.41,2428,34
124,T124,T124,Brandt Jobe,91,71.41,2785,39
125,T126,T126,David Duval,71,71.42,2214,31
126,T126,T126,Jason Gore,86,71.42,2571,36
127,T126,T126,John Rollins,93,71.42,3428,48
128,T129,T129,John Cook,67,71.43,2143,30
129,T129,T129,Freddie Jacobson,56,71.43,2143,30
130,T131,T131,Troy Matteson,101,71.45,3644,51
131,T131,T131,Geoff Ogilvy,76,71.45,2715,38
132,133,133,Jason Schultz,77,71.46,2644,37
133,134,134,Henrik Bjornstad,97,71.49,3217,45
134,135,135,Arjun Atwal,97,71.51,3647,51
135,T136,T136,John Huston,74,71.53,2146,30
136,T136,T136,Carl Pettersson,95,71.53,3219,45
137,T136,T136,Paul Stankowski,70,71.53,2146,30
138,139,139,Peter Lonard,77,71.54,2647,37
139,T140,T140,Todd Fischer,101,71.61,3509,49
140,T140,T140,Daisuke Maruyama,83,71.61,2721,38
141,142,142,Robert Damron,91,71.64,3009,42
142,143,143,Doug Barron,74,71.66,2508,35
143,T144,T144,Brent Geiberger,99,71.67,3225,45
144,T144,T144,Tim Petrovic,95,71.67,2580,36
145,146,146,Chris Smith,67,71.68,2652,37
146,147,147,Jimmy Walker,60,71.69,2079,29
147,T148,T148,Steve Jones,83,71.7,2653,37
148,T148,T148,Davis Love III,85,71.7,2653,37
149,150,150,Aaron Baddeley,78,71.73,2654,37
150,151,151,Larry Mize,53,71.74,1650,23
151,152,152,Patrick Sheehan,104,71.77,3373,47
152,T153,T153,Fred Couples,52,71.79,1723,24
153,T153,T153,D.A. Points,82,71.79,2728,38
154,T155,T155,Robert Garrigus,85,71.8,2872,40
155,T155,T155,Ted Purdy,103,71.8,3590,50
156,T157,T157,Rich Beem,85,71.88,2947,41
157,T157,T157,Danny Ellis,68,71.88,1725,24
158,T157,T157,Jeff Maggert,81,71.88,2947,41
159,T157,T157,Tag Ridings,103,71.88,3450,48
160,161,161,Ben Curtis,86,71.9,3020,42
161,162,162,Mathew Goggin,72,71.94,2374,33
162,163,163,Mark Calcavecchia,94,71.96,3238,45
163,164,164,Chris Couch,75,71.97,2447,34
164,165,165,Carlos Franco,86,71.98,2951,41
165,T166,T166,John Daly,51,72.0,1440,20
166,T166,T166,Vance Veazey,59,72.0,1800,25
167,T168,T168,Bubba Dickerson,98,72.05,3026,42
168,T168,T168,D.J. Trahan,92,72.05,3098,43
169,170,170,Alex Aragon,63,72.11,1947,27
170,171,171,Bob Tway,81,72.14,2669,37
171,172,172,Olin Browne,108,72.16,3175,44
172,173,173,Matt Hansen,68,72.33,2170,30
173,174,174,Mike Sposa,68,72.36,1809,25
174,175,175,Tom Lehman,70,72.4,1810,25
175,176,176,Ron Whittaker,81,72.42,2752,38
176,T177,T177,Greg Chalmers,71,72.43,2028,28
177,T177,T177,Greg Kraft,79,72.43,2535,35
178,T177,T177,J.L. Lewis,57,72.43,2028,28
179,T180,T180,Ian Leggatt,80,72.45,2753,38
180,T180,T180,Jon Mills,68,72.45,2246,31
181,T180,T180,"Wes Short, Jr.",96,72.45,3405,47
182,183,183,Mark Brooks,90,72.46,3333,46
183,184,184,James Driscoll,80,72.49,2682,37
184,185,185,Mark O'Meara,52,72.5,1595,22
185,186,186,Roger Tambellini,64,72.55,2249,31
186,187,187,Ryan Hietala,61,72.58,1887,26
187,188,188,Pat Perez,50,72.59,1597,22
188,189,189,Brad Faxon,78,72.63,2324,32
189,190,190,Nicholas Thompson,96,72.79,3130,43
190,191,191,"John Engler, Jr.",69,72.82,2476,34
191,T192,T192,Thomas Levet,53,73.0,1606,22
192,T192,T192,Len Mattiace,59,73.0,2117,29
193,194,194,Michael Connell,51,73.04,1680,23
194,195,195,Todd Hamilton,72,73.13,2267,31
195,196,196,Hidemichi Tanaka,74,73.67,2652,36
