,First_Tee_Early_Round_5_Scoring_Average_RANK THIS WEEK,First_Tee_Early_Round_5_Scoring_Average_RANK LAST WEEK,First_Tee_Early_Round_5_Scoring_Average_PLAYER NAME,First_Tee_Early_Round_5_Scoring_Average_AVG,First_Tee_Early_Round_5_Scoring_Average_TOTAL STROKES,First_Tee_Early_Round_5_Scoring_Average_TOTAL ROUNDS
0,1,1,Tom Pernice Jr.,69.0,69,1
1,T2,T2,Paul Azinger,70.0,70,1
2,T2,T2,John Cook,70.0,70,1
3,T2,T2,Bill Haas,70.0,70,1
4,5,5,Todd Fischer,71.0,71,1
5,T6,T6,Rich Beem,72.0,72,1
6,T6,T6,Alex Cejka,72.0,72,1
7,T6,T6,Steve Jones,72.0,72,1
8,T6,T6,Justin Leonard,72.0,72,1
9,T6,T6,Joe Ogilvie,72.0,72,1
10,T6,T6,Nick Watney,72.0,72,1
11,T12,T12,Michael Allen,73.0,73,1
12,T12,T12,Billy Andrade,73.0,73,1
13,T12,T12,Mark Calcavecchia,73.0,73,1
14,T12,T12,Tim Herron,73.0,73,1
15,T12,T12,Patrick Sheehan,73.0,73,1
16,T17,T17,Ben Curtis,74.0,74,1
17,T17,T17,Brian Gay,74.0,74,1
18,T17,T17,Dudley Hart,74.0,74,1
19,20,20,Joe Durant,75.0,75,1
20,21,21,David McKenzie,78.0,78,1
