,Early_Par_3_Scoring_Average_RANK THIS WEEK,Early_Par_3_Scoring_Average_RANK LAST WEEK,Early_Par_3_Scoring_Average_PLAYER NAME,Early_Par_3_Scoring_Average_ROUNDS,Early_Par_3_Scoring_Average_AVG,Early_Par_3_Scoring_Average_TOTAL STROKES,Early_Par_3_Scoring_Average_TOTAL HOLES
0,1,1,Jim Furyk,89,2.91,329,113
1,T2,T2,Luke Donald,66,2.93,319,109
2,T2,T2,Arron Oberholser,82,2.93,436,149
3,4,4,David Toms,76,2.94,315,107
4,T5,T5,José María Olazábal,62,2.95,369,125
5,T5,T5,Scott Verplank,88,2.95,511,173
6,T7,T7,Richard Johnson,94,2.97,546,184
7,T7,T7,Corey Pavin,74,2.97,442,149
8,T7,T7,Adam Scott,70,2.97,324,109
9,T10,T10,Stephen Ames,63,2.98,334,112
10,T10,T10,Chad Campbell,91,2.98,497,167
11,T10,T10,Brent Geiberger,99,2.98,626,210
12,T10,T10,Padraig Harrington,54,2.98,274,92
13,T10,T10,Justin Rose,98,2.98,509,171
14,T15,T15,Tommy Armour III,65,2.99,458,153
15,T15,T15,Jonathan Byrd,66,2.99,395,132
16,T15,T15,Brian Gay,107,2.99,642,215
17,T15,T15,Stephen Leaney,84,2.99,505,169
18,T15,T15,Shigeki Maruyama,94,2.99,595,199
19,T15,T15,Geoff Ogilvy,76,2.99,380,127
20,T15,T15,Tom Pernice Jr.,108,2.99,615,206
21,T22,T22,Trevor Immelman,86,3.0,438,146
22,T22,T22,Sean O'Hair,100,3.0,655,218
23,T22,T22,Joe Ogilvie,95,3.0,555,185
24,T22,T22,Duffy Waldorf,96,3.0,632,211
25,T26,T26,Joe Durant,101,3.01,550,183
26,T26,T26,Steve Flesch,119,3.01,792,263
27,T26,T26,Mathias Grönberg,92,3.01,520,173
28,T26,T26,J.L. Lewis,57,3.01,352,117
29,T26,T26,Davis Love III,85,3.01,473,157
30,T26,T26,Phil Mickelson,74,3.01,364,121
31,T26,T26,Brett Quigley,109,3.01,544,181
32,T26,T26,Steve Stricker,64,3.01,331,110
33,T26,T26,Kirk Triplett,58,3.01,361,120
34,T26,T26,Ron Whittaker,81,3.01,505,168
35,T26,T26,Dean Wilson,115,3.01,711,236
36,T37,T37,Aaron Baddeley,78,3.02,474,157
37,T37,T37,Skip Kendall,72,3.02,459,152
38,T37,T37,Tom Lehman,70,3.02,432,143
39,T37,T37,Daisuke Maruyama,83,3.02,501,166
40,T37,T37,Larry Mize,53,3.02,347,115
41,T37,T37,Heath Slocum,96,3.02,616,204
42,T37,T37,Mark Wilson,79,3.02,532,176
43,T44,T44,Olin Browne,108,3.03,733,242
44,T44,T44,Marco Dawson,87,3.03,613,202
45,T44,T44,Bubba Dickerson,98,3.03,664,219
46,T44,T44,Sergio Garcia,59,3.03,315,104
47,T44,T44,Lucas Glover,105,3.03,551,182
48,T44,T44,Retief Goosen,68,3.03,294,97
49,T44,T44,Brandt Jobe,91,3.03,606,200
50,T44,T44,Peter Lonard,77,3.03,470,155
51,T44,T44,Hunter Mahan,98,3.03,618,204
52,T44,T44,Shaun Micheel,96,3.03,531,175
53,T44,T44,Ted Purdy,103,3.03,618,204
54,T44,T44,Rory Sabbatini,84,3.03,557,184
55,T44,T44,Kevin Sutherland,100,3.03,610,201
56,T44,T44,D.J. Trahan,92,3.03,575,190
57,T58,T58,Billy Andrade,78,3.04,468,154
58,T58,T58,Stuart Appleby,83,3.04,419,138
59,T58,T58,Arjun Atwal,97,3.04,548,180
60,T58,T58,Stewart Cink,93,3.04,510,168
61,T58,T58,Ben Crane,85,3.04,495,163
62,T58,T58,Ben Curtis,86,3.04,542,178
63,T58,T58,Danny Ellis,68,3.04,492,162
64,T58,T58,J.J. Henry,96,3.04,565,186
65,T58,T58,Greg Kraft,79,3.04,493,162
66,T58,T58,Jesper Parnevik,84,3.04,545,179
67,T58,T58,Jerry Smith,94,3.04,668,220
68,T58,T58,Bo Van Pelt,102,3.04,578,190
69,T70,T70,Michael Allen,84,3.05,515,169
70,T70,T70,Mark Brooks,90,3.05,534,175
71,T70,T70,Tim Clark,80,3.05,464,152
