,First_Tee_Late_Round_2_Scoring_Average_RANK THIS WEEK,First_Tee_Late_Round_2_Scoring_Average_RANK LAST WEEK,First_Tee_Late_Round_2_Scoring_Average_PLAYER NAME,First_Tee_Late_Round_2_Scoring_Average_AVG,First_Tee_Late_Round_2_Scoring_Average_TOTAL STROKES,First_Tee_Late_Round_2_Scoring_Average_TOTAL ROUNDS
0,1,1,Ryan Palmer,67.83,407,6
1,2,2,Ernie Els,68.4,342,5
2,3,3,Frank Lickliter II,68.5,411,6
3,4,4,Joe Durant,68.6,343,5
4,5,5,Brett Quigley,68.63,549,8
5,T6,T6,Craig Barlow,68.67,412,6
6,T6,T6,Bob May,68.67,206,3
7,T8,T8,Stephen Leaney,68.8,344,5
8,T8,T8,Tiger Woods,68.8,344,5
9,10,10,Kenny Perry,68.89,620,9
10,11,11,Brent Geiberger,69.0,138,2
11,12,12,Chad Campbell,69.17,415,6
12,T13,T13,Luke Donald,69.33,624,9
13,T13,T13,Padraig Harrington,69.33,416,6
14,T13,T13,David Howell,69.33,416,6
15,16,16,Tim Herron,69.43,486,7
16,T17,T17,Ryuji Imada,69.5,556,8
17,T17,T17,Mike Sposa,69.5,278,4
18,T17,T17,Scott Verplank,69.5,695,10
19,20,20,Kevin Sutherland,69.57,487,7
20,21,21,Bill Haas,69.63,557,8
21,22,22,Paul Stankowski,69.67,418,6
22,T23,T23,Shane Bertsch,69.8,698,10
23,T23,T23,José María Olazábal,69.8,349,5
24,T25,T25,Bernhard Langer,69.83,419,6
25,T25,T25,Davis Love III,69.83,419,6
26,27,27,Tim Petrovic,69.86,489,7
27,28,28,Camilo Villegas,69.89,629,9
28,T29,T29,Paul Azinger,70.0,420,6
29,T29,T29,David Branshaw,70.0,560,8
30,T29,T29,Jerry Smith,70.0,560,8
31,T29,T29,Nick Watney,70.0,840,12
32,33,33,Adam Scott,70.1,701,10
33,34,34,Chris Smith,70.14,491,7
34,T35,T35,Briny Baird,70.17,421,6
35,T35,T35,Jeff Gove,70.17,421,6
36,T37,T37,Shigeki Maruyama,70.25,562,8
37,T37,T37,Steve Stricker,70.25,281,4
38,T37,T37,David Toms,70.25,562,8
39,T40,T40,Daniel Chopra,70.29,492,7
40,T40,T40,Steve Flesch,70.29,492,7
41,T42,T42,Jonathan Byrd,70.33,211,3
42,T42,T42,Bob Estes,70.33,633,9
43,T42,T42,Skip Kendall,70.33,422,6
44,45,45,James Driscoll,70.38,563,8
45,T46,T46,Michael Allen,70.4,352,5
46,T46,T46,Charley Hoffman,70.4,352,5
47,48,48,Stewart Cink,70.43,493,7
48,49,49,Jim Furyk,70.44,634,9
49,T50,T50,Woody Austin,70.5,423,6
50,T50,T50,Alex Cejka,70.5,423,6
51,T50,T50,Harrison Frazar,70.5,564,8
52,T50,T50,Brian Gay,70.5,423,6
53,T50,T50,Scott Gutschewski,70.5,423,6
54,T50,T50,Dudley Hart,70.5,282,4
55,T50,T50,Sean O'Hair,70.5,423,6
56,T50,T50,Arron Oberholser,70.5,705,10
57,T58,T58,Arjun Atwal,70.57,494,7
58,T58,T58,Tim Clark,70.57,494,7
59,T58,T58,Ryan Moore,70.57,494,7
60,T58,T58,Tjaart van der Walt,70.57,494,7
61,62,62,Steve Elkington,70.6,353,5
62,T63,T63,Jason Bohn,70.67,424,6
63,T63,T63,Fred Funk,70.67,424,6
64,T63,T63,Paul Goydos,70.67,424,6
65,T63,T63,Daisuke Maruyama,70.67,424,6
66,T63,T63,Rory Sabbatini,70.67,424,6
67,68,68,Richard Johnson,70.75,566,8
68,69,69,Brian Bateman,70.8,354,5
69,T70,T70,Marco Dawson,70.83,425,6
70,T70,T70,Mark Wilson,70.83,425,6
71,72,72,Hunter Mahan,70.86,496,7
72,73,73,John Senden,70.88,567,8
73,74,74,Jonathan Kaye,70.9,709,10
74,75,75,Tag Ridings,70.92,851,12
75,T76,T76,Billy Andrade,71.0,355,5
76,T76,T76,Bart Bryant,71.0,497,7
77,T76,T76,Todd Fischer,71.0,426,6
78,T76,T76,J.P. Hayes,71.0,426,6
79,T76,T76,Ryan Hietala,71.0,213,3
80,T76,T76,Peter Lonard,71.0,568,8
81,T76,T76,David McKenzie,71.0,284,4
82,T76,T76,Shaun Micheel,71.0,497,7
83,84,84,Bo Van Pelt,71.11,640,9
84,T85,T85,Bubba Dickerson,71.14,498,7
85,T85,T85,Nathan Green,71.14,498,7
86,T85,T85,Greg Owen,71.14,498,7
87,88,88,Heath Slocum,71.17,854,12
88,T89,T89,Robert Allenby,71.2,356,5
89,T89,T89,Ian Leggatt,71.2,712,10
90,T89,T89,Jimmy Walker,71.2,356,5
91,T92,T92,Aaron Baddeley,71.22,641,9
92,T92,T92,Justin Rose,71.22,641,9
93,T94,T94,Doug Barron,71.25,285,4
94,T94,T94,Mark Calcavecchia,71.25,570,8
95,T94,T94,J.J. Henry,71.25,570,8
96,T94,T94,Brandt Jobe,71.25,570,8
97,T94,T94,Steve Lowery,71.25,285,4
98,T99,T99,Sergio Garcia,71.33,428,6
99,T99,T99,Trevor Immelman,71.33,642,9
100,T99,T99,Zach Johnson,71.33,856,12
101,T99,T99,Steve Jones,71.33,428,6
102,T99,T99,Vijay Singh,71.33,1070,15
103,T104,T104,Tommy Armour III,71.4,357,5
104,T104,T104,Ben Curtis,71.4,357,5
105,T104,T104,Ron Whittaker,71.4,357,5
106,T107,T107,Matt Hansen,71.43,500,7
107,T107,T107,John Rollins,71.43,500,7
108,109,109,Justin Leonard,71.44,643,9
109,T110,T110,Henrik Bjornstad,71.5,429,6
110,T110,T110,Kris Cox,71.5,429,6
111,112,112,Jeff Maggert,71.56,644,9
112,T113,T113,Stuart Appleby,71.6,716,10
113,T113,T113,Olin Browne,71.6,716,10
114,T115,T115,Jeff Brehaut,71.63,573,8
115,T115,T115,Tom Lehman,71.63,573,8
116,T117,T117,Greg Chalmers,71.67,430,6
117,T117,T117,Chris Couch,71.67,645,9
118,T117,T117,Kirk Triplett,71.67,215,3
119,T117,T117,Brett Wetterich,71.67,430,6
120,121,121,Chris DiMarco,71.7,717,10
121,T122,T122,John Cook,71.71,502,7
122,T122,T122,Greg Kraft,71.71,502,7
123,T124,T124,Robert Garrigus,71.75,287,4
124,T124,T124,Mathias Grönberg,71.75,574,8
125,T124,T124,Jesper Parnevik,71.75,574,8
126,T124,T124,Ian Poulter,71.75,287,4
127,T124,T124,Patrick Sheehan,71.75,574,8
128,129,129,Bubba Watson,71.78,646,9
129,T130,T130,Robert Gamez,71.8,359,5
130,T130,T130,Lee Janzen,71.8,718,10
131,T132,T132,Mark Brooks,71.86,503,7
132,T132,T132,Jon Mills,71.86,503,7
133,T132,T132,Duffy Waldorf,71.86,503,7
134,T135,T135,Jeff Overton,71.88,575,8
135,T135,T135,Jason Schultz,71.88,575,8
136,137,137,Brian Davis,71.89,647,9
137,138,138,Joey Sindelar,71.9,719,10
138,T139,T139,Ben Crane,72.0,288,4
139,T139,T139,Carlos Franco,72.0,504,7
140,T139,T139,Kent Jones,72.0,432,6
141,T139,T139,Jerry Kelly,72.0,792,11
142,T139,T139,Phil Mickelson,72.0,504,7
143,T139,T139,Pat Perez,72.0,144,2
144,T139,T139,Tom Pernice Jr.,72.0,648,9
145,T139,T139,Ted Purdy,72.0,720,10
146,T139,T139,Chris Riley,72.0,432,6
147,T139,T139,Nicholas Thompson,72.0,504,7
148,T149,T149,"Wes Short, Jr.",72.11,649,9
149,T149,T149,Dean Wilson,72.11,649,9
150,151,151,Michael Connell,72.13,577,8
151,152,152,Charles Warren,72.17,433,6
152,153,153,Jeff Sluman,72.22,650,9
153,T154,T154,J.B. Holmes,72.25,578,8
