,Stroke_Differential_Field_Average_RANK THIS WEEK,Stroke_Differential_Field_Average_RANK LAST WEEK,Stroke_Differential_Field_Average_PLAYER NAME,Stroke_Differential_Field_Average_ROUNDS,Stroke_Differential_Field_Average_STROKE DIFFERENTIAL,Stroke_Differential_Field_Average_PLAYER'S SCORE,Stroke_Differential_Field_Average_FIELD AVERAGE SCORE
0,1,1,Tiger Woods,55,3.39,68.73,72.12
1,2,2,Jim Furyk,89,2.4,69.45,71.85
2,3,3,Adam Scott,70,2.15,70.01,72.16
3,4,4,Phil Mickelson,74,2.1,70.07,72.17
4,5,5,Luke Donald,66,2.08,70.06,72.14
5,6,6,Steve Stricker,64,1.85,69.55,71.4
6,7,7,Vijay Singh,103,1.7,70.21,71.91
7,8,8,Trevor Immelman,86,1.63,69.93,71.56
8,9,9,Ernie Els,69,1.49,70.63,72.12
9,10,10,Robert Allenby,79,1.35,70.48,71.83
10,11,11,José María Olazábal,62,1.3,71.09,72.39
11,T12,T12,Jonathan Byrd,66,1.29,69.97,71.26
12,T12,T12,Stewart Cink,93,1.29,70.3,71.59
13,14,14,Ian Poulter,53,1.25,71.04,72.29
14,15,15,Arron Oberholser,82,1.23,70.37,71.6
15,16,16,Retief Goosen,68,1.21,70.98,72.19
16,T17,T17,Stuart Appleby,83,1.19,70.87,72.06
17,T17,T17,Lucas Glover,105,1.19,70.56,71.75
18,T19,T19,Brett Quigley,109,1.18,70.31,71.49
19,T19,T19,David Toms,76,1.18,70.57,71.75
20,21,21,Mike Weir,88,1.16,70.76,71.92
21,22,22,Geoff Ogilvy,76,1.13,71.19,72.32
22,23,23,Padraig Harrington,54,1.11,70.92,72.03
23,24,24,Sergio Garcia,59,1.09,71.45,72.54
24,25,25,Stephen Ames,63,1.08,70.79,71.87
25,26,26,K.J. Choi,93,0.96,70.65,71.61
26,27,27,John Senden,96,0.92,70.51,71.43
27,28,28,Tim Clark,80,0.91,71.04,71.95
28,T29,T29,Justin Rose,98,0.86,70.35,71.21
29,T29,T29,Rory Sabbatini,84,0.86,70.8,71.66
30,T29,T29,Vaughn Taylor,88,0.86,70.86,71.72
31,32,32,Jason Bohn,104,0.82,70.82,71.64
32,33,33,Tom Pernice Jr.,108,0.81,70.65,71.46
33,34,34,Jesper Parnevik,84,0.8,70.64,71.44
34,T35,T35,Briny Baird,81,0.77,70.51,71.28
35,T35,T35,Bo Van Pelt,102,0.77,70.79,71.56
36,T37,T37,J.J. Henry,96,0.76,70.84,71.6
37,T37,T37,Frank Lickliter II,99,0.76,70.47,71.23
38,39,39,Charley Hoffman,100,0.75,70.62,71.37
39,T40,T40,Zach Johnson,98,0.74,70.85,71.59
40,T40,T40,Rod Pampling,89,0.74,70.98,71.72
41,42,42,Brian Gay,107,0.73,70.32,71.05
42,43,43,Davis Love III,85,0.71,71.11,71.82
43,T44,T44,Shaun Micheel,96,0.7,70.91,71.61
44,T44,T44,Greg Owen,79,0.7,71.0,71.7
45,46,46,Scott Verplank,88,0.69,70.57,71.26
46,47,47,Daniel Chopra,110,0.67,70.65,71.32
47,48,48,Carl Pettersson,95,0.64,71.31,71.95
48,49,49,Charles Warren,93,0.63,70.69,71.32
49,T50,T50,Chad Campbell,91,0.62,70.9,71.52
50,T50,T50,Joe Durant,101,0.62,70.75,71.37
51,52,52,Fred Funk,106,0.61,70.9,71.51
52,53,53,Brett Wetterich,82,0.57,70.68,71.25
53,T54,T54,Ben Crane,85,0.56,71.23,71.79
54,T54,T54,David Howell,52,0.56,71.67,72.23
55,T54,T54,Nick Watney,97,0.56,70.82,71.38
56,57,57,Shigeki Maruyama,94,0.55,70.72,71.27
57,T58,T58,Chris DiMarco,83,0.53,71.04,71.57
58,T58,T58,Jerry Kelly,100,0.53,70.8,71.33
59,T58,T58,Billy Mayfair,94,0.53,71.0,71.53
60,T58,T58,Dean Wilson,115,0.53,70.71,71.24
61,T62,T62,Fred Couples,52,0.51,71.72,72.23
62,T62,T62,Ryuji Imada,105,0.51,70.76,71.27
63,T62,T62,Kevin Sutherland,100,0.51,70.68,71.19
64,T65,T65,Richard Johnson,94,0.5,70.85,71.35
65,T65,T65,Hunter Mahan,98,0.5,70.7,71.2
66,67,67,Bob Estes,85,0.49,70.68,71.17
67,T68,T68,Steve Flesch,119,0.48,70.79,71.27
68,T68,T68,Brandt Jobe,91,0.48,71.2,71.68
69,T68,T68,Kenny Perry,73,0.48,70.94,71.42
70,T68,T68,Jeff Sluman,101,0.48,70.93,71.41
71,72,72,Camilo Villegas,95,0.47,71.08,71.55
72,73,73,Bart Bryant,87,0.46,71.24,71.7
73,74,74,Joe Ogilvie,95,0.45,70.84,71.29
74,T75,T75,Jeff Gove,91,0.44,70.74,71.18
75,T75,T75,Freddie Jacobson,56,0.44,71.32,71.76
76,77,77,Bubba Watson,83,0.43,70.66,71.09
77,78,78,Charles Howell III,96,0.4,71.46,71.86
78,79,79,Harrison Frazar,95,0.38,70.77,71.15
79,T80,T80,Billy Andrade,78,0.37,71.09,71.46
80,T80,T80,Nathan Green,108,0.37,70.96,71.33
81,T80,T80,Tom Lehman,70,0.37,71.6,71.97
82,T83,T83,Corey Pavin,74,0.35,70.91,71.26
83,T83,T83,John Rollins,93,0.35,71.12,71.47
84,85,85,Stephen Leaney,84,0.34,70.79,71.13
85,T86,T86,Craig Barlow,77,0.32,71.22,71.54
86,T86,T86,Justin Leonard,83,0.32,71.28,71.6
87,T86,T86,Heath Slocum,96,0.32,71.04,71.36
88,89,89,Bernhard Langer,77,0.31,71.13,71.44
89,90,90,Mark Wilson,79,0.3,70.8,71.1
90,T91,T91,John Cook,67,0.28,71.04,71.32
91,T91,T91,Steve Lowery,99,0.28,71.22,71.5
92,T91,T91,Ted Purdy,103,0.28,71.5,71.78
93,94,94,Ryan Palmer,101,0.27,70.95,71.22
94,T95,T95,Woody Austin,107,0.26,71.11,71.37
95,T95,T95,Pat Perez,50,0.26,71.62,71.88
96,97,97,Brian Davis,92,0.25,71.11,71.36
97,98,98,Kent Jones,103,0.24,71.05,71.29
98,T99,T99,Marco Dawson,87,0.23,71.01,71.24
99,T99,T99,Ryan Moore,68,0.23,71.03,71.26
100,101,101,Steve Elkington,52,0.21,70.86,71.07
101,T102,T102,Paul Azinger,87,0.19,71.03,71.22
102,T102,T102,Sean O'Hair,100,0.19,71.62,71.81
103,T104,T104,David Branshaw,98,0.18,70.79,70.97
104,T104,T104,Daisuke Maruyama,83,0.18,71.01,71.19
105,T104,T104,Duffy Waldorf,96,0.18,71.03,71.21
106,107,107,Olin Browne,108,0.16,71.35,71.51
107,T108,T108,Michael Allen,84,0.15,71.06,71.21
108,T108,T108,Skip Kendall,72,0.15,71.1,71.25
109,T108,T108,Bob May,65,0.15,70.81,70.96
110,T111,T111,Mathias Grönberg,92,0.13,71.07,71.2
111,T111,T111,Bill Haas,99,0.13,70.96,71.09
112,T113,T113,J.B. Holmes,81,0.1,71.44,71.54
113,T113,T113,Jeff Overton,95,0.1,70.98,71.08
114,T115,T115,Mathew Goggin,72,0.09,71.57,71.66
115,T115,T115,Dudley Hart,83,0.09,71.07,71.16
116,117,117,Aaron Baddeley,78,0.08,71.41,71.49
117,118,118,Omar Uresti,61,0.06,70.81,70.87
118,119,119,Brent Geiberger,99,0.05,70.96,71.01
119,120,120,Eric Axley,91,0.03,71.03,71.06
120,T121,T121,Ben Curtis,86,0.02,71.59,71.61
121,T121,T121,Will MacKenzie,91,0.02,71.14,71.16
122,T121,T121,Troy Matteson,101,0.02,71.21,71.23
123,T121,T121,Jerry Smith,94,0.02,70.9,70.92
124,T125,T125,Peter Lonard,77,-0.01,71.79,71.78
125,T125,T125,Joey Sindelar,90,-0.01,71.6,71.59
126,127,127,Jonathan Kaye,95,-0.02,71.25,71.23
127,T128,T128,Rich Beem,85,-0.03,71.54,71.51
128,T128,T128,Jeff Maggert,81,-0.03,71.65,71.62
129,T130,T130,Shane Bertsch,104,-0.08,71.29,71.21
130,T130,T130,Kris Cox,83,-0.08,71.15,71.07
131,132,132,Tim Herron,82,-0.09,71.7,71.61
132,133,133,Alex Cejka,93,-0.1,70.97,70.87
133,T134,T134,Tommy Armour III,65,-0.12,71.48,71.36
134,T134,T134,John Huston,74,-0.12,71.33,71.21
135,T136,T136,Todd Fischer,101,-0.16,71.43,71.27
136,T136,T136,Paul Goydos,72,-0.16,71.24,71.08
137,T136,T136,J.P. Hayes,55,-0.16,71.24,71.08
138,T139,T139,Robert Garrigus,85,-0.17,71.53,71.36
139,T139,T139,Chris Riley,86,-0.17,71.07,70.9
140,T139,T139,Paul Stankowski,70,-0.17,71.47,71.3
141,T142,T142,D.J. Trahan,92,-0.18,71.48,71.3
142,T142,T142,Kirk Triplett,58,-0.18,71.55,71.37
143,144,144,Patrick Sheehan,104,-0.19,71.4,71.21
