,Front_9_Scoring_Average_RANK THIS WEEK,Front_9_Scoring_Average_RANK LAST WEEK,Front_9_Scoring_Average_PLAYER NAME,Front_9_Scoring_Average_ROUNDS,Front_9_Scoring_Average_AVG,Front_9_Scoring_Average_TOTAL STROKES,Front_9_Scoring_Average_TOTAL HOLES
0,1,1,Tiger Woods,55,34.5,1794,52
1,2,2,Steve Stricker,64,34.63,2147,62
2,3,3,Jim Furyk,89,34.65,3049,88
3,4,4,Trevor Immelman,86,34.79,2992,86
4,5,5,Luke Donald,66,34.81,2193,63
5,6,6,Stewart Cink,93,34.85,3067,88
6,7,7,Adam Scott,70,34.87,2371,68
7,8,8,Phil Mickelson,74,34.96,2412,69
8,9,9,Lucas Glover,105,34.97,3532,101
9,10,10,John Senden,96,35.0,3255,93
10,11,11,Scott Verplank,88,35.02,3012,86
11,T12,T12,Ernie Els,69,35.06,2244,64
12,T12,T12,Vijay Singh,103,35.06,3506,100
13,14,14,Tom Pernice Jr.,108,35.09,3649,104
14,15,15,Kent Jones,103,35.1,3545,101
15,T16,T16,Charley Hoffman,100,35.11,3441,98
16,T16,T16,Brett Wetterich,82,35.11,2879,82
17,18,18,Charles Warren,93,35.12,3161,90
18,T19,T19,Frank Lickliter II,99,35.13,3408,97
19,T19,T19,David Toms,76,35.13,2424,69
20,T21,T21,Padraig Harrington,54,35.14,1757,50
21,T21,T21,Skip Kendall,72,35.14,2530,72
22,T21,T21,Rod Pampling,89,35.14,2952,84
23,T21,T21,Rory Sabbatini,84,35.14,2917,83
24,T21,T21,Kevin Sutherland,100,35.14,3373,96
25,T21,T21,Vaughn Taylor,88,35.14,3092,88
26,T21,T21,Bubba Watson,83,35.14,2776,79
27,T21,T21,Dean Wilson,115,35.14,3901,111
28,T29,T29,Arron Oberholser,82,35.15,2777,79
29,T29,T29,Brett Quigley,109,35.15,3691,105
30,31,31,Sergio Garcia,59,35.16,1934,55
31,T32,T32,Zach Johnson,98,35.17,3095,88
32,T32,T32,Mark Wilson,79,35.17,2673,76
33,T34,T34,Eric Axley,91,35.18,3131,89
34,T34,T34,Jonathan Byrd,66,35.18,2322,66
35,T34,T34,Retief Goosen,68,35.18,2111,60
36,37,37,Bob Estes,85,35.2,2992,85
37,T38,T38,David Branshaw,98,35.21,3451,98
38,T38,T38,Brian Gay,107,35.21,3767,107
39,T40,T40,Robert Allenby,79,35.22,2712,77
40,T40,T40,Stuart Appleby,83,35.22,2747,78
41,T40,T40,Shigeki Maruyama,94,35.22,3240,92
42,T43,T43,Briny Baird,81,35.23,2713,77
43,T43,T43,Chad Campbell,91,35.23,3065,87
44,T43,T43,Harrison Frazar,95,35.23,3206,91
45,T46,T46,Jeff Gove,91,35.24,3066,87
46,T46,T46,Richard Johnson,94,35.24,3313,94
47,T46,T46,Jeff Sluman,101,35.24,3559,101
48,T46,T46,Mike Weir,88,35.24,2995,85
49,50,50,Bo Van Pelt,102,35.25,3596,102
50,T51,T51,Steve Flesch,119,35.26,4055,115
51,T51,T51,Stephen Leaney,84,35.26,2962,84
52,T53,T53,Craig Barlow,77,35.27,2575,73
53,T53,T53,K.J. Choi,93,35.27,3245,92
54,T53,T53,Bill Haas,99,35.27,3386,96
55,T53,T53,J.J. Henry,96,35.27,3280,93
56,T53,T53,Jesper Parnevik,84,35.27,2963,84
57,T58,T58,Steve Elkington,52,35.29,1800,51
58,T58,T58,Justin Rose,98,35.29,3353,95
59,60,60,Billy Mayfair,94,35.3,3318,94
60,T61,T61,Paul Goydos,72,35.32,2543,72
61,T61,T61,Kenny Perry,73,35.32,2543,72
62,T63,T63,Michael Allen,84,35.33,2968,84
63,T63,T63,Ian Poulter,53,35.33,1837,52
64,T65,T65,Nathan Green,108,35.34,3675,104
65,T65,T65,Joe Ogilvie,95,35.34,3216,91
66,T67,T67,Alex Cejka,93,35.35,3217,91
67,T67,T67,Daisuke Maruyama,83,35.35,2793,79
68,T67,T67,Ryan Moore,68,35.35,2298,65
69,T67,T67,Jerry Smith,94,35.35,3252,92
70,T71,T71,Aaron Baddeley,78,35.37,2688,76
71,T71,T71,Daniel Chopra,110,35.37,3785,107
72,T71,T71,Tim Clark,80,35.37,2794,79
73,T71,T71,Hunter Mahan,98,35.37,3466,98
74,T71,T71,Camilo Villegas,95,35.37,3289,93
75,T76,T76,Marco Dawson,87,35.38,3078,87
76,T76,T76,Chris DiMarco,83,35.38,2760,78
77,T76,T76,Davis Love III,85,35.38,2689,76
78,T76,T76,David McKenzie,82,35.38,2830,80
79,T76,T76,Kirk Triplett,58,35.38,1981,56
80,T81,T81,Omar Uresti,61,35.39,2088,59
81,T81,T81,Duffy Waldorf,96,35.39,3256,92
82,83,83,Corey Pavin,74,35.4,2478,70
83,T84,T84,Mathias Grönberg,92,35.42,3152,89
84,T84,T84,Dudley Hart,83,35.42,2940,83
85,T84,T84,Will MacKenzie,91,35.42,3117,88
86,87,87,Shaun Micheel,96,35.43,3295,93
87,88,88,Jerry Kelly,100,35.44,3544,100
88,89,89,Jason Bohn,104,35.45,3687,104
89,T90,T90,Robert Garrigus,85,35.46,2943,83
90,T90,T90,Tim Herron,82,35.46,2872,81
91,92,92,Bob May,65,35.47,2199,62
92,T93,T93,John Cook,67,35.48,2377,67
93,T93,T93,Bubba Dickerson,98,35.48,3406,96
94,T93,T93,Brandt Jobe,91,35.48,3122,88
95,T93,T93,Nick Watney,97,35.48,3371,95
96,T97,T97,Fred Funk,106,35.5,3728,105
97,T97,T97,John Huston,74,35.5,2556,72
98,T97,T97,Ryuji Imada,105,35.5,3621,102
99,100,100,Chris Riley,86,35.51,2912,82
100,T101,T101,Paul Azinger,87,35.52,3090,87
101,T101,T101,Bart Bryant,87,35.52,3055,86
102,T103,T103,Jeff Brehaut,100,35.54,3412,96
103,T103,T103,J.L. Lewis,57,35.54,2026,57
104,T103,T103,Heath Slocum,96,35.54,3305,93
105,T106,T106,Stephen Ames,63,35.55,2204,62
106,T106,T106,Ben Crane,85,35.55,2844,80
107,T106,T106,Danny Ellis,68,35.55,2275,64
108,T106,T106,Greg Owen,79,35.55,2737,77
109,T106,T106,Jimmy Walker,60,35.55,2062,58
110,T111,T111,Patrick Sheehan,104,35.56,3556,100
111,T111,T111,Bob Tway,81,35.56,2774,78
112,T111,T111,Ron Whittaker,81,35.56,2809,79
113,114,114,Brian Bateman,69,35.57,2312,65
114,T115,T115,Matt Hansen,68,35.58,2348,66
115,T115,T115,J.B. Holmes,81,35.58,2740,77
116,T115,T115,Troy Matteson,101,35.58,3594,101
117,T118,T118,Charles Howell III,96,35.59,3310,93
118,T118,T118,José María Olazábal,62,35.59,2064,58
119,T120,T120,J.P. Hayes,55,35.6,1958,55
120,T120,T120,Steve Lowery,99,35.6,3453,97
121,T122,T122,Chris Couch,75,35.61,2671,75
122,T122,T122,Ryan Palmer,101,35.61,3525,99
123,T124,T124,Olin Browne,108,35.62,3704,104
124,T124,T124,Joe Durant,101,35.62,3598,101
125,T124,T124,Joey Sindelar,90,35.62,3206,90
126,T127,T127,Todd Fischer,101,35.63,3527,99
127,T127,T127,Jeff Overton,95,35.63,3314,93
128,T127,T127,D.A. Points,82,35.63,2850,80
129,T127,T127,Ted Purdy,103,35.63,3599,101
130,T131,T131,Woody Austin,107,35.64,3814,107
131,T131,T131,Brian Davis,92,35.64,3208,90
132,T133,T133,Rich Beem,85,35.65,2959,83
133,T133,T133,John Rollins,93,35.65,3244,91
134,T135,T135,Tommy Armour III,65,35.66,2318,65
135,T135,T135,D.J. Trahan,92,35.66,3209,90
136,137,137,Paul Stankowski,70,35.67,2497,70
137,138,138,Bernhard Langer,77,35.68,2569,72
138,T139,T139,Shane Bertsch,104,35.69,3640,102
139,T139,T139,Henrik Bjornstad,97,35.69,3391,95
140,T139,T139,Geoff Ogilvy,76,35.69,2498,70
141,T142,T142,Robert Gamez,94,35.7,3356,94
142,T142,T142,Jon Mills,68,35.7,2356,66
143,T142,T142,Pat Perez,50,35.7,1785,50
144,T145,T145,Robert Damron,91,35.71,3250,91
145,T145,T145,Carlos Franco,86,35.71,3071,86
146,T145,T145,Brent Geiberger,99,35.71,3464,97
147,T145,T145,Scott Gutschewski,53,35.71,1821,51
148,T145,T145,Justin Leonard,83,35.71,2821,79
149,T145,T145,Sean O'Hair,100,35.71,3500,98
150,T151,T151,Arjun Atwal,97,35.74,3395,95
151,T151,T151,Mark Calcavecchia,94,35.74,3324,93
152,T153,T153,Billy Andrade,78,35.78,2648,74
153,T153,T153,Ben Curtis,86,35.78,3077,86
154,T153,T153,Larry Mize,53,35.78,1825,51
155,156,156,Kris Cox,83,35.79,2899,81
156,T157,T157,Jason Gore,86,35.8,3007,84
157,T157,T157,Tag Ridings,103,35.8,3580,100
158,159,159,Carl Pettersson,95,35.81,3330,93
159,T160,T160,Freddie Jacobson,56,35.82,2006,56
160,T160,T160,Thomas Levet,53,35.82,1827,51
161,T160,T160,Chris Smith,67,35.82,2400,67
162,163,163,Jeff Maggert,81,35.83,2902,81
163,T164,T164,David Howell,52,35.84,1613,45
164,T164,T164,Jonathan Kaye,95,35.84,3297,92
165,T166,T166,Mark Brooks,90,35.85,3191,89
166,T166,T166,Tim Petrovic,95,35.85,3262,91
167,168,168,Tom Lehman,70,35.87,2152,60
168,169,169,Mike Sposa,68,35.88,2332,65
169,170,170,Tjaart van der Walt,60,35.89,2046,57
170,171,171,Fred Couples,52,35.94,1797,50
171,172,172,Greg Kraft,79,35.96,2697,75
172,T173,T173,James Driscoll,80,36.0,2880,80
173,T173,T173,Nicholas Thompson,96,36.0,3348,93
174,175,175,Jason Schultz,77,36.01,2701,75
175,176,176,Brad Faxon,78,36.05,2812,78
176,177,177,Ian Leggatt,80,36.08,2742,76
177,T178,T178,"John Engler, Jr.",69,36.1,2419,67
178,T178,T178,Len Mattiace,59,36.1,2130,59
179,T180,T180,Mathew Goggin,72,36.11,2528,70
180,T180,T180,Lee Janzen,79,36.11,2853,79
181,T180,T180,Peter Lonard,77,36.11,2744,76
182,T183,T183,Greg Chalmers,71,36.12,2420,67
183,T183,T183,John Daly,51,36.12,1770,49
184,185,185,"Wes Short, Jr.",96,36.15,3398,94
185,186,186,Vance Veazey,59,36.17,2134,59
186,187,187,Mark O'Meara,52,36.18,1809,50
187,188,188,Michael Connell,51,36.19,1737,48
188,189,189,Alex Aragon,63,36.2,2208,61
189,190,190,Steve Jones,83,36.26,2973,82
190,T191,T191,Doug Barron,74,36.3,2650,73
191,T191,T191,Roger Tambellini,64,36.3,2214,61
192,193,193,Ryan Hietala,61,36.36,2145,59
193,194,194,Todd Hamilton,72,36.38,2619,72
194,195,195,Hidemichi Tanaka,74,36.48,2663,73
195,196,196,David Duval,71,36.49,2518,69
