,Final_Round_Performance_RANK THIS WEEK,Final_Round_Performance_RANK LAST WEEK,Final_Round_Performance_PLAYER NAME,Final_Round_Performance_EVENTS,Final_Round_Performance_%
0,1,,Tiger Woods,15,100.0
1,2,,Tjaart van der Walt,21,87.5
2,3,,José María Olazábal,18,84.62
3,4,,Luke Donald,18,80.0
4,T5,,Fred Couples,17,77.78
5,T5,,Kent Jones,32,77.78
6,T5,,Billy Mayfair,29,77.78
7,T5,,Vaughn Taylor,26,77.78
8,T5,,Jimmy Walker,21,77.78
9,10,,Ted Purdy,33,76.47
10,T11,,Stewart Cink,26,76.19
11,T11,,Jim Furyk,24,76.19
12,T11,,Ryuji Imada,31,76.19
13,T14,,Todd Hamilton,27,75.0
14,T14,,Tim Petrovic,30,75.0
15,T14,,Adam Scott,19,75.0
16,17,,Carl Pettersson,28,73.68
17,T18,,Joey Sindelar,29,73.33
18,T18,,Steve Stricker,17,73.33
19,20,,John Cook,22,72.73
20,21,,J.J. Henry,28,72.22
21,T22,,Greg Chalmers,28,71.43
22,T22,,Jason Gore,29,71.43
23,T22,,Skip Kendall,22,71.43
24,T22,,Mark O'Meara,18,71.43
25,26,,Fred Funk,29,70.83
26,T27,,Freddie Jacobson,18,70.0
27,T27,,Tom Pernice Jr.,33,70.0
28,T29,,Bernhard Langer,24,69.23
29,T29,,Ron Whittaker,28,69.23
30,T31,,Eric Axley,29,68.75
31,T31,,Jeff Brehaut,33,68.75
32,T31,,Davis Love III,23,68.75
33,T31,,David Toms,22,68.75
34,T35,,Stuart Appleby,23,68.42
35,T35,,Brent Geiberger,30,68.42
36,T35,,Frank Lickliter II,29,68.42
37,T35,,Steve Lowery,31,68.42
38,T39,,Jonathan Byrd,20,66.67
39,T39,,Nathan Green,30,66.67
40,T39,,Jerry Kelly,31,66.67
41,T39,,Len Mattiace,22,66.67
42,T39,,Kenny Perry,22,66.67
43,T39,,Brett Quigley,33,66.67
44,45,,Jason Bohn,29,65.22
45,T46,,Henrik Bjornstad,31,64.71
46,T46,,Jesper Parnevik,24,64.71
47,T46,,Heath Slocum,30,64.71
48,T49,,David Duval,24,63.64
49,T49,,Lee Janzen,28,63.64
50,T51,,Trevor Immelman,24,63.16
51,T51,,Charles Warren,27,63.16
52,T53,,Briny Baird,25,62.5
53,T53,,Geoff Ogilvy,20,62.5
54,T53,,Brett Wetterich,25,62.5
55,T56,,Brad Faxon,26,61.54
56,T56,,Carlos Franco,29,61.54
57,T56,,D.J. Trahan,33,61.54
58,T59,,Brian Davis,28,61.11
59,T59,,Arron Oberholser,23,61.11
