,SG_Total_RANK THIS WEEK,SG_Total_RANK LAST WEEK,SG_Total_PLAYER NAME,SG_Total_ROUNDS,SG_Total_AVERAGE,SG_Total_TOTAL SG:T,SG_Total_TOTAL SG:T2G,SG_Total_TOTAL SG:P,SG_Total_MEASURED ROUNDS
0,1,1,Tiger Woods,55,3.304,122.243,105.514,16.729,37
1,2,2,Jim Furyk,89,2.508,170.555,120.01,50.545,68
2,3,3,Adam Scott,70,2.08,106.1,112.62700000000001,-6.527,51
3,4,4,Luke Donald,66,1.929,82.958,59.722,23.236,43
4,5,5,Phil Mickelson,74,1.88,88.359,75.51899999999999,12.84,47
5,6,6,Steve Stricker,64,1.735,90.22399999999999,57.161,33.063,52
6,7,7,Vijay Singh,103,1.699,142.7,137.894,4.806,84
7,8,8,Trevor Immelman,86,1.607,117.29799999999999,113.105,4.1930000000000005,73
8,9,9,Ernie Els,69,1.341,63.035,63.058,-0.023,47
9,10,10,Padraig Harrington,54,1.29,49.027,49.788999999999994,-0.762,38
10,T11,T11,Stewart Cink,93,1.2890000000000001,94.083,36.365,57.718,73
11,T11,T11,Brett Quigley,109,1.2890000000000001,121.167,59.205,61.961999999999996,94
12,13,13,Stuart Appleby,83,1.262,80.757,66.529,14.228,64
13,14,14,David Toms,76,1.249,77.44800000000001,56.248999999999995,21.199,62
14,15,15,Robert Allenby,79,1.245,74.695,60.504,14.190999999999999,60
15,16,16,Ian Poulter,53,1.203,50.521,42.435,8.086,42
16,17,17,Lucas Glover,105,1.198,103.04799999999999,90.00399999999999,13.044,86
17,18,18,Jonathan Byrd,66,1.166,62.97,51.395,11.575,54
18,19,19,Retief Goosen,68,1.1440000000000001,52.64,47.548,5.092,46
19,20,20,Stephen Ames,63,1.112,48.935,29.482,19.453,44
20,21,21,José María Olazábal,62,1.102,42.985,28.511,14.474,39
21,22,22,Arron Oberholser,82,0.988,61.258,51.053000000000004,10.205,62
22,23,23,Vaughn Taylor,88,0.9670000000000001,74.462,45.861000000000004,28.601,77
23,24,24,Jesper Parnevik,84,0.9520000000000001,69.529,18.435,51.093999999999994,73
24,T25,T25,Tom Pernice Jr.,108,0.85,73.943,27.645,46.298,87
25,T25,T25,John Senden,96,0.85,67.134,75.839,-8.705,79
26,27,27,K.J. Choi,93,0.8490000000000001,67.07300000000001,49.192,17.881,79
27,28,28,Rod Pampling,89,0.843,54.788000000000004,6.513,48.275,65
28,29,29,Sergio Garcia,59,0.841,32.793,38.492,-5.699,39
29,30,30,Frank Lickliter II,99,0.8370000000000001,71.116,52.851000000000006,18.265,85
30,31,31,Jason Bohn,104,0.821,73.059,79.23899999999999,-6.18,89
31,32,32,Geoff Ogilvy,76,0.8059999999999999,41.898999999999994,17.404,24.495,52
32,33,33,Davis Love III,85,0.758,43.218,27.706999999999997,15.511,57
33,34,34,Fred Funk,106,0.754,64.067,56.317,7.75,85
34,35,35,Zach Johnson,98,0.752,57.881,54.33,3.551,77
35,T36,T36,Greg Owen,79,0.741,45.924,67.479,-21.555,62
36,T36,T36,Mike Weir,88,0.741,46.668,48.733999999999995,-2.066,63
37,38,38,J.J. Henry,96,0.722,55.578,40.821999999999996,14.755999999999998,77
