,Late_Round_4_Scoring_Average_RANK THIS WEEK,Late_Round_4_Scoring_Average_RANK LAST WEEK,Late_Round_4_Scoring_Average_PLAYER NAME,Late_Round_4_Scoring_Average_AVG,Late_Round_4_Scoring_Average_TOTAL STROKES,Late_Round_4_Scoring_Average_TOTAL ROUNDS
0,1,1,Bob May,66.75,267,4
1,2,2,John Huston,67.0,67,1
2,3,3,Todd Hamilton,67.5,135,2
3,4,4,Omar Uresti,68.4,342,5
4,5,5,José María Olazábal,68.6,343,5
5,6,6,Tiger Woods,68.75,825,12
6,7,7,Paul Goydos,68.8,344,5
7,T8,T8,Michael Connell,69.0,69,1
8,T8,T8,Ben Crane,69.0,414,6
9,T8,T8,Jason Gore,69.0,276,4
10,T8,T8,Mark O'Meara,69.0,138,2
11,T8,T8,Paul Stankowski,69.0,207,3
12,T8,T8,Steve Stricker,69.0,690,10
13,14,14,Heath Slocum,69.14,484,7
14,15,15,Frank Lickliter II,69.2,692,10
15,16,16,Shigeki Maruyama,69.22,623,9
16,T17,T17,Doug Barron,69.25,277,4
17,T17,T17,Chris Couch,69.25,277,4
18,19,19,Eric Axley,69.43,486,7
19,T20,T20,David Duval,69.5,139,2
20,T20,T20,Brian Gay,69.5,695,10
21,22,22,Adam Scott,69.58,835,12
22,23,23,Corey Pavin,69.67,418,6
23,24,24,Stewart Cink,69.7,697,10
24,T25,T25,Steve Lowery,69.71,488,7
25,T25,T25,Jeff Sluman,69.71,488,7
26,T27,T27,Dudley Hart,69.83,419,6
27,T27,T27,Jerry Kelly,69.83,838,12
28,29,29,Shane Bertsch,69.88,559,8
29,30,30,Ryuji Imada,69.89,629,9
30,31,31,Jim Furyk,69.9,1398,20
31,32,32,Luke Donald,69.91,769,11
32,T33,T33,Paul Azinger,70.0,420,6
33,T33,T33,"John Engler, Jr.",70.0,210,3
34,T33,T33,Mathew Goggin,70.0,280,4
35,T33,T33,Scott Gutschewski,70.0,350,5
36,T33,T33,Patrick Sheehan,70.0,350,5
37,T33,T33,Vaughn Taylor,70.0,840,12
38,39,39,Brett Quigley,70.06,1121,16
39,40,40,Nick Watney,70.1,701,10
40,41,41,Bernhard Langer,70.14,491,7
41,42,42,David Toms,70.18,772,11
42,T43,T43,Woody Austin,70.2,702,10
43,T43,T43,Carl Pettersson,70.2,702,10
44,45,45,Brett Wetterich,70.22,632,9
45,T46,T46,Brian Bateman,70.25,281,4
46,T46,T46,David Branshaw,70.25,562,8
47,T46,T46,Joey Sindelar,70.25,562,8
48,49,49,Jesper Parnevik,70.29,492,7
49,T50,T50,Joe Durant,70.33,1055,15
50,T50,T50,Charles Howell III,70.33,422,6
51,T50,T50,Kent Jones,70.33,422,6
52,T50,T50,Tim Petrovic,70.33,211,3
53,T50,T50,Tjaart van der Walt,70.33,211,3
54,T55,T55,Jonathan Byrd,70.38,563,8
55,T55,T55,D.J. Trahan,70.38,563,8
56,57,57,Scott Verplank,70.4,704,10
57,58,58,Charles Warren,70.42,845,12
58,59,59,Rory Sabbatini,70.43,493,7
59,60,60,Camilo Villegas,70.44,634,9
60,61,61,Tom Pernice Jr.,70.46,916,13
