,Early_Scoring_Average_RANK THIS WEEK,Early_Scoring_Average_RANK LAST WEEK,Early_Scoring_Average_PLAYER NAME,Early_Scoring_Average_ROUNDS,Early_Scoring_Average_AVG,Early_Scoring_Average_TOTAL STROKES,Early_Scoring_Average_TOTAL EARLY ROUNDS
0,1,1,Jim Furyk,89,68.43,1916,28
1,2,2,Tiger Woods,55,68.53,1028,15
2,3,3,Steve Stricker,64,69.33,1872,27
3,4,4,Jonathan Byrd,66,69.44,2222,32
4,5,5,Justin Rose,98,69.45,2917,42
5,6,6,Phil Mickelson,74,69.47,2084,30
6,7,7,Arron Oberholser,82,69.62,2576,37
7,8,8,Briny Baird,81,69.78,2233,32
8,9,9,Trevor Immelman,86,69.81,2513,36
9,10,10,Daniel Chopra,110,69.84,3073,44
10,11,11,Adam Scott,70,69.85,1886,27
11,12,12,Lucas Glover,105,69.91,3146,45
12,T13,T13,Brian Gay,107,70.02,3711,53
13,T13,T13,Vijay Singh,103,70.02,2941,42
14,15,15,Luke Donald,66,70.04,1891,27
15,16,16,Bo Van Pelt,102,70.17,3298,47
16,17,17,Brett Quigley,109,70.2,3089,44
17,18,18,Jesper Parnevik,84,70.23,3090,44
18,19,19,Tom Pernice Jr.,108,70.26,3513,50
19,20,20,Hunter Mahan,98,70.28,3514,50
20,21,21,Robert Allenby,79,70.33,2532,36
21,22,22,Mike Weir,88,70.34,2673,38
22,23,23,Brent Geiberger,99,70.35,3658,52
23,24,24,Mark Wilson,79,70.37,3026,43
24,T25,T25,Joe Ogilvie,95,70.39,3238,46
25,T25,T25,John Senden,96,70.39,3449,49
26,T25,T25,Kevin Sutherland,100,70.39,3449,49
27,T28,T28,Stewart Cink,93,70.41,2887,41
28,T28,T28,Brett Wetterich,82,70.41,2605,37
29,30,30,David Branshaw,98,70.42,3662,52
30,31,31,David Toms,76,70.44,1902,27
31,32,32,Daisuke Maruyama,83,70.46,2889,41
32,T33,T33,Harrison Frazar,95,70.47,3171,45
33,T33,T33,Shigeki Maruyama,94,70.47,3453,49
34,35,35,Charley Hoffman,100,70.48,2960,42
35,36,36,Jason Bohn,104,70.51,3878,55
36,T37,T37,Steve Elkington,52,70.52,1763,25
37,T37,T37,Steve Flesch,119,70.52,4584,65
38,39,39,Davis Love III,85,70.54,2751,39
39,T40,T40,Rod Pampling,89,70.57,2964,42
40,T40,T40,Scott Verplank,88,70.57,2964,42
41,42,42,Greg Owen,79,70.68,2615,37
42,43,43,Padraig Harrington,54,70.7,1626,23
43,44,44,Ryuji Imada,105,70.71,3889,55
44,45,45,Charles Warren,93,70.72,3253,46
