,First_Tee_Early_Par_3_Scoring_Average_RANK THIS WEEK,First_Tee_Early_Par_3_Scoring_Average_RANK LAST WEEK,First_Tee_Early_Par_3_Scoring_Average_PLAYER NAME,First_Tee_Early_Par_3_Scoring_Average_ROUNDS,First_Tee_Early_Par_3_Scoring_Average_AVG,First_Tee_Early_Par_3_Scoring_Average_TOTAL STROKES,First_Tee_Early_Par_3_Scoring_Average_TOTAL HOLES
0,1,1,Jim Furyk,89,2.9,174,60
1,T2,T2,Richard Johnson,94,2.93,287,98
2,T2,T2,José María Olazábal,62,2.93,270,92
3,T4,T4,Trevor Immelman,86,2.95,254,86
4,T4,T4,Bo Van Pelt,102,2.95,354,120
5,T6,T6,Brian Gay,107,2.96,358,121
6,T6,T6,Phil Mickelson,74,2.96,216,73
7,T6,T6,Joe Ogilvie,95,2.96,418,141
8,T6,T6,Chris Smith,67,2.96,157,53
9,T10,T10,Chad Campbell,91,2.97,327,110
10,T10,T10,J.P. Hayes,55,2.97,181,61
11,T10,T10,J.L. Lewis,57,2.97,202,68
12,T10,T10,Arron Oberholser,82,2.97,273,92
13,T10,T10,Corey Pavin,74,2.97,276,93
14,T15,T15,Tim Clark,80,2.98,283,95
15,T15,T15,Padraig Harrington,54,2.98,155,52
16,T15,T15,Adam Scott,70,2.98,191,64
17,T18,T18,Tommy Armour III,65,2.99,260,87
18,T18,T18,Carlos Franco,86,2.99,314,105
19,T18,T18,Charley Hoffman,100,2.99,290,97
20,T18,T18,Greg Kraft,79,2.99,269,90
21,T18,T18,Stephen Leaney,84,2.99,350,117
22,T18,T18,Ted Purdy,103,2.99,353,118
23,T18,T18,Kirk Triplett,58,2.99,203,68
24,T18,T18,Ron Whittaker,81,2.99,341,114
25,T26,T26,Stephen Ames,63,3.0,264,88
26,T26,T26,Jonathan Byrd,66,3.0,222,74
27,T26,T26,Stewart Cink,93,3.0,348,116
28,T26,T26,Bob Estes,85,3.0,312,104
29,T26,T26,Retief Goosen,68,3.0,144,48
30,T26,T26,Sean O'Hair,100,3.0,507,169
31,T26,T26,David Toms,76,3.0,165,55
32,T26,T26,Scott Verplank,88,3.0,246,82
33,T26,T26,Dean Wilson,115,3.0,507,169
34,T35,T35,Briny Baird,81,3.01,208,69
35,T35,T35,Alex Cejka,93,3.01,340,113
36,T35,T35,Steve Flesch,119,3.01,475,158
37,T35,T35,Brent Geiberger,99,3.01,428,142
38,T35,T35,Shigeki Maruyama,94,3.01,388,129
39,T35,T35,Geoff Ogilvy,76,3.01,274,91
40,T35,T35,Justin Rose,98,3.01,295,98
41,T35,T35,Mike Sposa,68,3.01,268,89
42,T43,T43,Daniel Chopra,110,3.02,281,93
43,T43,T43,Ben Crane,85,3.02,353,117
44,T43,T43,Bubba Dickerson,98,3.02,390,129
45,T43,T43,Steve Elkington,52,3.02,145,48
46,T43,T43,J.J. Henry,96,3.02,378,125
47,T43,T43,Brandt Jobe,91,3.02,402,133
48,T43,T43,Jesper Parnevik,84,3.02,341,113
49,T43,T43,Tom Pernice Jr.,108,3.02,335,111
50,T43,T43,Rory Sabbatini,84,3.02,396,131
51,T43,T43,Jeff Sluman,101,3.02,408,135
52,T53,T53,Arjun Atwal,97,3.03,300,99
53,T53,T53,Doug Barron,74,3.03,242,80
54,T53,T53,Marco Dawson,87,3.03,315,104
55,T53,T53,Sergio Garcia,59,3.03,218,72
56,T53,T53,Charles Howell III,96,3.03,452,149
57,T53,T53,Daisuke Maruyama,83,3.03,306,101
58,T53,T53,Jason Schultz,77,3.03,230,76
59,T53,T53,Heath Slocum,96,3.03,433,143
60,T53,T53,Kevin Sutherland,100,3.03,385,127
61,T53,T53,Duffy Waldorf,96,3.03,391,129
62,T63,T63,Billy Andrade,78,3.04,346,114
63,T63,T63,Robert Damron,91,3.04,286,94
64,T63,T63,Nathan Green,108,3.04,371,122
65,T63,T63,Steve Stricker,64,3.04,137,45
66,T63,T63,D.J. Trahan,92,3.04,392,129
67,T63,T63,Jimmy Walker,60,3.04,210,69
68,T69,T69,Aaron Baddeley,78,3.05,259,85
69,T69,T69,Jason Bohn,104,3.05,485,159
70,T69,T69,Mark Brooks,90,3.05,335,110
71,T69,T69,Greg Chalmers,71,3.05,335,110
72,T69,T69,K.J. Choi,93,3.05,510,167
73,T69,T69,Lucas Glover,105,3.05,393,129
74,T69,T69,Mathias Grönberg,92,3.05,305,100
75,T69,T69,Ryuji Imada,105,3.05,436,143
76,T69,T69,Tom Lehman,70,3.05,247,81
77,T69,T69,Justin Leonard,83,3.05,290,95
78,T69,T69,Peter Lonard,77,3.05,338,111
79,T69,T69,Davis Love III,85,3.05,329,108
80,T69,T69,Ryan Moore,68,3.05,223,73
81,T69,T69,Ian Poulter,53,3.05,171,56
82,T69,T69,Brett Quigley,109,3.05,332,109
83,T69,T69,Jerry Smith,94,3.05,369,121
84,T85,T85,John Cook,67,3.06,306,100
85,T85,T85,Fred Couples,52,3.06,208,68
86,T85,T85,Kris Cox,83,3.06,334,109
87,T85,T85,Luke Donald,66,3.06,159,52
88,T85,T85,Joe Durant,101,3.06,364,119
89,T85,T85,Dudley Hart,83,3.06,334,109
90,T85,T85,Hunter Mahan,98,3.06,386,126
91,T85,T85,D.A. Points,82,3.06,349,114
92,T85,T85,Patrick Sheehan,104,3.06,426,139
93,T85,T85,Vaughn Taylor,88,3.06,386,126
94,T95,T95,Michael Allen,84,3.07,371,121
95,T95,T95,Robert Allenby,79,3.07,310,101
96,T95,T95,Brian Davis,92,3.07,347,113
97,T95,T95,Jon Mills,68,3.07,270,88
98,T95,T95,Ryan Palmer,101,3.07,436,142
99,T95,T95,Vijay Singh,103,3.07,249,81
100,T95,T95,Paul Stankowski,70,3.07,264,86
101,T102,T102,Olin Browne,108,3.08,520,169
102,T102,T102,Danny Ellis,68,3.08,311,101
103,T102,T102,Todd Fischer,101,3.08,404,131
104,T102,T102,Jeff Gove,91,3.08,326,106
105,T102,T102,John Huston,74,3.08,302,98
106,T102,T102,Jeff Maggert,81,3.08,286,93
107,T102,T102,Bob May,65,3.08,222,72
108,T102,T102,Billy Mayfair,94,3.08,382,124
109,T102,T102,Jeff Overton,95,3.08,471,153
110,T102,T102,Pat Perez,50,3.08,222,72
111,T102,T102,Tim Petrovic,95,3.08,443,144
112,T102,T102,John Senden,96,3.08,397,129
113,T102,T102,Bob Tway,81,3.08,277,90
114,T102,T102,Charles Warren,93,3.08,370,120
115,T102,T102,Mike Weir,88,3.08,336,109
116,T102,T102,Mark Wilson,79,3.08,327,106
117,T118,T118,Stuart Appleby,83,3.09,241,78
118,T118,T118,Craig Barlow,77,3.09,297,96
119,T118,T118,Henrik Bjornstad,97,3.09,399,129
120,T118,T118,David Branshaw,98,3.09,436,141
121,T118,T118,Ben Curtis,86,3.09,365,118
122,T118,T118,Zach Johnson,98,3.09,324,105
123,T118,T118,David McKenzie,82,3.09,315,102
124,T118,T118,Shaun Micheel,96,3.09,303,98
125,T118,T118,Larry Mize,53,3.09,213,69
126,T118,T118,Kenny Perry,73,3.09,290,94
127,T128,T128,Eric Axley,91,3.1,316,102
128,T128,T128,Rich Beem,85,3.1,387,125
129,T128,T128,Jeff Brehaut,100,3.1,378,122
130,T128,T128,John Daly,51,3.1,285,92
131,T128,T128,Chris DiMarco,83,3.1,298,96
132,T128,T128,Ernie Els,69,3.1,149,48
133,T128,T128,Brad Faxon,78,3.1,390,126
134,T128,T128,Bill Haas,99,3.1,421,136
135,T128,T128,J.B. Holmes,81,3.1,326,105
136,T128,T128,Lee Janzen,79,3.1,316,102
137,T128,T128,Skip Kendall,72,3.1,254,82
138,T128,T128,Rod Pampling,89,3.1,338,109
139,T128,T128,"Wes Short, Jr.",96,3.1,384,124
140,T128,T128,Nick Watney,97,3.1,369,119
141,T142,T142,Paul Azinger,87,3.11,354,114
142,T142,T142,Steve Lowery,99,3.11,457,147
143,T142,T142,Omar Uresti,61,3.11,289,93
144,T142,T142,Camilo Villegas,95,3.11,292,94
145,T146,T146,Chris Couch,75,3.12,228,73
146,T146,T146,Fred Funk,106,3.12,458,147
147,T146,T146,Troy Matteson,101,3.12,352,113
148,T146,T146,Carl Pettersson,95,3.12,456,146
149,T146,T146,Bubba Watson,83,3.12,321,103
150,T146,T146,Brett Wetterich,82,3.12,293,94
151,T152,T152,Bart Bryant,87,3.13,375,120
152,T152,T152,Robert Garrigus,85,3.13,313,100
153,T152,T152,Paul Goydos,72,3.13,291,93
154,T152,T152,Bernhard Langer,77,3.13,291,93
155,T152,T152,Thomas Levet,53,3.13,225,72
156,T152,T152,Chris Riley,86,3.13,297,95
157,T152,T152,John Rollins,93,3.13,269,86
158,T152,T152,Tiger Woods,55,3.13,50,16
159,T160,T160,Woody Austin,107,3.14,458,146
160,T160,T160,Michael Connell,51,3.14,132,42
161,T160,T160,James Driscoll,80,3.14,317,101
162,T160,T160,Harrison Frazar,95,3.14,327,104
163,T160,T160,Freddie Jacobson,56,3.14,201,64
164,T165,T165,Tim Herron,82,3.15,368,117
165,T165,T165,David Howell,52,3.15,214,68
166,T165,T165,Kent Jones,103,3.15,514,163
167,T165,T165,Greg Owen,79,3.15,252,80
168,T165,T165,Hidemichi Tanaka,74,3.15,246,78
169,T170,T170,Mark Calcavecchia,94,3.16,404,128
170,T170,T170,Mathew Goggin,72,3.16,278,88
171,T170,T170,Frank Lickliter II,99,3.16,373,118
172,T173,T173,Alex Aragon,63,3.17,257,81
173,T173,T173,Shane Bertsch,104,3.17,425,134
174,T173,T173,Robert Gamez,94,3.17,478,151
175,T173,T173,Jerry Kelly,100,3.17,323,102
176,T173,T173,Tag Ridings,103,3.17,361,114
177,T178,T178,David Duval,71,3.18,394,124
178,T178,T178,Todd Hamilton,72,3.18,413,130
179,T178,T178,Matt Hansen,68,3.18,270,85
180,T178,T178,Jonathan Kaye,95,3.18,321,101
181,T178,T178,Will MacKenzie,91,3.18,286,90
182,T183,T183,"John Engler, Jr.",69,3.19,204,64
183,T183,T183,Len Mattiace,59,3.19,182,57
184,T183,T183,Joey Sindelar,90,3.19,364,114
185,T183,T183,Nicholas Thompson,96,3.19,364,114
186,T183,T183,Tjaart van der Walt,60,3.19,271,85
187,188,188,Scott Gutschewski,53,3.2,131,41
188,T189,T189,Jason Gore,86,3.21,388,121
189,T189,T189,Ryan Hietala,61,3.21,263,82
190,T189,T189,Steve Jones,83,3.21,375,117
191,T189,T189,Ian Leggatt,80,3.21,273,85
192,T189,T189,Mark O'Meara,52,3.21,250,78
193,T189,T189,Vance Veazey,59,3.21,273,85
194,195,195,Brian Bateman,69,3.23,210,65
195,196,196,Roger Tambellini,64,3.28,187,57
