,Par_Breakers_RANK THIS WEEK,Par_Breakers_RANK LAST WEEK,Par_Breakers_PLAYER NAME,Par_Breakers_ROUNDS,Par_Breakers_%,Par_Breakers_# BIRDIES/EAGLES,Par_Breakers_# HOLES
0,1,1,Tiger Woods,55,27.14,254,936
1,2,2,Phil Mickelson,74,25.12,312,1242
2,3,3,Jonathan Byrd,66,24.07,286,1188
3,4,4,Daniel Chopra,110,23.26,448,1926
4,5,5,Brett Wetterich,82,23.04,340,1476
5,6,6,Vaughn Taylor,88,22.98,364,1584
6,7,7,Lucas Glover,105,22.77,414,1818
7,8,8,Jim Furyk,89,22.73,360,1584
8,9,9,Justin Rose,98,22.63,387,1710
9,10,10,Vijay Singh,103,22.61,407,1800
10,11,11,Charley Hoffman,100,22.51,397,1764
11,12,12,Adam Scott,70,22.39,274,1224
12,13,13,Harrison Frazar,95,22.28,365,1638
13,T14,T14,J.P. Hayes,55,22.22,220,990
14,T14,T14,Steve Stricker,64,22.22,248,1116
15,16,16,Davis Love III,85,22.15,303,1368
16,17,17,David Toms,76,21.9,272,1242
17,18,18,Robert Garrigus,85,21.89,327,1494
18,19,19,Hunter Mahan,98,21.88,386,1764
19,20,20,Bo Van Pelt,102,21.84,401,1836
20,21,21,Sergio Garcia,59,21.82,216,990
21,22,22,Nick Watney,97,21.81,373,1710
22,23,23,Robert Allenby,79,21.79,302,1386
23,24,24,Trevor Immelman,86,21.77,337,1548
24,25,25,J.B. Holmes,81,21.65,300,1386
25,26,26,Craig Barlow,77,21.61,284,1314
26,27,27,John Rollins,93,21.49,352,1638
27,28,28,Briny Baird,81,21.43,297,1386
28,29,29,Ben Crane,85,21.39,308,1440
29,30,30,Stuart Appleby,83,21.37,300,1404
30,31,31,David Howell,52,21.36,173,810
31,32,32,Ryan Palmer,101,21.32,380,1782
32,T33,T33,Frank Lickliter II,99,21.31,372,1746
33,T33,T33,Bubba Watson,83,21.31,303,1422
34,35,35,Eric Axley,91,21.29,341,1602
35,36,36,Luke Donald,66,21.25,241,1134
36,37,37,Mike Weir,88,21.24,325,1530
