,Round_4_Scoring_Average_RANK THIS WEEK,Round_4_Scoring_Average_RANK LAST WEEK,Round_4_Scoring_Average_PLAYER NAME,Round_4_Scoring_Average_AVG,Round_4_Scoring_Average_TOTAL STROKES,Round_4_Scoring_Average_TOTAL ROUNDS
0,1,1,Tiger Woods,68.75,825,12
1,2,2,Steve Stricker,69.27,1039,15
2,3,3,Omar Uresti,69.5,556,8
3,4,4,Jim Furyk,69.71,1464,21
4,5,5,Stewart Cink,69.8,1396,20
5,6,6,Brian Gay,69.82,1536,22
6,7,7,Brett Quigley,69.95,1399,20
7,T8,T8,Eric Axley,70.0,1120,16
8,T8,T8,Paul Azinger,70.0,1120,16
9,T8,T8,Billy Mayfair,70.0,1260,18
10,T8,T8,Jesper Parnevik,70.0,1190,17
11,12,12,Dudley Hart,70.07,1051,15
12,13,13,Steve Elkington,70.11,631,9
13,T14,T14,Luke Donald,70.13,1052,15
14,T14,T14,Adam Scott,70.13,1122,16
15,16,16,Bob May,70.18,772,11
16,17,17,Ryuji Imada,70.19,1474,21
17,18,18,Kent Jones,70.21,1334,19
18,19,19,Brett Wetterich,70.25,1124,16
19,20,20,Shigeki Maruyama,70.28,1265,18
20,21,21,Jimmy Walker,70.33,633,9
21,22,22,Paul Goydos,70.36,774,11
22,23,23,Tom Pernice Jr.,70.37,1337,19
23,24,24,Vaughn Taylor,70.39,1267,18
24,25,25,Joe Ogilvie,70.41,1197,17
25,26,26,Brian Davis,70.44,1268,18
26,27,27,Jonathan Byrd,70.46,916,13
27,T28,T28,Jeff Gove,70.47,1057,15
28,T28,T28,Trevor Immelman,70.47,1339,19
29,T28,T28,Stephen Leaney,70.47,1057,15
30,31,31,Hunter Mahan,70.48,1480,21
31,T32,T32,Stephen Ames,70.5,846,12
32,T32,T32,Greg Chalmers,70.5,423,6
33,T32,T32,Corey Pavin,70.5,846,12
34,35,35,Jeff Brehaut,70.53,1058,15
35,36,36,Fred Funk,70.54,1693,24
36,37,37,Frank Lickliter II,70.55,1411,20
37,38,38,Briny Baird,70.6,1059,15
38,39,39,José María Olazábal,70.62,918,13
39,40,40,Tjaart van der Walt,70.63,565,8
40,41,41,Bubba Watson,70.64,989,14
41,T42,T42,Michael Connell,70.67,212,3
42,T42,T42,David Toms,70.67,1060,15
43,44,44,Vijay Singh,70.71,1697,24
