,Bounce_Back_RANK THIS WEEK,Bounce_Back_RANK LAST WEEK,Bounce_Back_PLAYER NAME,Bounce_Back_ROUNDS,Bounce_Back_%
0,1,1,Vaughn Taylor,88,25.93
1,2,2,Brett Wetterich,82,25.71
2,3,3,Jim Furyk,89,25.6
3,4,4,David Toms,76,25.54
4,5,5,Ian Poulter,53,25.38
5,6,6,Nathan Green,108,24.92
6,7,7,John Senden,96,24.89
7,8,8,Jonathan Kaye,95,24.81
8,9,9,Tiger Woods,55,24.77
9,10,10,Brian Davis,92,24.71
10,11,11,Robert Garrigus,85,24.63
11,12,12,Jason Bohn,104,24.46
12,13,13,Carl Pettersson,95,24.14
13,14,14,Briny Baird,81,24.12
14,15,15,Robert Damron,91,24.1
15,16,16,Retief Goosen,68,23.78
16,17,17,Olin Browne,108,23.68
17,18,18,Sergio Garcia,59,23.56
18,19,19,J.P. Hayes,55,23.53
19,20,20,Dean Wilson,115,23.43
20,21,21,Phil Mickelson,74,23.33
21,22,22,Ted Purdy,103,23.3
22,T23,T23,Harrison Frazar,95,23.26
23,T23,T23,Padraig Harrington,54,23.26
24,25,25,J.J. Henry,96,22.99
25,26,26,Bubba Dickerson,98,22.95
26,27,27,Jonathan Byrd,66,22.64
27,28,28,Mathias Grönberg,92,22.61
28,29,29,Jesper Parnevik,84,22.54
29,30,30,Davis Love III,85,22.52
30,31,31,Frank Lickliter II,99,22.5
31,32,32,Bubba Watson,83,22.48
32,33,33,Camilo Villegas,95,22.46
33,34,34,Sean O'Hair,100,22.4
34,35,35,Vijay Singh,103,22.39
35,36,36,Ryuji Imada,105,22.34
36,37,37,Tom Pernice Jr.,108,22.22
37,T38,T38,Chris DiMarco,83,22.17
38,T38,T38,Geoff Ogilvy,76,22.17
39,40,40,Daniel Chopra,110,22.04
40,41,41,Bernhard Langer,77,22.0
41,42,42,Luke Donald,66,21.92
42,43,43,Woody Austin,107,21.85
43,44,44,Mike Weir,88,21.79
44,45,45,Dudley Hart,83,21.74
45,46,46,Nick Watney,97,21.64
46,47,47,Todd Fischer,101,21.55
47,48,48,Bo Van Pelt,102,21.4
48,T49,T49,Justin Rose,98,21.31
49,T49,T49,Kevin Sutherland,100,21.31
50,51,51,Richard Johnson,94,21.25
51,52,52,Will MacKenzie,91,21.19
52,53,53,Bob May,65,21.18
53,54,54,Charley Hoffman,100,21.11
54,55,55,Jeff Overton,95,21.07
55,56,56,Robert Gamez,94,21.02
56,57,57,Freddie Jacobson,56,20.99
57,T58,T58,Stephen Ames,63,20.96
58,T58,T58,John Huston,74,20.96
59,60,60,"Wes Short, Jr.",96,20.95
60,61,61,Omar Uresti,61,20.92
61,62,62,Bart Bryant,87,20.85
62,63,63,Shaun Micheel,96,20.82
63,64,64,J.L. Lewis,57,20.79
64,65,65,Greg Owen,79,20.73
65,66,66,Ernie Els,69,20.67
66,67,67,Joe Ogilvie,95,20.63
67,68,68,Shane Bertsch,104,20.52
68,69,69,Charles Howell III,96,20.44
69,70,70,Lucas Glover,105,20.42
70,71,71,Steve Flesch,119,20.4
71,T72,T72,Marco Dawson,87,20.32
72,T72,T72,Ryan Moore,68,20.32
73,74,74,John Rollins,93,20.28
74,75,75,Ryan Palmer,101,20.27
75,T76,T76,Michael Connell,51,20.22
76,T76,T76,John Daly,51,20.22
77,78,78,Rich Beem,85,20.16
78,79,79,Henrik Bjornstad,97,20.14
79,80,80,Mike Sposa,68,20.1
80,81,81,Robert Allenby,79,20.09
81,T82,T82,J.B. Holmes,81,20.08
82,T82,T82,Rod Pampling,89,20.08
83,T82,T82,Brett Quigley,109,20.08
84,85,85,Fred Funk,106,20.07
85,T86,T86,Arron Oberholser,82,20.0
86,T86,T86,Pat Perez,50,20.0
87,88,88,Brian Gay,107,19.92
88,89,89,Trevor Immelman,86,19.91
89,90,90,Tommy Armour III,65,19.9
90,91,91,Rory Sabbatini,84,19.83
91,92,92,Bill Haas,99,19.78
92,93,93,Shigeki Maruyama,94,19.77
93,94,94,Chris Smith,67,19.71
94,95,95,Chris Couch,75,19.69
95,96,96,David Branshaw,98,19.67
96,97,97,Greg Chalmers,71,19.64
97,T98,T98,Brent Geiberger,99,19.62
98,T98,T98,Brandt Jobe,91,19.62
99,100,100,Ben Crane,85,19.59
100,101,101,Scott Verplank,88,19.55
101,102,102,Mark Wilson,79,19.5
102,103,103,Jerry Kelly,100,19.47
103,104,104,Jason Gore,86,19.45
104,105,105,Carlos Franco,86,19.44
105,T106,T106,Chad Campbell,91,19.43
106,T106,T106,Ian Leggatt,80,19.43
107,108,108,Adam Scott,70,19.35
108,109,109,Peter Lonard,77,19.33
109,110,110,Aaron Baddeley,78,19.3
110,111,111,Brian Bateman,69,19.29
111,112,112,Eric Axley,91,19.28
112,113,113,José María Olazábal,62,19.25
113,114,114,David Howell,52,19.21
114,115,115,Craig Barlow,77,19.2
115,116,116,Duffy Waldorf,96,19.14
116,117,117,Tag Ridings,103,19.12
117,118,118,Roger Tambellini,64,19.03
118,119,119,Danny Ellis,68,18.95
119,120,120,Justin Leonard,83,18.94
120,121,121,Zach Johnson,98,18.91
121,122,122,Hunter Mahan,98,18.82
122,123,123,Tim Clark,80,18.81
123,124,124,Brad Faxon,78,18.8
124,125,125,Tjaart van der Walt,60,18.71
125,126,126,John Cook,67,18.68
126,127,127,Kent Jones,103,18.63
127,128,128,Jeff Gove,91,18.6
128,129,129,Kirk Triplett,58,18.56
129,130,130,D.A. Points,82,18.5
130,131,131,Stewart Cink,93,18.49
131,132,132,Skip Kendall,72,18.46
132,133,133,Ron Whittaker,81,18.45
133,T134,T134,Billy Andrade,78,18.36
134,T134,T134,Matt Hansen,68,18.36
135,136,136,Arjun Atwal,97,18.21
136,137,137,David McKenzie,82,18.1
137,138,138,Jon Mills,68,18.01
138,139,139,Jeff Maggert,81,17.97
139,140,140,Michael Allen,84,17.96
140,141,141,Lee Janzen,79,17.95
141,142,142,Daisuke Maruyama,83,17.78
142,143,143,Steve Stricker,64,17.74
143,144,144,Jeff Brehaut,100,17.73
144,145,145,Kenny Perry,73,17.67
145,146,146,Joey Sindelar,90,17.65
146,147,147,Kris Cox,83,17.57
147,148,148,Nicholas Thompson,96,17.52
148,149,149,Len Mattiace,59,17.39
149,150,150,Stuart Appleby,83,17.35
150,151,151,Bob Tway,81,17.28
151,152,152,James Driscoll,80,17.25
152,153,153,Vance Veazey,59,17.24
153,154,154,Jimmy Walker,60,17.2
154,155,155,Bob Estes,85,17.18
155,156,156,Alex Cejka,93,17.05
156,157,157,K.J. Choi,93,17.01
157,158,158,"John Engler, Jr.",69,16.95
158,159,159,Joe Durant,101,16.91
159,160,160,Doug Barron,74,16.89
160,161,161,Jerry Smith,94,16.86
161,T162,T162,Mark Calcavecchia,94,16.83
162,T162,T162,Paul Goydos,72,16.83
163,164,164,Mathew Goggin,72,16.82
164,165,165,Alex Aragon,63,16.8
165,166,166,Larry Mize,53,16.79
166,167,167,Jason Schultz,77,16.67
167,168,168,Tom Lehman,70,16.48
168,T169,T169,Scott Gutschewski,53,16.46
169,T169,T169,Mark O'Meara,52,16.46
170,171,171,Heath Slocum,96,16.28
171,172,172,Charles Warren,93,16.26
172,173,173,Hidemichi Tanaka,74,16.09
173,174,174,Stephen Leaney,84,16.02
174,175,175,Steve Elkington,52,15.97
175,176,176,Steve Lowery,99,15.94
176,177,177,Patrick Sheehan,104,15.85
177,178,178,Ryan Hietala,61,15.81
178,179,179,David Duval,71,15.79
179,180,180,Fred Couples,52,15.76
180,181,181,Chris Riley,86,15.57
181,182,182,Paul Azinger,87,15.52
182,183,183,Paul Stankowski,70,15.5
183,184,184,Greg Kraft,79,15.49
184,185,185,D.J. Trahan,92,15.3
185,186,186,Mark Brooks,90,15.27
186,187,187,Troy Matteson,101,15.12
187,T188,T188,Thomas Levet,53,14.84
188,T188,T188,Jeff Sluman,101,14.84
189,190,190,Ben Curtis,86,14.46
190,191,191,Todd Hamilton,72,14.29
191,192,192,Steve Jones,83,14.18
192,193,193,Tim Petrovic,95,14.08
193,194,194,Tim Herron,82,14.02
194,195,195,Billy Mayfair,94,13.15
195,196,196,Corey Pavin,74,12.29
