,Late_Round_2_Scoring_Average_RANK THIS WEEK,Late_Round_2_Scoring_Average_RANK LAST WEEK,Late_Round_2_Scoring_Average_PLAYER NAME,Late_Round_2_Scoring_Average_AVG,Late_Round_2_Scoring_Average_TOTAL STROKES,Late_Round_2_Scoring_Average_TOTAL ROUNDS
0,1,1,Ernie Els,68.4,342,5
1,T2,T2,Tim Clark,69.27,762,11
2,T2,T2,Kenny Perry,69.27,762,11
3,4,4,Luke Donald,69.4,694,10
4,T5,T5,Padraig Harrington,69.5,556,8
5,T5,T5,Scott Verplank,69.5,834,12
6,7,7,Stewart Cink,69.55,765,11
7,8,8,Frank Lickliter II,69.57,974,14
8,9,9,David Howell,69.63,557,8
9,10,10,Tiger Woods,69.67,418,6
10,11,11,Arron Oberholser,69.73,1046,15
11,12,12,Camilo Villegas,69.77,907,13
12,13,13,Stephen Ames,69.78,628,9
13,14,14,Joe Durant,69.8,1047,15
14,T15,T15,Ryuji Imada,69.92,909,13
15,T15,T15,Sean O'Hair,69.92,839,12
16,T17,T17,Kris Cox,69.93,979,14
17,T17,T17,Brett Quigley,69.93,979,14
18,T19,T19,Bernhard Langer,70.0,630,9
19,T19,T19,Bob May,70.0,700,10
20,21,21,Jeff Gove,70.07,981,14
21,22,22,Freddie Jacobson,70.1,701,10
22,23,23,Steve Elkington,70.11,631,9
23,T24,T24,Jeff Overton,70.13,1052,15
24,T24,T24,Ryan Palmer,70.13,1122,16
25,26,26,Bob Estes,70.15,912,13
26,27,27,Steve Stricker,70.17,421,6
27,28,28,Shane Bertsch,70.24,1194,17
28,29,29,Jason Bohn,70.27,1054,15
29,30,30,Stephen Leaney,70.29,984,14
30,31,31,Chad Campbell,70.3,703,10
31,32,32,Jim Furyk,70.31,914,13
32,T33,T33,Shigeki Maruyama,70.33,1055,15
33,T33,T33,José María Olazábal,70.33,633,9
34,T33,T33,Chris Smith,70.33,844,12
35,T36,T36,K.J. Choi,70.36,774,11
36,T36,T36,Fred Funk,70.36,985,14
37,T38,T38,Matt Hansen,70.4,704,10
38,T38,T38,Kevin Sutherland,70.4,1056,15
39,40,40,Robert Allenby,70.42,845,12
40,41,41,Paul Azinger,70.43,986,14
41,42,42,Billy Andrade,70.45,775,11
42,T43,T43,Bill Haas,70.47,1057,15
43,T43,T43,Jerry Smith,70.47,1057,15
44,T45,T45,Skip Kendall,70.5,705,10
45,T45,T45,David Toms,70.5,846,12
46,T47,T47,Craig Barlow,70.55,776,11
47,T47,T47,Brian Bateman,70.55,776,11
48,T49,T49,Stuart Appleby,70.57,988,14
49,T49,T49,Brett Wetterich,70.57,988,14
50,T51,T51,Steve Flesch,70.59,1200,17
51,T51,T51,Dean Wilson,70.59,1200,17
52,53,53,Harrison Frazar,70.6,1059,15
53,T54,T54,David Branshaw,70.64,989,14
54,T54,T54,Dudley Hart,70.64,777,11
55,T54,T54,Adam Scott,70.64,777,11
56,T57,T57,Brian Gay,70.7,707,10
57,T57,T57,Mike Sposa,70.7,707,10
58,T59,T59,Robert Gamez,70.73,1061,15
59,T59,T59,Ryan Moore,70.73,778,11
60,61,61,Greg Kraft,70.75,849,12
61,62,62,Tjaart van der Walt,70.78,637,9
62,T63,T63,Daniel Chopra,70.79,991,14
63,T63,T63,Kent Jones,70.79,991,14
64,65,65,Shaun Micheel,70.8,1062,15
65,T66,T66,Tim Herron,70.81,1133,16
66,T66,T66,Jeff Sluman,70.81,1133,16
67,T68,T68,Paul Goydos,70.82,779,11
68,T68,T68,J.P. Hayes,70.82,779,11
69,70,70,Scott Gutschewski,70.89,638,9
70,71,71,Vance Veazey,70.9,709,10
71,72,72,Brandt Jobe,70.92,922,13
72,73,73,Steve Lowery,70.93,1064,15
73,74,74,Nick Watney,70.94,1206,17
74,T75,T75,Sergio Garcia,71.0,497,7
75,T75,T75,Richard Johnson,71.0,994,14
76,T75,T75,Geoff Ogilvy,71.0,568,8
77,T75,T75,Charles Warren,71.0,994,14
78,T79,T79,Tim Petrovic,71.06,1137,16
79,T79,T79,John Senden,71.06,1137,16
80,T81,T81,Michael Allen,71.08,853,12
81,T81,T81,Mark Calcavecchia,71.08,853,12
82,83,83,Bo Van Pelt,71.09,782,11
83,84,84,Tommy Armour III,71.1,711,10
84,85,85,Alex Cejka,71.13,1067,15
85,T86,T86,Henrik Bjornstad,71.15,925,13
86,T86,T86,Bubba Dickerson,71.15,925,13
87,T88,T88,Eric Axley,71.17,854,12
88,T88,T88,Joey Sindelar,71.17,1281,18
89,T90,T90,Briny Baird,71.18,783,11
90,T90,T90,Mark Wilson,71.18,783,11
91,92,92,Woody Austin,71.19,1139,16
92,T93,T93,Nathan Green,71.23,926,13
93,T93,T93,Jesper Parnevik,71.23,926,13
94,T95,T95,Chris Riley,71.25,855,12
95,T95,T95,Rory Sabbatini,71.25,855,12
96,97,97,Greg Owen,71.27,784,11
97,98,98,Vijay Singh,71.29,1212,17
98,T99,T99,Peter Lonard,71.3,713,10
99,T99,T99,Phil Mickelson,71.3,713,10
100,T101,T101,John Cook,71.31,927,13
101,T101,T101,Will MacKenzie,71.31,927,13
102,T103,T103,Jonathan Byrd,71.33,642,9
103,T103,T103,Ben Crane,71.33,642,9
104,T103,T103,Zach Johnson,71.33,1070,15
105,T103,T103,Ian Poulter,71.33,428,6
106,T107,T107,Chris DiMarco,71.36,785,11
107,T107,T107,Duffy Waldorf,71.36,999,14
108,T109,T109,David Duval,71.38,928,13
109,T109,T109,Robert Garrigus,71.38,571,8
110,T109,T109,Jonathan Kaye,71.38,928,13
111,T109,T109,Jon Mills,71.38,928,13
112,T109,T109,"Wes Short, Jr.",71.38,1142,16
113,114,114,Justin Rose,71.42,857,12
114,T115,T115,J.J. Henry,71.43,1000,14
115,T115,T115,Charley Hoffman,71.43,1000,14
