,Scoring_Average_Before_Cut_RANK THIS WEEK,Scoring_Average_Before_Cut_RANK LAST WEEK,Scoring_Average_Before_Cut_PLAYER NAME,Scoring_Average_Before_Cut_AVG,Scoring_Average_Before_Cut_TOTAL STROKES,Scoring_Average_Before_Cut_TOTAL ROUNDS
0,1,1,Tiger Woods,68.79,1926,28
1,2,2,Jim Furyk,69.32,3258,47
2,3,3,Phil Mickelson,69.41,2568,37
3,4,4,Arron Oberholser,69.63,2994,43
4,5,5,Steve Stricker,69.64,2298,33
5,6,6,Ernie Els,69.78,2233,32
6,7,7,Adam Scott,69.83,2514,36
7,8,8,Luke Donald,69.85,2375,34
8,T9,T9,Jonathan Byrd,69.98,2939,42
9,T9,T9,Brian Gay,69.98,4479,64
10,11,11,Justin Rose,70.05,3923,56
11,12,12,Joe Durant,70.1,4066,58
12,13,13,Robert Allenby,70.17,2947,42
13,14,14,Charley Hoffman,70.18,4000,57
14,15,15,Mike Weir,70.2,3440,49
15,T16,T16,Trevor Immelman,70.23,3371,48
16,T16,T16,Bo Van Pelt,70.23,4003,57
17,18,18,Tim Clark,70.24,3161,45
18,19,19,Vijay Singh,70.25,3723,53
19,T20,T20,Daniel Chopra,70.31,4711,67
20,T20,T20,Scott Verplank,70.31,3445,49
21,22,22,David Howell,70.33,1688,24
22,23,23,Chad Campbell,70.36,3518,50
23,24,24,Mark Wilson,70.38,3308,47
24,25,25,Steve Flesch,70.4,4717,67
25,26,26,Stewart Cink,70.42,3380,48
26,T27,T27,Zach Johnson,70.44,3522,50
27,T27,T27,John Senden,70.44,4015,57
28,29,29,Ryan Palmer,70.46,4298,61
29,30,30,Ryuji Imada,70.49,4300,61
30,31,31,Frank Lickliter II,70.51,4160,59
31,32,32,Nick Watney,70.53,4161,59
32,T33,T33,Stephen Ames,70.54,2751,39
33,T33,T33,Jason Bohn,70.54,4162,59
34,35,35,Kevin Sutherland,70.56,4163,59
35,36,36,Jesper Parnevik,70.59,3600,51
36,37,37,Rory Sabbatini,70.61,3460,49
37,38,38,Stuart Appleby,70.62,2966,42
38,T39,T39,Bob Estes,70.63,3673,52
39,T39,T39,Lucas Glover,70.63,4238,60
40,T39,T39,Jerry Smith,70.63,4167,59
41,42,42,Padraig Harrington,70.64,1978,28
42,T43,T43,Brandt Jobe,70.67,3816,54
43,T43,T43,David Toms,70.67,2756,39
44,T43,T43,Dean Wilson,70.67,4876,69
45,T46,T46,Hunter Mahan,70.68,4029,57
46,T46,T46,Charles Warren,70.68,3746,53
47,T48,T48,Michael Allen,70.69,3676,52
48,T48,T48,Harrison Frazar,70.69,4100,58
49,T48,T48,Nathan Green,70.69,4100,58
50,51,51,Jeff Sluman,70.7,4313,61
51,52,52,Greg Owen,70.71,3394,48
52,T53,T53,Briny Baird,70.73,3395,48
53,T53,T53,Brent Geiberger,70.73,4173,59
54,T55,T55,Olin Browne,70.74,4315,61
55,T55,T55,K.J. Choi,70.74,3537,50
56,T55,T55,Brett Quigley,70.74,4598,65
57,58,58,Skip Kendall,70.75,3113,44
58,T59,T59,Steve Elkington,70.76,2406,34
59,T59,T59,José María Olazábal,70.76,2335,33
60,61,61,Billy Andrade,70.79,3398,48
61,T62,T62,Bernhard Langer,70.8,3257,46
62,T62,T62,Davis Love III,70.8,3186,45
63,64,64,David Branshaw,70.81,4178,59
64,65,65,Craig Barlow,70.82,3187,45
65,66,66,Woody Austin,70.84,4534,64
66,T67,T67,Ben Crane,70.85,3330,47
67,T67,T67,Ryan Moore,70.85,2905,41
68,T69,T69,Fred Funk,70.86,4110,58
69,T69,T69,J.J. Henry,70.86,4039,57
