,Bogey_Average_RANK THIS WEEK,Bogey_Average_RANK LAST WEEK,Bogey_Average_PLAYER NAME,Bogey_Average_EVENTS,Bogey_Average_AVERAGE BOGEYS PER ROUND,Bogey_Average_TOTAL BOGEYS,Bogey_Average_ROUNDS PLAYED
0,1,1,Jim Furyk,24,1.91,168,88
1,2,2,Steve Stricker,17,2.02,125,62
2,3,3,Tiger Woods,15,2.04,106,52
3,4,4,Steve Elkington,17,2.06,105,51
4,5,5,Luke Donald,18,2.17,137,63
5,6,6,Ian Poulter,15,2.19,114,52
6,7,7,Greg Owen,24,2.25,173,77
7,8,8,Frank Lickliter II,29,2.29,222,97
8,T9,T9,Jonathan Byrd,20,2.3,152,66
9,T9,T9,John Senden,28,2.3,214,93
10,11,11,Stephen Leaney,27,2.32,195,84
11,12,12,Brian Gay,31,2.33,249,107
12,13,13,Padraig Harrington,15,2.36,118,50
13,14,14,Jesper Parnevik,24,2.37,199,84
14,15,15,Scott Verplank,25,2.38,205,86
15,16,16,David Branshaw,29,2.39,234,98
16,T17,T17,Steve Flesch,33,2.43,280,115
17,T17,T17,Richard Johnson,29,2.43,228,94
18,T19,T19,Jeff Gove,29,2.44,212,87
19,T19,T19,Trevor Immelman,24,2.44,210,86
20,T21,T21,Eric Axley,29,2.45,218,89
21,T21,T21,Paul Azinger,30,2.45,213,87
22,T23,T23,Justin Rose,28,2.47,235,95
23,T23,T23,Tjaart van der Walt,21,2.47,141,57
24,T23,T23,Mark Wilson,24,2.47,188,76
25,T26,T26,K.J. Choi,26,2.48,228,92
26,T26,T26,Vijay Singh,27,2.48,248,100
27,T28,T28,Arron Oberholser,23,2.49,197,79
28,T28,T28,Omar Uresti,22,2.49,147,59
29,30,30,Brett Quigley,33,2.5,262,105
30,T31,T31,Bob Estes,25,2.51,213,85
31,T31,T31,Brent Geiberger,30,2.51,243,97
32,T31,T31,Jerry Kelly,31,2.51,251,100
33,T34,T34,Stephen Ames,21,2.52,156,62
34,T34,T34,Kevin Sutherland,29,2.52,242,96
35,T36,T36,Joe Durant,28,2.54,257,101
36,T36,T36,Billy Mayfair,29,2.54,239,94
37,T36,T36,Corey Pavin,23,2.54,178,70
38,T39,T39,Shaun Micheel,29,2.55,237,93
39,T39,T39,Joe Ogilvie,29,2.55,232,91
40,41,41,Bob May,21,2.56,159,62
41,42,42,Phil Mickelson,19,2.57,177,69
42,T43,T43,Robert Allenby,22,2.58,199,77
43,T43,T43,Skip Kendall,22,2.58,186,72
44,T43,T43,Steve Lowery,31,2.58,250,97
45,T43,T43,Heath Slocum,30,2.58,240,93
46,T43,T43,Charles Warren,27,2.58,232,90
47,T48,T48,Davis Love III,23,2.59,197,76
48,T48,T48,Nick Watney,29,2.59,246,95
49,T50,T50,Briny Baird,25,2.61,201,77
50,T50,T50,Chad Campbell,25,2.61,227,87
51,T50,T50,Ryan Palmer,30,2.61,258,99
52,T50,T50,Dean Wilson,34,2.61,290,111
53,T54,T54,Jason Bohn,29,2.62,272,104
54,T54,T54,Hunter Mahan,29,2.62,257,98
55,T54,T54,Bubba Watson,27,2.62,207,79
56,T57,T57,Bart Bryant,26,2.63,226,86
57,T57,T57,Paul Goydos,24,2.63,189,72
58,T57,T57,Freddie Jacobson,18,2.63,147,56
59,T57,T57,Zach Johnson,27,2.63,231,88
60,T57,T57,Shigeki Maruyama,30,2.63,242,92
61,T62,T62,Chris DiMarco,26,2.64,206,78
62,T62,T62,Charley Hoffman,29,2.64,259,98
63,T62,T62,Paul Stankowski,22,2.64,185,70
64,T65,T65,Jeff Brehaut,33,2.65,254,96
65,T65,T65,Larry Mize,18,2.65,135,51
66,T65,T65,David Toms,22,2.65,183,69
67,T68,T68,Billy Andrade,24,2.66,197,74
68,T68,T68,Stewart Cink,26,2.66,234,88
69,T68,T68,Bill Haas,30,2.66,255,96
70,T68,T68,Ryuji Imada,31,2.66,271,102
71,T68,T68,Ryan Moore,22,2.66,173,65
72,T73,T73,Tim Clark,22,2.67,211,79
73,T73,T73,Kris Cox,28,2.67,216,81
74,T73,T73,Ernie Els,18,2.67,171,64
75,T73,T73,Bernhard Langer,24,2.67,192,72
76,T73,T73,Duffy Waldorf,28,2.67,246,92
77,T73,T73,Mike Weir,24,2.67,227,85
78,T79,T79,Lucas Glover,31,2.68,271,101
79,T79,T79,Daisuke Maruyama,25,2.68,212,79
80,T79,T79,David McKenzie,28,2.68,214,80
81,T79,T79,Patrick Sheehan,34,2.68,268,100
82,T83,T83,Michael Allen,25,2.69,226,84
83,T83,T83,Stuart Appleby,23,2.69,210,78
84,T83,T83,Daniel Chopra,33,2.69,288,107
85,T83,T83,Danny Ellis,23,2.69,172,64
86,T83,T83,Fred Funk,29,2.69,282,105
87,T88,T88,Nathan Green,30,2.7,281,104
88,T88,T88,Troy Matteson,32,2.7,273,101
89,T88,T88,Geoff Ogilvy,20,2.7,189,70
90,T91,T91,Ben Curtis,26,2.71,233,86
91,T91,T91,Justin Leonard,26,2.71,214,79
92,T91,T91,Bo Van Pelt,28,2.71,276,102
93,T94,T94,Jonathan Kaye,32,2.72,250,92
94,T94,T94,Rory Sabbatini,24,2.72,226,83
95,T94,T94,Adam Scott,19,2.72,185,68
96,T94,T94,Brett Wetterich,25,2.72,223,82
97,T98,T98,Brian Davis,28,2.73,246,90
98,T98,T98,Retief Goosen,18,2.73,164,60
99,T98,T98,Jeff Overton,28,2.73,254,93
100,101,101,José María Olazábal,18,2.74,159,58
101,T102,T102,Harrison Frazar,29,2.75,250,91
102,T102,T102,Rod Pampling,24,2.75,231,84
103,T104,T104,Brandt Jobe,28,2.76,243,88
104,T104,T104,Jeff Sluman,29,2.76,279,101
105,T106,T106,Alex Cejka,30,2.77,252,91
106,T106,T106,Jerry Smith,29,2.77,255,92
107,T106,T106,D.J. Trahan,33,2.77,249,90
108,T106,T106,Camilo Villegas,29,2.77,258,93
109,110,110,Shane Bertsch,34,2.78,284,102
110,T111,T111,Arjun Atwal,33,2.79,265,95
111,T111,T111,Craig Barlow,22,2.79,204,73
112,T111,T111,John Cook,22,2.79,187,67
113,T111,T111,Ted Purdy,33,2.79,282,101
114,T111,T111,Joey Sindelar,29,2.79,251,90
115,T111,T111,Kirk Triplett,18,2.79,156,56
116,T117,T117,Ben Crane,26,2.8,224,80
117,T117,T117,Marco Dawson,27,2.8,244,87
118,T117,T117,J.J. Henry,28,2.8,260,93
119,T120,T120,Rich Beem,27,2.81,233,83
120,T120,T120,Dudley Hart,29,2.81,233,83
121,T120,T120,Greg Kraft,26,2.81,211,75
122,T120,T120,Sean O'Hair,30,2.81,275,98
123,T124,T124,Tommy Armour III,25,2.82,183,65
124,T124,T124,Brian Bateman,26,2.82,183,65
125,T126,T126,Mathew Goggin,26,2.83,198,70
126,T126,T126,Mathias Grönberg,30,2.83,252,89
127,T128,T128,Bubba Dickerson,32,2.84,273,96
128,T128,T128,Scott Gutschewski,19,2.84,145,51
129,T128,T128,Tom Pernice Jr.,33,2.84,295,104
130,T131,T131,Todd Fischer,35,2.85,282,99
131,T131,T131,J.P. Hayes,19,2.85,157,55
132,T133,T133,Will MacKenzie,29,2.86,252,88
133,T133,T133,John Rollins,28,2.86,260,91
134,T135,T135,Aaron Baddeley,25,2.87,218,76
