,Back_9_Scoring_Average_RANK THIS WEEK,Back_9_Scoring_Average_RANK LAST WEEK,Back_9_Scoring_Average_PLAYER NAME,Back_9_Scoring_Average_ROUNDS,Back_9_Scoring_Average_AVG,Back_9_Scoring_Average_TOTAL STROKES,Back_9_Scoring_Average_TOTAL HOLES
172,173,173,Greg Chalmers,71,36.12,2420,67
173,174,174,"Wes Short, Jr.",96,36.13,3396,94
174,175,175,Carlos Franco,86,36.16,3110,86
175,176,176,Mark Brooks,90,36.17,3219,89
176,T177,T177,Brad Faxon,78,36.18,2822,78
177,T177,T177,Kirk Triplett,58,36.18,2026,56
178,T179,T179,Matt Hansen,68,36.2,2389,66
179,T179,T179,Ryan Hietala,61,36.2,2136,59
180,T179,T179,Mark O'Meara,52,36.2,1810,50
181,182,182,Thomas Levet,53,36.22,1847,51
182,183,183,Tim Herron,82,36.25,2936,81
183,184,184,Sergio Garcia,59,36.29,1996,55
184,185,185,Mark Calcavecchia,94,36.3,3376,93
185,186,186,James Driscoll,80,36.31,2905,80
186,187,187,Michael Connell,51,36.33,1744,48
187,188,188,Len Mattiace,59,36.34,2144,59
188,189,189,Jon Mills,68,36.39,2402,66
189,190,190,Jason Gore,86,36.4,3058,84
190,191,191,J.L. Lewis,57,36.46,2078,57
191,192,192,Alex Aragon,63,36.67,2237,61
192,T193,T193,John Daly,51,36.69,1798,49
193,T193,T193,"John Engler, Jr.",69,36.69,2458,67
194,195,195,Hidemichi Tanaka,74,36.79,2686,73
195,196,196,Todd Hamilton,72,36.83,2652,72
