,Scrambling_from_the_Fringe_RANK THIS WEEK,Scrambling_from_the_Fringe_RANK LAST WEEK,Scrambling_from_the_Fringe_PLAYER NAME,Scrambling_from_the_Fringe_ROUNDS,Scrambling_from_the_Fringe_%,Scrambling_from_the_Fringe_SUCCESSES,Scrambling_from_the_Fringe_ATTEMPTS
0,1,1,Pat Perez,90,98.04,50,51
1,2,2,Michael Letzig,84,97.96,48,49
2,3,3,Alex Cejka,81,96.72,59,61
3,4,4,Chris Tidland,77,96.43,54,56
4,T5,T5,Jeff Gove,57,96.3,26,27
5,T5,T5,John Mallinger,78,96.3,52,54
6,7,7,Kevin Na,94,96.25,77,80
7,8,8,Greg Chalmers,93,95.65,66,69
8,9,9,Blake Adams,84,95.52,64,67
9,10,10,Charles Howell III,103,95.45,84,88
10,11,11,Daniel Chopra,74,95.38,62,65
11,12,12,Jeff Quinney,91,94.37,67,71
12,T13,T13,J.J. Henry,92,94.12,64,68
13,T13,T13,Freddie Jacobson,83,94.12,64,68
14,15,15,James Driscoll,78,93.85,61,65
15,16,16,Rickie Fowler,98,93.81,91,97
16,17,17,Scott Verplank,74,93.75,60,64
17,18,18,Bo Van Pelt,104,93.59,73,78
18,T19,T19,Cameron Beckman,68,93.55,58,62
19,T19,T19,Paul Casey,64,93.55,29,31
20,21,21,J.B. Holmes,100,93.52,101,108
21,22,22,Steve Stricker,73,93.48,43,46
22,23,23,Kevin Streelman,90,93.44,57,61
23,24,24,Tim Clark,88,93.42,71,76
24,T25,T25,Webb Simpson,98,93.33,84,90
25,T25,T25,Brandt Snedeker,89,93.33,84,90
26,T25,T25,Roland Thatcher,72,93.33,70,75
27,28,28,Retief Goosen,75,93.18,41,44
28,29,29,Carl Pettersson,99,93.1,81,87
29,30,30,Charley Hoffman,85,93.06,67,72
30,31,31,Luke Donald,71,93.02,40,43
31,32,32,Alex Prugh,88,92.98,53,57
32,33,33,Rocco Mediate,71,92.45,49,53
33,34,34,Matt Jones,89,92.42,61,66
34,T35,T35,Ryan Moore,80,92.31,48,52
35,T35,T35,Tom Pernice Jr.,74,92.31,48,52
36,37,37,Tim Petrovic,105,92.22,83,90
37,T38,T38,Steve Lowery,67,92.16,47,51
38,T38,T38,Michael Sim,64,92.16,47,51
39,40,40,Hunter Mahan,85,92.11,70,76
40,T41,T41,Graham DeLaet,88,92.06,58,63
41,T41,T41,Matt Every,60,92.06,58,63
42,T43,T43,Mathias Grönberg,61,92.0,46,50
43,T43,T43,Brett Wetterich,54,92.0,46,50
44,45,45,Charlie Wi,95,91.95,80,87
45,T46,T46,D.A. Points,90,91.94,57,62
46,T46,T46,Kevin Sutherland,86,91.94,57,62
47,48,48,Ernie Els,72,91.84,45,49
48,49,49,Brian Gay,101,91.82,101,110
49,T50,T50,Stuart Appleby,101,91.67,88,96
50,T50,T50,Justin Bolli,55,91.67,33,36
51,T50,T50,Craig Bowden,56,91.67,44,48
52,T50,T50,Sergio Garcia,58,91.67,33,36
53,T50,T50,Ian Poulter,55,91.67,33,36
54,55,55,Heath Slocum,97,91.55,65,71
55,T56,T56,Paul Goydos,78,91.43,64,70
56,T56,T56,Bryce Molder,84,91.43,64,70
57,T56,T56,Y.E. Yang,72,91.43,32,35
58,59,59,Scott Piercy,88,91.38,53,58
59,60,60,Ted Purdy,86,91.36,74,81
60,61,61,Matt Kuchar,97,91.18,62,68
61,62,62,K.J. Choi,82,91.11,41,45
62,63,63,Aaron Baddeley,94,91.04,61,67
63,T64,T64,Jeff Overton,89,90.91,60,66
64,T64,T64,Mike Weir,59,90.91,40,44
65,66,66,Phil Mickelson,76,90.74,49,54
66,67,67,John Merrick,109,90.63,58,64
67,68,68,Zach Johnson,93,90.54,67,74
68,69,69,Kenny Perry,69,90.48,38,42
69,70,70,Chris DiMarco,88,90.32,56,62
70,71,71,Josh Teater,101,90.28,65,72
71,72,72,Dean Wilson,54,90.24,37,41
72,73,73,Steve Elkington,74,90.14,64,71
73,74,74,Brendon de Jonge,114,90.12,73,81
74,75,75,Mathew Goggin,85,90.0,45,50
75,76,76,Mark Wilson,87,89.86,62,69
76,77,77,Justin Rose,78,89.83,53,59
77,T78,T78,Henrik Bjornstad,72,89.8,44,49
78,T78,T78,Padraig Harrington,57,89.8,44,49
79,80,80,Camilo Villegas,78,89.66,52,58
80,81,81,Scott McCarron,90,89.61,69,77
81,T82,T82,Michael Bradley,77,89.58,43,48
82,T82,T82,Ryan Palmer,84,89.58,86,96
83,84,84,Lee Janzen,77,89.55,60,67
84,85,85,James Nitties,92,89.39,59,66
85,T86,T86,Robert Allenby,76,89.36,42,47
86,T86,T86,Billy Mayfair,78,89.36,42,47
87,88,88,Ricky Barnes,103,89.33,67,75
88,T89,T89,Chris Riley,73,89.29,50,56
89,T89,T89,John Rollins,81,89.29,50,56
90,91,91,J.P. Hayes,79,89.09,49,55
91,T92,T92,Stephen Ames,75,88.89,48,54
92,T92,T92,Chris Couch,66,88.89,40,45
93,T92,T92,Robert Garrigus,71,88.89,56,63
94,T92,T92,George McNeill,79,88.89,48,54
95,96,96,Ryuji Imada,90,88.73,63,71
96,97,97,Jim Furyk,76,88.71,55,62
97,98,98,Tom Gillis,97,88.64,78,88
98,99,99,Ben Crane,85,88.41,61,69
99,T100,T100,Woody Austin,93,88.24,60,68
100,T100,T100,Bob Estes,79,88.24,45,51
101,T100,T100,Bill Haas,87,88.24,60,68
102,T100,T100,Richard Johnson,90,88.24,60,68
103,T104,T104,Ángel Cabrera,64,88.1,37,42
104,T104,T104,Trevor Immelman,55,88.1,37,42
105,T104,T104,Charles Warren,64,88.1,37,42
106,107,107,Rod Pampling,77,87.93,51,58
107,108,108,Will MacKenzie,72,87.88,58,66
108,109,109,Troy Merritt,86,87.84,65,74
109,T110,T110,Jonathan Byrd,85,87.5,56,64
110,T110,T110,Nathan Green,86,87.5,56,64
111,T110,T110,Dustin Johnson,83,87.5,49,56
112,T110,T110,Andres Romero,73,87.5,56,64
113,T110,T110,Bubba Watson,77,87.5,49,56
114,115,115,Marc Leishman,87,87.34,69,79
115,116,116,Jeff Maggert,76,87.3,55,63
116,117,117,Troy Matteson,84,87.14,61,70
117,118,118,Tim Herron,79,87.04,47,54
118,119,119,John Senden,103,86.84,66,76
119,120,120,Ben Curtis,78,86.79,46,53
120,121,121,Garrett Willis,82,86.76,59,68
121,T122,T122,Skip Kendall,58,86.67,39,45
122,T122,T122,Vijay Singh,75,86.67,39,45
123,124,124,Jason Bohn,84,86.52,77,89
124,125,125,Michael Connell,89,86.44,51,59
125,126,126,Martin Flores,75,86.36,57,66
126,127,127,Kris Blanks,91,86.3,63,73
127,128,128,Steve Flesch,78,86.27,44,51
128,129,129,Sean O'Hair,84,86.21,50,58
129,130,130,Matt Bettencourt,91,86.15,56,65
130,131,131,Rory McIlroy,54,86.11,31,36
131,132,132,Jason Day,82,85.94,55,64
132,133,133,Brett Quigley,96,85.92,61,71
133,134,134,David Toms,86,85.9,67,78
134,T135,T135,Chad Campbell,94,85.71,60,70
135,T135,T135,Chad Collins,87,85.71,54,63
136,T135,T135,Derek Lamely,81,85.71,54,63
137,138,138,Martin Laird,91,85.51,59,69
138,139,139,Greg Owen,69,85.48,53,62
139,T140,T140,Greg Kraft,52,85.42,41,48
140,T140,T140,Roger Tambellini,77,85.42,41,48
141,142,142,Kevin Johnson,62,85.37,35,41
142,T143,T143,Jerry Kelly,99,85.29,58,68
143,T143,T143,Joe Ogilvie,99,85.29,58,68
144,T143,T143,Kevin Stadler,86,85.29,58,68
145,146,146,Chris Wilson,65,85.19,46,54
146,T147,T147,Bill Lunde,79,85.0,51,60
147,T147,T147,Jarrod Lyle,54,85.0,34,40
148,T147,T147,Jay Williamson,76,85.0,51,60
149,T150,T150,Briny Baird,87,84.85,56,66
150,T150,T150,Geoff Ogilvy,62,84.85,28,33
151,T150,T150,Adam Scott,70,84.85,28,33
152,153,153,Jimmy Walker,82,84.78,39,46
153,T154,T154,Spencer Levin,110,84.75,50,59
154,T154,T154,Nick Watney,91,84.75,50,59
155,156,156,Justin Leonard,89,84.62,66,78
156,T157,T157,Cameron Percy,73,84.21,48,57
157,T157,T157,Steve Wheatcroft,74,84.21,32,38
158,159,159,David Duval,71,84.09,37,44
159,T160,T160,Rich Barcelo,70,84.0,42,50
160,T160,T160,Brian Davis,101,84.0,84,100
161,162,162,Jason Dufner,87,83.82,57,68
162,163,163,Lucas Glover,75,83.72,36,43
163,164,164,Stewart Cink,84,83.64,46,55
164,T165,T165,Davis Love III,79,83.33,45,54
165,T165,T165,Jeev Milkha Singh,59,83.33,40,48
166,167,167,Brent Delahoussaye,57,83.02,44,53
167,168,168,Mark Calcavecchia,50,82.93,34,41
168,169,169,Andrew McLardy,52,82.86,29,35
169,170,170,Vance Veazey,58,82.35,42,51
170,171,171,Brenden Pappas,66,82.14,46,56
171,172,172,D.J. Trahan,92,82.05,64,78
172,173,173,Cliff Kresge,50,82.0,41,50
173,174,174,Boo Weekley,88,81.97,50,61
174,175,175,Brian Stuard,81,81.67,49,60
175,176,176,Steve Marino,81,81.63,40,49
176,177,177,Vaughn Taylor,87,81.43,57,70
177,178,178,Shaun Micheel,70,81.25,52,64
178,179,179,Cameron Tringale,55,81.08,30,37
