,Scrambling_from_the_Sand_RANK THIS WEEK,Scrambling_from_the_Sand_RANK LAST WEEK,Scrambling_from_the_Sand_PLAYER NAME,Scrambling_from_the_Sand_ROUNDS,Scrambling_from_the_Sand_%,Scrambling_from_the_Sand_SUCCESSES,Scrambling_from_the_Sand_ATTEMPTS
0,1,1,Luke Donald,71,71.95,59,82
1,2,2,Carl Pettersson,99,69.29,97,140
2,3,3,Mike Weir,59,65.38,51,78
3,4,4,Chad Collins,87,65.14,71,109
4,5,5,Mark Wilson,87,64.94,50,77
5,6,6,Greg Chalmers,93,64.22,70,109
6,7,7,Brian Gay,101,63.57,82,129
7,8,8,Ricky Barnes,103,63.16,72,114
8,9,9,Matt Jones,89,63.11,77,122
9,10,10,Tim Clark,88,63.06,70,111
10,11,11,Trevor Immelman,55,62.71,37,59
11,12,12,Chris Riley,73,62.65,52,83
12,13,13,Rory Sabbatini,79,62.62,67,107
13,14,14,Pat Perez,90,61.62,61,99
14,15,15,Kevin Na,94,61.46,59,96
15,16,16,Stephen Ames,75,61.36,54,88
16,17,17,Michael Sim,64,61.11,44,72
17,18,18,Kevin Sutherland,86,60.98,50,82
18,19,19,Charlie Wi,95,60.95,64,105
19,20,20,Ryuji Imada,90,60.78,62,102
20,21,21,Scott McCarron,90,60.42,58,96
21,22,22,Justin Rose,78,60.34,70,116
22,23,23,Nathan Green,86,60.16,74,123
23,T24,T24,John Daly,63,60.0,36,60
24,T24,T24,Geoff Ogilvy,62,60.0,45,75
25,T24,T24,Brandt Snedeker,89,60.0,69,115
26,T24,T24,Camilo Villegas,78,60.0,45,75
27,28,28,Aron Price,70,59.42,41,69
28,29,29,Matt Kuchar,97,59.14,55,93
29,30,30,Retief Goosen,75,59.04,49,83
30,31,31,Zach Johnson,93,59.0,59,100
31,32,32,Ben Curtis,78,58.9,43,73
32,33,33,Chad Campbell,94,58.7,54,92
33,34,34,John Senden,103,58.67,44,75
34,35,35,Ian Poulter,55,58.57,41,70
35,36,36,Steve Stricker,73,58.54,48,82
36,37,37,Lucas Glover,75,58.46,38,65
37,38,38,Matt Bettencourt,91,58.42,59,101
38,T39,T39,David Lutterus,69,58.33,49,84
39,T39,T39,Charles Warren,64,58.33,21,36
40,41,41,Briny Baird,87,58.16,57,98
41,42,42,K.J. Choi,82,58.06,54,93
42,43,43,Padraig Harrington,57,57.97,40,69
43,44,44,Rory McIlroy,54,57.89,33,57
44,45,45,Jason Day,82,57.73,56,97
45,46,46,Aaron Baddeley,94,57.66,64,111
46,47,47,Jim Furyk,76,57.35,39,68
47,T48,T48,Phil Mickelson,76,57.14,52,91
48,T48,T48,Bo Van Pelt,104,57.14,72,126
49,50,50,Bryce Molder,84,57.02,65,114
50,51,51,Adam Scott,70,56.76,42,74
51,52,52,Ben Crane,85,56.6,60,106
52,53,53,Jay Williamson,76,56.47,48,85
53,54,54,Jerry Kelly,99,56.36,62,110
54,55,55,Brian Davis,101,56.16,82,146
55,56,56,Freddie Jacobson,83,56.07,60,107
56,T57,T57,J.P. Hayes,79,55.88,57,102
57,T57,T57,Heath Slocum,97,55.88,38,68
58,59,59,Tom Pernice Jr.,74,55.56,35,63
59,T60,T60,Martin Laird,91,55.42,46,83
60,T60,T60,Vijay Singh,75,55.42,46,83
61,T62,T62,Mathias Grönberg,61,55.0,33,60
62,T62,T62,Steve Wheatcroft,74,55.0,44,80
63,64,64,Omar Uresti,74,54.93,39,71
64,65,65,Vaughn Taylor,87,54.84,68,124
65,66,66,Michael Bradley,77,54.44,49,90
66,67,67,Brenden Pappas,66,54.43,43,79
67,68,68,Webb Simpson,98,54.17,65,120
