,Proximity_to_Hole_ARG_RANK THIS WEEK,Proximity_to_Hole_ARG_RANK LAST WEEK,Proximity_to_Hole_ARG_PLAYER NAME,Proximity_to_Hole_ARG_ROUNDS,Proximity_to_Hole_ARG_AVG DTP,Proximity_to_Hole_ARG_TOTAL DISTANCE (FEET),Proximity_to_Hole_ARG_# OF SHOTS,Proximity_to_Hole_ARG_SCRAMBLING RANK
0,1,1,Mike Weir,59,"5' 8""",1706.9170000000001,301,82
1,2,2,Justin Rose,78,"6' 1""",2883.333,473,13
2,3,3,Jim Furyk,76,"6' 2""",2393.0,388,16
3,T4,T4,Jonathan Byrd,85,"6' 3""",3044.167,488,34
4,T4,T4,Luke Donald,71,"6' 3""",2182.917,350,4
5,T6,T6,Steve Stricker,73,"6' 4""",2152.5,338,14
6,T6,T6,Omar Uresti,74,"6' 4""",2321.5,367,38
7,T8,T8,Chris Riley,73,"6' 5""",2536.25,396,6
8,T8,T8,Brandt Snedeker,89,"6' 5""",3384.917,529,43
9,T10,T10,K.J. Choi,82,"6' 6""",2463.083,380,20
10,T10,T10,Retief Goosen,75,"6' 6""",2391.75,366,12
11,T10,T10,Kevin Na,94,"6' 6""",3296.417,508,8
12,T13,T13,Alex Cejka,81,"6' 7""",2897.417,438,130
13,T13,T13,Brian Gay,101,"6' 7""",3526.25,539,2
14,T13,T13,Padraig Harrington,57,"6' 7""",2094.167,320,42
15,T13,T13,Charles Howell III,103,"6' 7""",3917.667,597,7
16,T13,T13,Marc Leishman,87,"6' 7""",3163.5,481,123
17,T13,T13,Shaun Micheel,70,"6' 7""",2346.667,355,40
18,T13,T13,Pat Perez,90,"6' 7""",3464.75,526,26
19,T13,T13,Tom Pernice Jr.,74,"6' 7""",2303.0,350,63
20,T13,T13,Jeev Milkha Singh,59,"6' 7""",2361.083,360,15
21,T13,T13,David Toms,86,"6' 7""",2884.667,439,39
22,T23,T23,Tim Clark,88,"6' 8""",2787.583,418,20
23,T23,T23,Freddie Jacobson,83,"6' 8""",3201.667,481,17
24,T23,T23,Phil Mickelson,76,"6' 8""",2728.5,409,31
25,T23,T23,Charlie Wi,95,"6' 8""",3818.333,574,3
26,T27,T27,Brian Davis,101,"6' 9""",4339.583,646,30
27,T27,T27,Cliff Kresge,50,"6' 9""",1892.75,279,77
28,T27,T27,John Mallinger,78,"6' 9""",2747.417,407,84
29,T27,T27,Michael Sim,64,"6' 9""",2361.917,351,35
30,T31,T31,Chad Collins,87,"6' 10""",3653.25,534,9
31,T31,T31,Chris DiMarco,88,"6' 10""",3496.667,509,29
32,T31,T31,Ryuji Imada,90,"6' 10""",4067.5,597,18
33,T31,T31,Jerry Kelly,99,"6' 10""",3559.667,518,100
34,T31,T31,Heath Slocum,97,"6' 10""",3158.083,462,19
35,T31,T31,Camilo Villegas,78,"6' 10""",2652.417,389,107
36,T31,T31,Dean Wilson,54,"6' 10""",1962.6670000000001,286,1
37,T38,T38,Briny Baird,87,"6' 11""",3294.5,478,37
38,T38,T38,Ricky Barnes,103,"6' 11""",3679.667,532,64
39,T38,T38,Jason Day,82,"6' 11""",3478.167,501,51
40,T38,T38,Sergio Garcia,58,"6' 11""",1655.4170000000001,238,161
41,T38,T38,Matt Kuchar,97,"6' 11""",3279.333,476,5
