,Scrambling_RANK THIS WEEK,Scrambling_RANK LAST WEEK,Scrambling_PLAYER NAME,Scrambling_ROUNDS,Scrambling_%,Scrambling_PAR OR BETTER,Scrambling_MISSED GIR
0,1,1,Dean Wilson,54,67.16,180,268
1,2,2,Brian Gay,101,66.51,429,645
2,3,3,Charlie Wi,95,65.56,375,572
3,4,4,Luke Donald,71,65.41,278,425
4,5,5,Matt Kuchar,97,64.69,339,524
5,6,6,Chris Riley,73,64.47,254,394
6,7,7,Charles Howell III,103,64.46,361,560
7,8,8,Kevin Na,94,64.45,368,571
8,9,9,Chad Collins,87,64.37,336,522
9,10,10,Greg Chalmers,93,64.32,366,569
10,11,11,Steve Elkington,74,64.23,246,383
11,12,12,Retief Goosen,75,63.91,278,435
12,13,13,Justin Rose,78,63.85,302,473
13,14,14,Steve Stricker,73,63.75,262,411
14,15,15,Jeev Milkha Singh,59,63.69,207,325
15,16,16,Jim Furyk,76,63.47,278,438
16,17,17,Freddie Jacobson,83,63.2,304,481
17,18,18,Ryuji Imada,90,63.13,363,575
18,19,19,Heath Slocum,97,62.87,320,509
19,T20,T20,K.J. Choi,82,62.67,277,442
20,T20,T20,Tim Clark,88,62.67,319,509
21,22,22,J.B. Holmes,100,62.48,388,621
22,23,23,Kevin Sutherland,86,62.44,271,434
23,24,24,Bryce Molder,84,62.4,312,500
24,25,25,Bo Van Pelt,104,62.33,359,576
25,26,26,Pat Perez,90,62.23,313,503
26,27,27,Mark Wilson,87,62.16,276,444
27,28,28,Carl Pettersson,99,62.06,368,593
28,29,29,Chris DiMarco,88,61.87,305,493
29,30,30,Brian Davis,101,61.85,415,671
30,31,31,Phil Mickelson,76,61.84,295,477
31,32,32,Sean O'Hair,84,61.83,290,469
32,33,33,Kenny Perry,69,61.74,234,379
33,34,34,Jonathan Byrd,85,61.66,283,459
34,35,35,Michael Sim,64,61.58,242,393
35,36,36,Graham DeLaet,88,61.56,261,424
36,37,37,Briny Baird,87,61.49,281,457
37,38,38,Omar Uresti,74,61.44,239,389
38,39,39,David Toms,86,61.29,304,496
39,40,40,Shaun Micheel,70,61.27,242,395
40,41,41,Ernie Els,72,61.23,248,405
41,42,42,Padraig Harrington,57,61.2,235,384
42,T43,T43,Scott McCarron,90,61.19,339,554
43,T43,T43,Brandt Snedeker,89,61.19,369,603
44,45,45,Paul Casey,64,60.86,199,327
45,46,46,Andres Romero,73,60.78,279,459
46,47,47,Ryan Moore,80,60.76,288,474
47,48,48,Matt Jones,89,60.61,337,556
48,49,49,Charley Hoffman,85,60.6,303,500
49,50,50,Bob Estes,79,60.48,277,458
50,T51,T51,Jason Day,82,60.38,288,477
51,T51,T51,Tim Petrovic,105,60.38,384,636
52,53,53,Boo Weekley,88,60.32,260,431
53,54,54,Tom Gillis,97,60.27,358,594
54,55,55,Nathan Green,86,60.18,343,570
55,56,56,Rory McIlroy,54,60.13,190,316
56,57,57,Ian Poulter,55,59.82,198,331
57,58,58,Jay Williamson,76,59.74,227,380
58,59,59,Jeff Quinney,91,59.7,323,541
59,60,60,Ben Curtis,78,59.69,268,449
60,61,61,Stephen Ames,75,59.67,256,429
61,62,62,J.J. Henry,92,59.62,282,473
62,63,63,Tom Pernice Jr.,74,59.61,214,359
63,64,64,Ricky Barnes,103,59.59,351,589
64,65,65,Trevor Immelman,55,59.52,200,336
65,66,66,Rickie Fowler,98,59.51,316,531
66,T67,T67,Michael Bradley,77,59.47,245,412
67,T67,T67,Rod Pampling,77,59.47,289,486
68,T69,T69,Chad Campbell,94,59.46,308,518
69,T69,T69,Webb Simpson,98,59.46,355,597
70,71,71,Scott Verplank,74,59.37,282,475
71,72,72,Richard Johnson,90,59.35,276,465
72,73,73,Will MacKenzie,72,59.31,242,408
73,74,74,John Rollins,81,59.27,275,464
74,75,75,Michael Connell,89,59.13,285,482
75,76,76,Joe Durant,67,59.09,182,308
76,T77,T77,Ben Crane,85,59.06,277,469
77,T77,T77,Cliff Kresge,50,59.06,163,276
78,79,79,Spencer Levin,110,58.95,326,553
79,80,80,Tim Herron,79,58.86,259,440
80,81,81,Stuart Appleby,101,58.82,400,680
81,82,82,Mike Weir,59,58.8,254,432
82,83,83,Brett Wetterich,54,58.71,182,310
83,84,84,John Mallinger,78,58.67,264,450
84,T85,T85,Hunter Mahan,85,58.65,278,474
85,T85,T85,D.A. Points,90,58.65,305,520
86,87,87,Woody Austin,93,58.56,301,514
87,88,88,Aron Price,70,58.53,199,340
88,89,89,Jimmy Walker,82,58.46,280,479
89,90,90,Mathias Grönberg,61,58.36,192,329
90,91,91,Craig Bowden,56,58.31,200,343
91,92,92,Jason Dufner,87,58.24,304,522
92,93,93,Cameron Beckman,68,58.21,227,390
93,94,94,James Nitties,92,58.19,302,519
94,95,95,James Driscoll,78,58.15,271,466
95,96,96,Johnson Wagner,85,58.1,269,463
96,97,97,Matt Bettencourt,91,57.98,345,595
97,98,98,Bill Haas,87,57.96,273,471
98,99,99,Brett Quigley,96,57.93,296,511
99,100,100,Jerry Kelly,99,57.91,322,556
100,101,101,Jarrod Lyle,54,57.84,166,287
101,102,102,Lee Janzen,77,57.81,259,448
102,103,103,Zach Johnson,93,57.66,316,548
103,104,104,John Senden,103,57.65,294,510
104,105,105,Matt Every,60,57.61,212,368
105,106,106,Skip Kendall,58,57.57,194,337
106,107,107,Camilo Villegas,78,57.5,253,440
107,108,108,Jason Bohn,84,57.49,280,487
108,109,109,Bill Lunde,79,57.48,265,461
109,110,110,Chris Tidland,77,57.47,254,442
110,111,111,Vaughn Taylor,87,57.46,285,496
111,112,112,Blake Adams,84,57.43,282,491
