,Scrambling_from_10-20_yards_RANK THIS WEEK,Scrambling_from_10-20_yards_RANK LAST WEEK,Scrambling_from_10-20_yards_PLAYER NAME,Scrambling_from_10-20_yards_ROUNDS,Scrambling_from_10-20_yards_%,Scrambling_from_10-20_yards_SUCCESSES,Scrambling_from_10-20_yards_ATTEMPTS
0,1,1,Michael Sim,64,79.85,107,134
1,2,2,Luke Donald,71,75.17,109,145
2,3,3,Retief Goosen,75,74.83,110,147
3,4,4,Chad Collins,87,74.37,148,199
4,5,5,Chris Riley,73,72.39,118,163
5,6,6,Justin Rose,78,72.11,137,190
6,7,7,Brandt Snedeker,89,71.96,154,214
7,8,8,Greg Chalmers,93,71.86,166,231
8,9,9,Kevin Na,94,71.84,148,206
9,10,10,Brian Gay,101,71.74,165,230
10,11,11,Scott Verplank,74,71.52,113,158
11,12,12,Mark Wilson,87,71.28,134,188
12,13,13,Jason Day,82,71.26,119,167
13,14,14,Bo Van Pelt,104,71.23,151,212
14,15,15,James Driscoll,78,71.17,116,163
15,16,16,Charles Howell III,103,71.13,138,194
16,17,17,Mike Weir,59,71.05,81,114
17,18,18,Pat Perez,90,71.0,142,200
18,19,19,Freddie Jacobson,83,70.97,132,186
19,20,20,Charlie Wi,95,70.94,166,234
20,21,21,Ben Curtis,78,70.7,111,157
21,22,22,Shaun Micheel,70,70.68,94,133
22,23,23,Jim Furyk,76,70.63,113,160
23,24,24,Ryuji Imada,90,70.62,149,211
24,25,25,Carl Pettersson,99,70.5,141,200
25,26,26,Matt Kuchar,97,70.3,116,165
26,27,27,Stewart Cink,84,70.13,108,154
27,28,28,Michael Bradley,77,70.12,115,164
28,T29,T29,Jason Dufner,87,69.89,130,186
29,T29,T29,Ian Poulter,55,69.89,65,93
30,31,31,David Toms,86,69.88,116,166
31,32,32,Nathan Green,86,69.86,146,209
32,33,33,Dean Wilson,54,69.83,81,116
33,34,34,Padraig Harrington,57,69.42,84,121
34,35,35,Kevin Sutherland,86,69.32,122,176
35,36,36,Bryce Molder,84,69.09,114,165
36,37,37,Stuart Appleby,101,68.99,178,258
37,38,38,Ricky Barnes,103,68.84,148,215
38,39,39,Cameron Percy,73,68.75,88,128
39,40,40,Cameron Beckman,68,68.61,94,137
40,41,41,Briny Baird,87,68.53,135,197
41,42,42,Ben Crane,85,68.52,111,162
42,43,43,Camilo Villegas,78,68.46,102,149
43,44,44,Steve Elkington,74,68.42,117,171
44,45,45,Jonathan Byrd,85,68.21,118,173
45,46,46,Tim Herron,79,68.13,109,160
46,47,47,John Mallinger,78,68.0,102,150
