,Proximity_to_Hole_from__10_yards_RANK THIS WEEK,Proximity_to_Hole_from__10_yards_RANK LAST WEEK,Proximity_to_Hole_from__10_yards_PLAYER NAME,Proximity_to_Hole_from__10_yards_ROUNDS,Proximity_to_Hole_from__10_yards_AVG DTP,Proximity_to_Hole_from__10_yards_TOTAL DISTANCE (FEET),Proximity_to_Hole_from__10_yards_# OF SHOTS,Proximity_to_Hole_from__10_yards_SCRAMBLING RANK
0,T1,T1,Jerry Kelly,99,"2' 5""",299.41700000000003,125,100
1,T1,T1,Steve Stricker,73,"2' 5""",173.333,71,14
2,T3,T3,Jonathan Byrd,85,"2' 7""",288.5,112,34
3,T3,T3,Tom Pernice Jr.,74,"2' 7""",223.417,86,63
4,T5,T5,J.P. Hayes,79,"2' 8""",232.333,86,141
5,T5,T5,Shaun Micheel,70,"2' 8""",221.25,83,40
6,T5,T5,Chris Riley,73,"2' 8""",208.833,78,6
7,T8,T8,Brian Gay,101,"2' 10""",357.583,127,2
8,T8,T8,Skip Kendall,58,"2' 10""",198.333,69,106
9,T8,T8,Adam Scott,70,"2' 10""",203.833,73,171
10,T8,T8,Mike Weir,59,"2' 10""",216.5,76,82
11,T12,T12,Stephen Ames,75,"2' 11""",296.91700000000003,102,61
12,T12,T12,Chad Collins,87,"2' 11""",354.25,122,9
13,T12,T12,David Duval,71,"2' 11""",230.667,78,181
14,T12,T12,Retief Goosen,75,"2' 11""",250.333,87,12
15,T12,T12,Billy Mayfair,78,"2' 11""",248.167,84,147
16,T17,T17,Woody Austin,93,"3' 0""",338.25,114,87
17,T17,T17,Ricky Barnes,103,"3' 0""",342.25,113,64
18,T17,T17,Jim Furyk,76,"3' 0""",298.58299999999997,99,16
19,T17,T17,Derek Lamely,81,"3' 0""",257.66700000000003,86,119
20,T17,T17,Justin Leonard,89,"3' 0""",234.083,78,114
21,T17,T17,John Mallinger,78,"3' 0""",303.0,100,84
22,T17,T17,Ted Purdy,86,"3' 0""",381.75,128,180
23,T24,T24,Rich Barcelo,70,"3' 1""",247.75,81,168
24,T24,T24,Michael Connell,89,"3' 1""",336.0,108,75
25,T24,T24,Luke Donald,71,"3' 1""",252.917,83,4
26,T24,T24,J.B. Holmes,100,"3' 1""",436.0,140,22
27,T24,T24,Richard Johnson,90,"3' 1""",303.66700000000003,99,72
28,T24,T24,Will MacKenzie,72,"3' 1""",346.667,111,73
29,T24,T24,Pat Perez,90,"3' 1""",366.167,119,26
30,T24,T24,John Rollins,81,"3' 1""",310.66700000000003,101,74
31,T24,T24,Bo Van Pelt,104,"3' 1""",382.0,125,25
32,T33,T33,Briny Baird,87,"3' 2""",308.16700000000003,97,37
33,T33,T33,Chad Campbell,94,"3' 2""",398.167,126,69
34,T33,T33,Steve Elkington,74,"3' 2""",243.333,77,11
35,T33,T33,Matt Every,60,"3' 2""",300.33299999999997,94,105
36,T33,T33,Mathias Grönberg,61,"3' 2""",231.5,73,90
37,T33,T33,Marc Leishman,87,"3' 2""",388.167,122,123
38,T33,T33,Brenden Pappas,66,"3' 2""",245.0,77,143
39,T33,T33,Scott Piercy,88,"3' 2""",377.417,120,159
40,T33,T33,Webb Simpson,98,"3' 2""",470.167,147,69
41,T33,T33,Vijay Singh,75,"3' 2""",282.25,90,129
42,T43,T43,Aaron Baddeley,94,"3' 3""",385.75,119,117
43,T43,T43,Jason Bohn,84,"3' 3""",369.417,113,108
44,T43,T43,Ben Crane,85,"3' 3""",339.583,104,77
45,T43,T43,Tom Gillis,97,"3' 3""",523.25,162,54
46,T43,T43,Bill Haas,87,"3' 3""",353.5,108,98
47,T43,T43,Ryuji Imada,90,"3' 3""",436.5,135,18
48,T43,T43,Matt Jones,89,"3' 3""",316.58299999999997,97,48
49,T43,T43,Phil Mickelson,76,"3' 3""",298.75,92,31
50,T43,T43,Garrett Willis,82,"3' 3""",304.25,93,152
51,T52,T52,Stuart Appleby,101,"3' 4""",418.25,124,81
52,T52,T52,Ángel Cabrera,64,"3' 4""",281.08299999999997,84,153
53,T52,T52,Graham DeLaet,88,"3' 4""",409.75,122,36
54,T52,T52,Chris DiMarco,88,"3' 4""",362.333,110,29
55,T52,T52,Ernie Els,72,"3' 4""",295.25,89,41
56,T52,T52,Freddie Jacobson,83,"3' 4""",358.417,108,17
57,T52,T52,Spencer Levin,110,"3' 4""",511.417,155,79
58,T52,T52,George McNeill,79,"3' 4""",326.41700000000003,97,149
59,T52,T52,Bryce Molder,84,"3' 4""",388.083,117,24
60,T52,T52,Ryan Moore,80,"3' 4""",367.333,110,47
61,T52,T52,Greg Owen,69,"3' 4""",316.75,94,179
62,T52,T52,Alex Prugh,88,"3' 4""",395.5,120,151
63,T52,T52,Michael Sim,64,"3' 4""",253.0,75,35
64,T52,T52,Kevin Sutherland,86,"3' 4""",280.08299999999997,84,23
65,T52,T52,Roger Tambellini,77,"3' 4""",224.25,67,166
66,T52,T52,Steve Wheatcroft,74,"3' 4""",258.5,77,183
67,T52,T52,Charlie Wi,95,"3' 4""",408.583,124,3
68,T52,T52,Mark Wilson,87,"3' 4""",283.83299999999997,86,27
69,T70,T70,Blake Adams,84,"3' 5""",358.75,105,112
70,T70,T70,Ben Curtis,78,"3' 5""",263.25,78,60
71,T70,T70,Jason Day,82,"3' 5""",367.417,107,51
72,T70,T70,Lee Janzen,77,"3' 5""",357.167,105,102
73,T70,T70,Matt Kuchar,97,"3' 5""",377.917,111,5
74,T70,T70,Davis Love III,79,"3' 5""",337.167,99,165
75,T70,T70,Rory McIlroy,54,"3' 5""",250.083,74,56
76,T70,T70,Garth Mulroy,53,"3' 5""",206.083,60,175
77,T70,T70,Joe Ogilvie,99,"3' 5""",421.667,124,126
78,T70,T70,Geoff Ogilvy,62,"3' 5""",225.75,66,135
79,T70,T70,Justin Rose,78,"3' 5""",368.333,107,13
80,T70,T70,John Senden,103,"3' 5""",430.417,126,104
81,T70,T70,Josh Teater,101,"3' 5""",440.25,128,124
82,T70,T70,Camilo Villegas,78,"3' 5""",320.91700000000003,95,107
83,T70,T70,Jay Williamson,76,"3' 5""",297.83299999999997,88,58
84,T70,T70,Chris Wilson,65,"3' 5""",275.41700000000003,80,173
85,T86,T86,Robert Allenby,76,"3' 6""",270.08299999999997,78,131
86,T86,T86,Cameron Beckman,68,"3' 6""",375.333,106,93
87,T86,T86,Michael Bradley,77,"3' 6""",275.75,79,67
88,T86,T86,Paul Casey,64,"3' 6""",231.917,67,45
89,T86,T86,Alex Cejka,81,"3' 6""",397.833,113,130
