,Sand_Saves_from_30_yards_RANK THIS WEEK,Sand_Saves_from_30_yards_RANK LAST WEEK,Sand_Saves_from_30_yards_PLAYER NAME,Sand_Saves_from_30_yards_ROUNDS,Sand_Saves_from_30_yards_%,Sand_Saves_from_30_yards_# OF SAVES,Sand_Saves_from_30_yards_# OF BUNKERS
0,1,1,Luke Donald,71,85.71,6.0,7
1,2,2,Jonathan Byrd,85,66.67,6.0,9
2,3,3,Matt Jones,89,63.64,14.0,22
3,4,4,John Daly,63,60.0,3.0,5
4,5,5,Chad Campbell,94,58.33,7.0,12
5,T6,T6,Matt Bettencourt,91,57.14,8.0,14
6,T6,T6,David Duval,71,57.14,4.0,7
7,8,8,Martin Laird,91,55.56,5.0,9
8,9,9,Stuart Appleby,101,55.0,11.0,20
9,10,10,Jarrod Lyle,54,54.55,6.0,11
10,T11,T11,Alex Prugh,88,53.85,7.0,13
11,T11,T11,Heath Slocum,97,53.85,7.0,13
12,T11,T11,Steve Stricker,73,53.85,7.0,13
13,T11,T11,Mark Wilson,87,53.85,7.0,13
14,T15,T15,Rich Barcelo,70,50.0,4.0,8
15,T15,T15,Henrik Bjornstad,72,50.0,4.0,8
16,T15,T15,Craig Bowden,56,50.0,3.0,6
17,T15,T15,Martin Flores,75,50.0,6.0,12
18,T15,T15,Greg Kraft,52,50.0,3.0,6
19,T15,T15,Geoff Ogilvy,62,50.0,4.0,8
20,T15,T15,Tom Pernice Jr.,74,50.0,4.0,8
21,T15,T15,Kenny Perry,69,50.0,4.0,8
22,T15,T15,Brett Quigley,96,50.0,5.0,10
23,T15,T15,Brandt Snedeker,89,50.0,5.0,10
24,T15,T15,Roger Tambellini,77,50.0,3.0,6
25,T15,T15,D.J. Trahan,92,50.0,6.0,12
26,T27,T27,Aaron Baddeley,94,47.62,10.0,21
27,T27,T27,Jerry Kelly,99,47.62,10.0,21
28,29,29,Rory Sabbatini,79,47.06,8.0,17
29,30,30,Justin Leonard,89,46.67,7.0,15
30,31,31,Robert Allenby,76,46.15,6.0,13
31,T32,T32,Skip Kendall,58,45.45,5.0,11
32,T32,T32,Aron Price,70,45.45,5.0,11
33,T32,T32,David Toms,86,45.45,5.0,11
34,35,35,Charlie Wi,95,45.0,9.0,20
35,36,36,Vijay Singh,75,44.44,4.0,9
36,T37,T37,Stephen Ames,75,42.86,6.0,14
