,Scrambling_from_the_Rough_RANK THIS WEEK,Scrambling_from_the_Rough_RANK LAST WEEK,Scrambling_from_the_Rough_PLAYER NAME,Scrambling_from_the_Rough_ROUNDS,Scrambling_from_the_Rough_%,Scrambling_from_the_Rough_SUCCESSES,Scrambling_from_the_Rough_ATTEMPTS
0,1,1,Jeev Milkha Singh,59,69.91,79,113
1,2,2,Retief Goosen,75,68.94,91,132
2,3,3,Brian Gay,101,68.06,130,191
3,4,4,Luke Donald,71,67.41,91,135
4,T5,T5,Jim Furyk,76,66.67,94,141
5,T5,T5,Steve Stricker,73,66.67,84,126
6,7,7,Dean Wilson,54,66.39,79,119
7,8,8,David Toms,86,65.85,108,164
8,9,9,Kevin Na,94,65.75,144,219
9,10,10,Padraig Harrington,57,65.29,79,121
10,11,11,Justin Rose,78,65.03,106,163
11,12,12,Ryan Moore,80,64.71,99,153
12,13,13,Stewart Cink,84,64.67,97,150
13,14,14,K.J. Choi,82,64.14,93,145
14,15,15,Tim Clark,88,63.92,101,158
15,16,16,Shaun Micheel,70,63.64,70,110
16,17,17,Bob Estes,79,63.46,99,156
17,18,18,Chris Riley,73,62.93,73,116
18,19,19,Kenny Perry,69,62.83,71,113
19,20,20,Charles Howell III,103,62.68,131,209
20,21,21,Bo Van Pelt,104,62.43,108,173
21,22,22,Chad Collins,87,62.34,96,154
22,23,23,Matt Kuchar,97,62.29,109,175
23,24,24,Ian Poulter,55,61.86,60,97
24,25,25,Steve Elkington,74,61.81,89,144
25,26,26,Jason Dufner,87,61.71,108,175
26,27,27,Paul Casey,64,61.68,66,107
27,28,28,Ernie Els,72,61.59,85,138
28,29,29,Sean O'Hair,84,61.39,97,158
29,30,30,Tom Gillis,97,61.25,147,240
30,31,31,Greg Chalmers,93,60.87,140,230
31,32,32,Charlie Wi,95,60.68,125,206
32,33,33,Brian Davis,101,60.62,137,226
33,34,34,Omar Uresti,74,60.42,87,144
34,35,35,Nick Watney,91,60.24,100,166
35,36,36,Jeff Quinney,91,60.0,120,200
36,37,37,Michael Sim,64,59.84,76,127
37,38,38,Charley Hoffman,85,59.8,119,199
38,39,39,Sergio Garcia,58,59.78,55,92
39,40,40,Ryuji Imada,90,59.62,124,208
40,41,41,Graham DeLaet,88,59.51,97,163
41,42,42,Boo Weekley,88,59.48,91,153
42,43,43,Tim Herron,79,59.3,102,172
43,44,44,D.A. Points,90,59.28,115,194
44,45,45,Jimmy Walker,82,59.18,116,196
45,46,46,Woody Austin,93,59.09,104,176
46,47,47,Jonathan Byrd,85,59.03,85,144
47,48,48,Scott McCarron,90,58.94,122,207
48,T49,T49,Freddie Jacobson,83,58.9,96,163
49,T49,T49,Johnson Wagner,85,58.9,96,163
50,51,51,Tim Petrovic,105,58.89,106,180
51,52,52,Heath Slocum,97,58.82,110,187
52,53,53,Pat Perez,90,58.64,112,191
53,54,54,Andres Romero,73,58.55,113,193
54,55,55,Cliff Kresge,50,58.51,55,94
55,56,56,Rod Pampling,77,58.42,111,190
56,57,57,Ben Curtis,78,58.39,87,149
57,58,58,Bryce Molder,84,58.33,105,180
58,59,59,Andrew McLardy,52,58.24,53,91
59,60,60,Chris Stroud,90,58.21,78,134
60,61,61,Rory McIlroy,54,58.1,61,105
61,62,62,Briny Baird,87,58.06,90,155
62,63,63,Steve Marino,81,57.93,84,145
63,64,64,Phil Mickelson,76,57.74,97,168
64,65,65,Nathan Green,86,57.61,106,184
65,66,66,Stephen Ames,75,57.53,84,146
66,67,67,Mike Weir,59,57.52,65,113
67,68,68,John Rollins,81,57.45,81,141
