,Scrambling_Rough_RTP_Score_RANK THIS WEEK,Scrambling_Rough_RTP_Score_RANK LAST WEEK,Scrambling_Rough_RTP_Score_PLAYER NAME,Scrambling_Rough_RTP_Score_ROUNDS,Scrambling_Rough_RTP_Score_AVG RTP,Scrambling_Rough_RTP_Score_TOTAL HOLES,Scrambling_Rough_RTP_Score_TOTAL RTP
0,1,1,Jim Furyk,76,0.305,141,43.0
1,2,2,Jeev Milkha Singh,59,0.31,113,35.0
2,3,3,Steve Stricker,73,0.317,126,40.0
3,4,4,Kevin Na,94,0.324,219,71.0
4,5,5,Justin Rose,78,0.325,163,53.0
5,T6,T6,Luke Donald,71,0.326,135,44.0
6,T6,T6,Retief Goosen,75,0.326,132,43.0
7,8,8,Brian Gay,101,0.34,191,65.0
8,9,9,Dean Wilson,54,0.345,119,41.0
9,10,10,Padraig Harrington,57,0.34700000000000003,121,42.0
10,11,11,Kenny Perry,69,0.354,113,40.0
11,12,12,David Toms,86,0.366,164,60.0
12,13,13,Stewart Cink,84,0.36700000000000005,150,55.0
13,14,14,Omar Uresti,74,0.368,144,53.0
14,15,15,Steve Elkington,74,0.375,144,54.0
15,16,16,Bob Estes,79,0.37799999999999995,156,59.0
16,17,17,Bo Van Pelt,104,0.382,173,66.0
17,18,18,Ryan Moore,80,0.386,153,59.0
18,19,19,Tom Gillis,97,0.38799999999999996,240,93.0
19,20,20,Matt Kuchar,97,0.389,175,68.0
20,21,21,Charles Howell III,103,0.392,209,82.0
21,22,22,Tim Clark,88,0.39899999999999997,158,63.0
22,23,23,K.J. Choi,82,0.4,145,58.0
23,T24,T24,Paul Casey,64,0.402,107,43.0
24,T24,T24,Sergio Garcia,58,0.402,92,37.0
25,T24,T24,Charley Hoffman,85,0.402,199,80.0
26,27,27,Chad Collins,87,0.40299999999999997,154,62.0
27,28,28,Brian Davis,101,0.40700000000000003,226,92.0
28,T29,T29,Ryuji Imada,90,0.409,208,85.0
29,T29,T29,Shaun Micheel,70,0.409,110,45.0
30,31,31,Sean O'Hair,84,0.41100000000000003,158,65.0
31,32,32,Ian Poulter,55,0.41200000000000003,97,40.0
32,33,33,Ernie Els,72,0.413,138,57.0
33,34,34,Jason Dufner,87,0.41700000000000004,175,73.0
34,35,35,Chris Riley,73,0.42200000000000004,116,49.0
35,36,36,Jerry Kelly,99,0.424,165,70.0
36,T37,T37,Scott McCarron,90,0.425,207,88.0
37,T37,T37,Michael Sim,64,0.425,127,54.0
38,T39,T39,Greg Chalmers,93,0.426,230,98.0
39,T39,T39,Jason Day,82,0.426,176,75.0
40,41,41,Tom Pernice Jr.,74,0.42700000000000005,131,56.0
41,42,42,D.A. Points,90,0.428,194,83.0
42,43,43,Brandt Snedeker,89,0.431,209,90.0
43,44,44,Tim Petrovic,105,0.433,180,78.0
44,T45,T45,Nick Watney,91,0.434,166,72.0
45,T45,T45,Mike Weir,59,0.434,113,49.0
46,T47,T47,Cliff Kresge,50,0.436,94,41.0
47,T47,T47,Billy Mayfair,78,0.436,140,61.0
48,49,49,Boo Weekley,88,0.43799999999999994,153,67.0
49,T50,T50,John Mallinger,78,0.439,155,68.0
50,T50,T50,Heath Slocum,97,0.439,187,82.0
51,T52,T52,Phil Mickelson,76,0.44,168,74.0
52,T52,T52,Pat Perez,90,0.44,191,84.0
53,T54,T54,Graham DeLaet,88,0.442,163,72.0
54,T54,T54,Rickie Fowler,98,0.442,163,72.0
55,T54,T54,Charlie Wi,95,0.442,206,91.0
56,T57,T57,Jonathan Byrd,85,0.444,144,64.0
57,T57,T57,Bryce Molder,84,0.444,180,80.0
58,T57,T57,Jimmy Walker,82,0.444,196,87.0
59,T60,T60,Stephen Ames,75,0.445,146,65.0
60,T60,T60,Briny Baird,87,0.445,155,69.0
61,T62,T62,Bill Haas,87,0.447,152,68.0
62,T62,T62,Spencer Levin,110,0.447,197,88.0
63,T62,T62,John Rollins,81,0.447,141,63.0
64,65,65,Tim Herron,79,0.44799999999999995,172,77.0
65,66,66,Michael Bradley,77,0.449,138,62.0
66,T67,T67,Ben Curtis,78,0.45,149,67.0
67,T67,T67,Zach Johnson,93,0.45,191,86.0
68,T69,T69,Cameron Beckman,68,0.451,144,65.0
69,T69,T69,Matt Every,60,0.451,144,65.0
70,T71,T71,J.J. Henry,92,0.45299999999999996,150,68.0
71,T71,T71,Rod Pampling,77,0.45299999999999996,190,86.0
72,T73,T73,Woody Austin,93,0.455,176,80.0
73,T73,T73,Davis Love III,79,0.455,154,70.0
74,T73,T73,Chris Stroud,90,0.455,134,61.0
75,76,76,Chris DiMarco,88,0.456,158,72.0
76,77,77,Will MacKenzie,72,0.457,138,63.0
77,78,78,Freddie Jacobson,83,0.46,163,75.0
78,T79,T79,Henrik Bjornstad,72,0.461,115,53.0
79,T79,T79,Andres Romero,73,0.461,193,89.0
80,81,81,Chris Tidland,77,0.46299999999999997,160,74.0
81,82,82,Joe Durant,67,0.465,101,47.0
82,83,83,Rory McIlroy,54,0.467,105,49.0
83,84,84,Bubba Watson,77,0.46799999999999997,154,72.0
84,85,85,Webb Simpson,98,0.469,213,100.0
85,86,86,Jeff Quinney,91,0.47,200,94.0
86,T87,T87,Jason Bohn,84,0.473,169,80.0
87,T87,T87,Camilo Villegas,78,0.473,148,70.0
88,T87,T87,Brett Wetterich,54,0.473,110,52.0
89,T90,T90,Hunter Mahan,85,0.475,141,67.0
90,T90,T90,John Senden,103,0.475,179,85.0
91,92,92,Kevin Streelman,90,0.47700000000000004,176,84.0
92,93,93,Bill Lunde,79,0.478,178,85.0
93,T94,T94,Chad Campbell,94,0.48,177,85.0
94,T94,T94,Paul Goydos,78,0.48,150,72.0
95,T96,T96,Dustin Johnson,83,0.48100000000000004,181,87.0
96,T96,T96,Troy Matteson,84,0.48100000000000004,158,76.0
97,98,98,J.P. Hayes,79,0.48200000000000004,168,81.0
98,99,99,Carl Pettersson,99,0.483,207,100.0
99,T100,T100,Nathan Green,86,0.484,184,89.0
100,T100,T100,Andrew McLardy,52,0.484,91,44.0
101,T102,T102,Stuart Appleby,101,0.485,241,117.0
102,T102,T102,Matt Bettencourt,91,0.485,237,115.0
103,T102,T102,Brendon de Jonge,114,0.485,194,94.0
104,T102,T102,Cameron Tringale,55,0.485,97,47.0
105,106,106,Justin Bolli,55,0.488,125,61.0
106,T107,T107,Ricky Barnes,103,0.489,188,92.0
107,T107,T107,Ben Crane,85,0.489,139,68.0
108,109,109,Steve Marino,81,0.49,145,71.0
109,110,110,Michael Connell,89,0.491,161,79.0
110,111,111,Craig Bowden,56,0.49200000000000005,128,63.0
