,Proximity_to_Hole_from_Sand_RANK THIS WEEK,Proximity_to_Hole_from_Sand_RANK LAST WEEK,Proximity_to_Hole_from_Sand_PLAYER NAME,Proximity_to_Hole_from_Sand_ROUNDS,Proximity_to_Hole_from_Sand_AVG DTP,Proximity_to_Hole_from_Sand_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_Sand_# OF SHOTS,Proximity_to_Hole_from_Sand_SCRAMBLING RANK
0,1,1,Mike Weir,59,"5' 9""",445.5,77,82
1,2,2,Padraig Harrington,57,"7' 0""",539.5830000000001,77,42
2,T3,T3,Luke Donald,71,"7' 1""",670.3330000000001,95,4
3,T3,T3,Justin Rose,78,"7' 1""",932.8330000000001,131,13
4,5,5,Mark Wilson,87,"7' 3""",690.8330000000001,95,27
5,6,6,Tom Pernice Jr.,74,"7' 7""",517.9169999999999,68,63
6,T7,T7,David Lutterus,69,"7' 8""",762.0830000000001,99,158
7,T7,T7,Vijay Singh,75,"7' 8""",760.25,99,129
8,T7,T7,Y.E. Yang,72,"7' 8""",748.3330000000001,98,134
9,T10,T10,Jonathan Byrd,85,"7' 9""",785.0830000000001,101,34
10,T10,T10,Shaun Micheel,70,"7' 9""",425.333,55,40
11,12,12,Steve Stricker,73,"7' 10""",706.3330000000001,90,14
12,T13,T13,K.J. Choi,82,"7' 11""",846.9169999999999,107,20
13,T13,T13,Geoff Ogilvy,62,"7' 11""",658.5830000000001,83,135
14,T13,T13,Rory Sabbatini,79,"7' 11""",1043.75,132,128
15,T13,T13,Brandt Snedeker,89,"7' 11""",951.8330000000001,120,43
16,T17,T17,Aaron Baddeley,94,"8' 0""",1144.0,143,117
17,T17,T17,Ryuji Imada,90,"8' 0""",883.6669999999999,110,18
18,T17,T17,Camilo Villegas,78,"8' 0""",700.75,88,107
19,T20,T20,Ricky Barnes,103,"8' 1""",1071.583,133,64
20,T20,T20,Greg Chalmers,93,"8' 1""",982.0830000000001,122,10
21,T20,T20,Pat Perez,90,"8' 1""",968.8330000000001,120,26
22,T23,T23,Jason Day,82,"8' 2""",1000.6669999999999,123,51
23,T23,T23,Marc Leishman,87,"8' 2""",967.9169999999999,118,123
24,T23,T23,Michael Sim,64,"8' 2""",612.0830000000001,75,35
25,T23,T23,Johnson Wagner,85,"8' 2""",813.5830000000001,100,96
26,T27,T27,Ben Curtis,78,"8' 3""",728.0830000000001,88,60
27,T27,T27,Trevor Immelman,55,"8' 3""",544.1669999999999,66,65
28,T27,T27,Cliff Kresge,50,"8' 3""",437.25,53,77
29,T27,T27,Kevin Na,94,"8' 3""",873.8330000000001,106,8
30,T27,T27,Aron Price,70,"8' 3""",706.8330000000001,86,88
31,T27,T27,Chris Riley,73,"8' 3""",745.25,90,6
32,T27,T27,Omar Uresti,74,"8' 3""",587.0830000000001,71,38
33,T34,T34,Chad Collins,87,"8' 4""",1037.0,124,9
34,T34,T34,Nathan Green,86,"8' 4""",1203.917,145,55
35,T34,T34,Kevin Johnson,62,"8' 4""",692.0,83,184
36,T34,T34,Jarrod Lyle,54,"8' 4""",523.4169999999999,63,101
37,T38,T38,Rich Barcelo,70,"8' 5""",630.5,75,168
38,T38,T38,Rod Pampling,77,"8' 5""",948.5830000000001,113,67
39,T38,T38,Charlie Wi,95,"8' 5""",1079.75,128,3
40,T41,T41,Carl Pettersson,99,"8' 6""",1277.417,150,28
41,T41,T41,Heath Slocum,97,"8' 6""",662.3330000000001,78,19
42,T43,T43,Ben Crane,85,"8' 7""",1023.3330000000001,119,77
43,T43,T43,J.P. Hayes,79,"8' 7""",900.9169999999999,105,141
44,T43,T43,J.B. Holmes,100,"8' 7""",1153.333,135,22
45,T43,T43,Rory McIlroy,54,"8' 7""",624.0,73,56
46,T43,T43,Phil Mickelson,76,"8' 7""",1000.0,116,31
47,T43,T43,Chris Stroud,90,"8' 7""",853.0830000000001,99,113
48,T49,T49,Robert Allenby,76,"8' 8""",921.5830000000001,106,131
49,T49,T49,Jerry Kelly,99,"8' 8""",1077.167,124,100
50,T49,T49,Bryce Molder,84,"8' 8""",1047.5,121,24
51,T52,T52,Kris Blanks,91,"8' 9""",916.0,105,170
52,T52,T52,Tim Clark,88,"8' 9""",1099.917,126,20
53,T52,T52,Brian Davis,101,"8' 9""",1359.4170000000001,155,30
54,T52,T52,Retief Goosen,75,"8' 9""",835.1669999999999,95,12
55,T52,T52,Matt Jones,89,"8' 9""",1297.583,149,48
56,T52,T52,Ian Poulter,55,"8' 9""",688.1669999999999,79,57
57,T52,T52,Kevin Sutherland,86,"8' 9""",837.3330000000001,96,23
58,T59,T59,Stephen Ames,75,"8' 10""",915.3330000000001,104,61
59,T59,T59,Briny Baird,87,"8' 10""",1044.583,118,37
60,T59,T59,Alex Cejka,81,"8' 10""",841.9169999999999,95,130
61,T59,T59,Michael Letzig,84,"8' 10""",1128.333,128,137
62,T63,T63,John Daly,63,"8' 11""",666.0,75,174
63,T63,T63,John Mallinger,78,"8' 11""",977.4169999999999,110,84
64,T65,T65,Matt Bettencourt,91,"9' 0""",1048.417,116,97
65,T65,T65,Michael Bradley,77,"9' 0""",770.6669999999999,86,67
66,T65,T65,Michael Connell,89,"9' 0""",957.0830000000001,106,75
67,T65,T65,Jason Dufner,87,"9' 0""",1039.167,115,92
68,T65,T65,Mathias Grönberg,61,"9' 0""",630.4169999999999,70,90
69,T65,T65,Charley Hoffman,85,"9' 0""",1026.083,114,49
70,T65,T65,Alex Prugh,88,"9' 0""",956.0,106,151
71,T65,T65,Kevin Streelman,90,"9' 0""",1155.833,129,127
72,T65,T65,Brett Wetterich,54,"9' 0""",695.5830000000001,77,83
73,T74,T74,Chris DiMarco,88,"9' 1""",1037.083,114,29
74,T74,T74,Tom Gillis,97,"9' 1""",1298.25,143,54
75,T74,T74,Charles Howell III,103,"9' 1""",1056.667,116,7
76,T74,T74,Freddie Jacobson,83,"9' 1""",1044.333,115,17
77,T74,T74,Bill Lunde,79,"9' 1""",818.8330000000001,90,109
78,T74,T74,John Senden,103,"9' 1""",878.9169999999999,97,104
79,T80,T80,Martin Flores,75,"9' 2""",879.3330000000001,96,172
80,T80,T80,Matt Kuchar,97,"9' 2""",903.75,99,5
81,T80,T80,Jeev Milkha Singh,59,"9' 2""",758.5830000000001,83,15
82,T83,T83,Davis Love III,79,"9' 3""",766.0830000000001,83,165
83,T83,T83,Brett Quigley,96,"9' 3""",1118.25,121,99
84,T83,T83,David Toms,86,"9' 3""",804.75,87,39
85,T83,T83,Cameron Tringale,55,"9' 3""",397.833,43,178
86,T83,T83,Bo Van Pelt,104,"9' 3""",1418.75,153,25
87,T88,T88,Brian Gay,101,"9' 4""",1217.333,130,2
88,T88,T88,Lee Janzen,77,"9' 4""",1053.417,113,102
89,T90,T90,Lucas Glover,75,"9' 5""",877.3330000000001,93,169
90,T90,T90,Zach Johnson,93,"9' 5""",1191.167,127,103
91,T90,T90,Will MacKenzie,72,"9' 5""",938.6669999999999,100,73
92,T90,T90,Adam Scott,70,"9' 5""",856.3330000000001,91,171
93,T90,T90,Webb Simpson,98,"9' 5""",1312.25,139,69
94,T90,T90,Steve Wheatcroft,74,"9' 5""",895.3330000000001,95,183
95,T96,T96,Woody Austin,93,"9' 6""",1168.833,123,87
96,T96,T96,Daniel Chopra,74,"9' 6""",943.5830000000001,99,135
97,T96,T96,Jim Furyk,76,"9' 6""",705.5830000000001,74,16
98,T96,T96,George McNeill,79,"9' 6""",1163.083,122,149
99,T96,T96,James Nitties,92,"9' 6""",837.3330000000001,88,94
100,T96,T96,Nicholas Thompson,88,"9' 6""",1154.0,121,191
101,T102,T102,Craig Bowden,56,"9' 7""",681.9169999999999,71,91
102,T102,T102,Nick Watney,91,"9' 7""",984.6669999999999,103,146
103,T104,T104,Ángel Cabrera,64,"9' 8""",747.0830000000001,77,153
104,T104,T104,Stewart Cink,84,"9' 8""",848.1669999999999,88,118
105,T104,T104,Brendon de Jonge,114,"9' 8""",1233.083,128,145
106,T104,T104,Steve Elkington,74,"9' 8""",658.4169999999999,68,11
107,T104,T104,Garrett Willis,82,"9' 8""",879.0830000000001,91,152
108,T109,T109,Greg Kraft,52,"9' 9""",577.25,59,177
109,T109,T109,Spencer Levin,110,"9' 9""",1149.083,118,79
110,T109,T109,Jeff Quinney,91,"9' 9""",969.0,99,59
111,T112,T112,Stuart Appleby,101,"9' 10""",1322.5,134,81
112,T112,T112,Ernie Els,72,"9' 10""",922.5,94,41
113,T112,T112,Tim Herron,79,"9' 10""",936.9169999999999,95,80
114,T112,T112,Martin Laird,91,"9' 10""",1050.583,107,115
115,T112,T112,Billy Mayfair,78,"9' 10""",823.0,84,147
116,T112,T112,Scott McCarron,90,"9' 10""",1197.833,122,43
117,T118,T118,Graham DeLaet,88,"9' 11""",1024.333,103,36
