,Scrambling_10-20_yds_RTP_Score_RANK THIS WEEK,Scrambling_10-20_yds_RTP_Score_RANK LAST WEEK,Scrambling_10-20_yds_RTP_Score_PLAYER NAME,Scrambling_10-20_yds_RTP_Score_ROUNDS,Scrambling_10-20_yds_RTP_Score_AVG RTP,Scrambling_10-20_yds_RTP_Score_TOTAL HOLES,Scrambling_10-20_yds_RTP_Score_TOTAL RTP
0,1,1,Michael Sim,64,0.172,134,23.0
1,2,2,Retief Goosen,75,0.218,147,32.0
2,3,3,Luke Donald,71,0.228,145,33.0
3,4,4,Chad Collins,87,0.251,199,50.0
4,T5,T5,Charles Howell III,103,0.258,194,50.0
5,T5,T5,Justin Rose,78,0.258,190,49.0
6,7,7,Mark Wilson,87,0.261,188,49.0
7,8,8,Mike Weir,59,0.263,114,30.0
8,9,9,Brandt Snedeker,89,0.266,214,57.0
9,10,10,Pat Perez,90,0.27,200,54.0
10,11,11,Shaun Micheel,70,0.271,133,36.0
11,12,12,Kevin Na,94,0.272,206,56.0
12,13,13,Greg Chalmers,93,0.273,231,63.0
13,14,14,Jim Furyk,76,0.275,160,44.0
14,15,15,James Driscoll,78,0.276,163,45.0
15,16,16,Carl Pettersson,99,0.28,200,56.0
16,17,17,Jason Day,82,0.281,167,47.0
17,18,18,Chris Riley,73,0.282,163,46.0
18,T19,T19,Ben Curtis,78,0.287,157,45.0
19,T19,T19,Brian Gay,101,0.287,230,66.0
20,21,21,Padraig Harrington,57,0.289,121,35.0
21,T22,T22,Jason Dufner,87,0.29,186,54.0
22,T22,T22,Freddie Jacobson,83,0.29,186,54.0
23,T22,T22,Ian Poulter,55,0.29,93,27.0
24,T25,T25,Matt Kuchar,97,0.29100000000000004,165,48.0
25,T25,T25,Cameron Tringale,55,0.29100000000000004,103,30.0
26,T25,T25,Scott Verplank,74,0.29100000000000004,158,46.0
27,T25,T25,Charlie Wi,95,0.29100000000000004,234,68.0
28,T29,T29,Ricky Barnes,103,0.293,215,63.0
29,T29,T29,Michael Bradley,77,0.293,164,48.0
30,T29,T29,Dean Wilson,54,0.293,116,34.0
31,32,32,David Toms,86,0.295,166,49.0
32,33,33,Jonathan Byrd,85,0.301,173,52.0
33,T34,T34,Stuart Appleby,101,0.302,258,78.0
34,T34,T34,Bo Van Pelt,104,0.302,212,64.0
35,36,36,Bryce Molder,84,0.303,165,50.0
36,37,37,Steve Elkington,74,0.304,171,52.0
37,38,38,John Senden,103,0.305,174,53.0
38,39,39,Andres Romero,73,0.306,180,55.0
39,T40,T40,John Mallinger,78,0.307,150,46.0
40,T40,T40,Steve Stricker,73,0.307,137,42.0
41,T40,T40,Kevin Sutherland,86,0.307,176,54.0
42,T43,T43,Ryuji Imada,90,0.308,211,65.0
43,T43,T43,Phil Mickelson,76,0.308,169,52.0
44,45,45,John Rollins,81,0.309,181,56.0
45,T46,T46,Briny Baird,87,0.31,197,61.0
46,T46,T46,Ernie Els,72,0.31,129,40.0
47,48,48,Nathan Green,86,0.311,209,65.0
48,49,49,Stewart Cink,84,0.312,154,48.0
49,T50,T50,Cameron Beckman,68,0.314,137,43.0
50,T50,T50,Bill Lunde,79,0.314,169,53.0
51,T52,T52,Aaron Baddeley,94,0.317,205,65.0
52,T52,T52,Kenny Perry,69,0.317,126,40.0
53,54,54,Cameron Percy,73,0.32,128,41.0
54,T55,T55,J.J. Henry,92,0.322,174,56.0
55,T55,T55,Rod Pampling,77,0.322,214,69.0
56,T55,T55,Camilo Villegas,78,0.322,149,48.0
57,58,58,Jimmy Walker,82,0.32299999999999995,192,62.0
