,Proximity_to_Hole_from_30_yards_RANK THIS WEEK,Proximity_to_Hole_from_30_yards_RANK LAST WEEK,Proximity_to_Hole_from_30_yards_PLAYER NAME,Proximity_to_Hole_from_30_yards_ROUNDS,Proximity_to_Hole_from_30_yards_AVG DTP,Proximity_to_Hole_from_30_yards_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_30_yards_# OF SHOTS,Proximity_to_Hole_from_30_yards_SCRAMBLING RANK
0,1,1,Justin Rose,78,"8' 3""",313.91700000000003,38,13
1,2,2,Jeev Milkha Singh,59,"9' 1""",399.417,44,15
2,3,3,Jonathan Byrd,85,"9' 11""",574.8330000000001,58,34
3,T4,T4,Charles Howell III,103,"10' 0""",839.25,84,7
4,T4,T4,Chris Riley,73,"10' 0""",428.667,43,6
5,T4,T4,Rory Sabbatini,79,"10' 0""",619.0830000000001,62,128
6,7,7,Rich Barcelo,70,"10' 1""",536.1669999999999,53,168
7,8,8,Chris DiMarco,88,"10' 2""",631.25,62,29
8,T9,T9,Phil Mickelson,76,"10' 4""",456.25,44,31
9,T9,T9,Steve Stricker,73,"10' 4""",350.833,34,14
10,T11,T11,Tim Clark,88,"10' 5""",269.75,26,20
11,T11,T11,Brendon de Jonge,114,"10' 5""",595.9169999999999,57,145
12,T11,T11,Heath Slocum,97,"10' 5""",542.1669999999999,52,19
13,T14,T14,Paul Casey,64,"10' 6""",419.667,40,45
14,T14,T14,Omar Uresti,74,"10' 6""",408.167,39,38
15,T16,T16,Michael Bradley,77,"10' 7""",509.167,48,67
16,T16,T16,J.P. Hayes,79,"10' 7""",645.6669999999999,61,141
17,T16,T16,Sean O'Hair,84,"10' 7""",539.5830000000001,51,32
18,T19,T19,Stephen Ames,75,"10' 8""",585.6669999999999,55,61
19,T19,T19,Jim Furyk,76,"10' 8""",426.167,40,16
20,T21,T21,Sergio Garcia,58,"10' 9""",269.58299999999997,25,161
21,T21,T21,Andrew McLardy,52,"10' 9""",332.5,31,176
22,23,23,Aaron Baddeley,94,"10' 10""",961.8330000000001,89,117
23,T24,T24,Michael Connell,89,"10' 11""",677.0,62,75
24,T24,T24,Jeff Gove,57,"10' 11""",360.083,33,189
25,T24,T24,Greg Owen,69,"10' 11""",394.417,36,179
26,T27,T27,Bob Estes,79,"11' 0""",595.8330000000001,54,50
27,T27,T27,Lucas Glover,75,"11' 0""",582.1669999999999,53,169
28,T27,T27,Mike Weir,59,"11' 0""",385.333,35,82
29,30,30,David Duval,71,"11' 1""",543.4169999999999,49,181
30,T31,T31,Padraig Harrington,57,"11' 2""",402.25,36,42
31,T31,T31,James Nitties,92,"11' 2""",672.4169999999999,60,94
32,T31,T31,Roger Tambellini,77,"11' 2""",571.1669999999999,51,166
33,T31,T31,Brett Wetterich,54,"11' 2""",335.167,30,83
34,T35,T35,Freddie Jacobson,83,"11' 3""",707.9169999999999,63,17
35,T35,T35,Tom Pernice Jr.,74,"11' 3""",395.0,35,63
36,T35,T35,Andres Romero,73,"11' 3""",641.6669999999999,57,46
37,T38,T38,Luke Donald,71,"11' 4""",362.583,32,4
38,T38,T38,Justin Leonard,89,"11' 4""",713.3330000000001,63,114
39,T38,T38,Bryce Molder,84,"11' 4""",702.4169999999999,62,24
40,T41,T41,Martin Laird,91,"11' 5""",638.0,56,115
41,T41,T41,Jeff Quinney,91,"11' 5""",766.6669999999999,67,59
42,T43,T43,Brian Davis,101,"11' 6""",795.0830000000001,69,30
43,T43,T43,Jason Dufner,87,"11' 6""",561.75,49,92
44,T43,T43,Brian Gay,101,"11' 6""",712.1669999999999,62,2
45,T43,T43,Kevin Johnson,62,"11' 6""",597.4169999999999,52,184
46,T43,T43,Dustin Johnson,83,"11' 6""",642.25,56,139
47,T43,T43,Scott Piercy,88,"11' 6""",964.0,84,159
48,T49,T49,Woody Austin,93,"11' 7""",662.5830000000001,57,87
49,T49,T49,Jason Day,82,"11' 7""",732.0830000000001,63,51
50,T49,T49,Ryan Palmer,84,"11' 7""",555.25,48,144
51,T49,T49,Jimmy Walker,82,"11' 7""",717.25,62,89
52,T53,T53,Marc Leishman,87,"11' 8""",585.0,50,123
53,T53,T53,Pat Perez,90,"11' 8""",643.0830000000001,55,26
54,T53,T53,Camilo Villegas,78,"11' 8""",502.75,43,107
55,56,56,Garth Mulroy,53,"11' 9""",388.917,33,175
56,T57,T57,Zach Johnson,93,"11' 10""",724.25,61,103
57,T57,T57,Chris Stroud,90,"11' 10""",696.5,59,113
58,T59,T59,Stuart Appleby,101,"11' 11""",964.0,81,81
59,T59,T59,Ricky Barnes,103,"11' 11""",798.25,67,64
60,T59,T59,Jason Bohn,84,"11' 11""",726.9169999999999,61,108
61,T59,T59,Graham DeLaet,88,"11' 11""",620.1669999999999,52,36
62,T59,T59,J.B. Holmes,100,"11' 11""",961.9169999999999,81,22
63,T59,T59,Brian Stuard,81,"11' 11""",727.0830000000001,61,163
64,T59,T59,Bo Van Pelt,104,"11' 11""",776.0830000000001,65,25
65,T66,T66,Jeff Overton,89,"12' 0""",754.4169999999999,63,125
66,T66,T66,Nick Watney,91,"12' 0""",635.8330000000001,53,146
67,T68,T68,Chad Campbell,94,"12' 1""",715.0,59,69
68,T68,T68,Ryuji Imada,90,"12' 1""",916.0830000000001,76,18
69,T68,T68,Matt Jones,89,"12' 1""",844.8330000000001,70,48
70,T68,T68,Jarrod Lyle,54,"12' 1""",580.1669999999999,48,101
71,T72,T72,David Lutterus,69,"12' 2""",633.0,52,158
72,T72,T72,Will MacKenzie,72,"12' 2""",707.5830000000001,58,73
73,T72,T72,Aron Price,70,"12' 2""",670.9169999999999,55,88
74,T72,T72,Brandt Snedeker,89,"12' 2""",756.1669999999999,62,43
75,T72,T72,Charlie Wi,95,"12' 2""",826.1669999999999,68,3
76,T77,T77,Spencer Levin,110,"12' 3""",774.0830000000001,63,79
77,T77,T77,Shaun Micheel,70,"12' 3""",586.3330000000001,48,40
78,T77,T77,Kevin Sutherland,86,"12' 3""",809.1669999999999,66,23
79,T80,T80,Daniel Chopra,74,"12' 4""",690.3330000000001,56,135
80,T80,T80,Steve Flesch,78,"12' 4""",702.1669999999999,57,154
81,T80,T80,Kevin Na,94,"12' 4""",666.4169999999999,54,8
82,T83,T83,Tom Gillis,97,"12' 5""",720.0,58,54
83,T83,T83,Nathan Green,86,"12' 5""",1089.833,88,55
84,T83,T83,Webb Simpson,98,"12' 5""",755.4169999999999,61,69
