,Sand_Saves_from__10_yards_RANK THIS WEEK,Sand_Saves_from__10_yards_RANK LAST WEEK,Sand_Saves_from__10_yards_PLAYER NAME,Sand_Saves_from__10_yards_ROUNDS,Sand_Saves_from__10_yards_%,Sand_Saves_from__10_yards_# OF SAVES,Sand_Saves_from__10_yards_# OF BUNKERS
0,T1,T1,Rich Barcelo,70,100.0,3.0,3
1,T1,T1,Justin Bolli,55,100.0,2.0,2
2,T1,T1,Chad Collins,87,100.0,4.0,4
3,T1,T1,Cliff Kresge,50,100.0,3.0,3
4,T1,T1,Justin Leonard,89,100.0,5.0,5
5,T1,T1,Garth Mulroy,53,100.0,3.0,3
6,T1,T1,Aron Price,70,100.0,4.0,4
7,T1,T1,Kevin Sutherland,86,100.0,4.0,4
8,T1,T1,Cameron Tringale,55,100.0,1.0,1
9,T1,T1,Jimmy Walker,82,100.0,3.0,3
10,T1,T1,Charlie Wi,95,100.0,7.0,7
11,T1,T1,Dean Wilson,54,100.0,3.0,3
12,T13,T13,Nathan Green,86,90.0,9.0,10
13,T13,T13,John Mallinger,78,90.0,9.0,10
14,T15,T15,Stephen Ames,75,88.89,8.0,9
15,T15,T15,Stuart Appleby,101,88.89,8.0,9
16,T15,T15,Trevor Immelman,55,88.89,8.0,9
17,T15,T15,Joe Ogilvie,99,88.89,8.0,9
18,T15,T15,Mike Weir,59,88.89,8.0,9
19,T20,T20,Retief Goosen,75,87.5,7.0,8
20,T20,T20,Marc Leishman,87,87.5,7.0,8
21,T20,T20,Bryce Molder,84,87.5,7.0,8
22,T23,T23,Lucas Glover,75,85.71,6.0,7
23,T23,T23,Sean O'Hair,84,85.71,6.0,7
24,T23,T23,Geoff Ogilvy,62,85.71,6.0,7
25,T23,T23,Ryan Palmer,84,85.71,6.0,7
26,T27,T27,Alex Cejka,81,83.33,5.0,6
27,T27,T27,Tim Clark,88,83.33,15.0,18
28,T27,T27,Mathias Grönberg,61,83.33,5.0,6
29,T27,T27,Brett Quigley,96,83.33,5.0,6
30,31,31,Bo Van Pelt,104,81.82,9.0,11
31,T32,T32,Chad Campbell,94,80.0,4.0,5
32,T32,T32,Chris DiMarco,88,80.0,4.0,5
33,T32,T32,Luke Donald,71,80.0,4.0,5
34,T32,T32,Brian Gay,101,80.0,8.0,10
35,T32,T32,Will MacKenzie,72,80.0,4.0,5
36,T32,T32,Chris Riley,73,80.0,4.0,5
37,T32,T32,Michael Sim,64,80.0,4.0,5
38,T32,T32,Steve Stricker,73,80.0,4.0,5
39,T40,T40,Freddie Jacobson,83,77.78,7.0,9
40,T40,T40,Jerry Kelly,99,77.78,7.0,9
41,42,42,J.B. Holmes,100,76.92,10.0,13
42,T43,T43,Briny Baird,87,75.0,6.0,8
43,T43,T43,Matt Bettencourt,91,75.0,9.0,12
44,T43,T43,Greg Chalmers,93,75.0,9.0,12
45,T43,T43,Joe Durant,67,75.0,3.0,4
46,T43,T43,Ryuji Imada,90,75.0,6.0,8
47,T43,T43,Zach Johnson,93,75.0,3.0,4
