,Scrambling_from_Other_Locations_RANK THIS WEEK,Scrambling_from_Other_Locations_RANK LAST WEEK,Scrambling_from_Other_Locations_PLAYER NAME,Scrambling_from_Other_Locations_ROUNDS,Scrambling_from_Other_Locations_%,Scrambling_from_Other_Locations_SUCCESSES,Scrambling_from_Other_Locations_ATTEMPTS
155,T154,T154,Carl Pettersson,99,52.38,77,147
156,157,157,Hunter Mahan,85,52.27,46,88
157,158,158,Bubba Watson,77,52.21,59,113
158,159,159,Bill Lunde,79,52.11,74,142
159,160,160,Davis Love III,79,51.96,53,102
160,T161,T161,Justin Bolli,55,51.9,41,79
161,T161,T161,Mathias Grönberg,61,51.9,41,79
162,163,163,David Duval,71,51.89,55,106
163,164,164,Cameron Tringale,55,51.85,42,81
164,165,165,Charles Warren,64,51.61,48,93
165,166,166,D.J. Trahan,92,51.38,56,109
166,167,167,Dustin Johnson,83,51.16,44,86
167,168,168,Geoff Ogilvy,62,50.85,30,59
168,169,169,Alex Prugh,88,50.7,72,142
169,170,170,Camilo Villegas,78,50.67,38,75
170,171,171,John Daly,63,50.59,43,85
171,172,172,Brenden Pappas,66,50.57,44,87
172,173,173,Cameron Beckman,68,50.5,51,101
173,174,174,David Lutterus,69,50.48,53,105
174,T175,T175,Martin Flores,75,50.0,64,128
175,T175,T175,Greg Owen,69,50.0,61,122
176,177,177,Nick Watney,91,49.41,42,85
177,178,178,Brendon de Jonge,114,48.92,68,139
178,179,179,Vance Veazey,58,48.7,56,115
179,180,180,Ted Purdy,86,48.65,72,148
180,181,181,Andrew McLardy,52,48.54,50,103
181,182,182,Billy Mayfair,78,47.83,55,115
182,183,183,Steve Lowery,67,47.22,51,108
183,184,184,J.P. Hayes,79,47.2,59,125
184,185,185,Brad Faxon,58,47.06,64,136
185,186,186,Ryan Palmer,84,47.01,55,117
186,187,187,Greg Kraft,52,46.67,49,105
187,188,188,Jerod Turner,54,45.56,41,90
188,189,189,Mark Calcavecchia,50,44.64,25,56
189,190,190,Jeff Gove,57,43.96,40,91
190,191,191,Kevin Johnson,62,42.11,40,95
191,192,192,Henrik Bjornstad,72,40.54,45,111
