,Sand_Saves_from_20-30_yards_RANK THIS WEEK,Sand_Saves_from_20-30_yards_RANK LAST WEEK,Sand_Saves_from_20-30_yards_PLAYER NAME,Sand_Saves_from_20-30_yards_ROUNDS,Sand_Saves_from_20-30_yards_%,Sand_Saves_from_20-30_yards_# OF SAVES,Sand_Saves_from_20-30_yards_# OF BUNKERS
0,1,1,Omar Uresti,74,76.92,10,13
1,T2,T2,Robert Allenby,76,74.07,20,27
2,T2,T2,Luke Donald,71,74.07,20,27
3,4,4,Rocco Mediate,71,73.33,11,15
4,T5,T5,Padraig Harrington,57,71.43,20,28
5,T5,T5,Carl Pettersson,99,71.43,35,49
6,7,7,Chris Riley,73,70.83,17,24
7,8,8,Vijay Singh,75,70.0,21,30
8,9,9,Mike Weir,59,68.97,20,29
9,10,10,Zach Johnson,93,68.18,30,44
10,11,11,Ryuji Imada,90,67.65,23,34
11,T12,T12,Jim Furyk,76,66.67,14,21
12,T12,T12,Kenny Perry,69,66.67,14,21
13,14,14,Marc Leishman,87,62.5,20,32
14,15,15,Martin Laird,91,61.76,21,34
15,16,16,Jerry Kelly,99,61.36,27,44
16,17,17,Brian Gay,101,60.53,23,38
17,T18,T18,Mathias Grönberg,61,60.0,12,20
18,T18,T18,Rory Sabbatini,79,60.0,27,45
19,T18,T18,Bo Van Pelt,104,60.0,24,40
20,21,21,Chad Collins,87,59.52,25,42
21,22,22,Ben Curtis,78,59.26,16,27
22,T23,T23,J.P. Hayes,79,58.82,20,34
23,T23,T23,Pat Perez,90,58.82,20,34
24,T23,T23,Ted Purdy,86,58.82,20,34
25,26,26,Jason Day,82,58.7,27,46
26,27,27,Brendon de Jonge,114,58.54,24,41
27,T28,T28,Briny Baird,87,58.33,21,36
28,T28,T28,Matt Kuchar,97,58.33,21,36
29,T30,T30,Tim Clark,88,57.14,20,35
30,T30,T30,George McNeill,79,57.14,24,42
31,T32,T32,Lucas Glover,75,56.67,17,30
32,T32,T32,Chris Stroud,90,56.67,17,30
33,T32,T32,Johnson Wagner,85,56.67,17,30
34,35,35,Chris Tidland,77,56.41,22,39
35,T36,T36,K.J. Choi,82,56.25,18,32
36,T36,T36,Brian Davis,101,56.25,27,48
37,T36,T36,Adam Scott,70,56.25,18,32
38,39,39,Steve Stricker,73,56.0,14,25
39,T40,T40,Jeff Overton,89,55.88,19,34
40,T40,T40,John Senden,103,55.88,19,34
41,42,42,Ricky Barnes,103,55.56,20,36
42,43,43,David Toms,86,55.17,16,29
43,44,44,Brett Quigley,96,55.0,22,40
44,T45,T45,Graham DeLaet,88,54.55,18,33
45,T45,T45,Boo Weekley,88,54.55,18,33
46,47,47,Troy Merritt,86,54.29,19,35
47,48,48,James Nitties,92,54.17,13,24
48,T49,T49,Steve Wheatcroft,74,53.85,14,26
49,T49,T49,Y.E. Yang,72,53.85,14,26
50,51,51,Nathan Green,86,53.33,24,45
51,52,52,Brandt Snedeker,89,52.94,18,34
52,53,53,Spencer Levin,110,52.63,20,38
53,54,54,Greg Chalmers,93,52.5,21,40
54,55,55,Paul Casey,64,52.38,11,21
55,56,56,Charles Howell III,103,52.08,25,48
