,Proximity_to_Hole_from_Fringe_RANK THIS WEEK,Proximity_to_Hole_from_Fringe_RANK LAST WEEK,Proximity_to_Hole_from_Fringe_PLAYER NAME,Proximity_to_Hole_from_Fringe_ROUNDS,Proximity_to_Hole_from_Fringe_AVG DTP,Proximity_to_Hole_from_Fringe_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_Fringe_# OF SHOTS,Proximity_to_Hole_from_Fringe_SCRAMBLING RANK
0,T1,T1,Retief Goosen,75,"2' 1""",110.25,54,12
1,T1,T1,Michael Letzig,84,"2' 1""",131.5,62,137
2,T1,T1,Chris Tidland,77,"2' 1""",145.0,69,110
3,4,4,Mike Weir,59,"2' 3""",91.917,41,82
4,T5,T5,Rickie Fowler,98,"2' 5""",252.917,104,66
5,T5,T5,Camilo Villegas,78,"2' 5""",149.0,61,107
6,T7,T7,Paul Casey,64,"2' 6""",80.833,32,45
7,T7,T7,Jim Furyk,76,"2' 6""",162.25,64,16
8,T7,T7,Phil Mickelson,76,"2' 6""",134.417,54,31
9,T7,T7,Webb Simpson,98,"2' 6""",275.41700000000003,110,69
10,T11,T11,Aaron Baddeley,94,"2' 7""",228.75,88,117
11,T11,T11,Cameron Beckman,68,"2' 7""",162.083,63,93
12,T11,T11,Ryan Moore,80,"2' 7""",149.833,58,47
13,T11,T11,Kevin Sutherland,86,"2' 7""",183.083,70,23
14,T11,T11,Josh Teater,101,"2' 7""",223.667,86,124
15,T16,T16,Matt Every,60,"2' 8""",173.333,65,105
16,T16,T16,Jerry Kelly,99,"2' 8""",218.167,82,100
17,T16,T16,Steve Marino,81,"2' 8""",134.417,51,132
18,T16,T16,Rocco Mediate,71,"2' 8""",139.333,53,120
19,T16,T16,Tim Petrovic,105,"2' 8""",237.583,90,51
20,T21,T21,Chad Collins,87,"2' 9""",205.5,74,9
21,T21,T21,Chris Couch,66,"2' 9""",155.083,57,133
22,T21,T21,Mathias Grönberg,61,"2' 9""",162.417,59,90
23,T21,T21,Derek Lamely,81,"2' 9""",188.417,68,119
24,T21,T21,Brenden Pappas,66,"2' 9""",170.167,62,143
25,T21,T21,Pat Perez,90,"2' 9""",183.917,66,26
26,T21,T21,D.A. Points,90,"2' 9""",179.667,66,85
27,T21,T21,Michael Sim,64,"2' 9""",151.083,55,35
28,T21,T21,Bo Van Pelt,104,"2' 9""",244.167,88,25
29,T21,T21,Garrett Willis,82,"2' 9""",215.167,78,152
30,T21,T21,Dean Wilson,54,"2' 9""",128.333,47,1
31,T32,T32,Blake Adams,84,"2' 10""",210.667,74,112
32,T32,T32,Stuart Appleby,101,"2' 10""",283.08299999999997,101,81
33,T32,T32,Mark Calcavecchia,50,"2' 10""",103.083,36,185
34,T32,T32,Graham DeLaet,88,"2' 10""",210.167,74,36
35,T32,T32,Luke Donald,71,"2' 10""",131.75,46,4
36,T32,T32,Zach Johnson,93,"2' 10""",233.417,83,103
37,T32,T32,Hunter Mahan,85,"2' 10""",212.25,76,85
38,T32,T32,John Merrick,109,"2' 10""",205.583,72,121
39,T32,T32,Bryce Molder,84,"2' 10""",216.5,77,24
40,T32,T32,Carl Pettersson,99,"2' 10""",257.16700000000003,92,28
41,T32,T32,Ian Poulter,55,"2' 10""",102.75,36,57
42,T32,T32,Ted Purdy,86,"2' 10""",246.833,86,180
43,T44,T44,Jonathan Byrd,85,"2' 11""",228.917,79,34
44,T44,T44,Brian Gay,101,"2' 11""",291.91700000000003,99,2
45,T44,T44,Justin Leonard,89,"2' 11""",230.0,78,114
46,T44,T44,John Mallinger,78,"2' 11""",180.583,62,84
47,T44,T44,Kevin Na,94,"2' 11""",236.833,81,8
48,T44,T44,Sean O'Hair,84,"2' 11""",176.333,60,32
49,T44,T44,Alex Prugh,88,"2' 11""",223.75,76,151
50,T44,T44,John Rollins,81,"2' 11""",182.5,62,74
51,T44,T44,Roger Tambellini,77,"2' 11""",161.25,56,166
52,T44,T44,David Toms,86,"2' 11""",236.5,81,39
53,T54,T54,Robert Allenby,76,"3' 0""",189.333,63,131
54,T54,T54,Brian Davis,101,"3' 0""",306.16700000000003,103,30
55,T54,T54,Brendon de Jonge,114,"3' 0""",245.25,82,145
56,T54,T54,James Driscoll,78,"3' 0""",233.5,78,95
57,T54,T54,Steve Flesch,78,"3' 0""",185.917,62,154
58,T54,T54,J.J. Henry,92,"3' 0""",239.417,80,62
59,T54,T54,Charley Hoffman,85,"3' 0""",267.08299999999997,89,49
60,T54,T54,Freddie Jacobson,83,"3' 0""",220.583,74,17
61,T54,T54,Matt Jones,89,"3' 0""",230.417,76,48
62,T54,T54,Rod Pampling,77,"3' 0""",190.083,64,67
63,T54,T54,Tom Pernice Jr.,74,"3' 0""",173.417,58,63
64,T54,T54,Heath Slocum,97,"3' 0""",201.75,68,19
65,T54,T54,Kevin Streelman,90,"3' 0""",199.667,67,127
66,T54,T54,Scott Verplank,74,"3' 0""",227.583,76,71
67,T54,T54,Nick Watney,91,"3' 0""",196.917,65,146
68,T54,T54,Mark Wilson,87,"3' 0""",221.333,73,27
69,T54,T54,Chris Wilson,65,"3' 0""",188.583,63,173
70,T71,T71,Rich Barcelo,70,"3' 1""",191.417,62,168
71,T71,T71,Ricky Barnes,103,"3' 1""",256.41700000000003,83,64
72,T71,T71,Ángel Cabrera,64,"3' 1""",170.333,55,153
73,T71,T71,Alex Cejka,81,"3' 1""",206.083,67,130
74,T71,T71,Steve Elkington,74,"3' 1""",224.917,72,11
75,T71,T71,Paul Goydos,78,"3' 1""",271.0,88,155
76,T71,T71,Charles Howell III,103,"3' 1""",308.66700000000003,99,7
77,T71,T71,Marc Leishman,87,"3' 1""",268.5,87,123
78,T71,T71,Steve Lowery,67,"3' 1""",167.667,55,188
79,T71,T71,Rory McIlroy,54,"3' 1""",123.583,40,56
80,T71,T71,Cameron Percy,73,"3' 1""",202.25,66,122
81,T71,T71,Kevin Stadler,86,"3' 1""",246.083,79,138
82,T71,T71,Steve Stricker,73,"3' 1""",138.083,45,14
83,T84,T84,Craig Bowden,56,"3' 2""",146.5,46,91
84,T84,T84,Greg Chalmers,93,"3' 2""",250.667,80,10
85,T84,T84,K.J. Choi,82,"3' 2""",158.25,50,20
86,T84,T84,Daniel Chopra,74,"3' 2""",237.0,74,135
87,T84,T84,Sergio Garcia,58,"3' 2""",135.917,43,161
88,T84,T84,Greg Kraft,52,"3' 2""",140.0,44,177
89,T84,T84,Matt Kuchar,97,"3' 2""",222.0,71,5
90,T84,T84,Spencer Levin,110,"3' 2""",258.66700000000003,82,79
91,T84,T84,Jeff Maggert,76,"3' 2""",223.75,71,141
