,Scrambling_Average_Distance_to_Hole_RANK THIS WEEK,Scrambling_Average_Distance_to_Hole_RANK LAST WEEK,Scrambling_Average_Distance_to_Hole_PLAYER NAME,Scrambling_Average_Distance_to_Hole_ROUNDS,Scrambling_Average_Distance_to_Hole_AVG DTP,Scrambling_Average_Distance_to_Hole_TOTAL DISTANCE (FEET),Scrambling_Average_Distance_to_Hole_ATTEMPTS
0,1,1,Luke Donald,71,"6' 9""",1964.4170000000001,290
1,T2,T2,Jim Furyk,76,"6' 10""",2219.25,323
2,T2,T2,Justin Rose,78,"6' 10""",2636.583,387
3,T4,T4,Retief Goosen,75,"7' 0""",1976.6670000000001,281
4,T4,T4,Jeev Milkha Singh,59,"7' 0""",2028.4170000000001,289
5,T4,T4,Mike Weir,59,"7' 0""",1757.6670000000001,252
6,T4,T4,Mark Wilson,87,"7' 0""",2578.083,368
7,8,8,K.J. Choi,82,"7' 1""",2156.75,303
8,9,9,Michael Sim,64,"7' 2""",2086.5,290
9,T10,T10,Stuart Appleby,101,"7' 3""",3667.833,506
10,T10,T10,Phil Mickelson,76,"7' 3""",2219.917,307
11,T10,T10,Chris Riley,73,"7' 3""",2382.25,329
12,T10,T10,David Toms,86,"7' 3""",2598.25,360
13,T14,T14,Kevin Na,94,"7' 4""",2975.75,408
14,T14,T14,Heath Slocum,97,"7' 4""",2687.25,368
15,T14,T14,Brandt Snedeker,89,"7' 4""",3211.417,436
16,T14,T14,Steve Stricker,73,"7' 4""",2052.417,279
17,T14,T14,Dean Wilson,54,"7' 4""",1746.0,239
18,T19,T19,Jonathan Byrd,85,"7' 5""",2859.167,384
19,T19,T19,Chad Collins,87,"7' 5""",3217.583,432
20,T19,T19,Padraig Harrington,57,"7' 5""",1879.6670000000001,253
21,T19,T19,Rory McIlroy,54,"7' 5""",1571.3329999999999,213
22,T19,T19,Cameron Percy,73,"7' 5""",1966.5,264
23,T19,T19,Omar Uresti,74,"7' 5""",2348.917,318
24,T25,T25,Ricky Barnes,103,"7' 6""",3076.333,410
25,T25,T25,Alex Cejka,81,"7' 6""",2660.333,355
26,T25,T25,Charles Howell III,103,"7' 6""",3404.667,453
27,T25,T25,Vijay Singh,75,"7' 6""",2120.583,284
28,T29,T29,Ryuji Imada,90,"7' 7""",3688.0,484
29,T29,T29,Trevor Immelman,55,"7' 7""",1697.5829999999999,223
30,T29,T29,Shaun Micheel,70,"7' 7""",2209.083,292
31,T32,T32,Michael Bradley,77,"7' 8""",2514.75,328
32,T32,T32,Chris DiMarco,88,"7' 8""",3217.583,420
33,T34,T34,Brian Gay,101,"7' 9""",3596.667,464
34,T34,T34,Charlie Wi,95,"7' 9""",3607.917,465
35,T36,T36,Steve Flesch,78,"7' 10""",3040.75,388
36,T36,T36,Charley Hoffman,85,"7' 10""",3262.5,417
37,T36,T36,Jerry Kelly,99,"7' 10""",3365.167,428
38,T36,T36,Tom Pernice Jr.,74,"7' 10""",2252.583,288
39,T36,T36,Tim Petrovic,105,"7' 10""",4006.583,509
40,T36,T36,John Rollins,81,"7' 10""",2906.75,373
41,T36,T36,Garrett Willis,82,"7' 10""",2531.917,324
42,T43,T43,Lucas Glover,75,"7' 11""",2382.583,300
43,T43,T43,J.B. Holmes,100,"7' 11""",4026.083,510
44,T43,T43,Freddie Jacobson,83,"7' 11""",3127.417,393
45,T43,T43,Bill Lunde,79,"7' 11""",2723.25,344
46,T43,T43,Billy Mayfair,78,"7' 11""",2507.667,317
47,T43,T43,Kevin Sutherland,86,"7' 11""",2835.0,357
48,T43,T43,Camilo Villegas,78,"7' 11""",2389.833,301
49,T50,T50,Stephen Ames,75,"8' 0""",2752.917,343
50,T50,T50,Woody Austin,93,"8' 0""",3405.167,424
51,T50,T50,Greg Chalmers,93,"8' 0""",3739.583,466
52,T50,T50,Stewart Cink,84,"8' 0""",2580.75,321
53,T50,T50,Tim Clark,88,"8' 0""",2911.0,362
54,T50,T50,Matt Kuchar,97,"8' 0""",2912.75,366
55,T50,T50,Geoff Ogilvy,62,"8' 0""",1878.75,236
56,T50,T50,Rory Sabbatini,79,"8' 0""",2665.833,333
57,T50,T50,Bo Van Pelt,104,"8' 0""",3450.167,432
58,T59,T59,Ben Curtis,78,"8' 1""",2648.667,328
59,T59,T59,Brian Davis,101,"8' 1""",4359.917,538
60,T59,T59,Tom Gillis,97,"8' 1""",3976.833,494
61,T59,T59,Bill Haas,87,"8' 1""",2945.167,364
62,T59,T59,Matt Jones,89,"8' 1""",3493.0,433
63,T59,T59,John Mallinger,78,"8' 1""",2540.333,314
64,T59,T59,Ryan Moore,80,"8' 1""",2541.5,315
65,T59,T59,Sean O'Hair,84,"8' 1""",2705.167,333
66,T59,T59,Rod Pampling,77,"8' 1""",3291.75,408
67,T59,T59,Aron Price,70,"8' 1""",2337.583,290
68,T59,T59,Webb Simpson,98,"8' 1""",3888.5,480
69,T70,T70,Kris Blanks,91,"8' 2""",2864.167,349
70,T70,T70,Graham DeLaet,88,"8' 2""",2851.917,348
71,T70,T70,J.J. Henry,92,"8' 2""",3163.583,386
72,T70,T70,Cliff Kresge,50,"8' 2""",1952.1670000000001,240
73,T70,T70,Ian Poulter,55,"8' 2""",1685.5829999999999,207
74,T75,T75,Briny Baird,87,"8' 3""",3136.583,381
75,T75,T75,Michael Connell,89,"8' 3""",3316.5,404
76,T75,T75,Jason Dufner,87,"8' 3""",3063.583,370
77,T75,T75,Nathan Green,86,"8' 3""",3806.75,461
78,T75,T75,Marc Leishman,87,"8' 3""",3081.667,375
79,T75,T75,Will MacKenzie,72,"8' 3""",2809.083,341
80,T75,T75,Pat Perez,90,"8' 3""",3229.583,393
81,T75,T75,Josh Teater,101,"8' 3""",3786.833,458
82,T75,T75,D.J. Trahan,92,"8' 3""",3141.25,382
83,T84,T84,Chad Campbell,94,"8' 4""",3269.167,394
84,T84,T84,John Daly,63,"8' 4""",2132.833,255
85,T84,T84,Jason Day,82,"8' 4""",3071.417,370
86,T84,T84,Steve Elkington,74,"8' 4""",2642.583,318
87,T84,T84,Ernie Els,72,"8' 4""",2389.0,287
88,T84,T84,Sergio Garcia,58,"8' 4""",1540.4170000000001,185
89,T84,T84,J.P. Hayes,79,"8' 4""",3132.0,375
90,T84,T84,Bryce Molder,84,"8' 4""",3388.417,406
91,T84,T84,Brenden Pappas,66,"8' 4""",2342.833,280
92,T84,T84,Brett Quigley,96,"8' 4""",3400.583,410
93,T84,T84,Adam Scott,70,"8' 4""",2165.083,260
94,T84,T84,Jimmy Walker,82,"8' 4""",3037.833,364
95,T96,T96,Joe Durant,67,"8' 5""",2201.917,262
96,T96,T96,Spencer Levin,110,"8' 5""",3850.75,458
97,T96,T96,Davis Love III,79,"8' 5""",2564.75,306
98,T96,T96,David Lutterus,69,"8' 5""",2648.583,316
99,T96,T96,Johnson Wagner,85,"8' 5""",2975.917,355
100,T96,T96,Boo Weekley,88,"8' 5""",2922.5,347
101,T102,T102,Rich Barcelo,70,"8' 6""",2686.75,316
102,T102,T102,James Driscoll,78,"8' 6""",3230.167,380
103,T102,T102,David Duval,71,"8' 6""",2430.833,286
104,T102,T102,Justin Leonard,89,"8' 6""",3170.917,372
105,T102,T102,John Senden,103,"8' 6""",3223.083,378
106,T107,T107,Aaron Baddeley,94,"8' 7""",3903.0,454
107,T107,T107,Ben Crane,85,"8' 7""",2905.5,339
108,T107,T107,Martin Laird,91,"8' 7""",3308.583,384
109,T107,T107,Kenny Perry,69,"8' 7""",2280.25,265
110,T107,T107,Carl Pettersson,99,"8' 7""",3988.333,464
111,T112,T112,Blake Adams,84,"8' 8""",3509.417,404
112,T112,T112,Rickie Fowler,98,"8' 8""",3516.417,404
113,T112,T112,Tim Herron,79,"8' 8""",3115.917,360
114,T112,T112,Michael Letzig,84,"8' 8""",3449.25,398
115,T112,T112,Jay Williamson,76,"8' 8""",2612.833,302
116,T117,T117,Cameron Beckman,68,"8' 9""",2719.333,310
117,T117,T117,Bob Estes,79,"8' 9""",3116.667,357
118,T117,T117,Richard Johnson,90,"8' 9""",3217.083,366
119,T117,T117,Rocco Mediate,71,"8' 9""",2514.667,288
120,T121,T121,Craig Bowden,56,"8' 10""",2555.417,289
121,T121,T121,Paul Goydos,78,"8' 10""",3139.583,354
122,T121,T121,Steve Marino,81,"8' 10""",2964.333,337
123,T121,T121,Scott McCarron,90,"8' 10""",4056.333,460
124,T121,T121,Scott Verplank,74,"8' 10""",2968.5,336
125,T126,T126,Matt Bettencourt,91,"8' 11""",3890.5,435
126,T126,T126,Matt Every,60,"8' 11""",2624.5,293
127,T126,T126,Martin Flores,75,"8' 11""",3189.0,359
128,T126,T126,Skip Kendall,58,"8' 11""",2568.833,287
129,T126,T126,Hunter Mahan,85,"8' 11""",3134.333,350
130,T126,T126,Bubba Watson,77,"8' 11""",3058.167,342
131,T126,T126,Brett Wetterich,54,"8' 11""",2408.833,270
132,T133,T133,Jeff Gove,57,"9' 0""",1924.6670000000001,213
133,T133,T133,Lee Janzen,77,"9' 0""",3325.583,368
134,T133,T133,George McNeill,79,"9' 0""",3358.333,374
135,T133,T133,D.A. Points,90,"9' 0""",3770.833,420
136,T137,T137,Paul Casey,64,"9' 1""",2026.5829999999999,224
137,T137,T137,Troy Matteson,84,"9' 1""",3162.917,347
138,T139,T139,John Merrick,109,"9' 2""",3817.417,417
139,T139,T139,James Nitties,92,"9' 2""",3927.333,429
140,T139,T139,Chris Stroud,90,"9' 2""",3171.75,345
141,T142,T142,Jason Bohn,84,"9' 3""",3467.083,376
142,T142,T142,Chris Couch,66,"9' 3""",2958.333,320
143,T142,T142,Jarrod Lyle,54,"9' 3""",2340.417,252
144,T142,T142,Troy Merritt,86,"9' 3""",3881.75,418
145,T142,T142,Vaughn Taylor,87,"9' 3""",3687.0,397
146,T142,T142,Chris Tidland,77,"9' 3""",3520.167,379
147,T142,T142,Cameron Tringale,55,"9' 3""",1869.3329999999999,202
148,T149,T149,Ángel Cabrera,64,"9' 4""",2508.917,269
149,T149,T149,Brendon de Jonge,114,"9' 4""",3975.417,425
150,T149,T149,Kevin Johnson,62,"9' 4""",2650.417,283
151,T149,T149,Zach Johnson,93,"9' 4""",3680.75,395
152,T149,T149,Jeff Overton,89,"9' 4""",3517.667,378
153,T149,T149,Ryan Palmer,84,"9' 4""",3679.0,395
154,T149,T149,Vance Veazey,58,"9' 4""",2520.667,269
155,T156,T156,Mathew Goggin,85,"9' 5""",3404.833,360
156,T156,T156,Brian Stuard,81,"9' 5""",3583.583,379
157,T156,T156,Nick Watney,91,"9' 5""",3098.333,330
158,T159,T159,Justin Bolli,55,"9' 6""",2209.083,233
159,T159,T159,Derek Lamely,81,"9' 6""",3686.417,389
160,T159,T159,Greg Owen,69,"9' 6""",2867.75,303
161,T159,T159,Alex Prugh,88,"9' 6""",3698.333,390
