,Proximity_to_Hole_from_Other_Locations_RANK THIS WEEK,Proximity_to_Hole_from_Other_Locations_RANK LAST WEEK,Proximity_to_Hole_from_Other_Locations_PLAYER NAME,Proximity_to_Hole_from_Other_Locations_ROUNDS,Proximity_to_Hole_from_Other_Locations_AVG DTP,Proximity_to_Hole_from_Other_Locations_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_Other_Locations_# OF SHOTS,Proximity_to_Hole_from_Other_Locations_SCRAMBLING RANK
0,T1,T1,Jeev Milkha Singh,59,"5' 2""",5.312,85,15
1,T1,T1,Mike Weir,59,"5' 2""",5.004,81,82
2,T3,T3,Kevin Na,94,"5' 4""",6.108,96,8
3,T3,T3,Justin Rose,78,"5' 4""",6.917000000000001,108,13
4,5,5,Omar Uresti,74,"5' 5""",6.87,106,38
5,T6,T6,Freddie Jacobson,83,"5' 6""",8.325,127,17
6,T6,T6,Phil Mickelson,76,"5' 6""",5.2620000000000005,80,31
7,T6,T6,Dean Wilson,54,"5' 6""",3.412,52,1
8,9,9,Martin Laird,91,"5' 9""",9.622,139,115
9,T10,T10,Richard Johnson,90,"5' 10""",7.835,112,72
10,T10,T10,Michael Sim,64,"5' 10""",6.436,92,35
11,T10,T10,Brandt Snedeker,89,"5' 10""",8.316,118,43
12,T13,T13,Joe Durant,67,"5' 11""",7.337999999999999,103,76
13,T13,T13,Padraig Harrington,57,"5' 11""",5.088,72,42
14,T13,T13,Geoff Ogilvy,62,"5' 11""",4.143,58,135
15,T16,T16,J.B. Holmes,100,"6' 0""",12.757,176,22
16,T16,T16,Ian Poulter,55,"6' 0""",2.95,41,57
17,T16,T16,Chris Riley,73,"6' 0""",8.247,114,6
18,T19,T19,Michael Bradley,77,"6' 1""",8.051,111,67
19,T19,T19,Bob Estes,79,"6' 1""",9.162,125,50
20,T19,T19,Matt Jones,89,"6' 1""",10.012,138,48
21,T22,T22,Chad Collins,87,"6' 2""",12.640999999999998,170,9
22,T22,T22,Zach Johnson,93,"6' 2""",6.54,88,103
23,T22,T22,Greg Owen,69,"6' 2""",9.126,124,179
24,T22,T22,Scott Verplank,74,"6' 2""",8.235,111,71
25,T26,T26,Jonathan Byrd,85,"6' 3""",10.526,141,34
26,T26,T26,Tim Clark,88,"6' 3""",4.9,65,20
27,T26,T26,Brian Davis,101,"6' 3""",12.093,161,30
28,T26,T26,Steve Flesch,78,"6' 3""",9.121,122,154
29,T26,T26,Retief Goosen,75,"6' 3""",5.605,75,12
30,T26,T26,Bill Haas,87,"6' 3""",7.495,100,98
31,T26,T26,Bryce Molder,84,"6' 3""",8.272,111,24
32,T26,T26,Jeff Overton,89,"6' 3""",8.907,118,125
