,Sand_Save_Percentage_RANK THIS WEEK,Sand_Save_Percentage_RANK LAST WEEK,Sand_Save_Percentage_PLAYER NAME,Sand_Save_Percentage_ROUNDS,Sand_Save_Percentage_%,Sand_Save_Percentage_# SAVES,Sand_Save_Percentage_# BUNKERS,Sand_Save_Percentage_TOTAL O/U PAR
0,1,1,Luke Donald,71,66.39,79,119,24.0
1,2,2,Carl Pettersson,99,62.94,107,170,43.0
2,3,3,Pat Perez,90,61.97,88,142,21.0
3,4,4,Tim Clark,88,61.59,93,151,30.0
4,5,5,Chad Collins,87,60.43,84,139,40.0
5,6,6,Briny Baird,87,60.0,81,135,24.0
6,7,7,Trevor Immelman,55,59.77,52,87,26.0
7,8,8,Mike Weir,59,59.48,69,116,37.0
8,9,9,Brian Gay,101,59.26,96,162,54.0
9,10,10,Brandt Snedeker,89,59.18,87,147,44.0
10,11,11,K.J. Choi,82,59.06,75,127,43.0
11,12,12,Rory Sabbatini,79,58.94,89,151,48.0
12,13,13,Justin Rose,78,58.78,87,148,29.0
13,14,14,Matt Jones,89,58.68,98,167,40.0
14,15,15,Charlie Wi,95,58.27,81,139,38.0
15,T16,T16,Ryuji Imada,90,57.94,73,126,41.0
16,T16,T16,Mark Wilson,87,57.94,62,107,25.0
17,18,18,Aron Price,70,57.61,53,92,26.0
18,19,19,Greg Chalmers,93,57.53,84,146,43.0
19,20,20,Geoff Ogilvy,62,57.28,59,103,38.0
20,21,21,Stephen Ames,75,57.26,67,117,33.0
21,22,22,Nathan Green,86,57.23,95,166,50.0
22,23,23,Chris Riley,73,56.86,58,102,28.0
23,24,24,Zach Johnson,93,56.29,85,151,43.0
24,25,25,Kenny Perry,69,56.25,54,96,17.0
25,26,26,Matt Kuchar,97,56.2,77,137,34.0
26,27,27,Kevin Sutherland,86,55.77,58,104,32.0
27,28,28,Robert Allenby,76,55.56,80,144,44.0
28,29,29,Mathias Grönberg,61,55.17,48,87,34.0
29,30,30,Webb Simpson,98,55.06,87,158,53.0
30,31,31,Jay Williamson,76,55.0,55,100,41.0
31,32,32,Ben Curtis,78,54.87,62,113,38.0
32,33,33,Steve Stricker,73,54.84,68,124,37.0
33,34,34,Aaron Baddeley,94,54.82,91,166,38.0
34,T35,T35,Jason Day,82,54.81,74,135,37.0
35,T35,T35,Kevin Na,94,54.81,74,135,40.0
