,Proximity_to_Hole_from_Rough_RANK THIS WEEK,Proximity_to_Hole_from_Rough_RANK LAST WEEK,Proximity_to_Hole_from_Rough_PLAYER NAME,Proximity_to_Hole_from_Rough_ROUNDS,Proximity_to_Hole_from_Rough_AVG DTP,Proximity_to_Hole_from_Rough_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_Rough_# OF SHOTS,Proximity_to_Hole_from_Rough_SCRAMBLING RANK
0,1,1,Jim Furyk,76,"6' 0""",881.8330000000001,148,16
1,T2,T2,K.J. Choi,82,"6' 5""",916.5,143,20
2,T2,T2,Ernie Els,72,"6' 5""",871.0830000000001,135,41
3,T4,T4,Brian Gay,101,"6' 6""",1198.0,184,2
4,T4,T4,Steve Stricker,73,"6' 6""",919.0,141,14
5,6,6,Alex Cejka,81,"6' 7""",1089.5,166,130
6,T7,T7,Charles Howell III,103,"6' 8""",1428.25,213,7
7,T7,T7,John Mallinger,78,"6' 8""",937.5,140,84
8,T7,T7,David Toms,86,"6' 8""",1104.083,165,39
9,T10,T10,Tim Clark,88,"6' 9""",1040.833,154,20
10,T10,T10,Luke Donald,71,"6' 9""",932.1669999999999,138,4
11,T10,T10,Scott Verplank,74,"6' 9""",707.0,105,71
12,T13,T13,Ben Curtis,78,"6' 10""",957.9169999999999,140,60
13,T13,T13,Sergio Garcia,58,"6' 10""",701.4169999999999,103,161
14,T13,T13,Pat Perez,90,"6' 10""",1289.5,188,26
15,T13,T13,Adam Scott,70,"6' 10""",863.0830000000001,127,171
16,T13,T13,Charlie Wi,95,"6' 10""",1355.75,198,3
17,T18,T18,Jonathan Byrd,85,"6' 11""",1153.0,167,34
18,T18,T18,Retief Goosen,75,"6' 11""",979.25,142,12
19,T18,T18,Justin Rose,78,"6' 11""",1169.333,169,13
20,T18,T18,Jeev Milkha Singh,59,"6' 11""",959.9169999999999,138,15
21,T22,T22,Briny Baird,87,"7' 0""",1034.5,148,37
22,T22,T22,Tom Gillis,97,"7' 0""",1808.0,258,54
23,T22,T22,Jerod Turner,54,"7' 0""",815.75,116,186
24,T22,T22,Bo Van Pelt,104,"7' 0""",1357.0829999999999,194,25
25,T26,T26,Paul Casey,64,"7' 2""",841.5830000000001,117,45
26,T26,T26,Cliff Kresge,50,"7' 2""",674.0,94,77
27,T26,T26,Tom Pernice Jr.,74,"7' 2""",987.5,137,63
28,T26,T26,Chris Riley,73,"7' 2""",854.0830000000001,119,6
29,T26,T26,Brandt Snedeker,89,"7' 2""",1465.25,204,43
30,T31,T31,Woody Austin,93,"7' 3""",1326.6670000000001,183,87
31,T31,T31,Chris DiMarco,88,"7' 3""",1195.333,165,29
32,T31,T31,Paul Goydos,78,"7' 3""",1054.25,145,155
33,T31,T31,Phil Mickelson,76,"7' 3""",1155.583,159,31
34,T31,T31,Ian Poulter,55,"7' 3""",725.5830000000001,100,57
35,T31,T31,Omar Uresti,74,"7' 3""",992.1669999999999,137,38
36,T37,T37,Brian Davis,101,"7' 4""",1666.25,227,30
37,T37,T37,Jason Day,82,"7' 4""",1396.5829999999999,190,51
38,T37,T37,Jeff Maggert,76,"7' 4""",1049.917,143,141
39,T37,T37,Dean Wilson,54,"7' 4""",939.0,128,1
40,T41,T41,Bob Estes,79,"7' 5""",1164.167,157,50
41,T41,T41,Lucas Glover,75,"7' 5""",1328.9170000000001,179,169
42,T41,T41,Jeff Gove,57,"7' 5""",741.5,100,189
43,T41,T41,Matt Kuchar,97,"7' 5""",1369.0829999999999,185,5
44,T41,T41,Marc Leishman,87,"7' 5""",1175.583,158,123
45,T41,T41,Bill Lunde,79,"7' 5""",1247.5,168,109
46,T41,T41,Kevin Na,94,"7' 5""",1676.75,225,8
47,T41,T41,Sean O'Hair,84,"7' 5""",1258.667,169,32
48,T41,T41,Rory Sabbatini,79,"7' 5""",1241.333,168,128
49,T41,T41,Mike Weir,59,"7' 5""",752.5,102,82
50,T51,T51,Stuart Appleby,101,"7' 6""",1717.25,230,81
51,T51,T51,Craig Bowden,56,"7' 6""",826.25,110,91
52,T51,T51,Freddie Jacobson,83,"7' 6""",1243.0,165,17
53,T51,T51,Justin Leonard,89,"7' 6""",1070.25,143,114
54,T51,T51,Shaun Micheel,70,"7' 6""",858.0,115,40
55,T51,T51,Ryan Moore,80,"7' 6""",1264.917,169,47
56,T51,T51,Rod Pampling,77,"7' 6""",1462.6670000000001,194,67
57,T51,T51,Carl Pettersson,99,"7' 6""",1446.75,192,28
58,T51,T51,Heath Slocum,97,"7' 6""",1396.5,187,19
59,T51,T51,Camilo Villegas,78,"7' 6""",1257.833,167,107
60,T51,T51,Nick Watney,91,"7' 6""",1433.8329999999999,191,146
61,T62,T62,Matt Bettencourt,91,"7' 7""",1708.6670000000001,226,97
62,T62,T62,Jason Bohn,84,"7' 7""",1322.6670000000001,174,108
63,T62,T62,Lee Janzen,77,"7' 7""",1163.917,154,102
64,T62,T62,Jerry Kelly,99,"7' 7""",1301.75,172,100
65,T62,T62,Billy Mayfair,78,"7' 7""",1076.417,142,147
66,T62,T62,Greg Owen,69,"7' 7""",900.5,119,179
67,T62,T62,Vijay Singh,75,"7' 7""",988.9169999999999,130,129
68,T69,T69,Ricky Barnes,103,"7' 8""",1577.5,206,64
