,SG_Around-the-Green_RANK THIS WEEK,SG_Around-the-Green_RANK LAST WEEK,SG_Around-the-Green_PLAYER NAME,SG_Around-the-Green_ROUNDS,SG_Around-the-Green_AVERAGE,SG_Around-the-Green_TOTAL SG:ARG,SG_Around-the-Green_MEASURED ROUNDS
0,1,1,Mike Weir,59,0.5589999999999999,22.340999999999998,40
1,2,2,Luke Donald,71,0.46399999999999997,24.601,53
2,3,3,Justin Rose,78,0.447,31.271,70
3,4,4,Jason Day,82,0.444,31.51,71
4,5,5,Steve Stricker,73,0.419,23.485,56
5,6,6,Jeev Milkha Singh,59,0.396,20.566,52
6,7,7,Retief Goosen,75,0.395,20.916,53
7,8,8,Aaron Baddeley,94,0.391,34.397,88
8,9,9,Padraig Harrington,57,0.379,16.658,44
9,10,10,Jim Furyk,76,0.36700000000000005,22.029,60
10,11,11,Chris Riley,73,0.364,22.936,63
11,12,12,Jerry Kelly,99,0.361,29.611,82
12,T13,T13,Jonathan Byrd,85,0.354,29.048000000000002,82
13,T13,T13,Mark Wilson,87,0.354,27.984,79
14,15,15,Stuart Appleby,101,0.348,30.599,88
15,16,16,Matt Kuchar,97,0.33399999999999996,25.017,75
16,17,17,Charles Howell III,103,0.324,29.174,90
17,18,18,Matt Jones,89,0.321,25.668000000000003,80
18,19,19,Steve Flesch,78,0.309,20.078,65
19,20,20,Brandt Snedeker,89,0.308,23.070999999999998,75
20,21,21,Michael Sim,64,0.306,16.203,53
21,22,22,J.P. Hayes,79,0.304,20.699,68
22,23,23,Kevin Sutherland,86,0.303,23.656,78
23,24,24,Chad Collins,87,0.293,21.962,75
24,T25,T25,Kevin Na,94,0.276,20.958000000000002,76
25,T25,T25,Rory Sabbatini,79,0.276,18.495,67
26,27,27,Tom Pernice Jr.,74,0.271,15.698,58
27,28,28,K.J. Choi,82,0.26899999999999996,16.436,61
28,29,29,Justin Leonard,89,0.242,17.397000000000002,72
29,30,30,Freddie Jacobson,83,0.24100000000000002,18.566,77
30,31,31,Ryuji Imada,90,0.24,20.127,84
31,T32,T32,Brian Gay,101,0.228,18.655,82
32,T32,T32,Phil Mickelson,76,0.228,12.972000000000001,57
33,34,34,John Mallinger,78,0.226,14.661,65
34,35,35,John Rollins,81,0.22399999999999998,16.809,75
35,36,36,Ian Poulter,55,0.221,7.525,34
36,37,37,Rod Pampling,77,0.22,15.42,70
37,38,38,Tom Gillis,97,0.21,18.862000000000002,90
38,T39,T39,Shaun Micheel,70,0.205,10.845999999999998,53
39,T39,T39,Bryce Molder,84,0.205,14.981,73
40,41,41,Omar Uresti,74,0.20199999999999999,12.342,61
41,42,42,Pat Perez,90,0.19899999999999998,16.533,83
42,43,43,Tim Petrovic,105,0.195,18.293,94
43,T44,T44,Nathan Green,86,0.16699999999999998,13.529000000000002,81
44,T44,T44,Cameron Tringale,55,0.16699999999999998,7.522,45
45,46,46,Chris DiMarco,88,0.163,12.697000000000001,78
46,47,47,Jarrod Lyle,54,0.157,7.2010000000000005,46
47,48,48,Webb Simpson,98,0.153,14.115,92
48,49,49,Ricky Barnes,103,0.149,12.342,83
49,50,50,Michael Bradley,77,0.147,10.024,68
50,51,51,Vijay Singh,75,0.145,8.289,57
51,52,52,Dean Wilson,54,0.139,6.519,47
52,53,53,Heath Slocum,97,0.134,9.786,73
53,54,54,Rich Barcelo,70,0.13,7.5329999999999995,58
54,55,55,Charlie Wi,95,0.127,11.3,89
55,56,56,Bob Estes,79,0.12300000000000001,8.754,71
56,57,57,Camilo Villegas,78,0.122,6.849,56
57,58,58,Stephen Ames,75,0.12,8.275,69
58,59,59,Michael Letzig,84,0.11800000000000001,9.427,80
59,60,60,J.B. Holmes,100,0.113,9.946,88
60,61,61,Ben Curtis,78,0.11,7.228,66
61,62,62,Bo Van Pelt,104,0.107,9.308,87
62,63,63,Will MacKenzie,72,0.10300000000000001,7.004,68
63,64,64,David Lutterus,69,0.1,5.5760000000000005,56
64,65,65,Trevor Immelman,55,0.095,4.081,43
65,66,66,Lee Janzen,77,0.086,6.037000000000001,70
66,67,67,Chris Stroud,90,0.081,5.83,72
67,68,68,Scott McCarron,90,0.079,6.546,83
68,69,69,Alex Cejka,81,0.077,5.247000000000001,68
69,70,70,Marc Leishman,87,0.07200000000000001,5.186,72
70,71,71,Greg Chalmers,93,0.07,6.109,87
71,72,72,Carl Pettersson,99,0.069,5.735,83
72,T73,T73,Bill Lunde,79,0.068,4.523,67
73,T73,T73,Sean O'Hair,84,0.068,4.3919999999999995,65
74,75,75,Billy Mayfair,78,0.067,4.365,65
75,76,76,D.A. Points,90,0.066,5.193,79
76,77,77,David Toms,86,0.057999999999999996,4.063,70
77,78,78,Woody Austin,93,0.055999999999999994,4.636,83
78,79,79,Briny Baird,87,0.054000000000000006,4.287,79
79,80,80,Steve Marino,81,0.053,3.3289999999999997,63
80,81,81,Aron Price,70,0.051,3.145,62
81,82,82,Steve Elkington,74,0.049,2.8710000000000004,59
82,83,83,Jimmy Walker,82,0.047,3.262,70
83,84,84,Ben Crane,85,0.046,3.0639999999999996,66
84,85,85,Tim Herron,79,0.044000000000000004,3.049,69
85,86,86,Ernie Els,72,0.043,2.352,55
86,87,87,Chad Campbell,94,0.042,3.4330000000000003,81
87,88,88,Geoff Ogilvy,62,0.040999999999999995,2.039,50
88,89,89,Vaughn Taylor,87,0.039,3.0789999999999997,79
89,90,90,Brenden Pappas,66,0.03,1.639,55
90,T91,T91,James Driscoll,78,0.019,1.3980000000000001,74
91,T91,T91,Davis Love III,79,0.019,1.2690000000000001,66
92,93,93,George McNeill,79,0.018000000000000002,1.236,70
93,94,94,Craig Bowden,56,0.013000000000000001,0.626,48
94,95,95,Michael Connell,89,0.006999999999999999,0.5579999999999999,77
95,96,96,Bill Haas,87,0.005,0.39,75
96,97,97,Blake Adams,84,0.002,0.147,75
97,98,98,Roger Tambellini,77,0.0,-0.004,62
98,99,99,Martin Flores,75,-0.001,-0.051,64
99,100,100,Tim Clark,88,-0.003,-0.18,68
100,101,101,Cameron Beckman,68,-0.004,-0.255,59
101,T102,T102,Jason Dufner,87,-0.006,-0.395,69
102,T102,T102,Lucas Glover,75,-0.006,-0.365,59
103,104,104,Scott Verplank,74,-0.013000000000000001,-0.738,56
104,T105,T105,Brian Davis,101,-0.015,-1.3459999999999999,89
105,T105,T105,Chris Tidland,77,-0.015,-1.0390000000000001,68
106,107,107,Brett Quigley,96,-0.016,-1.4180000000000001,88
107,108,108,Garrett Willis,82,-0.022000000000000002,-1.567,71
108,109,109,Rory McIlroy,54,-0.025,-1.014,40
109,110,110,Adam Scott,70,-0.027000000000000003,-1.382,52
110,T111,T111,Robert Allenby,76,-0.031,-1.876,61
111,T111,T111,Skip Kendall,58,-0.031,-1.525,49
112,113,113,Spencer Levin,110,-0.034,-3.344,98
113,114,114,Graham DeLaet,88,-0.038,-2.8510000000000004,76
114,115,115,Sergio Garcia,58,-0.046,-1.659,36
115,116,116,Martin Laird,91,-0.049,-3.884,79
116,117,117,J.J. Henry,92,-0.052000000000000005,-4.1,79
117,118,118,Brian Stuard,81,-0.057999999999999996,-4.152,71
118,119,119,Charley Hoffman,85,-0.065,-5.035,77
119,120,120,Jeff Overton,89,-0.07400000000000001,-5.266,71
120,121,121,Kevin Johnson,62,-0.077,-3.781,49
121,122,122,John Senden,103,-0.078,-6.76,87
122,123,123,Josh Teater,101,-0.08,-7.372999999999999,92
123,124,124,Derek Lamely,81,-0.081,-5.153,64
124,125,125,Y.E. Yang,72,-0.083,-4.833,58
125,T126,T126,Daniel Chopra,74,-0.084,-5.657,67
126,T126,T126,John Merrick,109,-0.084,-7.697,92
127,128,128,Mathias Grönberg,61,-0.085,-4.246,50
128,129,129,Ryan Moore,80,-0.091,-5.531000000000001,61
129,130,130,Jason Bohn,84,-0.10300000000000001,-7.643,74
130,131,131,Richard Johnson,90,-0.10400000000000001,-7.568,73
131,132,132,Rocco Mediate,71,-0.107,-6.553,61
132,T133,T133,Matt Bettencourt,91,-0.111,-7.785,70
133,T133,T133,Paul Casey,64,-0.111,-4.899,44
134,T133,T133,Stewart Cink,84,-0.111,-7.228,65
135,T133,T133,Kenny Perry,69,-0.111,-6.209,56
136,137,137,Hunter Mahan,85,-0.115,-7.707999999999999,67
137,138,138,Joe Durant,67,-0.11800000000000001,-6.739,57
138,139,139,Brendon de Jonge,114,-0.125,-11.332,91
139,T140,T140,Vance Veazey,58,-0.128,-6.1610000000000005,48
140,T140,T140,Johnson Wagner,85,-0.128,-9.482000000000001,74
141,142,142,Zach Johnson,93,-0.129,-9.69,75
142,143,143,Cliff Kresge,50,-0.136,-6.1339999999999995,45
143,144,144,Rickie Fowler,98,-0.138,-11.481,83
144,T145,T145,Joe Ogilvie,99,-0.142,-12.216,86
145,T145,T145,Scott Piercy,88,-0.142,-11.499,81
146,147,147,Garth Mulroy,53,-0.154,-6.481,42
147,148,148,Kevin Streelman,90,-0.155,-12.413,80
148,149,149,Paul Stankowski,62,-0.16,-8.47,53
149,T150,T150,Paul Goydos,78,-0.162,-10.700999999999999,66
150,T150,T150,Boo Weekley,88,-0.162,-11.972000000000001,74
151,152,152,Bubba Watson,77,-0.168,-11.243,67
152,153,153,Ángel Cabrera,64,-0.17,-8.667,51
153,T154,T154,Dustin Johnson,83,-0.179,-11.26,63
154,T154,T154,D.J. Trahan,92,-0.179,-14.661,82
155,156,156,Andres Romero,73,-0.184,-13.235999999999999,72
156,T157,T157,Matt Every,60,-0.185,-9.411,51
157,T157,T157,Steve Wheatcroft,74,-0.185,-10.724,58
158,159,159,Alex Prugh,88,-0.19699999999999998,-15.799000000000001,80
159,160,160,Chris Couch,66,-0.19899999999999998,-11.767000000000001,59
160,161,161,Greg Owen,69,-0.205,-12.694,62
161,162,162,Cameron Percy,73,-0.20600000000000002,-12.174000000000001,59
162,163,163,Mathew Goggin,85,-0.209,-15.902999999999999,76
163,164,164,Kris Blanks,91,-0.21,-15.548,74
164,165,165,Jay Williamson,76,-0.21899999999999997,-13.386,61
165,166,166,Chris Wilson,65,-0.221,-11.489,52
166,167,167,Jeff Quinney,91,-0.23199999999999998,-18.583,80
167,168,168,David Duval,71,-0.245,-13.71,56
168,169,169,Jeff Gove,57,-0.248,-10.921,44
169,170,170,Roland Thatcher,72,-0.253,-17.192999999999998,68
170,171,171,Ted Purdy,86,-0.256,-19.172,75
171,172,172,James Nitties,92,-0.258,-20.910999999999998,81
172,173,173,Troy Matteson,84,-0.26899999999999996,-21.009,78
173,174,174,Brett Wetterich,54,-0.29100000000000004,-15.433,53
174,175,175,John Daly,63,-0.298,-13.984000000000002,47
175,176,176,Kevin Stadler,86,-0.301,-21.693,72
176,177,177,Nick Watney,91,-0.304,-20.961,69
177,178,178,Mark Calcavecchia,50,-0.311,-10.273,33
178,179,179,Ryan Palmer,84,-0.324,-23.006999999999998,71
179,180,180,Troy Merritt,86,-0.326,-25.139,77
180,181,181,Nicholas Thompson,88,-0.331,-25.462,77
181,182,182,Jerod Turner,54,-0.353,-14.124,40
182,183,183,Andrew McLardy,52,-0.375,-16.495,44
183,184,184,Charles Warren,64,-0.387,-21.299,55
184,185,185,Greg Kraft,52,-0.408,-15.915,39
185,186,186,Justin Bolli,55,-0.423,-17.764,42
186,187,187,Jeff Maggert,76,-0.447,-28.176,63
187,188,188,Brent Delahoussaye,57,-0.465,-21.878,47
188,189,189,Henrik Bjornstad,72,-0.49,-28.91,59
