,Scrambling__30_yds_RTP_Score_RANK THIS WEEK,Scrambling__30_yds_RTP_Score_RANK LAST WEEK,Scrambling__30_yds_RTP_Score_PLAYER NAME,Scrambling__30_yds_RTP_Score_ROUNDS,Scrambling__30_yds_RTP_Score_AVG RTP,Scrambling__30_yds_RTP_Score_TOTAL HOLES,Scrambling__30_yds_RTP_Score_TOTAL RTP
0,1,1,Steve Stricker,73,0.47700000000000004,44,21.0
1,2,2,Jim Furyk,76,0.561,41,23.0
2,3,3,Bryce Molder,84,0.654,107,70.0
3,4,4,Jerry Kelly,99,0.667,78,52.0
4,T5,T5,Chris DiMarco,88,0.684,79,54.0
5,T5,T5,Steve Elkington,74,0.684,38,26.0
6,7,7,Brian Gay,101,0.688,93,64.0
7,8,8,Kevin Na,94,0.6920000000000001,78,54.0
8,T9,T9,Retief Goosen,75,0.7020000000000001,47,33.0
9,T9,T9,Paul Stankowski,62,0.7020000000000001,57,40.0
10,11,11,Tim Petrovic,105,0.703,91,64.0
11,12,12,Chris Riley,73,0.705,61,43.0
12,13,13,Y.E. Yang,72,0.706,51,36.0
13,14,14,Skip Kendall,58,0.716,67,48.0
14,15,15,Joe Durant,67,0.718,39,28.0
15,16,16,Kevin Sutherland,86,0.72,82,59.0
16,17,17,Ernie Els,72,0.727,55,40.0
17,T18,T18,Padraig Harrington,57,0.731,52,38.0
18,T18,T18,Sean O'Hair,84,0.731,52,38.0
19,20,20,Billy Mayfair,78,0.732,56,41.0
20,T21,T21,Paul Casey,64,0.737,38,28.0
21,T21,T21,Trevor Immelman,55,0.737,57,42.0
22,23,23,Boo Weekley,88,0.738,61,45.0
23,24,24,Justin Leonard,89,0.741,108,80.0
24,25,25,Mike Weir,59,0.746,71,53.0
25,26,26,Jarrod Lyle,54,0.75,52,39.0
26,27,27,David Toms,86,0.754,57,43.0
27,28,28,Jeev Milkha Singh,59,0.755,53,40.0
28,T29,T29,Craig Bowden,56,0.76,50,38.0
29,T29,T29,Matt Kuchar,97,0.76,75,57.0
30,31,31,Tim Clark,88,0.7659999999999999,47,36.0
31,32,32,Michael Connell,89,0.769,91,70.0
32,T33,T33,Bob Estes,79,0.77,74,57.0
33,T33,T33,Charlie Wi,95,0.77,100,77.0
34,35,35,Ben Crane,85,0.7759999999999999,58,45.0
35,36,36,Adam Scott,70,0.778,36,28.0
36,37,37,Charles Howell III,103,0.779,95,74.0
37,38,38,Paul Goydos,78,0.7809999999999999,73,57.0
38,39,39,J.J. Henry,92,0.7829999999999999,69,54.0
39,40,40,Jeff Quinney,91,0.785,107,84.0
40,T41,T41,Jonathan Byrd,85,0.7859999999999999,84,66.0
41,T41,T41,Michael Sim,64,0.7859999999999999,70,55.0
42,43,43,Brendon de Jonge,114,0.795,78,62.0
43,T44,T44,Justin Rose,78,0.7959999999999999,49,39.0
44,T44,T44,Charles Warren,64,0.7959999999999999,49,39.0
45,T46,T46,Stephen Ames,75,0.797,79,63.0
46,T46,T46,Aron Price,70,0.797,64,51.0
47,T48,T48,Ryuji Imada,90,0.7979999999999999,99,79.0
48,T48,T48,Brandt Snedeker,89,0.7979999999999999,94,75.0
49,50,50,Briny Baird,87,0.8,80,64.0
50,51,51,Roland Thatcher,72,0.8029999999999999,76,61.0
51,52,52,Zach Johnson,93,0.805,77,62.0
52,53,53,Brian Davis,101,0.807,83,67.0
53,54,54,Jeff Overton,89,0.81,100,81.0
54,55,55,Tom Gillis,97,0.8109999999999999,95,77.0
55,56,56,Stewart Cink,84,0.813,64,52.0
56,57,57,Scott Verplank,74,0.8140000000000001,59,48.0
57,58,58,Heath Slocum,97,0.815,65,53.0
58,59,59,Robert Allenby,76,0.818,55,45.0
59,T60,T60,Pat Perez,90,0.82,89,73.0
60,T60,T60,Camilo Villegas,78,0.82,50,41.0
61,T62,T62,Luke Donald,71,0.821,56,46.0
62,T62,T62,Joe Ogilvie,99,0.821,95,78.0
63,T64,T64,Phil Mickelson,76,0.8220000000000001,73,60.0
64,T64,T64,Carl Pettersson,99,0.8220000000000001,107,88.0
65,T66,T66,Chad Collins,87,0.826,109,90.0
66,T66,T66,John Rollins,81,0.826,69,57.0
67,T68,T68,Stuart Appleby,101,0.8320000000000001,113,94.0
68,T68,T68,Freddie Jacobson,83,0.8320000000000001,95,79.0
69,T70,T70,D.A. Points,90,0.833,84,70.0
70,T70,T70,Vijay Singh,75,0.833,48,40.0
71,72,72,Greg Chalmers,93,0.835,91,76.0
72,73,73,K.J. Choi,82,0.836,55,46.0
73,74,74,Ben Curtis,78,0.838,68,57.0
74,75,75,Chris Stroud,90,0.841,69,58.0
75,76,76,Michael Bradley,77,0.8420000000000001,76,64.0
76,77,77,Charley Hoffman,85,0.845,58,49.0
77,78,78,Derek Lamely,81,0.8490000000000001,86,73.0
78,79,79,J.P. Hayes,79,0.853,75,64.0
79,80,80,Chad Campbell,94,0.8540000000000001,82,70.0
80,81,81,Ricky Barnes,103,0.855,83,71.0
81,82,82,Webb Simpson,98,0.856,104,89.0
82,T83,T83,John Senden,103,0.861,79,68.0
83,T83,T83,Brian Stuard,81,0.861,101,87.0
84,85,85,Tim Herron,79,0.862,87,75.0
85,86,86,John Merrick,109,0.863,80,69.0
86,87,87,Chris Tidland,77,0.8640000000000001,59,51.0
87,88,88,Ángel Cabrera,64,0.868,53,46.0
88,T89,T89,Jason Dufner,87,0.87,54,47.0
89,T89,T89,Rod Pampling,77,0.87,77,67.0
90,T89,T89,Bo Van Pelt,104,0.87,69,60.0
91,92,92,Michael Letzig,84,0.872,94,82.0
92,93,93,Lucas Glover,75,0.873,55,48.0
93,94,94,Rocco Mediate,71,0.875,56,49.0
94,95,95,J.B. Holmes,100,0.877,81,71.0
95,96,96,Kenny Perry,69,0.878,41,36.0
96,97,97,Matt Jones,89,0.879,91,80.0
97,98,98,Hunter Mahan,85,0.88,50,44.0
98,99,99,Garrett Willis,82,0.883,77,68.0
99,T100,T100,Mark Calcavecchia,50,0.884,43,38.0
100,T100,T100,Omar Uresti,74,0.884,43,38.0
101,T102,T102,Aaron Baddeley,94,0.8859999999999999,123,109.0
102,T102,T102,Chris Couch,66,0.8859999999999999,44,39.0
103,104,104,Lee Janzen,77,0.889,81,72.0
104,105,105,Matt Bettencourt,91,0.89,91,81.0
105,106,106,Martin Laird,91,0.8909999999999999,92,82.0
106,107,107,Richard Johnson,90,0.892,74,66.0
107,T108,T108,Nathan Green,86,0.895,114,102.0
108,T108,T108,Shaun Micheel,70,0.895,57,51.0
109,T110,T110,Steve Flesch,78,0.8959999999999999,77,69.0
110,T110,T110,Scott McCarron,90,0.8959999999999999,77,69.0
111,T112,T112,Spencer Levin,110,0.899,99,89.0
112,T112,T112,Jimmy Walker,82,0.899,89,80.0
113,T114,T114,Graham DeLaet,88,0.9,70,63.0
114,T114,T114,D.J. Trahan,92,0.9,60,54.0
115,116,116,Rickie Fowler,98,0.9009999999999999,81,73.0
116,117,117,Brett Wetterich,54,0.902,41,37.0
117,118,118,Dean Wilson,54,0.903,31,28.0
