,Sand_Saves_from_10-20_yards_RANK THIS WEEK,Sand_Saves_from_10-20_yards_RANK LAST WEEK,Sand_Saves_from_10-20_yards_PLAYER NAME,Sand_Saves_from_10-20_yards_ROUNDS,Sand_Saves_from_10-20_yards_%,Sand_Saves_from_10-20_yards_# OF SAVES,Sand_Saves_from_10-20_yards_# OF BUNKERS
0,1,1,Ian Poulter,55,73.81,31,42
1,2,2,Camilo Villegas,78,70.18,40,57
2,3,3,Rory Sabbatini,79,69.7,46,66
3,4,4,Trevor Immelman,55,69.23,27,39
4,5,5,Justin Rose,78,69.05,58,84
5,6,6,Kevin Na,94,68.85,42,61
6,7,7,Luke Donald,71,67.8,40,59
7,8,8,Pat Perez,90,67.53,52,77
8,9,9,Michael Sim,64,67.44,29,43
9,10,10,Webb Simpson,98,67.09,53,79
10,11,11,Chad Collins,87,66.67,46,69
11,12,12,Michael Bradley,77,66.07,37,56
12,13,13,Heath Slocum,97,65.0,26,40
13,14,14,Brandt Snedeker,89,64.94,50,77
14,15,15,Kevin Sutherland,86,64.81,35,54
15,16,16,Briny Baird,87,64.79,46,71
16,17,17,Carl Pettersson,99,64.71,55,85
17,18,18,John Daly,63,64.44,29,45
18,T19,T19,Aaron Baddeley,94,64.29,54,84
19,T19,T19,Geoff Ogilvy,62,64.29,36,56
20,21,21,Tim Clark,88,63.89,46,72
21,22,22,Tom Pernice Jr.,74,63.83,30,47
22,23,23,Mark Wilson,87,63.79,37,58
23,24,24,Phil Mickelson,76,63.51,47,74
24,25,25,Ricky Barnes,103,63.41,52,82
25,26,26,Adam Scott,70,63.27,31,49
26,27,27,Matt Jones,89,63.22,55,87
27,28,28,Bryce Molder,84,62.9,39,62
28,29,29,Charlie Wi,95,62.86,44,70
29,30,30,Ángel Cabrera,64,62.75,32,51
30,31,31,Jason Day,82,62.71,37,59
31,T32,T32,Brian Gay,101,62.5,50,80
32,T32,T32,Aron Price,70,62.5,30,48
33,T32,T32,John Senden,103,62.5,35,56
34,T35,T35,Greg Chalmers,93,62.16,46,74
35,T35,T35,Mathias Grönberg,61,62.16,23,37
36,37,37,James Driscoll,78,62.07,36,58
37,38,38,Nathan Green,86,62.03,49,79
38,39,39,Shaun Micheel,70,61.76,21,34
39,40,40,Padraig Harrington,57,61.7,29,47
40,41,41,Retief Goosen,75,61.54,32,52
41,42,42,Ben Curtis,78,61.11,33,54
42,43,43,Jay Williamson,76,61.02,36,59
43,44,44,John Mallinger,78,60.94,39,64
44,T45,T45,Stephen Ames,75,60.66,37,61
45,T45,T45,K.J. Choi,82,60.66,37,61
46,47,47,Chad Campbell,94,60.56,43,71
47,48,48,Mike Weir,59,60.53,23,38
48,49,49,Paul Stankowski,62,60.47,26,43
49,50,50,Ryan Palmer,84,60.27,44,73
50,T51,T51,Steve Elkington,74,60.0,27,45
51,T51,T51,Bo Van Pelt,104,60.0,60,100
52,53,53,Steve Stricker,73,59.65,34,57
53,54,54,Billy Mayfair,78,59.57,28,47
54,55,55,Ben Crane,85,59.46,44,74
55,56,56,Lee Janzen,77,59.38,38,64
56,57,57,Steve Wheatcroft,74,59.32,35,59
57,58,58,Matt Kuchar,97,59.18,29,49
58,59,59,Chris Riley,73,58.93,33,56
59,60,60,Kevin Streelman,90,58.62,51,87
60,T61,T61,Brenden Pappas,66,58.33,28,48
61,T61,T61,Scott Verplank,74,58.33,42,72
62,63,63,Y.E. Yang,72,57.97,40,69
63,64,64,Rory McIlroy,54,57.89,22,38
64,65,65,Ryuji Imada,90,57.81,37,64
65,66,66,David Toms,86,57.78,26,45
66,67,67,Ernie Els,72,57.41,31,54
67,68,68,Vaughn Taylor,87,56.96,45,79
68,69,69,Charley Hoffman,85,56.79,46,81
69,70,70,John Merrick,109,56.76,42,74
70,71,71,Zach Johnson,93,56.72,38,67
71,72,72,J.P. Hayes,79,56.52,39,69
72,73,73,Alex Prugh,88,56.34,40,71
73,74,74,Cliff Kresge,50,56.25,18,32
74,75,75,J.B. Holmes,100,56.1,46,82
75,76,76,Derek Lamely,81,56.06,37,66
76,T77,T77,Matt Bettencourt,91,55.88,38,68
77,T77,T77,Charles Warren,64,55.88,19,34
78,79,79,Andres Romero,73,55.74,34,61
79,80,80,Stewart Cink,84,55.56,30,54
80,T81,T81,Michael Connell,89,55.38,36,65
81,T81,T81,Chris Tidland,77,55.38,36,65
82,T83,T83,Paul Casey,64,55.26,21,38
83,T83,T83,Scott McCarron,90,55.26,42,76
84,85,85,Cameron Beckman,68,55.1,27,49
85,86,86,Brian Davis,101,54.74,52,95
86,87,87,Jim Furyk,76,54.72,29,53
87,88,88,Cameron Percy,73,54.55,18,33
88,89,89,Brendon de Jonge,114,54.43,43,79
89,T90,T90,Sean O'Hair,84,54.39,31,57
90,T90,T90,Jeff Quinney,91,54.39,31,57
91,92,92,Rich Barcelo,70,54.35,25,46
92,93,93,Freddie Jacobson,83,54.05,40,74
93,94,94,Rod Pampling,77,53.97,34,63
94,95,95,Jarrod Lyle,54,53.85,21,39
95,96,96,Jonathan Byrd,85,53.23,33,62
96,97,97,Joe Ogilvie,99,53.09,43,81
97,98,98,Steve Flesch,78,53.03,35,66
98,99,99,Tim Petrovic,105,52.88,55,104
99,100,100,Lucas Glover,75,52.83,28,53
100,T101,T101,Jerod Turner,54,52.78,19,36
101,T101,T101,Dean Wilson,54,52.78,19,36
102,103,103,Chris Couch,66,52.63,30,57
103,104,104,Marc Leishman,87,52.56,41,78
104,105,105,Jason Bohn,84,52.38,33,63
105,T106,T106,Jason Dufner,87,52.24,35,67
106,T106,T106,Kevin Stadler,86,52.24,35,67
107,108,108,Justin Leonard,89,52.08,25,48
108,109,109,Troy Merritt,86,52.05,38,73
109,T110,T110,Bob Estes,79,52.0,26,50
110,T110,T110,Hunter Mahan,85,52.0,39,75
111,112,112,Bill Lunde,79,51.92,27,52
112,113,113,Josh Teater,101,51.9,41,79
113,114,114,Ryan Moore,80,51.85,28,54
114,115,115,David Lutterus,69,51.67,31,60
115,116,116,Alex Cejka,81,51.61,32,62
116,117,117,Blake Adams,84,51.56,33,64
117,118,118,Jeff Overton,89,51.52,34,66
118,119,119,Kenny Perry,69,51.35,19,37
119,120,120,Greg Kraft,52,51.28,20,39
120,121,121,Omar Uresti,74,51.16,22,43
121,122,122,Richard Johnson,90,50.91,28,55
122,T123,T123,Jerry Kelly,99,50.88,29,57
123,T123,T123,Steve Lowery,67,50.88,29,57
124,T125,T125,John Rollins,81,50.77,33,65
125,T125,T125,Chris Stroud,90,50.77,33,65
126,127,127,Chris DiMarco,88,50.68,37,73
127,128,128,Woody Austin,93,50.6,42,83
128,T129,T129,Stuart Appleby,101,50.0,37,74
129,T129,T129,Daniel Chopra,74,50.0,34,68
130,T129,T129,Martin Flores,75,50.0,33,66
131,T129,T129,Mathew Goggin,85,50.0,30,60
132,T129,T129,Michael Letzig,84,50.0,44,88
133,T129,T129,Andrew McLardy,52,50.0,21,42
134,T129,T129,Cameron Tringale,55,50.0,14,28
135,136,136,Brett Quigley,96,49.32,36,73
136,137,137,Rickie Fowler,98,49.3,35,71
137,138,138,Martin Laird,91,49.28,34,69
138,139,139,Jimmy Walker,82,49.25,33,67
139,140,140,George McNeill,79,49.12,28,57
140,141,141,Charles Howell III,103,49.09,27,55
141,142,142,Brett Wetterich,54,49.02,25,51
142,143,143,Johnson Wagner,85,48.57,34,70
143,144,144,Ted Purdy,86,48.48,32,66
144,145,145,James Nitties,92,48.39,30,62
145,146,146,Bubba Watson,77,48.08,25,52
146,147,147,Garrett Willis,82,48.0,24,50
147,148,148,J.J. Henry,92,47.83,22,46
148,149,149,Tim Herron,79,47.46,28,59
149,150,150,D.J. Trahan,92,47.3,35,74
150,151,151,Will MacKenzie,72,47.17,25,53
151,T152,T152,Robert Allenby,76,47.06,32,68
152,T152,T152,Kris Blanks,91,47.06,32,68
153,154,154,Tom Gillis,97,46.99,39,83
154,155,155,Greg Owen,69,46.77,29,62
155,156,156,Brian Stuard,81,46.58,34,73
156,157,157,Bill Haas,87,46.48,33,71
157,T158,T158,Paul Goydos,78,46.43,26,56
158,T158,T158,Vijay Singh,75,46.43,26,56
159,160,160,D.A. Points,90,46.27,31,67
160,161,161,Kevin Johnson,62,46.0,23,50
161,162,162,Mark Calcavecchia,50,45.95,17,37
162,163,163,Scott Piercy,88,45.83,33,72
163,164,164,Steve Marino,81,45.28,24,53
164,165,165,Jeff Maggert,76,45.24,19,42
165,T166,T166,Brent Delahoussaye,57,45.0,18,40
166,T166,T166,Davis Love III,79,45.0,27,60
167,T168,T168,Spencer Levin,110,44.78,30,67
168,T168,T168,Boo Weekley,88,44.78,30,67
169,170,170,Sergio Garcia,58,44.44,12,27
170,171,171,David Duval,71,43.9,18,41
171,172,172,Dustin Johnson,83,43.86,25,57
172,173,173,Matt Every,60,43.75,21,48
173,174,174,Skip Kendall,58,43.18,19,44
174,175,175,Graham DeLaet,88,43.1,25,58
175,176,176,Chris Wilson,65,42.65,29,68
176,177,177,Robert Garrigus,71,42.31,22,52
177,178,178,Roland Thatcher,72,41.82,23,55
178,179,179,Joe Durant,67,41.67,15,36
179,180,180,Jeev Milkha Singh,59,40.91,18,44
180,181,181,Vance Veazey,58,40.54,15,37
181,182,182,Roger Tambellini,77,40.48,17,42
182,183,183,Craig Bowden,56,39.02,16,41
183,184,184,Garth Mulroy,53,38.71,12,31
184,185,185,Troy Matteson,84,37.93,22,58
185,186,186,Brad Faxon,58,36.84,14,38
186,187,187,Nicholas Thompson,88,36.51,23,63
187,188,188,Nick Watney,91,35.71,20,56
188,189,189,Rocco Mediate,71,34.78,16,46
189,190,190,Henrik Bjornstad,72,31.11,14,45
190,191,191,Justin Bolli,55,30.0,12,40
191,192,192,Jeff Gove,57,29.73,11,37
