,FedExCup_Season_Points_for_Non-Members_RANK THIS WEEK,FedExCup_Season_Points_for_Non-Members_RANK LAST WEEK,FedExCup_Season_Points_for_Non-Members_PLAYER NAME,FedExCup_Season_Points_for_Non-Members_EVENTS,FedExCup_Season_Points_for_Non-Members_POINTS,FedExCup_Season_Points_for_Non-Members_WGC POINTS
0,1,1,Lee Westwood,11,1600,85.0
1,2,2,Martin Kaymer,10,1053,242.0
2,3,3,Graeme McDowell,10,794,113.0
3,4,4,Charl Schwartzel,11,772,394.0
4,5,5,Louis Oosthuizen,5,672,72.0
5,6,6,Robert Karlsson,11,536,60.0
6,7,7,Arjun Atwal,10,500,
7,8,8,Edoardo Molinari,8,387,48.0
8,9,9,Grégory Havret,2,330,
9,10,10,Peter Hanson,7,279,155.0
10,11,11,Francesco Molinari,8,275,113.0
11,12,12,Alvaro Quiros,9,272,143.0
12,13,13,Ryo Ishikawa,10,224,86.0
13,14,14,Oliver Wilson,9,208,141.0
14,15,15,Bob Heintz,3,188,
15,16,16,Thongchai Jaidee,8,184,115.0
16,17,17,Miguel Angel Jiménez,7,184,74.0
17,18,18,Søren Kjeldsen,7,177,34.0
18,19,19,WC Liang,4,169,38.0
19,20,20,Yuta Ikeda,11,145,72.0
20,21,21,Simon Dyson,8,132,42.0
21,22,22,Ross Fisher,10,132,69.0
22,23,23,Ross McGowan,6,129,100.0
23,24,24,Stephen Gallacher,2,98,
24,25,25,Robert Rock,1,91,
25,26,26,Alistair Presnell,1,90,90.0
26,27,27,Soren Hansen,7,75,75.0
27,28,28,Sam Saunders,7,71,
28,29,29,Anders Hansen,6,71,71.0
29,30,30,Seung-Yul Noh,5,69,
30,31,31,Gonzalo Fernandez-Castaño,3,66,31.0
31,32,32,Simon Khan,4,60,1.0
32,33,33,Erik Compton,7,56,
33,34,34,Ignacio Garrido,1,55,
34,35,35,Ken Duke,3,47,
35,36,36,Darren Clarke,2,46,
36,37,37,Alejandro Cañizares,2,45,
37,38,38,David Horsey,2,42,1.0
38,39,39,Kyle Stanley,3,42,
39,T40,T40,K.T. Kim,2,40,
40,T40,T40,Alex Noren,3,40,40.0
41,T42,T42,Bradley Dredge,1,40,
42,T42,T42,Marcel Siem,1,40,
43,44,44,Katsumasa Miyamoto,2,36,36.0
44,45,45,Brandt Jobe,1,35,
45,46,46,Tag Ridings,1,34,
46,47,47,Michael Putnam,1,32,
47,T48,T48,Shane Lowry,2,31,
48,T48,T48,Colm Moriarty,1,31,
49,T50,T50,Rob Grube,1,29,
50,T50,T50,Adam Hadwin,1,29,
51,T50,T50,Brock Mackenzie,1,29,
52,53,53,Bobby Gates,2,28,
53,54,54,Mike Small,6,27,
54,55,55,Drew Weaver,2,27,
55,56,56,Steve Allan,2,26,
56,57,57,Todd Fischer,1,24,
57,58,58,Chris Wood,5,23,23.0
58,59,59,Benjamin Fox,3,22,
59,T60,T60,Jamie Lovemark,3,22,
60,T60,T60,Jhonattan Vegas,1,22,
61,T62,T62,Jon Mills,1,21,
62,T62,T62,"Jerry Richardson, Jr.",1,21,
63,T64,T64,Jason Allred,1,19,
64,T64,T64,Rafa Cabrera Bello,1,19,
65,T64,T64,Jim Herman,1,19,
66,67,67,Colin Montgomerie,3,18,
67,T68,T68,Danny Chia,1,14,
68,T68,T68,Zane Scotland,1,14,
69,T70,T70,Seungsu Han,1,14,
70,T70,T70,Thomas Levet,2,14,
71,T70,T70,Santiago Luna,1,14,
72,T73,T73,Grégory Bourdy,2,13,2.0
73,T73,T73,Toru Taniguchi,2,13,
74,T75,T75,Daniel Barbetti,1,11,
75,T75,T75,Marcus Fraser,1,11,11.0
76,T75,T75,Hiroyuki Fujita,4,11,
77,T75,T75,Peter Gustafsson,1,11,
78,T75,T75,Manuel Villegas,2,11,
79,80,80,Rhys Davies,4,10,1.0
80,81,81,Matt Hill,5,10,
81,82,82,Fredrik Andersson Hed,2,10,
82,83,83,Jeff Burns,1,10,
83,84,84,Alexandre Rocha,1,9,
84,T85,T85,James Kingston,1,8,8.0
85,T85,T85,Peter Senior,1,8,
86,87,87,Jason Schultz,1,7,
87,T88,T88,Gareth Maybin,2,6,
88,T88,T88,Chris Rogers,2,6,
89,90,90,Hennie Otto,1,5,5.0
90,91,91,Billy Hurley III,1,4,
91,T92,T92,Rob Labritz,1,3,
92,T92,T92,Ryuichi Oda,2,3,
93,94,94,Erick Justesen,1,2,
94,T95,T95,Hirofumi Miyase,1,2,
95,T95,T95,Steven Tiley,1,2,
96,97,97,Casey Wittenberg,1,1,
97,T98,T98,Andrew Coltart,1,1,
98,T98,T98,Phil Schmitt,1,1,
99,100,100,Aaron Goldberg,2,1,
100,101,101,Thomas Aiken,1,1,
101,T102,T102,Michael O'Neal,1,1,
102,T102,T102,Matthew Richardson,1,1,
103,T102,T102,Blake Trimble,1,1,
104,105,105,Michael Jonzon,1,1,1.0
105,106,106,Andrew Svoboda,1,1,
106,107,107,Kevin Hayashi,1,1,
107,108,108,Ty Tryon,1,1,
108,109,109,Mark Anderson,1,1,
109,T110,T110,Pablo Martin Benavides,2,1,
110,T110,T110,Jason Preeo,1,1,
