,FedExCup_Points_per_Event_Leaders_RANK THIS WEEK,FedExCup_Points_per_Event_Leaders_RANK LAST WEEK,FedExCup_Points_per_Event_Leaders_PLAYER NAME,FedExCup_Points_per_Event_Leaders_EVENTS,FedExCup_Points_per_Event_Leaders_POINTS PER EVENT,FedExCup_Points_per_Event_Leaders_TOTAL POINTS
0,1,1,Ernie Els,16,115.35700000000001,1845.713
1,2,2,Steve Stricker,15,113.14399999999999,1697.1670000000001
2,3,3,Anthony Kim,11,110.53399999999999,1215.87
3,4,4,Phil Mickelson,16,101.809,1628.95
4,5,5,Jim Furyk,18,93.93700000000001,1690.8729999999998
5,6,6,Justin Rose,18,88.479,1592.6270000000002
6,7,7,Rory McIlroy,13,84.71,1101.23
7,8,8,Bubba Watson,18,83.241,1498.3329999999999
8,9,9,Hunter Mahan,20,76.385,1527.7
9,10,10,Paul Casey,13,76.306,991.972
10,11,11,Camilo Villegas,16,75.839,1213.42
11,12,12,Tim Clark,19,74.18,1409.4160000000002
12,13,13,Dustin Johnson,19,71.668,1361.694
13,14,14,Retief Goosen,15,71.22800000000001,1068.417
14,15,15,Jeff Overton,22,69.84100000000001,1536.496
15,16,16,Robert Allenby,17,68.759,1168.896
16,17,17,Matt Kuchar,21,68.44,1437.23
17,18,18,Luke Donald,16,68.036,1088.583
18,19,19,Ben Crane,20,65.186,1303.7169999999999
19,20,20,Ian Poulter,12,61.115,733.38
20,21,21,Zach Johnson,20,59.556999999999995,1191.13
21,22,22,Adam Scott,16,58.763999999999996,940.23
22,23,23,Bo Van Pelt,22,57.832,1272.31
23,24,24,J.B. Holmes,20,57.652,1153.0439999999999
24,25,25,Geoff Ogilvy,15,54.318999999999996,814.785
25,26,26,Corey Pavin,8,54.063,432.5
26,27,27,Rickie Fowler,22,52.13399999999999,1146.944
27,28,28,Nick Watney,19,51.772,983.663
28,29,29,Bill Haas,20,51.236000000000004,1024.722
29,30,30,K.J. Choi,18,51.235,922.222
30,31,31,Ryan Palmer,21,51.02,1071.41
31,32,32,Jason Day,20,49.4,988.0
32,33,33,Jason Bohn,19,48.743,926.122
33,34,34,Tiger Woods,9,47.87,430.83
34,35,35,Carl Pettersson,24,47.593999999999994,1142.25
35,36,36,Freddie Jacobson,18,45.893,826.073
36,37,37,Ryan Moore,20,44.635,892.707
37,38,38,Sean O'Hair,20,42.91,858.193
38,39,39,Padraig Harrington,16,41.38,662.084
39,40,40,Scott Verplank,19,41.361999999999995,785.87
40,41,41,Vaughn Taylor,20,41.187,823.73
41,42,42,Ricky Barnes,23,41.177,947.08
42,43,43,Brendon de Jonge,26,39.812,1035.1
43,44,44,Shaun Micheel,15,39.667,595.0
44,45,45,Kevin Na,21,38.297,804.24
45,46,46,Heath Slocum,19,38.014,722.27
46,47,47,Y.E. Yang,18,37.67,678.063
47,48,48,David Toms,20,37.411,748.222
48,49,49,Lucas Glover,20,37.141999999999996,742.8330000000001
49,50,50,Stuart Appleby,26,36.818000000000005,957.2760000000001
50,51,51,Dean Wilson,12,36.167,434.0
51,52,52,Stewart Cink,19,35.684,678.0
52,53,53,Bryce Molder,21,35.604,747.69
53,54,54,Brandt Snedeker,23,35.341,812.8530000000001
54,55,55,Marc Leishman,21,35.159,738.3330000000001
55,56,56,Charlie Wi,20,34.486999999999995,689.73
56,57,57,Charles Howell III,22,33.919000000000004,746.2260000000001
57,58,58,Michael Sim,17,33.734,573.4730000000001
58,59,59,Steve Marino,19,33.472,635.96
59,60,60,Ángel Cabrera,16,32.775,524.4
60,61,61,Brian Davis,24,32.542,781.0
61,62,62,Brian Gay,23,31.046999999999997,714.0830000000001
62,63,63,Rory Sabbatini,20,30.898000000000003,617.95
63,64,64,Sergio Garcia,15,30.729,460.934
64,65,65,Tom Watson,3,30.5,91.5
65,66,66,Stephen Ames,18,30.458000000000002,548.25
66,67,67,John Rollins,21,30.18,633.79
67,68,68,Steve Elkington,19,30.031,570.5840000000001
68,69,69,Fred Couples,7,29.643,207.5
69,70,70,Matt Jones,22,29.415,647.138
70,71,71,Vijay Singh,20,29.398000000000003,587.961
71,72,72,Kenny Perry,19,29.214000000000002,555.067
72,73,73,Tom Lehman,7,29.135,203.94400000000002
73,74,74,Charley Hoffman,19,28.744,546.137
74,75,75,Chris Riley,18,28.416999999999998,511.5
75,76,76,Jason Dufner,22,28.055,617.2
76,77,77,D.J. Trahan,21,27.491,577.306
77,78,78,Garrett Willis,19,27.23,517.373
78,79,79,Paul Goydos,22,27.143,597.14
79,80,80,Spencer Levin,24,26.896,645.5
80,81,81,Henrik Stenson,12,26.775,321.3
81,82,82,Justin Leonard,21,26.47,555.861
82,83,83,Tom Gillis,21,26.357,553.5
83,84,84,Andres Romero,16,26.118000000000002,417.89
84,85,85,Pat Perez,21,25.412,533.643
85,86,86,Greg Chalmers,22,25.349,557.6669999999999
86,87,87,Aaron Baddeley,19,25.323,481.13
87,88,88,Chad Campbell,22,25.033,550.73
88,89,89,Davis Love III,19,25.015,475.28
89,90,90,Kevin Sutherland,20,24.929000000000002,498.583
90,91,91,Jimmy Walker,23,24.104,554.4
91,92,92,J.J. Henry,25,23.924,598.1
92,93,93,Robert Garrigus,16,23.849,381.585
93,94,94,D.A. Points,23,23.645,543.8330000000001
94,95,95,Chris Couch,20,23.581,471.61
95,96,96,Blake Adams,22,23.348000000000003,513.6659999999999
96,97,97,J.P. Hayes,19,23.108,439.06
97,98,98,Kris Blanks,24,23.066999999999997,553.612
98,99,99,Boo Weekley,23,22.858,525.726
99,100,100,Paul Stankowski,13,22.753,295.783
100,101,101,Martin Laird,21,22.71,476.92
101,102,102,Nick O'Hern,11,22.494,247.43
102,103,103,Chad Collins,23,22.267,512.13
103,104,104,Tim Petrovic,24,22.17,532.0830000000001
104,105,105,Alex Prugh,24,21.93,526.33
105,106,106,Ben Curtis,19,21.886999999999997,415.86
106,107,107,Bob Estes,20,21.596,431.91
107,108,108,Jerry Kelly,23,21.425,492.767
108,109,109,Joe Durant,15,21.391,320.868
109,110,110,Cameron Beckman,20,21.355,427.09
110,111,111,Alex Cejka,23,21.26,488.983
111,112,112,David Duval,19,21.254,403.82
112,113,113,Aron Price,17,21.087,358.476
113,114,114,Jeff Maggert,22,21.06,463.32300000000004
114,115,115,Briny Baird,22,20.8,457.6
115,116,116,Brett Wetterich,12,20.688000000000002,248.25
116,117,117,John Senden,23,20.311,467.157
117,118,118,Derek Lamely,24,20.301,487.22
118,119,119,Troy Matteson,21,20.254,425.343
119,120,120,Ryuji Imada,22,20.22,444.833
120,121,121,Josh Teater,25,20.076,501.89
121,122,122,Kevin Streelman,23,20.005,460.11
122,123,123,Webb Simpson,24,19.917,478.00699999999995
123,124,124,Kirk Triplett,10,19.9,199.0
124,125,125,Jonathan Byrd,21,19.778,415.347
125,126,126,Michael Letzig,21,19.761,414.971
126,127,127,Arjun Atwal,10,19.189,191.89
127,128,128,Mike Weir,19,18.965999999999998,360.353
128,129,129,Matt Every,17,18.941,321.99
129,130,130,Nathan Green,22,18.823,414.1
130,131,131,Bill Lunde,24,18.7,448.805
131,132,132,Michael Allen,13,18.673,242.75
132,133,133,Tom Pernice Jr.,18,18.409000000000002,331.36699999999996
133,134,134,John Merrick,25,17.96,449.0
134,135,135,Shane Bertsch,3,17.82,53.46
135,136,136,Trevor Immelman,15,17.764,266.46
136,137,137,Matt Bettencourt,27,17.491,472.25
137,138,138,Joe Ogilvie,26,17.445,453.56
138,139,139,Scott Piercy,22,17.294,380.46
139,140,140,Kevin Stadler,23,17.137,394.14
140,141,141,Woody Austin,23,17.123,393.834
141,142,142,Graham DeLaet,23,17.076,392.745
142,143,143,Jeev Milkha Singh,15,16.867,253.0
143,144,144,Chris Stroud,22,16.768,368.89300000000003
144,145,145,James Driscoll,21,16.211,340.43
145,146,146,Jeff Quinney,24,15.76,378.25
146,147,147,Michael Connell,20,15.679,313.57599999999996
147,148,148,Michael Bradley,20,15.311,306.22
148,149,149,Jarrod Lyle,15,15.106,226.583
149,150,150,Mark Wilson,23,14.907,342.87
150,151,151,Will MacKenzie,18,14.849,267.283
151,152,152,Jay Williamson,19,14.754000000000001,280.32
152,153,153,Scott McCarron,24,14.732999999999999,353.583
153,154,154,Richard Johnson,22,14.693,323.25
154,155,155,George McNeill,23,14.689,337.85
155,156,156,Chris DiMarco,20,14.31,286.2
156,157,157,Billy Mayfair,22,14.277999999999999,314.111
157,158,158,Chris Tidland,19,14.25,270.75
158,159,159,John Mallinger,24,14.249,341.972
159,160,160,Brett Quigley,24,14.017999999999999,336.42
160,161,161,Troy Merritt,24,13.795,331.09
161,162,162,Gary Woodland,8,13.75,110.0
162,163,163,James Nitties,25,13.52,338.0
163,164,164,Lee Janzen,21,13.331,279.95099999999996
164,165,165,Rod Pampling,21,13.095,275.0
165,166,166,Kent Jones,9,12.985999999999999,116.87100000000001
166,167,167,Steve Flesch,22,12.341,271.5
167,168,168,Tim Herron,19,12.334000000000001,234.34099999999998
168,169,169,Glen Day,12,11.958,143.5
169,170,170,Mark Hensby,12,11.867,142.4
170,171,171,Mathias Grönberg,17,11.618,197.5
171,172,172,Mathew Goggin,23,11.597999999999999,266.75
172,173,173,Jeff Klauk,13,11.385,148.0
173,174,174,Nicholas Thompson,25,11.356,283.893
174,175,175,Frank Lickliter II,6,11.235,67.41
175,176,176,Craig Barlow,9,11.081,99.73
176,177,177,Skip Kendall,15,10.626,159.39
177,178,178,Roger Tambellini,21,10.437000000000001,219.17
178,179,179,Cameron Percy,20,10.288,205.75
179,180,180,Brian Stuard,23,9.845,226.435
180,181,181,Ted Purdy,25,9.74,243.5
181,182,182,Steve Wheatcroft,22,9.693,213.25
182,183,183,Rich Barcelo,20,9.338,186.75
183,184,184,Carlos Franco,10,9.15,91.5
184,185,185,Graeme McDowell,10,9.05,90.5
