,Official_World_Golf_Ranking_RANK THIS WEEK,Official_World_Golf_Ranking_RANK LAST WEEK,Official_World_Golf_Ranking_PLAYER NAME,Official_World_Golf_Ranking_EVENTS,Official_World_Golf_Ranking_AVG POINTS,Official_World_Golf_Ranking_TOTAL POINTS,Official_World_Golf_Ranking_POINTS LOST,Official_World_Golf_Ranking_POINTS GAINED,Official_World_Golf_Ranking_COUNTRY
0,1,,Lee Westwood,47,9.31,437.56,-279.74,374.21,ENG
1,2,,Tiger Woods,40,8.26,330.36,-396.35,140.02,USA
2,3,,Martin Kaymer,49,7.49,366.84,-212.5,346.33,GER
3,4,,Phil Mickelson,43,7.01,301.43,-309.46,247.69,USA
4,5,,Jim Furyk,46,6.44,296.44,-227.25,247.27,USA
5,6,,Steve Stricker,43,6.39,274.71,-246.93,221.46,USA
6,7,,Graeme McDowell,54,6.3,340.35,-132.41,331.48,NIR
7,8,,Paul Casey,45,6.14,276.18,-224.92,265.46,ENG
8,9,,Luke Donald,55,5.8,319.17,-136.47,325.67,ENG
9,10,,Ian Poulter,49,5.73,280.92,-200.33,245.3,ENG
10,11,,Rory McIlroy,56,5.69,318.66,-224.53,266.04,NIR
11,12,,Ernie Els,58,4.98,288.93,-212.6,282.83,RSA
12,13,,Matt Kuchar,52,4.9,254.82,-110.73,257.36,USA
13,14,,Dustin Johnson,50,4.68,234.19,-127.72,239.95,USA
14,15,,Francesco Molinari,55,4.5,247.35,-119.14,222.28,ITA
15,16,,Robert Karlsson,43,4.43,190.63,-144.98,203.86,SWE
16,17,,Retief Goosen,58,4.22,244.47,-193.53,210.7,RSA
17,18,,Edoardo Molinari,55,4.19,230.65,-92.15,206.02,ITA
18,19,,Hunter Mahan,53,4.19,222.06,-147.53,206.78,USA
19,20,,Zach Johnson,53,3.76,199.22,-160.63,170.99,USA
20,21,,Robert Allenby,58,3.76,217.98,-188.1,175.69,AUS
21,22,,Padraig Harrington,56,3.71,207.84,-230.99,144.52,IRL
22,23,,Geoff Ogilvy,51,3.69,188.11,-200.29,165.9,AUS
23,24,,Adam Scott,52,3.67,190.77,-99.15,160.01,AUS
24,25,,Louis Oosthuizen,53,3.61,191.38,-100.12,208.84,RSA
25,26,,Miguel Angel Jiménez,58,3.59,208.12,-129.68,207.43,ESP
26,27,,Tim Clark,53,3.58,189.71,-146.78,188.07,RSA
27,28,,Rickie Fowler,40,3.55,141.9,-43.05,157.32,USA
28,29,,Anthony Kim,46,3.5,161.21,-179.91,158.83,USA
29,30,,Justin Rose,54,3.47,187.16,-107.43,192.61,ENG
30,31,,Bubba Watson,47,3.46,162.47,-82.76,167.76,USA
31,32,,K.T. Kim,54,3.42,184.76,-48.62,166.03,KOR
32,33,,Ross Fisher,51,3.38,172.55,-157.3,124.23,ENG
33,34,,Nick Watney,53,3.26,172.83,-138.18,152.79,USA
34,35,,Camilo Villegas,53,3.2,169.81,-188.67,175.56,COL
35,36,,Ryo Ishikawa,58,3.18,184.64,-117.71,138.17,JPN
36,37,,Charl Schwartzel,56,3.18,178.08,-127.68,191.0,RSA
37,38,,Jason Day,42,3.13,131.6,-52.21,130.23,AUS
38,39,,Ben Crane,53,3.11,164.85,-88.52,177.9,USA
39,40,,Yuta Ikeda,56,3.02,168.87,-75.08,129.16,JPN
40,41,,Sean O'Hair,51,3.0,152.95,-169.7,111.8,USA
41,42,,Peter Hanson,48,2.98,143.24,-104.26,130.83,SWE
42,43,,Y.E. Yang,56,2.97,166.44,-138.09,127.84,KOR
43,44,,Ryan Moore,53,2.82,149.55,-90.82,123.07,USA
44,45,,Bo Van Pelt,58,2.81,162.9,-72.59,167.78,USA
45,46,,Stewart Cink,48,2.81,134.79,-152.55,90.03,USA
46,47,,K.J. Choi,52,2.77,144.11,-93.0,159.48,KOR
47,48,,Alvaro Quiros,54,2.71,146.15,-130.13,152.6,ESP
48,49,,Hiroyuki Fujita,56,2.7,150.97,-80.04,131.1,JPN
49,50,,Martin Laird,55,2.65,145.63,-61.58,126.33,SCO
50,51,,Henrik Stenson,47,2.55,119.74,-201.46,70.76,SWE
51,52,,Charley Hoffman,51,2.55,129.89,-65.02,120.44,USA
52,53,,Jeff Overton,54,2.53,136.77,-62.13,141.7,USA
53,54,,Ángel Cabrera,44,2.45,107.69,-135.37,68.37,ARG
54,55,,Lucas Glover,51,2.41,123.01,-152.94,72.3,USA
55,56,,Brendan Jones,40,2.38,95.24,-59.25,78.03,AUS
56,57,,Heath Slocum,58,2.37,137.58,-87.98,114.79,USA
57,58,,Ryan Palmer,55,2.27,125.03,-54.41,146.01,USA
58,59,,Toru Taniguchi,44,2.27,100.01,-40.99,92.0,JPN
59,60,,Bill Haas,56,2.26,126.49,-59.85,133.56,USA
60,61,,Richard Green,47,2.25,105.89,-54.36,99.79,AUS
61,62,,Matteo Manassero,40,2.21,88.35,-9.65,88.41,ITA
62,63,,Simon Dyson,58,2.11,122.6,-97.93,77.47,ENG
63,64,,Kevin Na,54,2.11,113.75,-96.07,101.8,USA
64,65,,Seung-Yul Noh,45,2.09,93.9,-36.89,101.45,KOR
65,66,,WC Liang,47,2.07,97.22,-61.74,78.39,CHN
66,67,,Thongchai Jaidee,58,2.01,116.6,-114.17,105.47,THA
67,68,,Scott Verplank,46,2.0,92.1,-84.44,74.27,USA
68,69,,Anders Hansen,55,2.0,109.86,-94.28,75.71,DEN
69,70,,Kenny Perry,46,1.98,90.96,-202.7,48.19,USA
70,71,,Rhys Davies,58,1.97,114.54,-68.04,118.7,WAL
71,72,,J.B. Holmes,53,1.97,104.63,-78.69,118.16,USA
72,73,,Fredrik Andersson Hed,47,1.95,91.65,-29.46,95.11,SWE
73,74,,Danny Willett,48,1.9,91.44,-42.85,86.96,ENG
74,75,,Stuart Appleby,58,1.89,109.45,-68.3,97.22,AUS
75,76,,Sergio Garcia,49,1.87,91.86,-218.8,67.81,ESP
76,77,,Brian Davis,58,1.86,107.78,-69.47,105.05,ENG
77,78,,David Toms,52,1.85,96.23,-95.55,71.81,USA
78,79,,Michael Sim,46,1.82,83.87,-71.63,59.49,AUS
79,80,,Ricky Barnes,53,1.82,96.39,-51.02,102.51,USA
80,81,,John Senden,58,1.74,100.75,-83.91,72.09,AUS
81,82,,Tetsuji Hiratsuka,58,1.72,100.01,-51.52,95.61,JPN
82,83,,Søren Kjeldsen,54,1.72,93.1,-117.42,64.1,DEN
83,84,,Michio Matsumura,51,1.72,87.57,-22.69,80.31,JPN
84,85,,Bryce Molder,51,1.72,87.53,-62.17,74.4,USA
85,86,,Brandt Snedeker,53,1.69,89.3,-71.46,81.24,USA
86,87,,Oliver Wilson,54,1.68,90.68,-111.76,69.23,ENG
87,88,,David Horsey,50,1.64,82.21,-50.48,89.86,ENG
88,89,,Vijay Singh,47,1.63,76.48,-145.57,70.12,FIJ
89,90,,Jason Dufner,54,1.62,87.58,-72.06,59.57,USA
90,91,,Stephen Gallacher,44,1.62,71.35,-26.32,82.75,SCO
91,92,,Gonzalo Fernandez-Castaño,54,1.62,87.34,-89.17,67.6,ESP
92,93,,Shunsuke Sonoda,40,1.61,64.3,-6.37,69.42,JPN
93,94,,Rory Sabbatini,57,1.54,87.94,-99.16,77.7,RSA
94,95,,Grégory Bourdy,54,1.53,82.55,-61.65,52.65,FRA
95,96,,Katsumasa Miyamoto,52,1.52,79.19,-33.79,69.25,JPN
96,97,,Raphael Jacquelin,58,1.52,88.1,-54.22,71.89,FRA
97,98,,Jamie Donaldson,51,1.5,76.73,-46.44,68.02,WAL
98,99,,Marc Leishman,58,1.5,87.22,-70.58,70.65,AUS
99,100,,Koumei Oda,51,1.5,76.41,-65.47,50.44,JPN
100,101,,Darren Clarke,54,1.49,80.66,-70.62,74.05,NIR
101,102,,Brian Gay,58,1.49,86.56,-118.9,63.27,USA
102,103,,Joost Luiten,40,1.49,59.63,-8.95,64.52,NED
103,104,,Vaughn Taylor,54,1.46,78.65,-47.8,81.78,USA
104,105,,Chris Wood,51,1.45,74.15,-61.73,63.21,ENG
105,106,,Brendon de Jonge,58,1.45,84.29,-44.44,96.98,ZIM
106,107,,Steve Marino,58,1.45,83.86,-95.52,73.54,USA
107,108,,Peter Lawrie,57,1.42,81.19,-51.69,72.02,IRL
108,109,,Carl Pettersson,58,1.41,81.99,-55.54,89.94,SWE
109,110,,Brett Rumford,53,1.39,73.75,-33.7,79.9,AUS
110,111,,Alejandro Cañizares,52,1.38,71.88,-25.2,75.66,ESP
111,112,,Davis Love III,51,1.38,70.35,-84.4,67.44,USA
112,113,,Stephen Ames,46,1.37,63.1,-82.14,45.06,CAN
113,114,,Soren Hansen,57,1.37,78.05,-102.56,52.99,DEN
114,115,,Justin Leonard,54,1.37,73.87,-101.87,51.09,USA
115,116,,Grégory Havret,52,1.36,70.97,-36.69,77.1,FRA
116,117,,Gareth Maybin,51,1.36,69.57,-57.61,61.14,IRL
117,118,,Tom Gillis,44,1.36,59.73,-32.02,54.84,USA
118,119,,Robert-Jan Derksen,53,1.36,71.88,-46.82,61.24,NED
119,120,,Jonathan Byrd,51,1.34,68.49,-47.86,57.15,USA
120,121,,Matt Jones,47,1.33,62.72,-29.94,66.08,AUS
