,Presidents_Cup_International_RANK THIS WEEK,Presidents_Cup_International_RANK LAST WEEK,Presidents_Cup_International_PLAYER NAME,Presidents_Cup_International_EVENTS,Presidents_Cup_International_AVG POINTS,Presidents_Cup_International_TOTAL POINTS,Presidents_Cup_International_POINTS LOST,Presidents_Cup_International_POINTS GAINED
0,1,,Ernie Els,58,4.98,288.93,-212.6,282.83
1,2,,Retief Goosen,58,4.22,244.47,-193.53,210.7
2,3,,Robert Allenby,58,3.76,217.98,-188.1,175.69
3,4,,Geoff Ogilvy,51,3.69,188.11,-200.29,165.9
4,5,,Adam Scott,52,3.67,190.77,-99.15,160.01
5,6,,Louis Oosthuizen,53,3.61,191.38,-100.12,208.84
6,7,,Tim Clark,53,3.58,189.71,-146.78,188.07
7,8,,K.T. Kim,54,3.42,184.76,-48.62,166.03
8,9,,Camilo Villegas,53,3.2,169.81,-188.67,175.56
9,10,,Ryo Ishikawa,58,3.18,184.64,-117.71,138.17
10,11,,Charl Schwartzel,56,3.18,178.08,-127.68,191.0
11,12,,Jason Day,42,3.13,131.6,-52.21,130.23
12,13,,Yuta Ikeda,56,3.02,168.87,-75.08,129.16
13,14,,Y.E. Yang,56,2.97,166.44,-138.09,127.84
14,15,,K.J. Choi,52,2.77,144.11,-93.0,159.48
15,16,,Hiroyuki Fujita,56,2.7,150.97,-80.04,131.1
16,17,,Ángel Cabrera,44,2.45,107.69,-135.37,68.37
17,18,,Brendan Jones,40,2.38,95.24,-59.25,78.03
18,19,,Toru Taniguchi,44,2.27,100.01,-40.99,92.0
19,20,,Richard Green,47,2.25,105.89,-54.36,99.79
20,21,,Seung-Yul Noh,45,2.09,93.9,-36.89,101.45
21,22,,WC Liang,47,2.07,97.22,-61.74,78.39
22,23,,Thongchai Jaidee,58,2.01,116.6,-114.17,105.47
23,24,,Stuart Appleby,58,1.89,109.45,-68.3,97.22
24,25,,Michael Sim,46,1.82,83.87,-71.63,59.49
25,26,,John Senden,58,1.74,100.75,-83.91,72.09
26,27,,Tetsuji Hiratsuka,58,1.72,100.01,-51.52,95.61
27,28,,Michio Matsumura,51,1.72,87.57,-22.69,80.31
28,29,,Vijay Singh,47,1.63,76.48,-145.57,70.12
29,30,,Shunsuke Sonoda,40,1.61,64.3,-6.37,69.42
30,31,,Rory Sabbatini,57,1.54,87.94,-99.16,77.7
31,32,,Katsumasa Miyamoto,52,1.52,79.19,-33.79,69.25
32,33,,Marc Leishman,58,1.5,87.22,-70.58,70.65
33,34,,Koumei Oda,51,1.5,76.41,-65.47,50.44
34,35,,Brendon de Jonge,58,1.45,84.29,-44.44,96.98
35,36,,Brett Rumford,53,1.39,73.75,-33.7,79.9
36,37,,Stephen Ames,46,1.37,63.1,-82.14,45.06
37,38,,Matt Jones,47,1.33,62.72,-29.94,66.08
38,39,,Shingo Katayama,52,1.32,68.51,-95.17,46.16
39,40,,Arjun Atwal,40,1.31,52.58,-16.79,55.66
40,41,,Dohoon Kim,40,1.28,51.29,-0.56,51.85
41,42,,Charlie Wi,56,1.28,71.63,-61.62,69.49
42,43,,Takashi Kanemoto,49,1.26,61.89,-21.47,53.91
43,44,,Jbe' Kruger,45,1.24,55.68,-17.55,64.02
44,45,,Thomas Aiken,57,1.22,69.37,-56.8,64.52
45,46,,Marcus Fraser,54,1.2,64.94,-41.92,68.67
46,47,,Sangmoon Bae,40,1.18,47.13,-35.15,38.31
47,48,,Greg Chalmers,58,1.16,67.18,-50.53,50.0
48,49,,Daisuke Maruyama,55,1.15,63.45,-43.84,43.86
49,50,,James Kingston,51,1.13,57.8,-69.41,35.94
50,51,,Ryuichi Oda,51,1.12,57.25,-36.9,28.41
51,52,,Daniel Gaunt,40,1.1,44.18,-2.39,44.83
52,53,,Kenichi Kuboya,55,1.1,60.58,-61.79,32.95
53,54,,Thaworn Wiratchant,48,1.1,52.69,-35.16,46.89
54,55,,Shigeki Maruyama,57,1.09,62.28,-46.07,39.64
55,56,,Mike Weir,44,1.09,48.06,-114.57,26.75
56,57,,Jeev Milkha Singh,58,1.09,63.25,-123.44,48.75
57,58,,Nick O'Hern,42,1.07,45.03,-55.49,27.45
58,59,,Andres Romero,44,1.05,46.06,-65.47,44.56
59,60,,Tadahiro Takayama,47,1.02,48.05,-15.88,42.65
60,61,,Pariya Junhasavasdikul,40,1.01,40.25,-3.44,40.6
61,62,,Jhonattan Vegas,42,0.99,41.45,-9.34,41.33
62,63,,Andrew Dodt,46,0.97,44.69,-32.71,52.62
63,64,,Mark Tullo,40,0.92,36.78,-8.76,36.9
64,65,,Steve Elkington,45,0.91,41.05,-21.11,44.72
65,66,,Ryuji Imada,56,0.91,51.06,-55.45,52.45
66,67,,Graham DeLaet,45,0.9,40.33,-32.21,39.91
67,68,,Kiradech Aphibarnrat,58,0.89,51.7,-21.61,45.07
68,69,,Hideto Tanihara,56,0.87,48.85,-46.14,39.55
69,70,,Jay Choi,40,0.87,34.86,-1.69,36.56
70,71,,Gaganjeet Bhullar,40,0.87,34.76,-32.54,25.48
71,72,,Fabrizio Zanotti,51,0.86,44.01,-25.03,35.89
72,73,,Siddikur Rahman,40,0.86,34.4,-1.37,35.77
73,74,,Yasuharu Imano,40,0.84,33.62,-46.21,7.77
74,75,,Masaya Tomida,50,0.8,40.01,-30.52,27.63
75,76,,Tomohiro Kondo,49,0.8,39.13,-44.62,15.34
76,77,,Alistair Presnell,58,0.78,45.28,-17.76,45.29
77,78,,Prayad Marksaeng,58,0.78,45.08,-82.9,33.31
78,79,,Mardan Mamat,45,0.77,34.57,-19.35,29.25
79,80,,Nathan Green,58,0.75,43.41,-47.14,35.91
80,81,,Cameron Percy,51,0.74,37.92,-30.5,21.17
81,82,,Kazuhiro Yamashita,47,0.74,34.82,-28.88,17.79
82,83,,Peter Senior,40,0.71,28.4,-8.98,27.78
83,84,,Azuma Yano,55,0.7,38.23,-57.77,21.34
84,85,,Trevor Immelman,40,0.69,27.72,-56.37,30.13
85,86,,Shiv Kapur,58,0.69,39.89,-30.11,21.17
86,87,,Fabián Gómez,46,0.69,31.55,-25.97,30.24
87,88,,Aaron Baddeley,54,0.68,36.52,-51.0,30.06
88,89,,David Smail,45,0.67,30.25,-57.64,14.24
89,90,,Hirofumi Miyase,48,0.67,32.16,-22.64,18.94
90,91,,Keith Horne,44,0.67,29.27,-21.24,29.06
91,92,,Wen-Tang Lin,40,0.66,26.34,-47.25,15.28
92,93,,Tetsuya Haraguchi,49,0.65,31.91,-16.71,26.3
93,94,,Kunihiro Kamii,48,0.65,31.17,-18.54,26.53
94,95,,Marcus Both,44,0.65,28.57,-21.86,13.24
95,96,,Hyung-Sung Kim,47,0.65,30.49,-18.42,22.02
96,97,,Kim Hyung-Tae,41,0.64,26.05,-9.55,25.92
97,98,,Hennie Otto,55,0.63,34.8,-35.92,35.8
98,99,,Toru Suzuki,48,0.63,30.35,-31.34,11.02
99,100,,Scott Strange,49,0.63,30.93,-57.0,4.92
100,101,,Mamo Osanai,40,0.62,24.95,-10.19,25.58
101,102,,Kaname Yokoo,51,0.62,31.4,-36.25,17.48
102,103,,Hiroshi Iwata,50,0.6,30.12,-23.25,26.49
103,104,,Udorn Duangdecha,40,0.6,24.02,-9.43,17.89
104,105,,Mathew Goggin,58,0.6,34.8,-88.72,21.19
105,106,,Daehyun Kim,40,0.6,23.98,-12.95,22.02
106,107,,Peter Karmis,40,0.59,23.66,-4.09,24.08
107,108,,Taichi Teshima,45,0.59,26.35,-30.06,20.83
108,109,,Toshinori Muto,46,0.58,26.87,-40.49,11.52
109,110,,Shigeru Nonaka,47,0.58,27.22,-8.42,23.6
110,111,,Scott Hend,51,0.58,29.52,-22.09,21.1
111,112,,Adam Bland,54,0.58,31.2,-16.15,26.4
112,113,,Steven Bowditch,50,0.58,28.83,-4.45,26.31
113,114,,Cho Min-jun,40,0.56,22.53,-1.49,24.02
114,115,,Ricardo Gonzalez,49,0.56,27.39,-38.88,14.32
115,116,,David Hearn,43,0.56,24.01,-7.54,26.46
116,117,,Rafael Echenique,58,0.56,32.29,-27.69,25.31
117,118,,Mitsuhiro Tateyama,44,0.56,24.44,-11.96,20.42
118,119,,Tano Goya,55,0.55,30.34,-38.7,24.06
119,120,,Julio Zapata,40,0.55,21.94,-9.22,26.46
120,121,,Chan Yih-shin,40,0.55,21.83,-12.55,12.61
121,122,,Rod Pampling,58,0.54,31.49,-75.9,12.48
122,123,,Kyung-Nam Kang,40,0.54,21.63,-5.92,21.99
123,124,,Jarrod Lyle,53,0.52,27.72,-24.13,28.07
124,125,,Jaco Van Zyl,40,0.52,20.87,-17.73,22.86
125,126,,S.K. Ho,46,0.51,23.53,-27.87,20.36
126,127,,Shinichi Yokota,47,0.51,23.96,-4.81,21.83
127,128,,Yusaku Miyazato,46,0.5,22.96,-22.34,13.79
128,129,,Andre Stolz,40,0.49,19.67,-4.13,19.93
129,130,,Michiel Bothma,40,0.49,19.57,-14.06,22.91
130,131,,Juvic Pagunsan,40,0.49,19.43,-16.5,15.93
131,132,,Angelo Que,40,0.48,19.32,-12.92,18.21
132,133,,James Nitties,58,0.48,27.94,-31.66,20.43
133,134,,Jae-bum Park,40,0.48,19.01,-3.7,19.3
134,135,,Scott Gardiner,53,0.47,25.15,-12.47,21.08
135,136,,Kodai Ichihara,47,0.47,21.9,-14.95,17.06
136,137,,Won Joon Lee,58,0.46,26.77,-14.71,22.18
137,138,,Darren Fichardt,40,0.45,17.99,-22.12,18.08
138,139,,Mike Hendry,40,0.45,17.97,-2.2,20.17
139,140,,Chinnarat Phadungsil,44,0.45,19.62,-16.2,14.23
140,141,,Dinesh Chand,47,0.44,20.61,-8.59,21.06
141,142,,Hiroo Kawai,42,0.43,18.16,-6.03,17.57
142,143,,Aron Price,54,0.43,23.31,-18.35,22.4
143,144,,Makoto Inoue,47,0.43,20.17,-20.71,17.47
144,145,,Paul Sheehan,53,0.43,22.7,-11.32,21.31
145,146,,Matthew Griffin,40,0.43,17.08,-6.16,11.57
146,147,,Akio Sadakata,44,0.43,18.79,-12.82,15.89
147,148,,George Coetzee,53,0.43,22.59,-10.51,25.16
148,149,,Matthew Zions,44,0.42,18.42,-9.21,17.35
149,150,,Shintaro Kai,49,0.42,20.49,-33.4,14.62
150,151,,I J Jang,42,0.41,17.41,-8.72,15.28
151,152,,Nobuhiro Masuda,46,0.41,18.74,-8.23,17.03
152,153,,Warren Abery,40,0.41,16.23,-4.39,16.27
153,154,,Anirban Lahiri,40,0.4,16.17,-9.02,10.24
154,155,,Mark Brown,58,0.4,23.05,-27.26,22.77
155,156,,Felipe Aguilar,56,0.4,22.25,-29.1,17.41
156,157,,Richard Sterne,40,0.39,15.78,-62.15,4.3
157,158,,Bradley Iles,49,0.39,19.3,-13.17,15.3
158,159,,Chapchai Nirat,52,0.39,20.05,-40.6,9.21
159,160,,Takuya Taniguchi,45,0.36,16.37,-7.1,16.57
160,161,,Branden Grace,56,0.36,20.32,-26.99,18.8
161,162,,Jyoti Randhawa,54,0.36,19.4,-36.2,11.95
162,163,,Jon Mills,52,0.36,18.59,-11.44,17.5
163,164,,Gavin Coles,47,0.36,16.71,-16.41,14.9
164,165,,Kazuhiko Hosokawa,47,0.35,16.67,-4.9,16.21
165,166,,Alex Haindl,40,0.35,14.15,-2.42,15.43
166,167,,Chris Campbell,40,0.35,14.09,-3.29,11.35
167,168,,Tjaart van der Walt,49,0.34,16.68,-9.86,16.37
168,169,,Chih-Bing Lam,44,0.34,14.93,-27.37,12.89
169,170,,Tim Wilkinson,40,0.34,13.5,-24.13,10.47
170,171,,Scott Barr,45,0.34,15.18,-9.19,12.14
171,172,,Rick Kulacz,45,0.34,15.15,-23.24,11.65
172,173,,Darren Beck,40,0.33,13.29,-17.86,6.3
173,174,,Danny Lee,47,0.33,15.47,-35.96,5.49
174,175,,Chris Baryla,40,0.33,13.14,-18.3,
175,176,,Sung Lee,40,0.33,13.11,-5.99,9.14
176,177,,Masamichi Uehira,40,0.33,13.02,-3.49,12.59
177,178,,Daniel Alfredo Vancsik,55,0.32,17.82,-21.49,11.63
178,179,,Adam Hadwin,40,0.32,12.79,-1.03,13.82
179,180,,Adilson da Silva,40,0.32,12.64,-9.7,10.65
180,181,,Ewan Porter,41,0.32,12.93,-9.18,14.0
181,182,,Rahil Gangjee,40,0.31,12.57,-7.13,11.76
182,183,,Yoshikazu Haku,40,0.31,12.49,-1.59,13.36
183,184,,Josh Geary,40,0.31,12.34,-12.78,9.73
184,185,,Iain Steel,40,0.31,12.31,-12.43,11.43
185,186,,Lu Wei-chih,40,0.31,12.22,-14.27,9.23
186,187,,Mark Hensby,40,0.3,12.1,-7.95,14.46
187,188,,SSP Chawrasia,53,0.3,15.87,-8.89,15.52
188,189,,Dustin Risdon,44,0.3,13.14,-11.95,10.39
189,190,,Marc Cayeux,40,0.29,11.76,-19.46,8.4
190,191,,Anthony Michael,40,0.28,11.33,-0.79,12.12
191,192,,Sung Kang,40,0.28,11.17,-10.55,7.38
192,193,,Marco Ruiz,40,0.28,11.16,-7.65,12.6
193,194,,Terry Pilkadaris,46,0.28,12.74,-19.38,8.43
194,195,,Kiyoshi Miyazato,46,0.27,12.6,-15.28,10.47
195,196,,Eddie Lee,47,0.27,12.82,-10.98,7.29
196,197,,James Kamte,47,0.27,12.8,-26.16,10.39
197,198,,Jin Park,54,0.26,14.26,-5.71,14.06
198,199,,Kurt Barnes,40,0.26,10.53,-5.69,11.35
199,200,,Satoru Hirota,47,0.26,12.32,-12.1,12.63
200,201,,Sushi Ishigaki,40,0.26,10.44,-10.48,8.83
201,202,,Unho Park,42,0.26,10.85,-10.08,8.33
202,203,,Garth Mulroy,54,0.26,13.85,-25.33,4.94
203,204,,Bio Kim,40,0.26,10.24,-2.5,10.19
204,205,,Seuk-hyun Baek,40,0.26,10.22,0.0,10.22
205,206,,David McKenzie,55,0.26,14.04,-11.98,9.73
206,207,,Hideki Matsuyama,40,0.25,10.03,0.0,10.03
207,208,,Koichiro Kawano,40,0.25,9.83,-1.13,9.58
208,209,,Joong Kyung Mo,40,0.24,9.77,-7.25,9.16
209,210,,David Vanegas,40,0.24,9.75,-4.19,13.94
210,211,,Marc Pucay,40,0.24,9.64,-9.59,9.11
211,212,,Kim Felton,40,0.24,9.64,-0.6,9.65
212,213,,Yui Ueda,43,0.24,10.21,-9.74,8.31
213,214,,Steve Allan,40,0.24,9.43,-12.86,9.07
214,215,,Lucas Lee,40,0.23,9.25,-5.83,8.17
215,216,,Camilo Benedetti,40,0.23,9.18,-4.34,7.57
216,217,,Danny Chia,40,0.23,9.16,-11.5,5.41
217,218,,Michael Long,40,0.22,8.94,-5.45,2.48
218,219,,Andrew Buckle,54,0.22,12.03,-10.51,8.79
219,220,,Shaaban Hussin,40,0.22,8.91,-5.83,3.16
220,221,,Namchoak Tantipokakul,40,0.22,8.87,-0.83,9.7
221,222,,Brad Kennedy,40,0.22,8.87,-4.64,6.95
222,223,,Gareth Paddison,40,0.22,8.86,-7.71,6.81
223,224,,Clodomiro Carranza,45,0.22,9.95,-5.15,9.88
224,225,,Peter Fowler,40,0.22,8.85,-3.28,8.85
225,226,,Kohki Idoki,40,0.22,8.7,-9.36,3.67
226,227,,Inn Choon Hwang,40,0.22,8.69,-6.48,11.09
227,228,,Jordan Sherratt,40,0.22,8.64,0.0,8.64
228,229,,Yuji Igarashi,48,0.21,10.28,-14.63,2.4
229,230,,Tony Carolan,53,0.21,11.18,-8.29,7.63
230,231,,Jake Roos,40,0.21,8.32,-5.41,10.51
231,232,,José de Jesús Rodríguez,40,0.21,8.29,-2.74,9.9
232,233,,Hiroo Okamo,40,0.21,8.23,-0.64,8.88
233,235,,Wayne Perske,44,0.2,8.98,-10.21,6.15
234,236,,Taigen Tsumagari,44,0.2,8.96,-9.09,3.42
235,237,,Hur In-hoi,40,0.2,8.06,-2.7,8.28
236,238,,Jim Rutledge,40,0.2,7.99,-6.41,5.08
237,239,,Gavin Flint,42,0.2,8.36,-8.42,5.99
238,240,,Anthony Brown,40,0.2,7.83,-3.45,6.99
239,241,,Thammanoon Sriroj,40,0.2,7.81,-9.01,3.24
240,242,,Ben Leong,40,0.19,7.62,-10.24,8.09
241,243,,Toyokazu Fujishima,46,0.19,8.74,-12.22,5.35
242,244,,Trevor Fisher Jr,40,0.19,7.58,-7.24,9.27
243,245,,Peter O'Malley,46,0.19,8.71,-16.57,2.78
244,246,,C Muniyappa,40,0.19,7.55,-8.96,
245,247,,Adam Blyth,42,0.19,7.92,-19.59,3.72
246,248,,Kwanchai Tannin,40,0.19,7.53,-2.81,5.48
247,249,,Ariel Cañete,40,0.19,7.45,-6.93,11.61
248,250,,Yoshinobu Tsukada,47,0.18,8.66,-11.57,2.53
249,251,,Michael Wright,40,0.18,7.32,-2.82,6.2
250,252,,Yuudai Maeda,44,0.18,8.03,-8.54,3.7
251,253,,Wen-Teh Lu,40,0.18,7.29,-15.37,3.45
252,254,,Jin Jeong,40,0.18,7.22,-0.78,8.0
253,255,,Ryan Yip,40,0.18,7.19,-5.7,4.02
254,256,,Ho Sung Choi,40,0.18,7.06,-2.83,6.0
255,257,,Nick Flanagan,40,0.17,6.95,-3.79,7.44
256,258,,Hidemasa Hoshino,46,0.17,7.89,-20.7,1.35
257,259,,Pablo Del Grosso,40,0.17,6.86,-2.7,8.34
258,260,,Bronson La'Cassie,40,0.17,6.86,-0.1,6.96
259,261,,Tyrone Van Aswegen,40,0.17,6.85,-9.94,6.21
260,262,,Josh Cunliffe,40,0.17,6.85,-3.18,8.42
261,263,,Wade Ormsby,43,0.17,7.19,-7.4,5.94
