,_of_Potential_Pts_won_-_FedExCup_Playoffs_RANK THIS WEEK,_of_Potential_Pts_won_-_FedExCup_Playoffs_RANK LAST WEEK,_of_Potential_Pts_won_-_FedExCup_Playoffs_PLAYER NAME,_of_Potential_Pts_won_-_FedExCup_Playoffs_EVENTS,_of_Potential_Pts_won_-_FedExCup_Playoffs_%,_of_Potential_Pts_won_-_FedExCup_Playoffs_PLAYOFF POINTS WON,_of_Potential_Pts_won_-_FedExCup_Playoffs_POTENTIAL PTS,_of_Potential_Pts_won_-_FedExCup_Playoffs_# OF WINS,_of_Potential_Pts_won_-_FedExCup_Playoffs_# OF TOP 10'S
0,1,1,Jim Furyk,21,39.07,2930,7500,1.0,1.0
1,2,2,Matt Kuchar,26,37.25,3725,10000,1.0,2.0
2,3,3,Charley Hoffman,24,34.03,3403,10000,1.0,2.0
3,4,4,Dustin Johnson,23,31.8,3180,10000,1.0,2.0
4,5,5,Luke Donald,20,30.08,3008,10000,,2.0
5,6,6,Paul Casey,17,26.73,2673,10000,,2.0
6,7,7,Martin Laird,26,20.23,2023,10000,,1.0
7,8,8,Retief Goosen,19,19.08,1908,10000,,2.0
8,9,9,Jason Day,24,19.05,1905,10000,,2.0
9,10,10,Steve Stricker,19,19.03,1903,10000,,3.0
10,11,11,Geoff Ogilvy,19,15.98,1598,10000,,1.0
11,12,12,Kevin Streelman,28,14.78,1478,10000,,2.0
12,13,13,Adam Scott,20,13.63,1363,10000,,2.0
13,14,14,Kevin Na,26,12.93,1293,10000,,1.0
14,15,15,Nick Watney,24,12.5,1250,10000,,1.0
15,16,16,K.J. Choi,22,12.4,1240,10000,,2.0
16,17,17,Charlie Wi,27,11.6,870,7500,,1.0
17,18,18,Tiger Woods,12,11.58,869,7500,,
18,19,19,Ryan Palmer,27,11.32,1132,10000,,1.0
19,20,20,Ryan Moore,24,10.8,1080,10000,,2.0
20,21,21,Zach Johnson,25,10.68,1068,10000,,1.0
21,22,22,Stewart Cink,23,10.27,770,7500,,
22,23,23,John Senden,30,9.67,725,7500,,1.0
23,24,24,Tom Gillis,27,9.63,723,7500,,1.0
24,25,25,Ernie Els,20,9.35,935,10000,,1.0
25,26,26,Vaughn Taylor,26,8.95,671,7500,,1.0
26,27,27,Michael Sim,20,8.94,670,7500,,
27,28,28,Ian Poulter,15,8.83,663,7500,,
28,29,29,Brandt Snedeker,26,8.77,658,7500,,1.0
29,30,30,Phil Mickelson,20,8.63,863,10000,,1.0
30,31,31,D.J. Trahan,27,8.23,618,7500,,1.0
31,32,32,Hunter Mahan,25,8.08,808,10000,,
32,33,33,Justin Rose,22,7.9,790,10000,,
33,34,34,Rory Sabbatini,26,7.72,579,7500,,1.0
34,35,35,Camilo Villegas,20,7.7,770,10000,,1.0
35,36,36,Ángel Cabrera,19,7.43,558,7500,,
36,37,37,Greg Chalmers,27,7.4,555,7500,,
37,T38,T38,Bill Haas,25,7.2,540,7500,,
38,T38,T38,Justin Leonard,27,7.2,540,7500,,
39,40,40,Bubba Watson,22,7.1,710,10000,,
40,41,41,Marc Leishman,26,7.07,530,7500,,
41,42,42,Robert Allenby,22,6.95,695,10000,,
42,43,43,Vijay Singh,24,6.94,520,7500,,
43,44,44,Ben Crane,24,6.88,688,10000,,
44,45,45,Heath Slocum,25,6.67,500,7500,,1.0
45,46,46,Tim Clark,24,6.4,640,10000,,
46,47,47,Andres Romero,21,5.8,435,7500,,
47,48,48,Brian Gay,30,5.7,428,7500,,
48,49,49,Rickie Fowler,28,5.57,418,7500,,
49,50,50,Ryuji Imada,28,5.5,275,5000,,
50,51,51,Tim Petrovic,32,5.4,405,7500,,
51,52,52,Bo Van Pelt,28,5.35,535,10000,,
52,T53,T53,Matt Jones,27,5.17,388,7500,,
