,_of_Potential_Pts_won_-_FedExCup_Regular_Season_RANK THIS WEEK,_of_Potential_Pts_won_-_FedExCup_Regular_Season_RANK LAST WEEK,_of_Potential_Pts_won_-_FedExCup_Regular_Season_PLAYER NAME,_of_Potential_Pts_won_-_FedExCup_Regular_Season_EVENTS,_of_Potential_Pts_won_-_FedExCup_Regular_Season_%,_of_Potential_Pts_won_-_FedExCup_Regular_Season_POINTS WON,_of_Potential_Pts_won_-_FedExCup_Regular_Season_POTENTIAL PTS,_of_Potential_Pts_won_-_FedExCup_Regular_Season_# OF WINS,_of_Potential_Pts_won_-_FedExCup_Regular_Season_# OF TOP 10'S
0,1,1,Steve Stricker,19,27.15,1697.0,6250,2.0,6.0
1,2,2,Ernie Els,20,26.94,1846.0,6850,2.0,6.0
2,3,3,Anthony Kim,14,25.6,1216.0,4750,1.0,4.0
3,4,4,Phil Mickelson,20,23.96,1629.0,6800,1.0,5.0
4,5,5,Rory McIlroy,16,22.71,1101.0,4850,1.0,5.0
5,6,6,Jim Furyk,21,21.54,1691.0,7850,2.0,6.0
6,7,7,Justin Rose,22,19.54,1593.0,8150,2.0,4.0
7,8,8,Camilo Villegas,20,19.11,1213.0,6350,1.0,6.0
8,9,9,Retief Goosen,19,18.58,1068.0,5750,,8.0
9,10,10,Paul Casey,17,18.54,992.0,5350,,5.0
10,11,11,Bubba Watson,22,18.38,1498.0,8150,1.0,4.0
11,12,12,Hunter Mahan,25,17.26,1528.0,8850,2.0,3.0
12,13,13,Tim Clark,24,16.88,1409.0,8350,1.0,6.0
13,14,14,Ian Poulter,15,16.86,733.0,4350,1.0,2.0
14,15,15,Dustin Johnson,23,16.31,1362.0,8350,1.0,5.0
15,16,16,Robert Allenby,22,16.01,1169.0,7300,,4.0
16,17,17,Luke Donald,20,15.89,1089.0,6850,,5.0
17,18,18,Ben Crane,24,15.61,1304.0,8350,1.0,5.0
18,19,19,Jeff Overton,26,15.52,1536.0,9900,,6.0
19,20,20,Matt Kuchar,26,15.37,1437.0,9350,,9.0
20,21,21,Tom Watson,3,15.25,92.0,600,,
21,22,22,Zach Johnson,25,14.27,1191.0,8350,1.0,2.0
22,23,23,Adam Scott,20,13.73,940.0,6850,1.0,2.0
23,24,24,Tiger Woods,12,13.26,431.0,3250,,2.0
24,25,25,J.B. Holmes,26,13.25,1153.0,8700,,3.0
25,26,26,Bo Van Pelt,28,13.18,1272.0,9650,,6.0
26,27,27,Geoff Ogilvy,19,12.83,815.0,6350,1.0,1.0
27,28,28,Corey Pavin,8,12.36,433.0,3500,,2.0
28,29,29,K.J. Choi,22,12.3,922.0,7500,,2.0
29,30,30,Nick Watney,24,11.78,984.0,8350,,6.0
30,31,31,Bill Haas,25,11.64,1025.0,8800,1.0,2.0
31,32,32,Shaun Micheel,21,11.33,595.0,5250,,3.0
32,33,33,Rickie Fowler,28,11.3,1147.0,10150,,5.0
33,34,34,Ryan Palmer,27,11.22,1071.0,9550,1.0,3.0
34,35,35,Carl Pettersson,29,10.88,1142.0,10500,1.0,4.0
35,36,36,Freddie Jacobson,24,10.87,826.0,7600,,3.0
36,37,37,Dean Wilson,18,10.85,434.0,4000,,1.0
37,38,38,Jason Day,24,10.8,988.0,9150,1.0,3.0
38,39,39,Ryan Moore,24,10.76,893.0,8300,,4.0
39,40,40,Jason Bohn,25,10.71,926.0,8650,1.0,2.0
40,41,41,Padraig Harrington,18,10.43,662.0,6350,,5.0
41,42,42,Tom Lehman,9,10.2,204.0,2000,,
42,43,43,Sean O'Hair,25,9.7,858.0,8850,,3.0
43,44,44,Kevin Na,26,9.69,804.0,8300,,3.0
44,45,45,Vaughn Taylor,26,9.58,824.0,8600,,5.0
45,46,46,Heath Slocum,25,9.57,722.0,7550,,3.0
46,47,47,Scott Verplank,22,9.41,786.0,8350,,3.0
47,T48,T48,Ricky Barnes,28,9.29,947.0,10200,,6.0
48,T48,T48,David Toms,25,9.29,748.0,8050,,1.0
49,50,50,Brendon de Jonge,32,9.12,1035.0,11350,,6.0
50,51,51,Michael Sim,20,9.03,573.0,6350,,3.0
51,52,52,Lucas Glover,23,8.9,743.0,8350,,3.0
52,53,53,Stuart Appleby,31,8.66,957.0,11050,1.0,3.0
