,Last_5_Events_-_Power_RANK THIS WEEK,Last_5_Events_-_Power_RANK LAST WEEK,Last_5_Events_-_Power_PLAYER NAME,Last_5_Events_-_Power_EVENTS,Last_5_Events_-_Power_RATING
0,T1,T1,J.B. Holmes,4,9.9
1,T1,T1,Luke List,1,9.9
2,T1,T1,Blake Trimble,1,9.9
3,T1,T1,Bubba Watson,2,9.9
4,5,6,Robert Garrigus,3,9.8
5,T6,T7,John Daly,3,9.7
6,T6,T7,Harrison Frazar,2,9.7
7,T6,T1,Dustin Johnson,1,9.7
8,T6,T7,Sam Saunders,2,9.7
9,10,10,D.J. Trahan,3,9.6
10,11,11,Brett Wetterich,3,9.5
11,T12,T12,Steve Allan,1,9.4
12,T12,T12,Chris Baryla,1,9.4
13,T12,T12,Ángel Cabrera,4,9.4
14,15,15,Rory McIlroy,3,9.3
15,T16,T16,Jamie Lovemark,3,9.2
16,T16,T16,Troy Matteson,2,9.2
17,T16,T16,Jimmy Walker,1,9.2
18,19,19,Charles Warren,3,9.1
19,T20,T20,Jason Gore,1,9.0
20,T20,T20,Alistair Presnell,1,9.0
21,T22,T22,Graham DeLaet,4,8.9
22,T22,T22,Alvaro Quiros,1,8.9
23,T22,T22,Kyle Stanley,1,8.9
24,T25,T26,Martin Laird,4,8.8
25,T25,T22,Davis Love III,4,8.8
26,T25,T26,Louis Oosthuizen,1,8.8
27,T25,T26,Tag Ridings,1,8.8
28,T25,T26,Cameron Tringale,1,8.8
29,T30,T30,Bill Haas,3,8.7
30,T30,T30,Scott Piercy,4,8.7
31,T32,T33,Charles Howell III,5,8.6
32,T32,T33,Gary Woodland,1,8.6
33,T34,T35,Jason Day,4,8.5
34,T34,T35,Martin Flores,3,8.5
35,T34,T30,Rickie Fowler,1,8.5
36,T34,T35,Danny Wax,1,8.5
37,T38,T38,Daniel Chopra,1,8.4
38,T38,T38,Padraig Harrington,2,8.4
39,T38,T38,Marc Leishman,2,8.4
40,T38,T38,David Lutterus,1,8.4
41,T38,T38,Alex Prugh,3,8.4
42,T43,T43,Phil Mickelson,3,8.3
43,T43,T43,John Senden,4,8.3
44,T43,T43,Nick Watney,3,8.3
45,T46,T46,Chris Couch,2,8.2
