,FedExCup_Bonus_Money_RANK THIS WEEK,FedExCup_Bonus_Money_RANK LAST WEEK,FedExCup_Bonus_Money_PLAYER NAME,FedExCup_Bonus_Money_EVENTS,FedExCup_Bonus_Money_MONEY
0,1,1,Jim Furyk,21,10000000
1,2,2,Matt Kuchar,25,3000000
2,3,3,Luke Donald,20,2000000
3,4,4,Charley Hoffman,23,1500000
4,5,5,Dustin Johnson,23,1000000
5,6,6,Paul Casey,17,800000
6,7,7,Steve Stricker,19,700000
7,8,8,Jason Day,24,600000
8,9,9,Ernie Els,20,550000
9,10,10,Retief Goosen,19,500000
10,11,11,Martin Laird,25,300000
11,12,12,Nick Watney,23,290000
12,13,13,Phil Mickelson,20,280000
13,14,14,Geoff Ogilvy,19,270000
14,15,15,K.J. Choi,22,247500
15,15,15,Justin Rose,22,247500
16,17,17,Zach Johnson,24,240000
17,18,18,Hunter Mahan,24,235000
18,19,19,Adam Scott,20,230000
19,20,20,Camilo Villegas,20,225000
20,21,21,Ryan Moore,24,220000
21,22,22,Bubba Watson,22,215000
22,23,23,Ryan Palmer,25,210000
23,24,24,Tim Clark,23,205000
24,25,25,Kevin Streelman,27,200000
25,26,26,Kevin Na,25,195000
26,27,27,Ben Crane,24,190000
27,28,28,Robert Allenby,21,185000
28,29,29,Jeff Overton,26,180000
29,30,30,Bo Van Pelt,26,175000
30,31,31,Bill Haas,23,165000
31,32,32,Rickie Fowler,25,155000
32,33,33,Charlie Wi,23,150000
33,34,34,J.B. Holmes,23,145000
34,35,35,Vaughn Taylor,23,142000
35,36,36,Rory McIlroy,16,140000
36,37,37,Brandt Snedeker,26,138000
37,38,38,Stewart Cink,22,137000
38,39,39,Ian Poulter,15,136000
39,40,40,Carl Pettersson,27,135000
40,41,41,Anthony Kim,14,134000
41,42,42,Tiger Woods,12,133000
42,43,43,Tom Gillis,24,132000
43,44,44,Marc Leishman,24,131000
44,45,45,Michael Sim,20,130000
45,46,46,Heath Slocum,22,129000
46,47,47,Sean O'Hair,23,128000
47,48,48,Rory Sabbatini,23,127000
48,49,49,D.J. Trahan,24,126000
49,50,50,John Senden,26,125000
50,51,51,Brendon de Jonge,29,120000
51,52,52,Stuart Appleby,29,115000
52,53,53,Brian Davis,27,114000
53,54,54,Brian Gay,26,113000
54,55,55,David Toms,23,110000
55,56,56,Greg Chalmers,25,110000
56,57,57,Vijay Singh,23,110000
57,58,58,Freddie Jacobson,21,110000
58,59,59,Justin Leonard,24,110000
59,60,60,Bryce Molder,24,110000
60,61,61,Ángel Cabrera,19,110000
61,62,62,Jason Bohn,22,110000
62,63,63,Matt Jones,25,110000
63,64,64,Ricky Barnes,26,110000
64,65,65,Jason Dufner,25,110000
65,66,66,Tim Petrovic,27,110000
66,67,67,Y.E. Yang,21,110000
67,68,68,Stephen Ames,21,110000
