,Accuracy_Rating_RANK THIS WEEK,Accuracy_Rating_RANK LAST WEEK,Accuracy_Rating_PLAYER NAME,Accuracy_Rating_EVENTS,Accuracy_Rating_RATING
0,1,1,Jon Mills,1,8.5
1,2,2,Graeme McDowell,4,8.4
2,3,3,Louis Oosthuizen,1,8.3
3,T4,T4,Robert Gamez,1,8.2
4,T4,T4,Colin Montgomerie,1,8.2
5,T6,T6,Guy Boros,2,8.1
6,T6,T6,James Kingston,1,8.1
7,T8,T8,Kent Jones,3,8.0
8,T8,T8,Len Mattiace,1,8.0
9,T8,T8,Chez Reavie,5,8.0
10,T8,T8,Tag Ridings,1,8.0
11,T12,T12,Alex Hamilton,1,7.9
12,T12,T12,Greg Kraft,2,7.9
13,T12,T12,Jamie Lovemark,2,7.9
14,T15,T15,Tim Clark,17,7.8
15,T15,T15,John Huston,2,7.8
16,T15,T15,Brock Mackenzie,1,7.8
17,T15,T15,Gary Woodland,3,7.8
18,19,19,Rickie Fowler,18,7.7
19,T20,T20,Shane Bertsch,3,7.6
20,T20,T20,Chad Campbell,17,7.6
21,T20,T20,Alex Cejka,11,7.6
22,T20,T20,K.J. Choi,15,7.6
23,T20,T20,Jeff Gove,4,7.6
24,T20,T20,Tom Lehman,4,7.6
25,T20,T20,David Toms,15,7.6
26,T20,T20,Jay Williamson,11,7.6
27,T28,T28,Robert Allenby,14,7.5
28,T28,T28,Tom Byrum,1,7.5
29,T28,T28,Brendon de Jonge,20,7.5
30,T28,T28,Rocco Mediate,10,7.5
31,T28,T28,Nick O'Hern,5,7.5
32,T28,T28,Kenny Perry,13,7.5
33,T28,T28,Jason Schultz,1,7.5
34,T28,T28,Heath Slocum,19,7.5
35,T28,T28,Steve Stricker,14,7.5
36,T37,T37,Craig Barlow,4,7.4
37,T37,T37,Joe Durant,13,7.4
38,T37,T37,Jim Furyk,15,7.4
39,T37,T37,Rob Grube,1,7.4
40,T37,T37,Jeff Maggert,9,7.4
41,T37,T37,John Mallinger,9,7.4
42,T37,T37,Francesco Molinari,3,7.4
43,T37,T37,Ryan Moore,12,7.4
44,T37,T37,Vijay Singh,12,7.4
45,T37,T37,Omar Uresti,8,7.4
46,T37,T37,Nick Watney,17,7.4
47,T37,T37,Lee Westwood,6,7.4
48,T49,T49,Briny Baird,14,7.3
49,T49,T49,Kris Blanks,13,7.3
50,T49,T49,Ben Crane,16,7.3
51,T49,T49,Glen Day,5,7.3
52,T49,T49,Jason Dufner,15,7.3
53,T49,T49,John Ellis,1,7.3
54,T49,T49,Paul Goydos,14,7.3
55,T49,T49,Trevor Immelman,6,7.3
56,T49,T49,Jerry Kelly,18,7.3
57,T49,T49,Cliff Kresge,8,7.3
58,T49,T49,Spencer Levin,22,7.3
59,T49,T49,Adam Scott,12,7.3
60,T49,T49,Chris Smith,1,7.3
61,T62,T62,Michael Allen,8,7.2
62,T62,T62,Jason Bohn,16,7.2
63,T62,T62,Fred Couples,3,7.2
64,T62,T62,Fred Funk,3,7.2
65,T62,T62,Brian Gay,18,7.2
66,T62,T62,Peter Hanson,3,7.2
67,T62,T62,Freddie Jacobson,16,7.2
68,T62,T62,Zach Johnson,17,7.2
69,T62,T62,Davis Love III,13,7.2
70,T62,T62,Troy Matteson,13,7.2
71,T62,T62,Billy Mayfair,11,7.2
72,T62,T62,Edoardo Molinari,3,7.2
73,T62,T62,Jeff Quinney,15,7.2
74,T62,T62,Kyle Stanley,1,7.2
75,T62,T62,Vaughn Taylor,17,7.2
76,T62,T62,Josh Teater,19,7.2
77,T62,T62,Charles Warren,10,7.2
78,T62,T62,Boo Weekley,14,7.2
79,T80,T80,Steve Allan,1,7.1
80,T80,T80,Cameron Beckman,6,7.1
81,T80,T80,Paul Casey,10,7.1
82,T80,T80,Ross Fisher,4,7.1
83,T80,T80,Bill Haas,17,7.1
84,T80,T80,Mark Hensby,7,7.1
85,T80,T80,Miguel Angel Jiménez,2,7.1
86,T80,T80,Will MacKenzie,13,7.1
87,T80,T80,Sean O'Hair,13,7.1
88,T80,T80,Tom Pernice Jr.,11,7.1
89,T80,T80,D.A. Points,14,7.1
90,T80,T80,Aron Price,12,7.1
91,T80,T80,Chris Riley,11,7.1
92,T80,T80,Justin Rose,16,7.1
93,T80,T80,John Senden,20,7.1
94,T80,T80,Bo Van Pelt,20,7.1
95,T80,T80,Tim Wilkinson,4,7.1
96,T80,T80,Dean Wilson,8,7.1
97,T80,T80,Y.E. Yang,13,7.1
98,T99,T99,Michael Bradley,13,7.0
99,T99,T99,Mark Brooks,3,7.0
100,T99,T99,Mark Calcavecchia,5,7.0
101,T99,T99,Stewart Cink,15,7.0
102,T99,T99,Michael Connell,17,7.0
103,T99,T99,Ben Curtis,13,7.0
104,T99,T99,Luke Donald,13,7.0
105,T99,T99,Simon Dyson,3,7.0
106,T99,T99,Gonzalo Fernandez-Castaño,1,7.0
107,T99,T99,Lucas Glover,12,7.0
108,T99,T99,Retief Goosen,13,7.0
109,T99,T99,David Horsey,1,7.0
110,T99,T99,Matt Kuchar,18,7.0
111,T99,T99,WC Liang,2,7.0
112,T99,T99,Hunter Mahan,15,7.0
113,T99,T99,Bryce Molder,14,7.0
114,T99,T99,Garth Mulroy,6,7.0
115,T99,T99,Geoff Ogilvy,11,7.0
116,T99,T99,Ryan Palmer,13,7.0
117,T99,T99,"Jerry Richardson, Jr.",1,7.0
118,T99,T99,Brandt Snedeker,16,7.0
119,T99,T99,Kevin Streelman,16,7.0
120,T99,T99,Chris Stroud,13,7.0
121,T99,T99,D.J. Trahan,17,7.0
122,T99,T99,Kirk Triplett,5,7.0
123,T99,T99,Scott Verplank,12,7.0
124,T99,T99,Camilo Villegas,13,7.0
125,T99,T99,Mark Wilson,14,7.0
126,T127,T127,Stephen Ames,16,6.9
127,T127,T127,Henrik Bjornstad,8,6.9
128,T127,T127,Brian Davis,17,6.9
129,T127,T127,David Duval,9,6.9
130,T127,T127,Bob Estes,12,6.9
131,T127,T127,Robert Garrigus,13,6.9
132,T127,T127,Adam Hadwin,1,6.9
133,T127,T127,Seungsu Han,1,6.9
134,T127,T127,Charley Hoffman,17,6.9
135,T127,T127,Richard Johnson,14,6.9
136,T127,T127,Martin Laird,17,6.9
137,T127,T127,Marc Leishman,15,6.9
138,T127,T127,Justin Leonard,15,6.9
139,T127,T127,John Merrick,21,6.9
140,T127,T127,Kevin Na,18,6.9
141,T127,T127,Greg Owen,9,6.9
142,T127,T127,Cameron Percy,10,6.9
143,T127,T127,Tim Petrovic,19,6.9
144,T127,T127,Webb Simpson,17,6.9
145,T127,T127,Kevin Sutherland,17,6.9
146,T127,T127,Roland Thatcher,10,6.9
147,T127,T127,Johnson Wagner,12,6.9
148,T127,T127,Drew Weaver,1,6.9
149,T127,T127,Garrett Willis,14,6.9
150,T151,T151,Woody Austin,15,6.8
151,T151,T151,Ricky Barnes,19,6.8
152,T151,T151,Rich Beem,3,6.8
153,T151,T151,Jonathan Byrd,16,6.8
154,T151,T151,Anders Hansen,1,6.8
155,T151,T151,Dustin Johnson,15,6.8
156,T151,T151,Martin Kaymer,3,6.8
157,T151,T151,Michael Letzig,16,6.8
158,T151,T151,Shaun Micheel,10,6.8
159,T151,T151,Phil Mickelson,14,6.8
160,T151,T151,Corey Pavin,5,6.8
161,T151,T151,Pat Perez,18,6.8
162,T151,T151,Carl Pettersson,17,6.8
163,T151,T151,Alistair Presnell,1,6.8
164,T151,T151,Rory Sabbatini,13,6.8
165,T151,T151,Sam Saunders,2,6.8
166,T151,T151,Paul Stankowski,11,6.8
167,T151,T151,Cameron Tringale,4,6.8
168,T151,T151,Danny Wax,1,6.8
169,T151,T151,Tiger Woods,6,6.8
170,T171,T171,Byeong Hun An,1,6.7
171,T171,T171,Tommy Armour III,1,6.7
172,T171,T171,Arjun Atwal,10,6.7
173,T171,T171,Craig Bowden,7,6.7
174,T171,T171,Robert Damron,1,6.7
175,T171,T171,Graham DeLaet,14,6.7
176,T171,T171,Ernie Els,13,6.7
177,T171,T171,Steve Flesch,11,6.7
178,T171,T171,Benjamin Fox,2,6.7
179,T171,T171,Harrison Frazar,4,6.7
180,T171,T171,Sergio Garcia,9,6.7
181,T171,T171,Tom Gillis,21,6.7
182,T171,T171,Mathew Goggin,13,6.7
183,T171,T171,Mathias Grönberg,7,6.7
184,T171,T171,J.P. Hayes,13,6.7
185,T171,T171,Bob Heintz,3,6.7
186,T171,T171,J.J. Henry,16,6.7
187,T171,T171,Matt Hill,1,6.7
188,T171,T171,Yuta Ikeda,3,6.7
189,T171,T171,Ryuji Imada,16,6.7
190,T171,T171,Lee Janzen,11,6.7
191,T171,T171,Brandt Jobe,1,6.7
192,T171,T171,Robert Karlsson,5,6.7
193,T171,T171,Simon Khan,1,6.7
194,T171,T171,Bill Lunde,9,6.7
195,T171,T171,Steve Marino,14,6.7
196,T171,T171,Rory McIlroy,9,6.7
197,T171,T171,Chris Rogers,1,6.7
198,T171,T171,John Rollins,14,6.7
199,T171,T171,Jeev Milkha Singh,9,6.7
200,T171,T171,Kevin Stadler,13,6.7
201,T171,T171,Brian Stuard,10,6.7
202,T171,T171,Roger Tambellini,10,6.7
203,T171,T171,Matt Weibring,3,6.7
204,T171,T171,Brett Wetterich,11,6.7
205,T171,T171,Steve Wheatcroft,6,6.7
206,T171,T171,Charlie Wi,20,6.7
207,T208,T208,Rich Barcelo,8,6.6
208,T208,T208,Brent Delahoussaye,6,6.6
209,T208,T208,Chris DiMarco,18,6.6
210,T208,T208,Ken Duke,3,6.6
211,T208,T208,Thongchai Jaidee,2,6.6
212,T208,T208,Alex Prugh,15,6.6
213,T208,T208,Brett Quigley,19,6.6
214,T208,T208,Bubba Watson,15,6.6
215,T208,T208,Oliver Wilson,4,6.6
216,T217,T217,Blake Adams,15,6.5
217,T217,T217,Chris Baryla,1,6.5
218,T217,T217,Jim Carter,2,6.5
219,T217,T217,Chris Couch,10,6.5
220,T217,T217,Steve Elkington,13,6.5
