,Last_5_Events_-_Accuracy_RANK THIS WEEK,Last_5_Events_-_Accuracy_RANK LAST WEEK,Last_5_Events_-_Accuracy_PLAYER NAME,Last_5_Events_-_Accuracy_EVENTS,Last_5_Events_-_Accuracy_RATING
0,1,1,Roger Tambellini,1,8.9
1,2,2,Chez Reavie,2,8.8
2,T3,T3,Peter Hanson,1,8.5
3,T3,T3,Jon Mills,1,8.5
4,5,5,Mark Hensby,1,8.4
5,T6,T73,Rickie Fowler,1,8.3
6,T6,T6,Tom Lehman,1,8.3
7,T6,T6,Jeff Maggert,2,8.3
8,T6,T6,Louis Oosthuizen,1,8.3
9,T10,T9,Robert Gamez,1,8.2
10,T10,T9,Richard Johnson,2,8.2
11,T10,T9,Kent Jones,2,8.2
12,T10,T9,Greg Kraft,1,8.2
13,T10,T9,Colin Montgomerie,1,8.2
14,T15,T14,Guy Boros,2,8.1
15,T15,T14,James Kingston,1,8.1
16,T15,T14,Rocco Mediate,4,8.1
17,T18,T18,Martin Kaymer,1,8.0
18,T18,T18,Colt Knost,1,8.0
19,T18,T18,Len Mattiace,1,8.0
20,T18,T18,Tag Ridings,1,8.0
21,T22,T22,Chad Campbell,4,7.9
22,T22,T22,Jeff Gove,2,7.9
23,T22,T22,Paul Goydos,3,7.9
24,T22,T22,Alex Hamilton,1,7.9
25,T22,T22,Jamie Lovemark,3,7.9
26,T22,T22,Chris Riley,2,7.9
27,T28,T28,Craig Bowden,2,7.8
28,T28,T28,Tim Clark,3,7.8
29,T28,T28,J.P. Hayes,2,7.8
30,T28,T28,John Huston,2,7.8
31,T28,T28,Steve Lowery,1,7.8
32,T28,T28,Brock Mackenzie,1,7.8
33,T28,T28,Geoff Ogilvy,3,7.8
34,T28,T28,Paul Stankowski,3,7.8
35,T36,T36,Joe Durant,5,7.7
36,T36,T94,David Duval,2,7.7
37,T36,T36,Jimmy Walker,1,7.7
38,T36,T36,Charles Warren,3,7.7
39,T36,T36,Nick Watney,3,7.7
40,T36,T36,Lee Westwood,1,7.7
41,T42,T42,Shane Bertsch,3,7.6
42,T42,T42,Mark Brooks,2,7.6
43,T42,T42,Michael Connell,4,7.6
44,T42,T42,Ross Fisher,1,7.6
45,T42,T42,Miguel Angel Jiménez,1,7.6
46,T42,T51,Jerry Kelly,4,7.6
47,T42,T42,Kenny Perry,2,7.6
48,T42,T42,Jeff Quinney,2,7.6
49,T42,T42,Brandt Snedeker,3,7.6
50,T42,T42,Mark Wilson,4,7.6
51,T52,T51,Tom Byrum,1,7.5
52,T52,T51,Paul Casey,3,7.5
53,T52,T51,Graham DeLaet,4,7.5
54,T52,T51,Sergio Garcia,2,7.5
55,T52,T51,Jason Gore,1,7.5
56,T52,T51,Spencer Levin,3,7.5
57,T52,T73,Davis Love III,4,7.5
58,T52,T51,Jason Schultz,1,7.5
59,T52,T51,John Senden,4,7.5
60,T52,T51,Jay Williamson,1,7.5
61,T52,T51,Dean Wilson,3,7.5
62,T63,T62,Robert Allenby,3,7.4
63,T63,T62,Stewart Cink,4,7.4
64,T63,T62,Glen Day,2,7.4
65,T63,T62,Rob Grube,1,7.4
66,T63,T62,Thongchai Jaidee,1,7.4
67,T63,T62,Will MacKenzie,3,7.4
68,T63,T62,Edoardo Molinari,1,7.4
69,T63,T62,Ryan Moore,3,7.4
70,T63,T62,Heath Slocum,3,7.4
71,T63,T36,Steve Stricker,3,7.4
72,T63,T62,Vaughn Taylor,2,7.4
73,T63,T62,David Toms,4,7.4
74,T75,T73,Michael Allen,3,7.3
75,T75,T73,Brian Davis,2,7.3
76,T75,T73,Brendon de Jonge,5,7.3
77,T75,T73,John Ellis,1,7.3
78,T75,T73,Trevor Immelman,1,7.3
79,T75,T73,Bryce Molder,2,7.3
80,T75,T73,Sean O'Hair,2,7.3
81,T75,T73,Cameron Percy,2,7.3
82,T83,T83,Lucas Glover,2,7.2
83,T83,T83,Charley Hoffman,4,7.2
84,T83,T83,Ryuji Imada,3,7.2
85,T83,T83,Søren Kjeldsen,1,7.2
86,T83,T94,Justin Leonard,3,7.2
87,T83,T83,John Mallinger,2,7.2
88,T83,T83,Corey Pavin,4,7.2
89,T83,T83,Tim Petrovic,4,7.2
90,T83,T83,Rory Sabbatini,2,7.2
91,T83,T83,Vijay Singh,3,7.2
92,T83,T83,Kyle Stanley,1,7.2
93,T83,T83,Tiger Woods,3,7.2
94,T95,T94,Steve Allan,1,7.1
95,T95,T94,Briny Baird,2,7.1
96,T95,T94,Kris Blanks,2,7.1
97,T95,T94,Ben Curtis,3,7.1
98,T95,T94,Jason Dufner,3,7.1
99,T95,T94,Harrison Frazar,2,7.1
100,T95,T94,Brian Gay,4,7.1
101,T95,T94,J.J. Henry,4,7.1
102,T95,T94,Hunter Mahan,3,7.1
103,T95,T94,Francesco Molinari,1,7.1
104,T95,T94,Joe Ogilvie,1,7.1
105,T95,T94,Adam Scott,3,7.1
106,T107,T108,Michael Bradley,1,7.0
107,T107,T108,Gonzalo Fernandez-Castaño,1,7.0
108,T107,T108,Jim Furyk,3,7.0
109,T107,T108,Retief Goosen,3,7.0
110,T107,T108,David Gossett,1,7.0
111,T107,T108,David Horsey,1,7.0
112,T107,T108,Freddie Jacobson,3,7.0
113,T107,T108,Cliff Kresge,4,7.0
114,T107,T108,Martin Laird,4,7.0
115,T107,T108,WC Liang,2,7.0
116,T107,T108,Phil Mickelson,3,7.0
117,T107,T108,"Jerry Richardson, Jr.",1,7.0
118,T107,T108,Michael Sim,3,7.0
119,T107,T108,Kevin Stadler,3,7.0
120,T107,T108,Chris Stroud,4,7.0
121,T107,T108,Bo Van Pelt,5,7.0
122,T107,T108,Johnson Wagner,3,7.0
123,T124,T126,Chris Couch,2,6.9
124,T124,T126,Luke Donald,2,6.9
125,T124,T126,Steve Flesch,2,6.9
126,T124,T126,Adam Hadwin,1,6.9
127,T124,T126,Seungsu Han,1,6.9
128,T124,T126,Zach Johnson,4,6.9
129,T124,T126,John Merrick,2,6.9
130,T124,T126,Garth Mulroy,2,6.9
131,T124,T126,Nick O'Hern,2,6.9
132,T124,T126,Webb Simpson,4,6.9
133,T124,T126,Drew Weaver,1,6.9
134,T124,T126,Boo Weekley,1,6.9
135,T124,T126,Brett Wetterich,3,6.9
136,T137,T140,Ricky Barnes,3,6.8
137,T137,T140,Cameron Beckman,2,6.8
138,T137,T140,Henrik Bjornstad,1,6.8
139,T137,T140,Jason Day,4,6.8
140,T137,T140,Brent Delahoussaye,1,6.8
141,T137,T140,Carlos Franco,2,6.8
142,T137,T140,Fred Funk,2,6.8
143,T137,T140,Robert Garrigus,3,6.8
144,T137,T140,Lee Janzen,2,6.8
145,T137,T126,Matt Kuchar,3,6.8
146,T137,T140,Steve Marino,3,6.8
147,T137,T140,George McNeill,2,6.8
148,T137,T140,Pat Perez,4,6.8
149,T137,T140,Alistair Presnell,1,6.8
150,T137,T140,Alex Prugh,3,6.8
151,T137,T140,Brett Quigley,5,6.8
152,T137,T140,Sam Saunders,2,6.8
153,T137,T140,Jeev Milkha Singh,4,6.8
154,T137,T140,Brian Stuard,4,6.8
155,T137,T140,Josh Teater,3,6.8
156,T137,T140,Roland Thatcher,4,6.8
157,T137,T140,Kirk Triplett,4,6.8
158,T137,T140,Danny Wax,1,6.8
159,T137,T140,Matt Weibring,1,6.8
160,T161,T163,Tommy Armour III,1,6.7
161,T161,T163,Craig Barlow,2,6.7
162,T161,T163,Jason Bohn,3,6.7
163,T161,T163,Justin Bolli,1,6.7
164,T161,T163,Ben Crane,2,6.7
165,T161,T163,Robert Damron,1,6.7
166,T161,T163,Benjamin Fox,2,6.7
167,T161,T163,Bob Heintz,3,6.7
168,T161,T163,Matt Hill,1,6.7
169,T161,T163,Brandt Jobe,1,6.7
170,T161,T108,Dustin Johnson,1,6.7
171,T161,T163,Simon Khan,1,6.7
172,T161,T163,Michael Letzig,4,6.7
173,T161,T163,Billy Mayfair,2,6.7
174,T161,T163,Rory McIlroy,3,6.7
175,T161,T163,Ryan Palmer,3,6.7
176,T161,T163,Scott Piercy,4,6.7
177,T161,T163,D.A. Points,1,6.7
178,T161,T163,Aron Price,3,6.7
179,T161,T163,Chris Rogers,1,6.7
180,T161,T163,Chris Tidland,3,6.7
181,T161,T163,Y.E. Yang,3,6.7
182,T183,T187,John Daly,3,6.6
183,T183,T187,Ken Duke,3,6.6
184,T183,T187,Steve Elkington,2,6.6
185,T183,T187,Ernie Els,2,6.6
186,T183,T187,Bob Estes,1,6.6
187,T183,T187,Troy Merritt,4,6.6
188,T183,T187,Kevin Na,4,6.6
189,T183,T187,James Nitties,3,6.6
190,T183,T187,Kevin Sutherland,3,6.6
191,T183,T187,Jerod Turner,1,6.6
192,T183,T187,Camilo Villegas,3,6.6
193,T183,T187,Charlie Wi,4,6.6
194,T195,T199,Blake Adams,4,6.5
195,T195,T199,Arjun Atwal,3,6.5
196,T195,T199,Rich Barcelo,1,6.5
197,T195,T199,Chris Baryla,1,6.5
198,T195,T199,Jim Carter,2,6.5
199,T195,T163,Chris DiMarco,4,6.5
200,T195,T199,Simon Dyson,1,6.5
201,T195,T199,Bill Haas,3,6.5
202,T195,T199,Jonathan Kaye,1,6.5
203,T195,T199,Tom Pernice Jr.,3,6.5
204,T195,T163,Ian Poulter,2,6.5
205,T195,T199,Alvaro Quiros,1,6.5
206,T195,T199,Kevin Streelman,4,6.5
207,T195,T199,Nicholas Thompson,2,6.5
208,T195,T199,Cameron Tringale,1,6.5
209,T195,T199,Garrett Willis,1,6.5
210,T195,T199,Oliver Wilson,2,6.5
211,T212,T214,Martin Flores,3,6.4
212,T212,T214,Bobby Gates,1,6.4
213,T212,T214,Padraig Harrington,2,6.4
214,T212,T214,Troy Matteson,2,6.4
215,T212,T214,Katsumasa Miyamoto,1,6.4
216,T212,T214,Greg Owen,1,6.4
217,T212,T214,John Rollins,2,6.4
218,T212,T214,Andres Romero,5,6.4
219,T212,T214,Justin Rose,3,6.4
220,T221,T223,Jonathan Byrd,5,6.3
221,T221,T163,K.J. Choi,2,6.3
222,T221,T223,Marco Dawson,3,6.3
223,T221,T223,James Driscoll,2,6.3
224,T221,T223,Todd Fischer,1,6.3
225,T221,T223,Todd Hamilton,2,6.3
226,T221,T223,Carl Pettersson,2,6.3
227,T221,T223,Tim Wilkinson,1,6.3
228,T221,T223,Gary Woodland,1,6.3
229,T230,T231,Ángel Cabrera,4,6.2
230,T230,T231,Kevin Chappell,1,6.2
231,T230,T231,Matt Every,5,6.2
232,T230,T231,Robin Freeman,1,6.2
233,T230,T231,Charles Howell III,5,6.2
234,T230,T231,Billy Hurley III,1,6.2
235,T230,T231,Derek Lamely,3,6.2
236,T230,T231,Marc Leishman,2,6.2
237,T230,T231,Frank Lickliter II,2,6.2
238,T230,T231,Scott McCarron,2,6.2
239,T230,T231,Ross McGowan,2,6.2
240,T230,T231,Andrew McLardy,3,6.2
241,T230,T259,Bubba Watson,2,6.2
242,T243,T243,Woody Austin,3,6.1
243,T243,T243,Tom Gillis,4,6.1
244,T243,T243,Mathew Goggin,4,6.1
245,T243,T243,Yuta Ikeda,1,6.1
246,T243,T243,Ryo Ishikawa,1,6.1
247,T243,T243,Robert Karlsson,1,6.1
248,T243,T243,Chris Kirk,1,6.1
249,T243,T243,Jarrod Lyle,1,6.1
250,T243,T243,Dicky Pride,2,6.1
251,T243,T243,Jordan Spieth,1,6.1
252,T253,T253,Mark Calcavecchia,1,6.0
253,T253,T253,Greg Chalmers,4,6.0
254,T253,T253,Tadd Fujikawa,1,6.0
255,T253,T253,Brenden Pappas,2,6.0
256,T253,T253,Phil Schmitt,1,6.0
257,T253,T253,Henrik Stenson,1,6.0
258,T259,T259,Erik Compton,2,5.9
259,T259,T259,Bill Lunde,1,5.9
260,T259,T259,D.J. Trahan,3,5.9
261,T259,T259,Vance Veazey,1,5.9
262,T259,T259,Steve Wheatcroft,1,5.9
263,T259,T259,Chris Wilson,1,5.9
264,T259,T259,Casey Wittenberg,1,5.9
265,T266,T267,Matt Bettencourt,2,5.8
266,T266,T267,Chad Collins,3,5.8
267,T266,T267,Nathan Green,2,5.8
268,T266,T267,Skip Kendall,2,5.8
269,T266,T267,David Lutterus,1,5.8
270,T266,T267,Jeff Overton,3,5.8
271,T266,T267,Scott Verplank,2,5.8
272,T273,T274,Brad Adamonis,1,5.7
273,T273,T274,Mathias Grönberg,2,5.7
274,T275,T276,Tim Herron,3,5.6
275,T275,T276,Jeff Klauk,1,5.6
276,T275,T276,Michael O'Neal,1,5.6
277,T275,T276,Ted Purdy,1,5.6
278,T275,T276,Michael Putnam,1,5.6
279,T275,T276,Mike Weir,1,5.6
280,T275,T276,Willie Wood,1,5.6
281,T282,T283,Eric Axley,1,5.5
282,T282,T283,Aaron Baddeley,4,5.5
283,T282,T283,Rhys Davies,1,5.5
284,T282,T283,Braxton Marquez,1,5.5
285,T282,T283,Shaun Micheel,3,5.5
286,T282,T283,Ryuichi Oda,1,5.5
287,T288,T289,Stephen Ames,3,5.4
288,T288,T289,Michael Clark II,1,5.4
289,T288,T289,Marcus Fraser,1,5.4
290,T288,T289,Soren Hansen,1,5.4
291,T288,T289,J.B. Holmes,4,5.4
292,T288,T289,Fran Quinn,1,5.4
293,T288,T289,Charl Schwartzel,1,5.4
294,T288,T289,Marc Turnesa,1,5.4
295,296,297,Michael Jonzon,1,5.3
296,T297,T298,Jeff Burns,1,5.2
297,T297,T298,Hennie Otto,1,5.2
298,T297,T298,Jesper Parnevik,1,5.2
299,T297,T298,Warren Schutte,1,5.2
300,T297,T298,Mike Small,2,5.2
301,302,303,Matt Jones,4,5.0
302,T303,T304,Grégory Bourdy,1,4.9
303,T303,T304,Jay Delsing,1,4.9
304,T303,T304,Alexandre Rocha,1,4.9
305,T303,T304,Blake Trimble,1,4.9
306,T307,T308,Stuart Appleby,3,4.8
307,T307,T308,Daniel Chopra,1,4.8
308,T309,T310,Anthony Kim,1,4.7
309,T309,T310,Alex Noren,1,4.7
310,311,312,Luke List,1,4.3
