,Ryder_Cup_Points_RANK THIS WEEK,Ryder_Cup_Points_RANK LAST WEEK,Ryder_Cup_Points_PLAYER NAME,Ryder_Cup_Points_EVENTS,Ryder_Cup_Points_POINTS
0,1,1,Phil Mickelson,19,6095.063
1,2,2,Hunter Mahan,24,4095.62
2,3,3,Bubba Watson,22,3894.3190000000004
3,4,4,Jim Furyk,22,3763.6420000000003
4,5,5,Steve Stricker,19,3697.9759999999997
5,6,6,Dustin Johnson,23,3573.804
6,7,7,Jeff Overton,24,3533.1479999999997
7,8,8,Matt Kuchar,24,3415.853
8,9,9,Anthony Kim,14,3274.684
9,10,10,Lucas Glover,22,3052.8740000000003
10,11,11,Zach Johnson,24,3051.897
11,12,12,Tiger Woods,13,2902.58
12,13,13,Bo Van Pelt,24,2662.2340000000004
13,14,14,Stewart Cink,23,2644.833
14,15,15,Ben Crane,23,2629.796
15,16,16,Ricky Barnes,24,2610.1710000000003
16,17,17,Nick Watney,23,2557.4410000000003
17,18,18,Sean O'Hair,24,2417.574
18,19,19,J.B. Holmes,23,2390.71
19,20,20,Rickie Fowler,23,2353.32
20,21,21,Ryan Palmer,22,2276.379
21,22,22,Ryan Moore,20,2136.095
22,23,23,Jason Bohn,19,1817.241
23,24,24,Kenny Perry,23,1790.826
24,25,25,Scott Verplank,20,1756.601
25,26,26,Bill Haas,19,1706.57
26,27,27,Heath Slocum,20,1524.358
27,28,28,Vaughn Taylor,20,1509.7160000000001
28,29,29,Chad Campbell,26,1500.973
29,30,30,Bryce Molder,22,1462.13
30,31,31,Kevin Na,21,1458.3929999999998
31,32,32,Steve Marino,20,1457.5079999999998
32,33,33,Brandt Snedeker,26,1356.6070000000002
33,34,34,Davis Love III,20,1341.316
34,35,35,Jason Dufner,22,1322.73
35,36,36,David Duval,20,1303.6889999999999
36,37,37,Brian Gay,25,1283.458
37,38,38,Charles Howell III,24,1106.838
38,39,39,Paul Goydos,24,1088.445
39,40,40,D.J. Trahan,24,1083.763
40,41,41,Shaun Micheel,16,1042.425
41,42,42,Tom Watson,5,1031.345
42,43,43,D.A. Points,23,1029.5639999999999
43,44,44,Ben Curtis,23,973.439
44,45,45,Jerry Kelly,23,946.5360000000001
45,46,46,Boo Weekley,26,941.9789999999999
46,47,47,Corey Pavin,9,920.953
47,48,48,Blake Adams,21,918.4680000000001
48,49,49,Justin Leonard,24,917.638
49,50,50,Jimmy Walker,22,907.158
50,51,51,John Rollins,21,883.846
51,52,52,John Merrick,27,866.89
52,53,53,David Toms,22,862.549
53,54,54,Kevin Sutherland,24,826.3860000000001
54,55,55,Kris Blanks,23,810.565
55,56,56,Chris Couch,19,796.837
56,57,57,Charley Hoffman,21,796.3660000000001
57,58,58,Pat Perez,23,790.317
58,59,59,Alex Prugh,23,788.7760000000001
59,60,60,J.J. Henry,26,771.056
60,61,61,Chris Riley,17,752.572
61,62,62,Tim Petrovic,24,728.939
62,63,63,Steve Flesch,23,726.505
63,64,64,Garrett Willis,18,725.698
64,65,65,Jeff Maggert,21,724.8839999999999
65,66,66,Tom Gillis,20,722.22
66,67,67,Josh Teater,24,720.312
67,68,68,Troy Matteson,20,711.221
68,69,69,Matt Bettencourt,27,708.9
69,70,70,Spencer Levin,23,706.8939999999999
70,71,71,J.P. Hayes,19,699.688
71,72,72,Fred Couples,8,699.1419999999999
72,73,73,Cameron Beckman,21,665.316
73,74,74,Dean Wilson,11,659.81
74,75,75,Bob Estes,20,654.078
75,76,76,Troy Merritt,23,652.068
76,77,77,Robert Garrigus,15,641.039
77,78,78,Chad Collins,22,634.445
78,79,79,Kevin Stadler,22,626.651
79,80,80,Derek Lamely,23,624.2330000000001
80,81,81,Joe Ogilvie,25,623.21
81,82,82,Chris Stroud,22,620.191
82,83,83,Bill Lunde,24,604.734
83,84,84,Briny Baird,25,598.67
84,85,85,Woody Austin,23,595.5269999999999
85,86,86,Billy Mayfair,24,569.513
86,87,87,Kevin Streelman,23,551.134
87,88,88,George McNeill,23,518.293
88,89,89,Lee Janzen,20,517.526
89,90,90,Scott McCarron,24,516.376
90,91,91,Jonathan Byrd,20,502.54400000000004
91,92,92,Tom Pernice Jr.,17,496.55699999999996
92,93,93,Webb Simpson,23,493.397
93,94,94,Mark Wilson,23,486.671
94,95,95,Tom Lehman,10,460.811
95,96,96,Nicholas Thompson,24,460.36800000000005
96,97,97,Michael Letzig,20,452.374
97,98,98,John Mallinger,25,450.75199999999995
98,99,99,Michael Connell,19,444.583
99,100,100,Matt Every,17,435.54699999999997
100,101,101,Scott Piercy,21,427.094
101,102,102,James Driscoll,21,417.67199999999997
102,103,103,Paul Stankowski,12,412.085
103,104,104,Michael Allen,14,408.991
104,105,105,Jeff Quinney,23,399.911
105,106,106,Brett Quigley,24,383.51300000000003
106,107,107,Jay Williamson,18,371.75
107,108,108,Johnson Wagner,22,363.871
108,109,109,Roger Tambellini,20,349.995
109,110,110,Chris Tidland,18,320.9
110,111,111,Michael Bradley,20,314.62
111,112,112,Steve Wheatcroft,21,309.159
112,113,113,Joe Durant,14,300.685
113,114,114,Chris DiMarco,19,291.105
114,115,115,Brett Wetterich,11,279.214
115,116,116,Brian Stuard,22,268.31
116,117,117,Omar Uresti,21,260.35
117,118,118,Roland Thatcher,20,260.288
118,119,119,Will MacKenzie,18,249.02599999999998
119,120,120,Ted Purdy,24,244.47799999999998
120,121,121,Todd Hamilton,18,221.82299999999998
121,122,122,Rocco Mediate,22,211.236
122,123,123,Harrison Frazar,17,201.28
123,124,124,Bob Heintz,3,193.047
124,125,125,Skip Kendall,14,192.142
125,126,126,Tim Herron,18,186.016
126,127,127,John Daly,18,174.958
127,128,128,Mark Calcavecchia,16,167.593
128,129,129,Kirk Triplett,9,164.271
129,130,130,Martin Flores,20,152.59799999999998
130,131,131,Jeff Klauk,13,150.776
131,132,132,Rich Beem,10,149.99
