,Non-WGC_FedExCup_Season_Points_for_Non-Members_RANK THIS WEEK,Non-WGC_FedExCup_Season_Points_for_Non-Members_RANK LAST WEEK,Non-WGC_FedExCup_Season_Points_for_Non-Members_PLAYER NAME,Non-WGC_FedExCup_Season_Points_for_Non-Members_EVENTS,Non-WGC_FedExCup_Season_Points_for_Non-Members_POINTS
0,1,1,Lee Westwood,11,1515
1,2,2,Martin Kaymer,10,811
2,3,3,Graeme McDowell,10,681
3,4,4,Louis Oosthuizen,5,600
4,5,5,Arjun Atwal,10,500
5,6,6,Robert Karlsson,11,476
6,7,7,Charl Schwartzel,11,378
7,8,8,Edoardo Molinari,8,339
8,9,9,Grégory Havret,2,330
9,10,10,Bob Heintz,3,188
10,11,11,Francesco Molinari,8,162
11,12,12,Søren Kjeldsen,7,143
12,13,13,Ryo Ishikawa,10,138
13,14,14,WC Liang,4,131
14,15,15,Alvaro Quiros,9,129
15,16,16,Peter Hanson,7,124
16,17,17,Miguel Angel Jiménez,7,110
17,18,18,Stephen Gallacher,2,98
18,19,19,Robert Rock,1,91
19,20,20,Simon Dyson,8,90
20,21,21,Yuta Ikeda,11,74
21,22,22,Sam Saunders,7,71
22,23,23,Thongchai Jaidee,8,70
23,24,24,Seung-Yul Noh,5,69
24,25,25,Oliver Wilson,9,68
25,26,26,Ross Fisher,10,63
26,27,27,Simon Khan,4,60
27,28,28,Erik Compton,7,56
28,29,29,Ignacio Garrido,1,55
29,30,30,Ken Duke,3,47
30,31,31,Darren Clarke,2,46
31,32,32,Alejandro Cañizares,2,45
32,33,33,Kyle Stanley,3,42
33,34,34,David Horsey,2,41
34,35,35,K.T. Kim,2,40
35,T36,T36,Bradley Dredge,1,40
36,T36,T36,Marcel Siem,1,40
37,38,38,Gonzalo Fernandez-Castaño,3,36
38,39,39,Brandt Jobe,1,35
39,40,40,Tag Ridings,1,34
40,41,41,Michael Putnam,1,32
41,T42,T42,Shane Lowry,2,31
42,T42,T42,Colm Moriarty,1,31
43,T44,T44,Rob Grube,1,29
44,T44,T44,Adam Hadwin,1,29
45,T44,T44,Brock Mackenzie,1,29
46,T44,T44,Ross McGowan,6,29
47,48,48,Bobby Gates,2,28
48,49,49,Mike Small,6,27
49,50,50,Drew Weaver,2,27
50,51,51,Steve Allan,2,26
51,52,52,Todd Fischer,1,24
52,53,53,Benjamin Fox,3,22
53,T54,T54,Jamie Lovemark,3,22
54,T54,T54,Jhonattan Vegas,1,22
55,T56,T56,Jon Mills,1,21
56,T56,T56,"Jerry Richardson, Jr.",1,21
57,T58,T58,Jason Allred,1,19
58,T58,T58,Rafa Cabrera Bello,1,19
59,T58,T58,Jim Herman,1,19
60,61,61,Colin Montgomerie,3,18
61,T62,T62,Danny Chia,1,14
62,T62,T62,Zane Scotland,1,14
63,T64,T64,Seungsu Han,1,14
64,T64,T64,Thomas Levet,2,14
65,T64,T64,Santiago Luna,1,14
66,67,67,Toru Taniguchi,2,13
67,68,68,Grégory Bourdy,2,12
68,T69,T69,Daniel Barbetti,1,11
69,T69,T69,Hiroyuki Fujita,4,11
70,T69,T69,Peter Gustafsson,1,11
71,T69,T69,Manuel Villegas,2,11
72,73,73,Matt Hill,5,10
73,74,74,Fredrik Andersson Hed,2,10
74,75,75,Jeff Burns,1,10
75,76,76,Rhys Davies,4,9
76,77,77,Alexandre Rocha,1,9
77,78,78,Peter Senior,1,8
78,79,79,Jason Schultz,1,7
79,T80,T80,Gareth Maybin,2,6
80,T80,T80,Chris Rogers,2,6
81,82,82,Billy Hurley III,1,4
82,T83,T83,Rob Labritz,1,3
83,T83,T83,Ryuichi Oda,2,3
84,85,85,Erick Justesen,1,2
85,T86,T86,Hirofumi Miyase,1,2
86,T86,T86,Steven Tiley,1,2
87,88,88,Casey Wittenberg,1,1
88,T89,T89,Andrew Coltart,1,1
89,T89,T89,Phil Schmitt,1,1
90,91,91,Aaron Goldberg,2,1
91,92,92,Thomas Aiken,1,1
92,T93,T93,Michael O'Neal,1,1
93,T93,T93,Matthew Richardson,1,1
94,T93,T93,Blake Trimble,1,1
95,96,96,Andrew Svoboda,1,1
96,97,97,Kevin Hayashi,1,1
97,98,98,Ty Tryon,1,1
98,99,99,Mark Anderson,1,1
99,T100,T100,Pablo Martin Benavides,2,1
100,T100,T100,Jason Preeo,1,1
